A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 03/01/2014 15:23:29,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,1928346,"185,256.00",,1801462737,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,NON RECURRENT PROGRAMMES,HERTFORDSHIRE COUNTY COUNCIL,1941394,"50,000.00",,1801453859,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,2095244,"185,256.00",,1801476002,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,2107408,"331,000.00",,1801476000,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,2107408,"858,000.00",,1801476000,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,2107408,"4,272,000.00",,1801476000,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),1928325,"40,742.00",,Jul-13,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),1941300,"37,808.00",,Jun-13,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,1942359,"127,337.00",,2176,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,1942360,"95,527.80",,2182,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,2060045,"95,527.80",,2236,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,2060055,"127,337.00",,2231,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,2060067,"320,330.35",,2232,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1903404,"78,765.00",,H0094210,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1974789,"86,875.00",,H0094211,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2040221,"54,841.00",,H0090412,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,2089793,"32,420.41",,HT000005603,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,2089793,368.95,,HT000005603,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,1928440,"92,875.50",,52949582,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,2080048,"92,875.50",,52949067,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,2095185,"50,345.00",,MS131975,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,1993108,"84,214.00",,ME2000080500,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,1903258,"198,113.00",,IC0018070,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,1941277,"127,656.00",,IC0017564,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,1941402,"125,659.00",,IC0017917,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,2089806,"-86,404.90",,HT000005612,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,2089807,"196,294.48",,HT000005613,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Drugs,PRESCRIBING,NHS BARNET CCG,2153414,"26,166.03",,7022400014,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Charges from CSU,CORPORATE COSTS & SERVICES,NHS HERTFORDSHIRE INTEGRATED CSU,1941705,"537,379.01",,7311100164,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Miscellaneous Expenditure (L9),RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,2107425,"191,513.38",,48309271,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Miscellaneous Expenditure (L9),RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,2107446,"191,513.38",,48309273,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1974800,"191,550.00",,21049,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH WEST LONDON HOSPITALS NHS TRUST,1974663,"49,962.43",,I0153238,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,2080071,"141,315.00",,OFUEOE9066,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,1960434,"106,633.00",,I0082114,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,1992752,"793,388.00",,ENHCCGPINDEC13,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1903243,"3,728,750.00",,BL130901,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,1974373,"36,982.63",,I0162438,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,1975157,"-36,248.95",,C0011099,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,2080015,"161,570.02",,I0163137,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,2080031,"-39,390.49",,C0011019,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,1960564,"434,755.00",,1329050,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),1974711,"28,525.00",,45703488,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,1928499,"262,386.00",,B0023331,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1992888,"39,308.00",,I0037310,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,1992729,"199,011.49",,06K300913RECBSH,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,1992736,"82,589.00",,06K011213PFBSH,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,2089830,"28,489.07",,HT000005628,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1928531,"48,933.00",,203960,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1928543,"492,621.87",,203818,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,2089840,"-51,895.03",,HT000005635,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,2089841,"105,066.63",,HT000005636,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1960453,"189,768.00",,216298,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1992708,"193,720.00",,215881,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,2153402,"189,768.00",,216785,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,2089833,"40,579.37",,HT000005631,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,2089833,"1,719.15",,HT000005631,
,,,,,,,,,,
,,,,,,,"45,922,291.56",,,
