Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type, , 
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111665,137.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111665,224.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111666,7.55,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111666,11.91,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111666,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,7.48,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,8.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,12.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,14.28,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,22.85,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Hotel & Accommodation Overseas - UKTI (BIS) Devolved Admin,Investment Development - Strategy & Policy,"Personal Expense, Name Witheld",111812,253.74,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",111813,18.40,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111814,6.89,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111814,22.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111814,40.95,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Hospitality - UK - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",111815,76.33,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111816,4.10,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111816,12.98,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111816,190.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",111929,6.30,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",111929,10.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",111929,12.87,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Other Travel - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",111929,19.44,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,4.34,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,9.94,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,11.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,16.41,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,19.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111930,59.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111931,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,3.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,3.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,13.75,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,22.86,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111932,60.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Marketing,"Personal Expense, Name Witheld",111934,2.48,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Marketing,"Personal Expense, Name Witheld",111934,54.37,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Chief Operating Officer - Marketing,"Personal Expense, Name Witheld",111934,93.17,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",111940,12.81,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",111940,20.81,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",111940,65.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",111940,248.66,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111950,6.95,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Entertaining UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111950,62.30,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111950,87.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Mileage Allowance UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111950,230.60,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111950,389.80,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111951,18.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111951,20.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111951,110.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Rail Travel UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111951,291.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111952,8.50,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111952,20.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Mileage Allowance UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111952,27.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111952,124.80,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Rail Travel UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111952,423.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111953,65.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111953,182.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Rail Travel UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111953,296.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112103,4.85,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112103,6.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112103,12.15,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112104,5.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112104,10.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112104,13.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112104,46.88,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112104,49.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112105,4.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112105,34.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112106,24.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112106,25.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112106,34.90,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112108,1.80,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112108,7.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112108,22.70,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112108,25.83,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112108,27.25,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112109,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112109,31.35,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112109,35.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112109,37.44,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112109,47.65,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112109,240.41,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,6.51,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,15.94,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,26.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,30.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,30.23,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,79.57,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Hotel & Accommodation Overseas - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",112110,686.85,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112111,2.03,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112111,10.36,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112111,25.04,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112111,40.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/09/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112111,76.78,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,07/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112233,10.50,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,07/09/2015,Mileage Allowance UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",112233,131.78,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,07/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",112237,15.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112107,2.30,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Other Travel - Default,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112107,18.40,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Taxi Services Overseas - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112302,25.34,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Rail Travel UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112302,84.60,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Subsistence Overseas - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",112302,254.79,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Other Staff Costs - Default,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",112303,5000.00,,,,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112396,10.00,,,EMPLOYEE,,,Administration,,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,08/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Partnerships & Business,"Personal Expense, Name Witheld",112396,15.00,,,EMPLOYEE,,,Administration,,
