Title,Place,Date,Edition,Author,Publisher
Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Commonwealth of the Bahamas for the Exchange of Information relating to Taxes,London,2011,,,TSO
Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Federative Republic of Brazil regarding defence cooperation,London,2011,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the French Republic concerning the carrying of service weapons by the officers of the UK Border Agency on French territory in application of the treaty concerning the implementation of the frontier controls at the sea ports of both countries on the Channel and North Sea: Paris, 24 May 2011",London,2011,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Hong Kong Special Administrative Region of the People's Republic of China for the Avoisance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital gains, with Protocol; London, 21 June 2011",London,2011,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Kingdom of Bahrain for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and capital gains: Manama, 10 March 2010",London,2013,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of the Netherlands in respect of the Netherlands Antilles concerning air services between and beyond the United Kingdom of Great Britain and Northern Ireland on the one hand, and the Netherlands Antilles on the other: London, 25 October 2006",London,2010,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Republic of Croatia on international road transport: Zagreb, 22 February 1999",London,2011,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of France on Implementation of the Cyclamen device in the French terminal of the Channel Tunnel situated in Coquelles: London, 10 May 2012",London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Macedonia for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on capital gains, with Protocol, London, 8 November 2006 Marino, 16 February 2010",London,2011,,,TSO
Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Poland concerning the Mutual Protection of Classified Information,London,2011,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Republic of Rwanda on the transfer of sentenced persons: Kigali, 11th February 2010",London,2011,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of San Marino for the Exchange of Information relating to Taxes, San Marino, 16 February 2010",London,2011,,,TSO
Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Trinidad and Tobago concerning Air Services,London,2011,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the government of the Republic of Uzbekistan...for implementing transit ....of motorised armoured vehicles (without weapons) being transported out of the Islamic Republic of Afghanistan in connection with the participation of the United Kingdom of Great Britain and Northern Ireland in efforts to ensure the security, stabilisation and reconstruction of the Islamic Republic of Afghanistan",London,2013,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Russian Federation on the organisation of the direct encrypted communicatinos system between the United Kingdom of Great Britain and Northern Ireland and the Russian Federation: London, 15 February 2011",London,2011,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the State of Qatar for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and on capital gains: London, 25 June 2009",London,2011,,,TSO
Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the United Arab Emirates for Cooperation in the Peaceful Uses of Nuclear Energy,London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Saudi Arabia on the transfer of sentenced persons.  Riyadh, 2 Jan 2012",London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Kingdom of the Netherlands, in respect of Aruba, for the Exchange of Information with respect to Taxes",London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Swiss Federal Council on the Readmission of Persons Present without Authorisation with Protocol, Berne, 16 December 2005",London,2011,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and the Government of Australia concerning Air Services, London, 10 July 2008",London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and the Government of the United States of America concerning a Hydoacoustic Monitoring Facility on Ascension Island, London, 03 April 2012",London,2012,,,TSO
"Agreement between the government of the United States of America and the four governments of the French Republic, the United Kingdom of Great Britain and Northern Ireland, the Kingdom of the Netherlands, and the Federal Republic of Germany regarding the establishment, construction and operation of uranium enrichment installations using gas centrifuge technology in the United States of America: Paris, 24 February 2011",London,2012,,,TSO
Agreement between the United Kingdom and Northern Ireland and the Swiss Confederation on Cooperation in the area of Taxation,London,2013,,,TSO
"Agreement between the United Kingdom of Great Britain and Grenada for the Exchange of Information relating to Tax Matters. London, 31 March 2010",London,2012,,,TSO
"Agreement between the United Kingdom of Great Britain and Northern Ireland and Antigua and Barbuda for the exchange of information relating to tax matters: London, 18 January 2010",London,2011,,,TSO
"Agreement between the United Kingdom of Great Britain and Northern Ireland and Saint Lucia for the exchange of information relating to tax matters: London, 18 January 2010",London,2011,,,TSO
"Agreement between the United Kingdom of Great Britain and Northern Ireland and Saint Vincent and the Grenadines for the exchange of information relating to tax matters: London, 18 January 2010",London,2011,,,TSO
"Agreement between the United Nations Educational, Scientific and Cultural Organisation and the government of the United Kingdom concerning the establishment and operation of the International IHP-HELP Centre for Water Law, Policy and Science under the auspices of UNESCO at the University of Dundee, Scotland, UK",London,2012,,,TSO
Agreement concerning the Training and Maritime Support to the Iraqi Forces by and between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Iraq [Baghdad 6 June 2009],London,2010,,,TSO
"Agreement on the legal status of the International Tracing Service: Bonn, 15 July 1993 and protocols amending the 1955 Bonn Agreements constituting an International Commission for the International Tracing Service and on relations between the International Commission for the International Tracing Service and the International Committee of the Red Cross Berlin, 1 June - 1 November 2006",London,2011,,,TSO
Aiding and abetting : foreign aid failures and the 0.7% deception,"Civitas,",2012,,"Foreman, Jonathan",
Airpower for strategic effect,"C. Hurst,",2012,,"GRAY, COLIN S",
"Amended Convention establishing the European Centre for Medium Range Weather Forecasts and the Protocol on the Pribileges and Immunities of th Centre, adopted Brussels, 22 April 2005",London,2011,,,TSO
"Amendment of the Articles of agreement of the International Monetary Fund to enhance voice and participation in the International Monetary Fund: adopted Washington, 28 April 2008 amendment of the Articles of agreement of the International Monetary Fund to expand the investment authority of the International Monetary Fund adopted Washington, 5 May 2008",London,2011,,,TSO
"Anglo-American naval relations, 1919-1939",Aldershot,2010,,"SIMPSON, MICHAEL",Ashgate
Annual Report for 2009 on the Operation of the Chemical Weapons Act 1996: presented to Parliament pursuant to section 33 of the Chemical Weapons Act 1996,"TSO,",2010,,,
Annual report for 2010 on the operation of the Chemical Weapons Act 1996,London,2011,,,The Stationery Office
Annual report for 2011 on the operation of the Chemical Weapons Act 1996,London,2012,,,The Stationery Office
Annual report for 2012 on the Operation of the Chemical Weapons Act 1996,London,2013,,,The Stationery Office
Antifragile : how to live in a world we don't understand,"Allen Lane,",2012,,"TALEB, NASSIM NICHOLAS",
APM Body of Knowledge,"APM,",2012,6th ed.,,
Appointment of the Chair of the Charity Commission : Fourth Report of Session 2012-13 : Volume II,London,2012,,,"TSO,"
Appointment of the Chair of the Committee on Standards in Public Life ; fifth report of Session 2013-14,London,2013,,,The Stationery Office
Appointment of the Chair of the UK Statistics Authority : Sixteenth Report of Session 2010-12: Volume 1,London,2011,,,"TSO,"
"The Arab Spring : rebellion, revolution, and a new world order","Guardian Books,",2012,,"Manhire, Tony",
The Arab Uprising : the unfinished revolutions of trhe new Middle east,"Public Affairs,",2012,,"LYNCH, MARC",
Arab uprisings : the people want the fall of the regime,"Simon & Schuster,",2012,,"BOWEN, JEREMY",Simon & Schuster
Armed Forces and Society,,2010,,,
Armed Forces Bill : special report of Session 2010-11,London,2011,,,"TSO,"
The Armed Forces Covenant in action? Part 1: Military casualties: Government response to the Committee's Seventh Report of Session 2010-12: Tenth Special Report of Session 2010-12,London,2012,,,The Stationery Office
The Armed Forces Covenant in action? Part 2: Accommodation : Government Response to the Committee's Second Report of Session 2012-13 : Third Special Report of Session 2012-13,London,2012,,,The Stationery Office
The Armed Forces Covenant in action? Part 2: Accommodation Second report of Session 2012-13,London,2012,,,The Stationery Office
The Armed Forces Covenant in action? Part 3: Educating the Children of Service Personnel: Fourth Report of Session 2012-13,London,2013,,,The Stationery Office
The Armed Forces Covenant in action? Part 3: Educating the Children of Service Personnel: Fourth Report of Session 2012-13,London,2013,,,The Stationery Office
The Armed Forces Covenant in action? Part 3: Educating the Children of Service Personnel: Fourth Report of Session 2012-13,London,2013,,,The Stationery Office
The Armed Forces Covenant in action? Part 3: Educating the Children of Service Personnel: Government Response to the Committee's Fourth Report of Session 2012-13: Eighth Special Report of Session 2013-14,London,2013,,,The Stationery Office
The Armed Forces Covenant in action? Part 4 : Education of Service Personnel : Fifth Report of Session 2013-14,London,2013,,,The Stationery Office
The Armed Forces Covenant in action? Part 4: Education of Service Personnel: Government Response to the Committee's Fifth Report of Session 2013-14: Seventh Special Report of Session 2013-14,London,2013,,,The Stationery Office
"Armed Forces' Pay Review Body : Fortieth Report, 2011",Norwich,2011,,,"TSO,"
"Armed Forces' Pay Review Body : Forty-first Report, 2012",Norwich,2012,,,"TSO,"
"Armed Forces' Pay Review Body: forty-second report, 2013",London,2013,,,The Stationery Office
Armed Forces' Pay Review Body : Service Medical and Dental Officers,Norwich,2010,,"GREENAWAY, DAVID","TSO,"
Armed Forces Pension Scheme (incorporating the Armed Forces Compensation Scheme) annual accounts 2010-11: (for the year ended 31 March 2011),London,2011,,,The Stationery Office
Armed Forces Pension Scheme (incorporating the Armed Forces Compensation Scheme) annual accounts 2011-12: (for the year ended 31 March 2012),London,2012,,,The Stationery Office
Armed Forces Pension Scheme (incorporating the Armed Forces Compensation Scheme) annual accounts 2012-13: (for the year ended 31 March 2013),London,2013,,,The Stationery Office
Armed Forces Pension Scheme (incorporating the Armed Forces Compensation Scheme) resource accounts 2009-10: (for the year ended 31 March 2010),London,2010,,,The Stationery Office
The art and science of intelligence analysis,"Oxford U.P.,",2010,,"RICHARDS, JULIAN",
"The art of action : how leaders close the gaps between plans, actions and results","Nicholas Brealey,",2011,,"BUNGAY, STEPHEN",
The art of war,,2012,,"SUN, TZU",EMA
As used on the famous Nelson Mandela: underground adventures in the arms and torture trade,,2011,,"THOMAS, MARK",Ebury
Ashes of Hama : the Muslim Brotherhood in Syria,"C. Hurst,",2013,,"Lefevre, Raphael",C Hurst & Co
Asia's naval expansion : an arms race in the making?,"IISS,",2012,,"POTTER, WILLIAM
TILL, GEOFFREY",
Aslib Proceedings,,2010,,,Emerald
Bad language: the use and abuse of official language: First Report of Session 2009-10,London,2010,,,"TSO,"
Bad language:  the use and abuse of Official Language: Government Response to the Committee's First Report of Session 2009-10: Fourth Special Report of Session 2009-10,London,2010,,,"TSO,"
The Baha Mousa Public Inquiry Report : Chairman: Sir William Gage : Volume 1...[etc.].,"TSO,",2011,,"Gage, William, Sir",
The Baha Mousa Public Inquiry Report : Chairman: Sir William Gage : Volume II...[etc.].,"TSO,",2011,,"Gage, William, Sir",
The Baha Mousa Public Inquiry Report : Chairman: Sir William Gage : Volume III...[etc.].,"TSO,",2011,,"Gage, William, Sir",
Battle flight : RAF defence projects and weapons since 1945,"Hikoki Publications,",2012,,"GIBSON, CHRIS",
Behavioural conflict : why understanding people and their motives will provide decisive in future conflict,"Military Studies Press,",2011,,"MACKAY, ANDREW
TATHAM, STEVE",Military Studies
Behind the veil : the business and culture of sex in the Middle East,"Palgrave Macmillan,",2011,,"BRADLEY, JOHN R",
Belgium & Luxembourg,London,2013,5th ed.,"SMITH, HELENA
ELLIOTT, MARK","Lonely Planet,"
Better defence acquisition: improving how we procure and support defence equipment,London,2013,,,The Stationery Office
The Big Society : Further Report with the Government Response to    the Committee' s Seventeenth Report of Session 2010-12,London,2012,,,"TSO,"
the Big Society : Seventeenth Report of Session 2010-12: Volume 1,London,2012,,,"TSO,"
The Big Society : Seventeenth Report of Session 2010-12: Volume 2,London,2012,,,"TSO,"
Bilateral Letter of Implementation between the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Peru concerning the Repayment of Certain Debt Obligations of the Government of Peru.,London,2012,,,TSO
The Black and Tans,,2010,,"BENNETT, RICHARD",Pen and sword
Bomb hunters: in Afghanistan with Britain's elite bomb disposal unit,"Collins,",2011,,"RAYMENT, SEAN",Collins
The bombing war,,2013,,"OVERY, RICHARD",Penguin Books Ltd
Britain's future navy,"Pen & Sword,",2012,,"CHILDS, NICK",Pen & Sword Maritime
Britain's war machine,"Penguin,",2012,,"EDGERTON, DAVID",
"British foreign policy and the ""Arab Spring"" : Second Report of Session 2012-13",London,2012,,,"TSO,"
British Generals in Blair's Wars,,2013,,"STRACHAN, HEW
BAILEY, JONATHAN
IRON, RICHARD",Ashgate Publishing Group
British social attitudes : the 26th report,"Sage,",2010,,"Park, Alison",
The British way in counter-insurgency 1945-1967,"OUP,",2011,,"FRENCH, DAVID",
Budget 2010 : building Britain's future,London,2010,,,"TSO,"
Budget 2010 : securing the recovery,London,2010,,,"TSO,"
Budget 2010 : securing the recovery,London,2010,,,"TSO,"
Budget 2011 : building Britain's future,London,2011,,,"TSO,"
Budget 2012:,London,2012,,,"TSO,"
Budget 2013,London,2013,,,"TSO,"
Building Asia's security,London,2010,,"CORTRIGHT, DAVID","Routledge,"
Building Asia's security,London,2010,,"Bisley, Nick","Routledge,"
Bulletpoint,,2010,,,
The business appointment rules Oral and written evidence...Tuesday 8 February 2011,London,2011,,,"TSO,"
Cabinet Manual : Eighth Report of Session 2010-11,London,2011,,,"TSO,"
Cabinet Manual : Government Interim Response to the Committe's Eighth Report of Session 2010-12,London,2011,,,"TSO,"
Cables from Kabul,"Harper,",2011,,"COWPER-COLES, SHERARD",
Can intervention work?,"W.W.Norton,",2011,,"Knaus, Gerard
STEWART, RORY",
Carrier strike: Ministry of Defence,London,2011,,,"TSO,"
Carrier Strike : Supplementary Report,,2011,,,
Carrier Strike: The 2012 reversion decision,,2013,,,
Carrier Strike : the 2012 reversion decision : eighteenth report of Session 2013-14,,2013,,,
Catastrophe: Europe goes to war 1914,,2013,,"HASTINGS, MAX",Harper collins publishers
The checklist manifesto: how to get things right,"Profile,",2010,,"Gawande, Atul",
Chiron Calling,,2011,,,Crest Publications
CISSP for Dummies,"Wiley,",2010,3rd ed.,"GREGORY, PETER H
Miller, Lawrence H",
Civil Aviation Act 2012,London,2012,,,"TSO,"
"Civil Service Compensation Scheme/Work of the Cabinet Office : Oral and written evidence, Tuesday 27 July 2010",London,2010,,,"TSO,"
Civil Wars,,2010,,,
The Civilian Service Medal (Afghanistan),London,2011,,,TSO
Climate conflict : how global warming threatens security and what to do about it,London,2010,,"Mazo, Jeffrey","Routledge,"
The Collaborative Organisation: a strategic guide to solving your internal business challenges using emerging social & collaborative tools,,2012,,"Morgan, Jacob",Mc Graw Hill
"Committee on Standards in Public Life: oral and written evidence, Thursday 4 February 2010",London,2010,,,"TSO,"
The Commonwealth Charter: Presented to Parliament by the Secretary of State for Foreign and Commonwealth Affairs... March 2013,"TSO,",2013,,,
Communicating statistics: Not just true but also fair; First Report of Session 2013-14,London,2013,,,"TSO,"
The Comprehensive Approach : the point of war is not just to win but to make a better peace: Seventh Report of Session 2009-10,London,2010,,,The Stationery Office
Consumer Insurance (Disclosure and Representations) Act 2012,London,2012,,,"TSO,"
"Contemporary conflict resolution: the prevention, management and transformation of deadly conflicts",Cambridge,2012,3 Rev ed,"MIALL, HUGH
WOODHOUSE, TOM
RAMSBOTHAM, OLIVER",Polity
CONTEST: the United Kingdom's strategy for countering terrorism,"TSO,",2011,,MINISTRY OF DEFENCE,
Contest : the United Kingdom's strategy for countering terrorism: annual report,London,2013,,,The Stationery Office
The contribution of ISTAR to operations : Eighth Report of Session 2009-10,London,2010,,,The Stationery Office
The contribution of ISTAR to operations: Government response to the Committee's Eighth Report of Session 2009-10: Second Special Report of Session 2010-11,London,2010,,,The Stationery Office
"Convention between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Faroes for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and on capital gains, with protocol: London, 20 June 2007",London,2010,,,TSO
"Convention between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Federal Democratic Republic of Ethiopia for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and on capital gains with protocol: London, 9 June 2011",London,2013,,,TSO
Convention between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the French Republic for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital Gains,London,2011,,,TSO
"Convention between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of Saudi Arabia for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital, with Protocol",London,2011,,,TSO
"Convention between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of the Netherlands for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital gains, with Protocol, London 26 September 2008...",London,2011,,,TSO
Convention between the United Kingdom and Northern Ireland and Barbados for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and on capital ,London,2013,,,TSO
Convention between the United Kingdom and Northern Ireland and the Principality of Liechtenstein for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and on capital ,London,2013,,,TSO
Convention between the United Kingdom of Great Britain and Northern Ireland and the Federal Republic of Germany for the avoidance of double charging of bank levies: London 7 December 2011,London,2013,,,TSO
Convention between the United Kingdom of Great Britain and Northern Ireland and the government of the People's Democratic Republic of Algeria on Extradition,London,2010,,,TSO
Convention between the United Kingdom of Great Britain and Northern Ireland and the government of the People's Democratic Republic of Algeria on judicial co-operation in civil and commercial matters,London,2010,,,TSO
Convention between the United Kingdom of Great Britain and Northern Ireland and the government of the People's Democratic Republic of Algeria on mutual legal assistance in criminal matters,London,2010,,,TSO
"Convention between the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Armenia for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital gains, with Protocol, London 13 July 2011...",London,2012,,,TSO
"Convention on Cluster Munitions, Dublin, 30 May 2008...",London,2011,,,TSO
"Convention on cluster munitions, Dublin, 30 May 2008",London,2010,,,TSO
"Convention on Cybercrime, Budapest 23 November 2001",London,2012,,,TSO
"Convention on Jurisdiction, Applicable Law, Recognition, Enforcement and Co-operation in Respect of Parental Responsibility and Measures for the Protection of Children",London,2012,,,TSO
"Convention on Mutual Administrative Assistance in Tax Matters, Strasbourg, 24 May 2007",London,2010,,,TSO
"Convention on social security between the government of the United Kingdom of Great Britain and Northern Ireland and the Kingdom of The Neherlands, The Hague, 21 December 2005",London,2012,,,TSO
"Convention on the European Forest Institute, Joensuu (Finland), 28 August 2003",London,2012,,,TSO
"Convention on the Rights of Persons with Disabilities, New York, 14 December 2006",London,2010,,,TSO
Convention on the United Kingdom of Great Britain and Northern Ireland and the Republic of Hungary for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital Gains with Protocol,London,2012,,,TSO
The cost-effective delivery of an armoured vehicle capability : fifty-ninth Report of Session 2010-12,London,2011,,,"TSO,"
Council of Europe Convention on action against trafficking in human beings.,,2012,,,
Counterinsurgency: exposing the myths of the new way of war,,2013,,"PORCH, DOUGLAS",Cambridge UP
Counterrorism and open source intelligence,,2011,,,
"Crime and Courts Act 2013, Ch. 22",London,2013,,,"TSO,"
Cruel Britannia : a secret history of torture,"Portobello Books,",2012,,"Cobain, Ian",Portobello
Cyberspace and the state : towards a strategy for cyber-power,London,2011,,"BETZ, DAVID J
STEVENS, TIM","Routledge,"
Days of God : the Revolution in Iran and its consequences,"J. Murray,",2013,,"BUCHAN, JAMES",John Murray
Dead men risen the Welsh guards and the real story of Britain's war in Afghanistan,"Quercus,",2011,,"HARNDEN, TOBY",
Dealing with difficult people,London,2010,rev'd,"LILLEY, ROY",Kogan Page
Death of a soldier: a mother's story,,2012,,,
"Declaration by certain European governments on the launchers exploitation phase of Ariane, Vega, and Soyuz from the Guiana Space Centre: with final document Paris, 30 March 2007",London,2011,,,TSO
Defamation Act 2013,London,2013,,,"TSO,"
"Defence Acquisition 2012-13 : Seventh Report of Session 2012-13 : Vol.1: Report, together with formal minutes, oral and witten evidence.",London,2012,,,The Stationery Office
Defence Acquisition: Government Response to the Committee's Seventh Report of Session 2012-13,,2013,,,
Defence Acquisition : government response to the Committee's seventh report of session 2012-13,London,2013,,,The Stationery Office
Defence Acquisition: Government Response to the Committee's Seventh Report of Session 2012-13,,2013,,,
Defence Acquisition : government response to the Committee's seventh report of session 2012-13,London,2013,,,The Stationery Office
Defence and cyber-security : Government response to the Committee's seventh report of session 2012-13: sixth special report of session 2012-13,London,2013,,,The Stationery Office
Defence Equipment 2010: Further Government Response to the Committee's Sixth Report of Session 2009-10,London,2011,,,The Stationery Office
Defence Equipment 2010 Government response to the Committee's sixth report of session 2009-10,London,2010,,,The Stationery Office
Defence Equipment 2010: Sixth Report of Session 2009-10,London,2010,,,The Stationery Office
A defence estate of the right size to meet operational needs,,2010,,,
Defence implications of possible Scottish independence: sixth report of session 2013-14: volume 1,London,2013,,,The Stationery Office
Defence Reform : an independent report into the structure and management of the Ministry of Defence,"MOD,",2011,,"Levene, Peter",
"Defence Science and Technology Laboratory : annual report and accounts, 2009/2010",London,2010,,,The Stationery Office
"Defence Science and Technology Laboratory : annual report and accounts, 2010/2011",London,2011,,,The Stationery Office
"Defence Science and Technology Laboratory : annual report and accounts, 2011/2012",London,2012,,,The Stationery Office
"Defence Science and Technology Laboratory : annual report and accounts, 2012/2013",London,2013,,,The Stationery Office
"Defence Storage and Distribution Agency : annual report and accounts, 2009-10",London,2010,,,The Stationery Office
The Defence strategy for acquisition reform,"MOD,",2010,,,
Defence Studies,,2010,,,Frank Cass
"Defence Support Group : annual report and accounts, 2009-2010",London,2010,,,The Stationery Office
Defence Support Group annual report and accounts 2010/2011,London,2011,,,The Stationery Office
Defence Support Group annual report and accounts 2011/2012,London,2012,,,The Stationery Office
Defence Support Group annual report and accounts 2011/2012,London,2012,,,The Stationery Office
Defence Support Group annual report and accounts 2012/2013,London,2013,,,The Stationery Office
Defence Vetting Agency : annual report and accounts 2009-2010,London,2011,,,The Stationery Office
Defence Vetting Agency : annual report and accounts 2010-2011,London,2011,,,The Stationery Office
Defending the indefensible : a report by the Parliamentary Ombudsman on an investigation of a complaint about the Ministry of Defence and the Service Personnel & Veterans Agency: Seventh report of the Parliamentary Commissioner for Administration Session 2010-12.,London,2011,,,"TSO,"
"Defra's response to the Omdudsman's report on the Single Payment Scheme: Oral and written evidence, Thurs 28 January 2010",London,2010,,,"TSO,"
"Departmental Business Plans : Oral evidence : Rt Hon Oliver Letwin MP, Minister of State, Cabinet Office.",London,2011,,,"TSO,"
Deterrence during disarmament: deep nuclear reductions and international security,London,2011,,"ACTON, JAMES M","Routledge,"
Developing high quality data models,"Morgan Kaufmann,",2011,,"West, Matthew",
Developing threats: Electro-Magnetic Pulses (EMP); Government Response to the Committee's Tenth Report of Session 2010-12 : Twelfth Special Report of Session 2010-12,London,2012,,,The Stationery Office
Developing threats: Electro-Magnetic Pulses; Tenth Report of Session 2010-12,London,2012,,,The Stationery Office
The development of British defence policy,"Ashgate,",2010,,"BROWN, DAVID",
"Developments in the European Union : oral and written evidence, Wednesday 10 December 2009",London,2010,,,"TSO,"
Developments in UK Foreign Policy: Oral and written evidence,London,2011,,,The Stationery Office
Developments in UK foreign policy: oral and written evidence,London,2011,,,"TSO,"
"Developments in UK Foreign Policy : Oral and written evidence,  Thursday 8 March 2012",London,2012,,,"TSO,"
"Developments in UK Foreign Policy : Oral and written evidence,  Wednesday 7 September 2011",London,2011,,,"TSO,"
Dining with Al-Qaeda : three decades exploring the many worlds of the Middle East,"Thomas Dunne,",2010,,"POPE, HUGH",
Disabled Persons' Parking Badges Act 2013,London,2013,,,"TSO,"
Disabled Persons' Parking Badges Act 2013,London,2013,,,"TSO,"
