Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,07/04/2010,REV GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,NORTHAMPTONSHIRE COUNTY COUNCIL,2055,162500
Communities and Local Government,Homes and Communities Agency,07/04/2010,REV GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,SQW LTD,2054,7496.4
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,LANCASHIRE COUNTY COUNCIL,2056,87500
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,WARRINGTON BOROUGH COUNCIL,2058,82431
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,STAFFORDSHIRE COUNTY COUNCIL,2053,281583
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,BELLWAY PLC,40467,22642
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,40465,1500
Communities and Local Government,Homes and Communities Agency,07/04/2010,OCCUPIED RATES,SOUTH WEST,CORNWALL COUNCIL,286806,-14205
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,CREST NICHOLSON,40468,26992
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,40466,1500
Communities and Local Government,Homes and Communities Agency,07/04/2010,EQUITY,YORKSHIRE & THE HUMBER,GATEWAY PLAZA LTD - HCA ACCOUNT,286765,484322.5
Communities and Local Government,Homes and Communities Agency,08/04/2010,GAS,EAST MIDLANDS,BRITISH GAS BUSINESS,283678,466.65
Communities and Local Government,Homes and Communities Agency,08/04/2010,PROPERTY,EAST MIDLANDS,LEICESTERSHIRE PARTNERSHIP NHS TRUST,285469,1200
Communities and Local Government,Homes and Communities Agency,08/04/2010,MAIN CONTRACT 1,EAST MIDLANDS,FIRST GROUP,285090,3600
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISC PROFESSIONAL FEES,EAST MIDLANDS,GVA GRIMLEY,284432,5066.56
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,GVA GRIMLEY,285065,5625
Communities and Local Government,Homes and Communities Agency,08/04/2010,OTHER PROFESSIONAL FEES,EAST MIDLANDS,HAMMONDS,284398,1297.1
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST MIDLANDS,HERRINGTON& CARMICHAEL,284198,11.25
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST MIDLANDS,HERRINGTON& CARMICHAEL,284198,4900
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISCELLANEOUS,EAST MIDLANDS,HUMPHRIES DEMOLITION LTD,285470,1497
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES-HEALTH & SAFETY,EAST MIDLANDS,JACOBS ENGINEERING UK LTD,285835,611.32
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES-HEALTH & SAFETY,EAST MIDLANDS,JACOBS ENGINEERING UK LTD,285372,742.92
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES-HEALTH & SAFETY,EAST MIDLANDS,JACOBS ENGINEERING UK LTD,285837,1329.66
Communities and Local Government,Homes and Communities Agency,08/04/2010,BUILDINGS-VACANT RATES,EAST MIDLANDS,NORTHAMPTON BOROUGH COUNCIL,285384,15762.4
Communities and Local Government,Homes and Communities Agency,08/04/2010,BUILDINGS-VACANT RATES,EAST MIDLANDS,NORTHAMPTON BOROUGH COUNCIL,282407,50532.47
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAR LEASING - HIRE CHARGES,EAST MIDLANDS,LEX AUTOLEASE LTD,283600,1822.74
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAR LEASING - HIRE CHARGES,EAST MIDLANDS,LEX AUTOLEASE LTD,283600,2297.82
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAR LEASING - HIRE CHARGES,EAST MIDLANDS,ING CAR LEASE UK LTD,283269,1574.76
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAR LEASING - HIRE CHARGES,EAST MIDLANDS,ING CAR LEASE UK LTD,283269,2023.95
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAR LEASING - HIRE CHARGES,EAST MIDLANDS,LEX AUTOLEASE LTD,283600,1892.82
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAR LEASING - HIRE CHARGES,EAST MIDLANDS,LEX AUTOLEASE LTD,283600,2569.14
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAP GRNTS TO LOCAL AUTHORITIES,EAST OF ENGLAND,BASILDON DISTRICT COUNCIL,286296,147000
Communities and Local Government,Homes and Communities Agency,08/04/2010,REV GRNTS PUB SECTOR EXCL L A,EAST OF ENGLAND,1ST EAST,274392,37500
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES-PROPERTY SERVICES,EAST OF ENGLAND,DTZ DEBENHAM TIE LEUNG,286279,6392.05
Communities and Local Government,Homes and Communities Agency,08/04/2010,PROPERTY,EAST OF ENGLAND,DTZ DEBENHAM TIE LEUNG,285467,671.33
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,HEWITSONS SOLICITORS,274528,2470.6
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,HEWITSONS SOLICITORS,274529,3797.8
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,285464,1710.72
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,285464,6486.9
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,285463,8197.62
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,PINSENT MASONS,233487,7075.71
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES-PROPERTY SERVICES,EAST OF ENGLAND,TURNER & TOWNSEND,286277,5766.45
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,EAST OF ENGLAND,THE ONE GROUP,285284,445.3
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,EAST OF ENGLAND,THE ONE GROUP,285286,463.75
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,EAST OF ENGLAND,THE ONE GROUP,285862,483.63
Communities and Local Government,Homes and Communities Agency,08/04/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORWELL HOUSING ASSOCIATION LIMITED,40473,40000
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,HEWITSONS SOLICITORS,286278,8
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,HEWITSONS SOLICITORS,286278,1878
Communities and Local Government,Homes and Communities Agency,08/04/2010,BUILDINGS-VACANT RATES,EAST OF ENGLAND,CHELMSFORD BOROUGH COUNCIL,286938,1303.28
Communities and Local Government,Homes and Communities Agency,08/04/2010,BUILDINGS-VACANT RATES,EAST OF ENGLAND,CHELMSFORD BOROUGH COUNCIL,286939,1303.28
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,EVERSHEDS LLP,271792,835.2
Communities and Local Government,Homes and Communities Agency,08/04/2010,PANEL FEES PROPERTY SERVICES,EAST OF ENGLAND,GVA GRIMLEY,280207,2720
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,286621,288.8
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,286621,296.93
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,EAST OF ENGLAND,LEGION GROUP PLC,286589,1163.61
Communities and Local Government,Homes and Communities Agency,08/04/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,AECOM LIMITED,286271,4059
Communities and Local Government,Homes and Communities Agency,08/04/2010,LITERATURE/BROCHURES ETC,EAST OF ENGLAND,FEVER,284488,765.96
Communities and Local Government,Homes and Communities Agency,08/04/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,WELWYN HATFIELD COUNCIL,285377,1627.06
Communities and Local Government,Homes and Communities Agency,08/04/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,WELWYN HATFIELD COUNCIL,285374,2137.4
Communities and Local Government,Homes and Communities Agency,08/04/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,TURNER & TOWNSEND,285373,1650
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,BERWIN LEIGHTON PAISNER,286643,-1107.33
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,BERWIN LEIGHTON PAISNER,286642,-441
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,BERWIN LEIGHTON PAISNER,278068,1236.17
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EAST OF ENGLAND,BERWIN LEIGHTON PAISNER,272918,2099.76
Communities and Local Government,Homes and Communities Agency,08/04/2010,SITE INVESTIGATION,EXECUTIVE OFFICE,WIGAN MBC,286672,6500
Communities and Local Government,Homes and Communities Agency,08/04/2010,LEGAL FEES,EXECUTIVE OFFICE,BERWIN LEIGHTON PAISNER,286151,3915.3
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISC PROFESSIONAL FEES,EXECUTIVE OFFICE,DTZ DEBENHAM TIE LEUNG,286569,5487.1
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISC PROFESSIONAL FEES,EXECUTIVE OFFICE,DTZ PIEDA,286145,1398.54
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISC PROFESSIONAL FEES,EXECUTIVE OFFICE,DTZ PIEDA,286147,7616.85
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISC PROFESSIONAL FEES,EXECUTIVE OFFICE,EC HARRIS & PARTNERS,286079,30000
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,MORGAN HUNT PUBLIC SECTOR LIMITED,285869,615
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,MORGAN HUNT PUBLIC SECTOR LIMITED,286111,1025
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,MORGAN HUNT PUBLIC SECTOR LIMITED,285871,1480
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,MORGAN HUNT PUBLIC SECTOR LIMITED,286110,1480
Communities and Local Government,Homes and Communities Agency,08/04/2010,WEBSITE MARKETING & DEV,FINANCE & CORPORATE SERVICES,3FOX INTERNATIONAL LIMITED,285165,1000
Communities and Local Government,Homes and Communities Agency,08/04/2010,SPONSORSHIP & CONTRIBUTIONS,FINANCE & CORPORATE SERVICES,PIPERS PROJECTS LTD,286235,8000
Communities and Local Government,Homes and Communities Agency,08/04/2010,ADVERTISING,FINANCE & CORPORATE SERVICES,NCJ MEDIA,286156,2500
Communities and Local Government,Homes and Communities Agency,08/04/2010,ADVERTISING,FINANCE & CORPORATE SERVICES,NCJ MEDIA,286157,2500
Communities and Local Government,Homes and Communities Agency,08/04/2010,ADVERTISING,FINANCE & CORPORATE SERVICES,NCJ MEDIA,286158,4000
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,1472.58
Communities and Local Government,Homes and Communities Agency,08/04/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,220.59
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,IN DEPTH SERVICES (CLEANING) LTD,285315,2986.1
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,WARRINGTON BOROUGH COUNCIL,282294,197563.4
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,ASHFORD BOROUGH COUNCIL,283972,29373.28
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,319.09
Communities and Local Government,Homes and Communities Agency,08/04/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,835.93
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,532.46
Communities and Local Government,Homes and Communities Agency,08/04/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,110.96
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,1477.87
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,391.31
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMBRIDGE CITY COUNCIL,281617,28359
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,285313,835.25
Communities and Local Government,Homes and Communities Agency,08/04/2010,RENT,FINANCE & CORPORATE SERVICES,NB REAL ESTATE,282386,9490.89
Communities and Local Government,Homes and Communities Agency,08/04/2010,DATA AND VOICE NETWORKS,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,30.48
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,2054.95
Communities and Local Government,Homes and Communities Agency,08/04/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,534.38
Communities and Local Government,Homes and Communities Agency,08/04/2010,OFFICE RELOCATION COSTS,FINANCE & CORPORATE SERVICES,GARDNER LTD,285349,2100
Communities and Local Government,Homes and Communities Agency,08/04/2010,OFFICE RELOCATION COSTS,FINANCE & CORPORATE SERVICES,GARDNER LTD,285349,3551
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,HYGIENE SYSTEMS LTD,285357,436.23
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,285320,4302
Communities and Local Government,Homes and Communities Agency,08/04/2010,MISC PROFESSIONAL FEES,FINANCE & CORPORATE SERVICES,LAMBERT SMITH HAMPTON,285261,2033.33
Communities and Local Government,Homes and Communities Agency,08/04/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS UK LTD,285354,588.1
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,MILTON KEYNES COUNCIL,286525,3954.08
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,MILTON KEYNES COUNCIL,281630,146901.42
Communities and Local Government,Homes and Communities Agency,08/04/2010,OFFICE RELOCATION COSTS,FINANCE & CORPORATE SERVICES,THE MOVING NETWORK LTD,285329,520
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,344.36
Communities and Local Government,Homes and Communities Agency,08/04/2010,SERVICE CHARGES,FINANCE & CORPORATE SERVICES,NORTH NORTHANTS DEV. CO,285826,5508.05
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,588.44
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CROYDON COUNCIL,283284,72478
Communities and Local Government,Homes and Communities Agency,08/04/2010,RENT,FINANCE & CORPORATE SERVICES,MAPELEY GAMMA ACQUISITION CO LTD,285254,500
Communities and Local Government,Homes and Communities Agency,08/04/2010,RENT,FINANCE & CORPORATE SERVICES,MAPELEY GAMMA ACQUISITION CO LTD,285251,49000
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,639.18
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,EXETER CITY COUNCIL,282043,31246.08
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,1197.73
Communities and Local Government,Homes and Communities Agency,08/04/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,211.61
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,GATESHEAD COUNCIL,281461,4554
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,GATESHEAD COUNCIL,281466,11695.5
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,GATESHEAD COUNCIL,281458,41814
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,285327,2774.76
Communities and Local Government,Homes and Communities Agency,08/04/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,285834,584.02
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,1160.72
Communities and Local Government,Homes and Communities Agency,08/04/2010,RENT,FINANCE & CORPORATE SERVICES,LONDON DEVELOPMENT AGENCY,286602,170152
Communities and Local Government,Homes and Communities Agency,08/04/2010,SERVICE CHARGES,FINANCE & CORPORATE SERVICES,LONDON DEVELOPMENT AGENCY,286602,354.64
Communities and Local Government,Homes and Communities Agency,08/04/2010,EXTERNAL ROOM BOOKINGS,FINANCE & CORPORATE SERVICES,WALLACESPACE LIMITED,286776,876
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,455.59
Communities and Local Government,Homes and Communities Agency,08/04/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,104.97
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,IN DEPTH SERVICES (CLEANING) LTD,285318,634.66
Communities and Local Government,Homes and Communities Agency,08/04/2010,POSTAGE/COURIERS,FINANCE & CORPORATE SERVICES,ROYAL MAIL,285831,500
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,TELFORD & WREKIN COUNCIL,283314,10468.23
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,TELFORD & WREKIN COUNCIL,283200,28757.61
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,685.5
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,165.18
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,LEICESTER CITY COUNCIL,280014,3312
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,LEICESTER CITY COUNCIL,280007,18377.99
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,254.28
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,1507.18
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CITY OF WESTMINSTER,285957,5200
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CITY OF WESTMINSTER,285953,303500.61
Communities and Local Government,Homes and Communities Agency,08/04/2010,LIGHTING & HEATING,FINANCE & CORPORATE SERVICES,E.ON,285356,3903.35
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,285322,2964.13
Communities and Local Government,Homes and Communities Agency,08/04/2010,SECURITY,FINANCE & CORPORATE SERVICES,KNIGHT FIRE & SAFETY,285827,748
Communities and Local Government,Homes and Communities Agency,08/04/2010,MULTI FUNCTION COPIERS,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,285840,2431.92
Communities and Local Government,Homes and Communities Agency,08/04/2010,MULTI FUNCTION COPIERS,FINANCE & CORPORATE SERVICES,XEROX (UK) LTD,285840,3450.12
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,339.34
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,ARTEMIS RECRUITMENT,286964,570.8
Communities and Local Government,Homes and Communities Agency,08/04/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,ARTEMIS RECRUITMENT,286963,577.93
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,1117.29
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,281960,1242
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,281963,1242
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,281968,1242
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,281969,1242
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,281971,1242
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,282539,1242
Communities and Local Government,Homes and Communities Agency,08/04/2010,RATES,FINANCE & CORPORATE SERVICES,CAMDEN NNDR,281959,127364.38
Communities and Local Government,Homes and Communities Agency,08/04/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,285309,1885.7
Communities and Local Government,Homes and Communities Agency,08/04/2010,INSURANCES,FINANCE & CORPORATE SERVICES,LAZARI INVESTMENTS LIMITED,276881,4982.32
Communities and Local Government,Homes and Communities Agency,08/04/2010,SERVICE CHARGES,FINANCE & CORPORATE SERVICES,LAZARI INVESTMENTS LIMITED,276882,13129.5
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,216.75
Communities and Local Government,Homes and Communities Agency,08/04/2010,TELEPHONES,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,285488,729.51
