Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,STRUCTURE,CAPITAL PROGRAM,J TOMLINSON LTD,"98,902.11",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,AAH HOSPITAL SERVICE,"27,047.04",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"36,467.76",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"33,611.33",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,THE MEDICINES COMPANY UK LTD,"35,340.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,"35,370.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"84,727.50",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"37,326.84",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"29,332.80",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,LEGAL FEES - EMPLOYMENT,EMPLOYEE RELATIONS,BEACHCROFT LLP,"27,903.72",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL CONTRACTS,EXTERNAL CONTRACTS PAN TRUST,EAST MIDLANDS AMBULANCE SERVICE NHS TRUS,"167,448.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,COST OF FP 10 PRESCRIPTIONS,DIAGNOSTICS,BUSINESS SERVICES AUTHORITY,"26,443.25",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,LEGAL FEES - EMPLOYMENT,EMPLOYEE RELATIONS,BEACHCROFT LLP,"32,081.49",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"227,607.56",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL LAUNDRY CONTRACT,SITE ESTATES & FACILITIES BOSTON,BERENDSEN UK LTD (SUNLIGHT),"34,332.22",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"122,716.38",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"84,949.81",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"208,194.16",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"798,614.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES BOSTON,COFELY LTD,"32,635.74",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,ENGIN AND MAINT EXT CONTRACTS,DIRECTOR OF ESTATES & FACILITIES,MUSSON JOINERY LTD,"51,185.93",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"38,925.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL CONTRACTS,RESOURCING & WORKFORCE INFO,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,067.41",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"106,833.33",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,MINDRAY (UK) LTD,"45,726.60",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,"360,808.40",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,OPTIMA MEDICAL LTD,"31,207.50",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"33,890.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,ENGINEERING SERVICES,CAPITAL PROGRAM,MEDAES -DO NOT USE - NAME CHANGE,"70,559.53",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"237,595.58",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,SERVICES FROM NON-NHS BODIES,DECONTAMINATION,SYNERGY HEALTH (UK) LTD,"238,375.37",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,LYNTON TRAILERS (UK) LTD,"216,664.80",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,MSSE CONSUMABLES,DIAGNOSTICS,DIGITAL HEALTHCARE LTD,"28,062.08",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL CONTRACTS,EXTERNAL CONTRACTS PAN TRUST,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"131,564.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES LINCOLN,DALKIA UTILITIES SERVICES PLC,"50,478.71",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,ELECTRICITY,SITE ESTATES & FACILITIES LINCOLN,EDF ENERGY 1 LIMITED,"27,606.57",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,ELECTRICITY,SITE ESTATES & FACILITIES BOSTON,EDF ENERGY 1 LIMITED,"49,709.21",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,ELECTRICITY,SITE ESTATES & FACILITIES GRANTHAM,EDF ENERGY 1 LIMITED,"30,515.06",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"38,926.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,EXTERNAL CONTRACTS,RESOURCING & WORKFORCE INFO,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,066.40",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"2,395,842.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"31,188.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2014,BIKE INITIATIVE,PAN TRUST,HALFORDS LTD,"48,808.33",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/03/2014,EXTERNAL CONTRACTS,EXTERNAL CONTRACTS PAN TRUST,EAST MIDLANDS AMBULANCE SERVICE NHS TRUS,"33,490.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/03/2014,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"93,362.81",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/03/2014,CLINICAL SERVICE CONTRACT,THERAPIES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"64,121.98",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"34,365.36",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,849.64",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"37,438.44",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,GILEAD SCIENCES LTD,"31,644.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"44,577.50",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"75,434.40",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"39,102.24",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,JANSSEN-CILAG LTD,"31,768.44",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,ELI LILLY AND COMPANY LTD.,"38,400.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"41,470.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"37,326.84",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"32,175.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"56,380.32",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,TELEPHONES,IMT,BT PLC,"30,671.68",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,MAINTENANCE CONTRACTS AND MATS,DIAGNOSTICS,NHS SUPPLY CHAIN (MAIDSTONE),"69,027.86",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,COMPUTER PURCHASE ACCESSORIES,IMT,BT GLOBAL SERVICES,"76,597.56",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,TOSHIBA MEDICAL SYSTEMS,"212,280.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,WASSENBURG LTD,"119,787.29",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,WASSENBURG LTD,"61,104.30",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"122,716.38",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"54,240.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,"38,405.61",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,LLOYDS PHARMACY,DIAGNOSTICS,LLOYDS PHARMACY,"315,670.95",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,COURSE FEES,DIAGNOSTICS,DE SMIT MEDICAL SYSTEMS LTD,"2,040.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,DE SMIT MEDICAL SYSTEMS LTD,"40,755.60",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT REPAIRS _ MATERIALS,DIAGNOSTICS,DE SMIT MEDICAL SYSTEMS LTD,"1,200.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,HIRE OF CLINICAL EQUIPMENT,SURGERY BOSTON,ARJO HUNTLEIGH,"79,794.37",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,RENTS,CORPORATE ESTATES & FACILITIES,PROGRESS CARE HOUSING ASSOCIATION LTD,"78,211.16",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,COMPUTER SOFTWARE,ICT PROGRAMMES,SCC UK,"1,063,543.20",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,CONSULTANCY FEES,IMT,SCC UK,"41,770.80",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,GAS,SITE ESTATES & FACILITIES GRANTHAM,CORONA ENERGY,"31,955.98",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"296,489.74",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,PHOTOCOPIER MACHINES,IMT,THE DANWOOD GROUP LTD,"91,985.03",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"40,862.13",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"27,535.36",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,NHS SUPPLY CHAIN (DERBY),"320,618.14",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,HIRE OF CLINICAL EQUIPMENT,SURGERY BOSTON,ARJO HUNTLEIGH,"86,889.17",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,HIRE OF CLINICAL EQUIPMENT,SURGERY BOSTON,ARJO HUNTLEIGH,"86,993.93",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"27,253.68",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,ACCOMMODATION,CORPORATE ESTATES & FACILITIES,ST BARNABAS HOSPICE,"64,800.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,RICHARD WOLF U.K. LTD,"25,309.96",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"48,620.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,PHARMACY,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"25,434.48",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"226,142.57",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"204,299.03",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES LINCOLN,DALKIA UTILITIES SERVICES PLC,"185,733.30",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES BOSTON,COFELY LTD,"127,263.73",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,COMPUTER HARDWARE,ICT PROGRAMMES,DELL COMPUTER CORPORATION,"26,209.56",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/03/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"180,523.99",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES BOSTON,COFELY LTD,"148,404.00",Mar-14
