X (Latitude),Y (Longitude),Name,Location,Transcription,Link to Image
-4.14952,50.369926,"Green, William Friese (1855 - 1921) - photographer","Two Trees Pub, Union Street. Plaque now relocated inside pub by owner.",WILLIAM FRIESE GREENE / 1855 - 1921 / EARLY PIONEER / OF CINEMATOGRAPHY / OPENED A PHOTOGRAPHIC / SHOP AND STUDIO ON THIS SITE / IN 1880. / ALTHOUGH NOW RECOGNISED / AS THE 'FATHER OF FILM' / HE DIED IN / POVERTY.,https://lh3.googleusercontent.com/proxy/A-KYkYtFjE13foR8eRMxvYyiUySV7theBq2cYoUeyamiQzlGABa-J633BHS30LH2EzCv1TJduwnlckOlvF5dwMfyqQBVXIs7nQczva6Ayfo98A
-4.136021,50.371869,"Hawker, Rev. R. S. (1804-1875) - parson and poet","Charles Church, Charles Cross roundabout. On wall of steps down to Church.","ROBERT STEPHEN HAWKER 1804 - 1875 ECCENTRIC PARSON POET OF MORWENSTOW WAS BORN HERE, ORIGINATOR OF THE HARVEST FESTIVAL SERVICE AND AUTHOR OF THE LINES OF THE FAMOUS CORNISH SONG ..........""AND SHALL TRELAWNEY DIE THERE'S 70,000 CORNISHMEN WILL KNOW THE REASON WHY"".",https://lh3.googleusercontent.com/proxy/3tAt7mVjolwV4TH7vakF4spwnBO2jEAoMv_a6xmeaU0ocZ5DunzWYEoRzjNLy-GlJDZ6Or8tVPByks33Lgmb-mOD76sUOFIIMbWKepYJuAgVwQ
-4.138345,50.367008,Hoe Gate (site of),"Hoegate Street. At the junction of Citadel road, underneath stree name sign on wall.",Here / Formerly Stood / The / HOE GATE / of the early 15th century / Walled Town of / PLYMOUTH / Rebuilt 1657 / Sold 1695 / Removed 1863.,https://lh4.googleusercontent.com/proxy/aoizyq7nrAuQAcZlJmCidG6Q6jSKQXPi2vSoIluiIXJ-LOCO-zyf3emF5mL4qpzQgIzmrjxkY5FjnNXUqggr7heZNCSZhNTtDWV6AfQ3nggHbg
-4.13757,50.367741,Island House & The Pilgrim Fathers,"Island House, Southside Street. To right of window.",ISLAND HOUSE / REPUTED TO BE ONE OF THE HOUSES. / WHERE A GROUP OF ENGLISH PURITANS / SINCE KNOWN AS THE PILGRIM FATHERS / WERE ENTERTAINED ASHORE PRIOR TO / THEIR FINAL DEPARTURE FOR AMERICA / ON THE 6TH SEPTEMBER 1620 IN THE MAYFLOWER.,https://lh6.googleusercontent.com/proxy/CcNunQbloWtcHuFKYodkLnfqpQzuEfFb1X6b_-MzJjhSISLp1TiVvy0DBDWkEiQ4CNzVE88fSIulA63VmcJuQwr1zsAVNL3yDnujIn3akyEwyw
-4.119469,50.357387,Lawrence of Arabia (1883-1935),St. John's Road. On wall in front of no. 33,"LAWRENCE OF ARABIA / 1888-1935 / ON HIS RETURN FROM INDIA IN 1929, / T.E.LAWRENCE UNDER THE ASSUMED NAME / OF SHAW WAS POSTED TO A FLYING BOAT / SQUADRON AT R.A.F MOUNT BATTEN. / HE REMAINED IN THE MARINE CRAFT / SECTION UNTIL HIS DISCHARGE / IN FEBRUARY 1935. //",https://lh4.googleusercontent.com/proxy/3Ah1TW5HffC85OmEUD_OEf_wkk0lj8m44FUgzwzNqEFcfbDNCRglBvDTlXeX-Z3bBiOKmi_v8slJOa5U3A0PNseYi-TSZiYi15pQlxHkm5Qm-A
-4.048676,50.383985,Plympton Castle,"Plympton Castle. At base of motte, near path up to Castle, above a bench. To west side of castle.",PLYMPTON CASTLE./ A NORMAN MOTTE AND BAILEY / CASTLE. BUILT BEFORE / 1135 A.D. BY THE EARLS / OF DEVON TO DEFEND / THEIR MANOR OF / PLYMPTON //,https://lh3.googleusercontent.com/proxy/aLtnH6ytOpJJkKQVvnw05OhWg0QRPSP9oYtdUGB_ECI1nG6Z8R41Ik2CID6KR268bnBvURoDUuW_yK_gIihdK8TGd0Kr1CCywKeSXxgSGuTsUQ
-4.139963,50.369527,Prysten House (historic building),"Prysten House, Finewell Street. Between Prysten House and St. Andrew's church, on the side of the building above small window.","THIS / 15TH CENTY BUILDING / COMMONLY KNOWN AS / ""THE ABBEY"" / WAS ORIGINALLY DESIGNED / AND USED AS / THE ""PRYSTEN"" / OR / PRIESTS HOUSE / PERTAINING TO / ST ANDREW'S / CHURCH. //",https://lh4.googleusercontent.com/proxy/rt-0JaJI-iR9nFgiF0Bbtertz2GDY7mFornlBWFLBLOHpEpcQ9_NsDDgm7vfH0hU4x7AreJW2oeAWD8lKjxiKkBRq--1x7yvJ5qyPTXdlJBVRA
-4.159476,50.370956,Royal Naval Hospital (historic building),"Clarence Place, Stonehouse. Just inside gates, on the left before security office.",ROYAL NAVAL HOSPITAL / CONSTRUCTED BETWEEN 1758 & 1762. / THE DESIGN WHICH INCORPORATED / ELEVEN SEPARATE WARD BLOCKS CONNECTED / BY A COLONNADE AROUND A CENTRAL SQUARE / WAS FAR IN ADVANCE OF ITS TIME AND WAS / WIDELY REGARDED AS THE FINEST / IN EUROPE. / ARCHITECT / ALEXANDER ROVEHEAD.,https://lh3.googleusercontent.com/proxy/KyhfAAsGGybzBCaNwhEAWNRWAjKWoWYUi_j1yLj33j7KlXpEQT9YGFfmrGASvOqt4TFcTGihrWp7n8VWQ_KscyURui99wjlipFBYneHlSt8StA
-4.162821,50.362615,Royal William Victualling Yard (historic building) (historic building) (plaque location on map to be checked),"Far end of Cremyll Street. Entrance to yard, right hand side.",ROYAL WILLIAM / VICTULLING YARD / COMMISSIONED TO BE BUILT IN 1824 / IN THE REIGN OF KING GEORGE IV / WITH THE SOLE PURPOSE OF SUPPLYING / VICTUALS TO HIS MAJESTY'S NAVY. / COMPLETED IN THE REIGN OF KING WILLIAM IV / FROM WHOM THE YARD TOOK ITS NAME ON / 3RD DECEMBER 1833 / ARCHITECTS: SIR JOHN RENNIE / AND MR. PHILIP RICHARDS.,https://lh3.googleusercontent.com/proxy/KFTDa6oiOTpOcjgqCbX1SaC8rl0fxLV4acE39vUtXEvEBN2cterkSiBpPpGT2bIpGS6qB28frTIQ6OFPMG5sMPS6M0otGy3crc1U5nV9NWud0w
-4.15567,50.386876,Scott of the Antarctic (1868 - 1912) - Explorer,,,https://lh5.googleusercontent.com/proxy/Xz75W7EsG-cTB5HxpPghHikSiG2wK-xBUkeB11SEGy_lZkbkT-lnh9jbKL_p2XA8lbfwIKwdPjM53nal2CU7kaqTPUSyAsf2U5ewBILYHhPzIw
-4.109538,50.36107,"Selkirk, Alexander  (1678 - 1721) - Robinson Crusoe'","Minards House, Marine Road. On house, on left hand side of front door.","ALEXANDER SELKIRK / 1878 - 1721 / MAROONED ON JUAN FERNANDEZ ISLAND / IN 1704; HIS STORY BECAME THE BASIS OF / DANIEL DEFOE'S BOOK ""ROBINSON CRUSOE"". / STAYED IN ORESTON FROM OCTOBER 1720, / MARRYING FRANCES CANDISH / ON 12TH DECEMBER. / HE DEPARTED ABOARD / H.M.S. WEYMOUTH / ON 20TH DECEMBER / 1720.",https://lh3.googleusercontent.com/proxy/xCzcrO8oWQSLN3OJTQvv-X8gRwTLxbTVTlmZ0RlUKj19wlCWrIErcOc3Jc_IK-e_sWjskZW7SXD0GEKxHAvehXFwsFA2PA10lBAKSHi-6cvPvg
-4.137388,50.369691,"Drake, Sir Francis - site of house","Looe Street.At top of road, on corner shop above door.","SIR / FRANCIS DRAKE, / IN THE YEAR / OF THE / SPANISH ARMADA / OWNED A HOUSE AND / GROUNDS UPON THIS / SITE, AND PROBABLY / HERE / RESIDED. //",https://lh3.googleusercontent.com/proxy/qEVYXvQfpYiAZ7J2M0IET3paCNJlVvUyV9uYa3q12Wi95JIYnjmp0zsK2_P1Hv1bRrvcvMTDgNec2rEosQRBLKulWchRQ69CbenNMK6QbPtlVA
-4.153605,50.374623,St. Dunstans Abbey School - designed by William Butterfield,North Road West.High on wall on RHF side of school.,ST DUNSTANS ABBEY SCHOOL / THESE BUILDINGS WERE / DESIGNED IN 1850 / BY WILLIAM BUTTERFIELD / ARCHITECT 1814 - 1900 / A LEADING EXPONENT / OF GOTHIC - REVIVAL / ARCHITECTURE.,https://lh4.googleusercontent.com/proxy/-6ygXpNHLpMycSxySA933OvjHhrqwRJb8Wos2fiTfz5-6rNjhRPT5F9J2xa0z5PBfGbDzEHFQ03GldVP-VkCuF1lcRJFLRKY8Nhvd0lKGvW1hA
-4.138949,50.375429,"Tregelles, Samuel Prideaux (1813 - 1875)","University of Plymouth.On the Library building, to the right, around the corner, next to the red fire exit door.",SAMUEL PRIDEAUX / TREGELLES / L.L.D / BIBLICAL SCHOLAR / 1813 TO 1875 / LIVED I NTHIS HOUSE / 1846 TO 1875 //,https://lh5.googleusercontent.com/proxy/gPmTMvxvN63go0LCHF-DMCymGTddpBsXqa4NLqqhLAzQ5OqoBoHilsEeAGS3MieXET2E_DXMC9rwh8Gxgdb1F_S9UzQTLvIxAV2Gdlfi6TllTg
-4.138476,50.367378,"Walker, Capt. F J (1896 - 1944) - World War Two hero"," Hoegate Street.Hoe Gardens, about halfway up the street on the right. ",CAPTAIN F J WALKER / 1896-1944 / RENOWNED ROYAL NAVY / COMMANDER DURING THE / 'BATTLE OF THE ATLANTIC' / SECOND WORLD WAR / BORN AT HOE GARDENS //,https://lh3.googleusercontent.com/proxy/IcIgl72KWy5mqBuxHkOSyjCqCpSiddBvutJrhpuUG0TJChZ10NYsCjvV-8RYEpmpWIQ0DmzSoqbvcI8R_xEiKPUPQ5E5JZPCB9XPkF2pMgrRsw
-4.140236,50.36964,Mayflower' - Plymouth Michigan Delegation (1970)," St. Andrew's Church, Royal Parade.Underneath tree, other side of St Andrew's Church  ","HANDS ACROSS THE SEA. / COMMEMORATING THE VISIT OF THE PLYMOUTH, / MICHIGAN, DELEGATION TO MAYFLOWER 70. / LET THIS TREE FOREVER BE A SYMBOL OF THE FRIENDSHIP BETWEEN THE TWO CITIES. / JULY 15, 1970.",https://lh4.googleusercontent.com/proxy/LPgs_x7ipRMcqeXYSIj2Csvam48P-OrySRIrrj_7VA2nkFxAsWbZGDV73VG480vF-y-Uqb12QH8CWtnQ6kELpRBBJjsBWMxxTFeWA9SOe1O8Mw
-4.133772,50.366137,Mayflower' Steps / Pilgrim's Point (1620)," Mayflower Steps, West Pier.Pilgrims Point, to right as enter point. ",":Pilgrims Point - The Mayflower steps. The Mayflower made its first landfall at what / is now Provincetown, Massachusetts on the / 11th November 1520 after 66 days at sea. / There the Mayflower compact, the first / democratic document written in America, was composed and signed. / ""And upon the 11th of November we came to an anchor in the bay, which is a good Harbor and a pleasant bay.....a harbor where in a thousand sail of ships may safely ride"" / From Mourts Relation: A Journal of the Pilgrims at Plymouth. Presented May 19 2000 by the Pilgrim Monument & Provincetown Museum and the town of Provincetown, Massachusetts. //",https://lh6.googleusercontent.com/proxy/P6GS4Xc1DfzVzypuBG3S1ZM69K7KMhausgWyx-mzy1D1gaESF7CWI7CUmg7fGOjtS6xH1KAsNqUfl4YFTqiOdOva0ssLZsyo6UcH7QcVQyKzDA
-4.133835,50.366117,Sea Venture' and Bermuda (1609) (exact location on map to be checked)," Mayflower Steps, West Pier.On wall.  ","THIS TABLET WAS ERECTED IN 1959 / BY THE PEOPLE OF BERMUDA / TO / COMMEMORATE THE 350TH ANNIVERSARY / OF THE WRECK ON A BERMUDA REEF OF / SEA VENTURE; CAPTAIN CHRISTOPHER NEWPORT, / FLAGSHIP OF ADMIRAL SIR GEORGE SOMERS WHOSE FLEET / SAILED FROM PLYMOUTH SOUND ON 2ND JUNE 1609 / TO CARRY SETTLERS AND SUPPLIES TO THE INFANT COLONY / AT JAMESTOWN IN VIRGINIA. ON BOARD SEA VENTURE / WERE 150 PERSONS INCLUDING SIR THOMAS GATES, / GOVERNOR DESIGNATE OF VIRGINA AND ALL THESE WERE / LANDED ON THE UNINHABITED ISLAND OF BERMUDA / IN TEN MONTHS THEY BUILT TWO VESSELS AND SAILED / ON TO JAMESTOWN. SIR GEORGE SOMERS / HAVING RETURNED TO BERMUDA FOR MORE SUPPLIES / DIED THERE ON 9TH NOVEMBER 1610 / HIS HEART WAS BURIED AT ST GEORGE'S BERMUDA / AND HIS BODY AT WHITCHURCH, DORSET. HIS NAME / WAS GIVEN TO THE BERMUDAS OR SOMERS ISLANDS, / NOW BRITAINS OLDEST COLONY",https://lh6.googleusercontent.com/proxy/dPLaYeNrycEWosBzye_npyM180VnfhbaN33dLOeDjDHI9zxBf1dunTkvs-SJFLfwvZMO3Hlfhvqpp4ZWQu9CFyDjynnZokQFzc3fniml6MDCmg
-4.133805,50.366125,Tory' to New Zealand (1839)," West Pier.Nr. Mayflower Steps, on wall.  ",THIS TABLET COMMEMORATES THE / DEPARTURE FROM PLYMOUTH IN MAY 1839 / OF THE 'TORY'. THE PIONEER SHIP / IN THE COLONISATION OF NEW ZEALAND. / OCTOBER 1939 / GEORGE S. SCOBLE LORD MAYOR. //,https://lh3.googleusercontent.com/proxy/Iq3vUMaM7WTufMCB3Xo4m9eH83onRL_nRNeqh9f0BbEePC3iuTd1rEzdXHQRta29lXKf4U2mOAJDjG8Kjknx7MxxYZ047CwqK_abdR0cQGwoFA
-4.134285,50.365926,Convicts to Australia (18th & 19th  century)," Madeira Road, Barbican.Up from RNLI Shop, on wall.  ","FROM PLYMOUTH ON 13TH MARCH 1787 / SAILED THE TRANSPORT SHIPS / ''FRIENDSHIP' AND 'CHARLOTTE' / CARRYING MEN AND WOMEN CONVICTS / BOUND FOR AUSTRALIA. / ON 26TH JANUARY 1788, / WITH NINE OTHER SHIPS FROM ENGLAND / THEY LANDED AT PORT JACKSON, / WHICH BECAME / SYDNEY, NEW SOUTH WALES. / THERE THEY ESTABLISHED / THE FIRST BRITISH COLONY UNDER THE / COMMAND OF CAPTAIN ARTHUR PHILLIP, R.N. / THE FATHER OF MODERN AUSTRALIA.",https://lh5.googleusercontent.com/proxy/yI2soNkWlxdwv_YffPgyum_MNHhCijnqXK9Dfe73N1FSPEzRdRXMuOFKKNfuBuLRsNzPLa6pQ762UbSrN70vh9BeKWopusjEiuuKfqo14YdpiQ
-4.134297,50.365899,Cornish Families to South Australia (19th century)," Madeira Road, Barbican.On the wall of Fishermen's shelter, up the hill from RNLI. ",FROM NEAR THIS SPOT / THOUSANDS OF CORNISH PEOPLE / SAILED FOR SOUTH AUSTRALIA / DURING THE NINETEENTH CENTURY / THEIR CONTRIBUTION / TO THE COLONYS DEVELOPMENT / PARTICULARLY IN MINING AND FARMING / IS ACKNOWLEDGED WITH PRIDE / BY THE CORNISH ASSOCIATION / OF SOUTH AUSTRALIA / UNVEILED 5TH SEPTEMBER 1986. //,https://lh5.googleusercontent.com/proxy/Q8mobOvJ8jMO_fPbMUsCyeaxljmTwj3rsIbL31zINg1z9MyzHvrBrXQGomFBBIddKeLd9mDlSPXkiagGYz_YE6SA8ZK3oMPMaSquMgF9Vxeb7g
-4.133742,50.366147,American Flying Boat N.C.4' (1919)," Mayflower Steps, West Pier.On wall near the steps. ","THIS TABLET WAS ERECTED BY THE PLYMOUTH BOROUGH / COUNCIL TO COMMEMORATE THE ARRIVA, ON THE 31ST DAY / OF MAY 1919, OF THE AMERICAN SEAPLANE N.C.4, IN / PLYMOUTY SOUND, ON THE COMPLETION OF THE FIRST / TRANSATLANTIC FLIGHT, AND THE RECEPTION BY THE / MAYOR OF PLYMOUTH OF THE COMMANDER, PILOTS AND / CREW, ON THEIR LANDING AT THE BARBICAN / J.P. BROWN, MAYOR. / R.J. FITTAL, TOWN CLERK. / LT. COM. A.C. READ USN. (COMMANDER) LT. E.F. STONE (PILOT) / LT. JUNIOR GRADE) W. HINTON U.S.N (PILOT) LT. J.L. BREEZE U.S.N. (RES. FORCE) / ENSIGN H.C. RODD (RADIO OPERATOR) CH. MACHINIST E.C. RHODES U.S.N. //",https://lh4.googleusercontent.com/proxy/VR0pd2XzQ91w1-c-E9UVHpQMdV0Hhl-FHHZm1JIr2Cvt2huzci4rjGwzoyuhYq5b--lBnwKTZXuUjxJMvX76FPXPgA27RrLtETWsmKr8rgqTwQ
-4.160686,50.361479,Darwin & HMS Beagle' (1831) - location on map to be checked," Devil's Point, Stonehouse.Walking along front downhill on low wall facing sea ","CHARLES DARWIN / AT DAYBREAK / ON 27-12-1831 H.M. SURVEY / SHIP BEAGLE, COMMANDED BY / CAPTAIN R. FITZROY, R.N. DEPARTED / ITS ANCHORAGE IN BARN POOL / OPPOSITE THIS POINT. / DARWINS 'ORIGIN OF SPECIES' / RESULTED DIRECTLY FROM / EXPERIENCES GAINED DURING / THIS VOYAGE TO / SOUTH AMERICA",https://lh6.googleusercontent.com/proxy/-f7YLy9bx0lvZSZlZQADMc5fLyTPMAjOeVkEh385AWdk0Qui-u-JwueYzX-yCzsf3fQ6WJ1hbnT3b4a_Qf-2AmMnfiPK6wXY9__sUCh6uw26cg
-4.142756,50.365232,Drake's Circumnavigation (1577-80), Plymouth Hoe Promenade.On the ground in front of the statue of Sir Francis Drake. ,"FRANCIS DRAKE SAILED FROM PLYMOUHT ON DECEMBER 13, 1577, TO / BEGIN THE FAMOUS VOYAGES DURING WHICH HE TRAVERSED THE STRAIT / OF MAGELLAN AND DISCOVERED DRAKE PASSAGE SOUTH OF CAPE HORN. / DRAKE THEN SAILED THE GOLDEN HINDE NORTH AND IN JUNE 1579 / LANDED IN CALIFORNIA. HE TOOK POSSESSION OF THAT REGION FOR / QUEEN ELIZABETH NAMING IT NOVA ALBION. HE RETURNED TO PLYMOUHT / SEPTEMBER 26, 1580 HAVING CIRCUMNAVIGATED THE GLOBE. DRAKE / WAS KNIGHTED ABOARD THE GOLDERN HINKE AT DEPTFORD IN THE / PRESENCE OF QUEEN ELIZABETH ON APRIL 4, 1581. / THIS PLAQUE WAS PRESENTED AUGUST 5, 1977, BY THE STATE OF / CALIFORNIA SIR FRANCIS DRAKE COMMISSION IN COMMEMORATION OF / THE QUADRICENTENNIAL OF DRAKE'S VOYAGE AROUND THE WORLD.",
-4.134309,50.365856,Founders of Modern Australia (from Plymouth)," Madeira Road, Barbican.On the wall of Fishermen's shelter, up the hill from RNLI. ","PLYMOUTH MEN WHO HELPED TO FOUND MODERN AUSTRALIA. Captain Tobias FURNEUAX charted the coat of Tasmania, and in 1773 became the First Englishman to land there. Captain John MACARTHUR gave Australia prosperity through his introduction / of Merino sheep in the 1790s. Captain William BLIGH survived the nutiny aboard the BOUNTY to become / Governor of New South Wales 1806 - 1809. Colonel George ARTHUR was Lieutenant Governor of Tasmania 1823 - 1836. Major Edward LOCKYER raised the British Flag in Western Australia in 1827. / Both Furneaux and Bligh accompanied Captain James Cook on the second of / his three great voyages of discovery, all of which left from Plymouth, / in 1768, 1772, and 1776.Additional Crests/LogosThe above inscription is on the main plaque. Below it mounted onto the same piece of wood is the following inscription: Unveiled by His Excellency Mr Richard Smith The Australian High Commissioner 8th September 1992.",https://lh4.googleusercontent.com/proxy/4Key5LpSJj9Mw9dc3Dwsq7Vk2HF8phHfnj0vlMJzndzn6ag5lvzJLmxjjYgWqp4Pe6aRezX-4g-2E1uen-vp_QThwSISzSWrmF1jHFDdyiKfrA
