Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,VEOLIA ENERGY & UTILITY SERVICES UK PLC,52374.79,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,38924.5,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,LINCOLNSHIRE PARTNERSHIP NHS TRUST,1096,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,ENGIN AND MAINT EQUIP AND MATS,DIRECTOR OF ESTATES & FACILITIES,FREEDOM GROUP,23560.54,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,CONSULTANCY STRATEGY,DIRECTOR OF PERFORMANCE IMPROVEMENT,ERNST AND YOUNG LLP,157725.67,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,WAN USAGE,DIRECTOR OF PERF IMPROVEMENT,BT GLOBAL SERVICES,64907.81,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,VEOLIA ENERGY & UTILITY SERVICES UK PLC,110345.63,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,60116.25,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,48914.2,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,CONS FEE CHOOSE AND BOOK,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,32857,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,48075.55,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,73290,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,LOSSES _ COMPENSATIONS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,SLATER & GORDON (UK) LLP,235000,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/12/2015,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,181536.63,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/12/2015,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),273496.3,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,FINANCIAL LEDGER,DIRECTOR OF PERF IMPROVEMENT,SCC UK,86049.51,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,29757.22,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,25817.38,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,35894.62,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,55501.61,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,29757.22,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,PROPERTY LEASE,DIRECTOR OF ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,55501.61,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,89219.33,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,76100.17,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,AGENCY SENIOR MANAGER,DIRECTOR OF PERF IMPROVEMENT,IRG ADVISORS LLP T/A ODGERS INTERIM,21232.61,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/12/2015,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,48842.1,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2015,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,553780.75,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/12/2015,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),251282.7,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,38956.89,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,35684.35,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,28473.96,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,63462.43,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,36510.37,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,1042433,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,259300.1,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,423084.2,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2015,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,38141.2,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,FINANCIAL LEDGER,DIRECTOR OF PERF IMPROVEMENT,SCC UK,86049.51,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,CONSULTANCY STRATEGY,THERAPIES,UNIVERSITY OF LINCOLN,26806.9,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,PHARMACY,DIAGNOSTICS,MOVIANTO UK,43392,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,38814,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,29442.36,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,44823.12,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,BMI HEALTHCARE LTD,31636.26,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,COMPUTER HARDWARE,CAPITAL PROGRAM,INTRINSIC TECHNOLOGY,25152,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,ALLIANCE MEDICAL LTD,33030,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,70344.24,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,EQUIPMENT >5K,CAPITAL PROGRAM,ARJO HUNTLEIGH,30240,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,EQUIPMENT >5K,CAPITAL PROGRAM,PENTAX UK LTD,36536.4,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),33949.57,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING,ARJO HUNTLEIGH,76036.62,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING,ARJO HUNTLEIGH,69103.51,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,MEDICAL LOCUMS,DIAGNOSTICS,MIDLANDS PRIVATE NEUROPHYSIOLOGY LTD,30700,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,131917.21,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,AGENCY OTHER STT QUALIFIED,CORPORATE FINANCE,HAYS,46762.2,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,POSTAGE,DIRECTOR OF ESTATES & FACILITIES,NEOPOST (POSTAGE TOP UP ONLY) POSTROOM,50000,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,CONSULTANTS FEES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,42064.56,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,228697.34,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,16/12/2015,COURSE FEES,DIRECTOR OF NURSING,ST BARNABAS HOSPICE,45150,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2015,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,43425.4,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/12/2015,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),252229.11,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/12/2015,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,279628.94,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2015,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),254776.88,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,PHARMACY PILGRIM,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,28871.95,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),181332.26,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,COMPUTER PURCHASE ACCESSORIES,MEDICAL DIRECTOR,A-DEC DENTAL UK LTD,22472.41,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,43406.4,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,41911.2,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,30284.04,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,26000,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,VISITING CONSULTANTS,INTEGRATED MEDICINE LINCOLN,UNIVERSITY HOSPITALS OF LEICESTER NHS TR,6707.13,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,VISITING CONSULTANTS,WOMEN & CHILDRENS PAN TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TR,14268.6,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,VISITING CONSULTANTS,WOMEN & CHILDRENS PAN TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TR,13175.82,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SW SUPPORT,CLINICAL SUPPORT MANAGEMENT,ACCENTURE UK LTD,78352.55,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,33104.83,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,60257.98,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SERVICES FROM OTHER NHS,SURGICAL SERVICES LINCOLN,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,25234,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,26000,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,WATER AND SEWERAGE,DIRECTOR OF ESTATES & FACILITIES,ANGLIAN WATER,26567.23,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),43471.93,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,805799,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SW SUPPORT,CLINICAL SUPPORT MANAGEMENT,ACCENTURE UK LTD,78352.55,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,DESKTOP SOFT/W,DIRECTOR OF PERF IMPROVEMENT,TRUSTMARQUE SOLUTIONS LTD,26520,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,VEOLIA ENERGY & UTILITY SERVICES UK PLC,52374.79,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,38926,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,LINCOLNSHIRE PARTNERSHIP NHS TRUST,1094.5,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,33104.83,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,60257.98,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SERVICES FROM OTHER NHS,SURGICAL SERVICES LINCOLN,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,32116,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,28290,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,27397.58,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,MEDICAL RECORD STORAGE,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RESTORE PLC - (WAS MAGNUM),29968.42,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,33104.83,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,60257.98,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,WAN USAGE,DIRECTOR OF PERF IMPROVEMENT,BT GLOBAL SERVICES,84538.68,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,SERVICES FROM NON-NHS BODIES,DIRECTOR OF OPERATIONS,SYNERGY HEALTH (UK) LTD,247498.06,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,308982.13,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,CONS FEE CHOOSE AND BOOK,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,35610.5,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,ENGINEERING SERVICES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,21273.37,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,78787.02,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,ENGINEERING SERVICES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,138281.82,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,53956.62,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,137997.47,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,ENGINEERING SERVICES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,15337.49,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/12/2015,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,22294.01,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/12/2015,CONSULTANTS FEES,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,1552.91,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/12/2015,EQUIPMENT >5K,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,41431.59,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/12/2015,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,280404.3,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/12/2015,AGENCY SENIOR MANAGER,DIRECTOR OF PERF IMPROVEMENT,IRG ADVISORS LLP T/A ODGERS INTERIM,25845.97,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/12/2015,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),203857.83,Dec-15
