Department Family,Entity,Voucher Date,Expense Type,Expense Area,Supplier,Transaction Number,Tax Code,Amount,Vat Registration Number
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,522.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,522.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,549.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,549.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,549.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,574.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,574.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,574.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,585.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,585.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,585.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,595.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,595.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,595.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,685.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,685.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,685.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,704.00,
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,705.15,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,705.15,238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,705.18,238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,705.18,238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,705.18,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,705.18,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,705.18,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,705.18,238 0343 79
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,708.55,466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,714.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,714.00,
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,716.86,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,716.86,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,718.55,466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,722.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,722.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,722.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,725.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,725.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,725.00,
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,741.91,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,741.91,466 4777 01
NHS,NHS Hertfordshire,09/08/2011,CATS - Ophthalmology Watford,Primary Care Clinical Services (CATS),THE PRACTICE SERVICES LTD,10060069,0,764.00,927298975
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,769.08,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,778.08,238 0343 79
NHS,NHS Hertfordshire,14/07/2011,CATS - Ophthalmology Watford,Primary Care Clinical Services (CATS),THE PRACTICE SERVICES LTD,10057167,0,780.00,927298975
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,812.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,812.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,812.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,838.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,838.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,838.00,
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,866.22,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,866.22,466 4777 01
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,881.47,238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,881.47,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,881.47,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,881.47,238 0343 79
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,909.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,909.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,909.00,
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,912.49,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,912.49,466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,931.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,931.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,931.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,938.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,938.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,938.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,954.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,954.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,954.00,
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,967.16,238 0343 79
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,973.04,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,973.04,466 4777 01
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,976.16,238 0343 79
NHS,NHS Hertfordshire,17/08/2011,Continence Supplement,Free Nursing Care (RNCC),VERULAM HOUSE NURSING & RES. HOME,10061365,0,984.23,
NHS,NHS Hertfordshire,05/07/2011,CATS - Dermatology (DACCOM),Primary Care Clinical Services (CATS),WEST HERTFORDSHIRE HOSPITALS N,10055602,0,"1,001.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,007.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,007.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,007.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,008.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,008.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,008.00",
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,055.08",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,055.08",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,057.77",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,057.77",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,057.77",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,057.77",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,057.77",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,057.77",238 0343 79
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,169.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,169.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,169.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,209.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,209.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,209.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,223.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,223.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,223.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,229.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,229.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,229.00",
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,234.06",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,234.06",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,234.06",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,234.06",238 0343 79
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,321.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,321.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,321.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,321.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,321.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,321.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,324.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,324.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,324.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,331.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,331.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,331.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,396.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,396.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,396.00",
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,410.36",238 0343 79
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,440.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,440.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,440.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,529.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,529.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,529.00",
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,626.21",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,626.21",238 0343 79
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,"1,664.49",466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,"1,664.49",466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,678.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,678.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,678.00",
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,762.95",238 0343 79
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,"1,762.95",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,762.95",238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,"1,762.95",238 0343 79
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,852.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,852.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,852.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,862.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,862.00",
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,"1,862.00",
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,"1,935.73",466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,"1,935.73",466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,"1,992.00",
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,"1,992.00",
