,,,,,,,,,,
DEPARTMENT,BIS Family,,,,,,,,,
AGENCIES,"BIS Core, Companies House, IPO, Land Registry, Ordnance Survey, NMO, UKSA, INSS, SFA, Met Office",,,,,,,,,
PERIOD,January 2012 - December 2012,,,,,,,,,
,,,,,,,,,,
SUMMARY,"DAYS LOST
(SHORT TERM)","DAYS LOST
(LONG TERM)",TOTAL DAYS LOST (12 month period),TOTAL STAFF YEARS,AWDL,,,TOTAL STAFF EMPLOYED IN PERIOD (HEADCOUNT),TOTAL STAFF EMPLOYED IN PERIOD WITH NO ABSENCE (HEADCOUNT),% STAFF WITH NO SICK LEAVE
,,,,,,,,,,
GRADE (Equivalent),,,,,,,,,,
AA,2128.05,989,3117.05,302.61,10.3,,,390,134,34%
AO,11257.1,9504.5,20761.6,1646.8,12.6,,,1889,580,31%
EO,16687.46,18628.13,35315.59,4241.9,8.3,,,4867,1972,41%
HEO,8896.44,8905.8,17802.24,2981.4,6.0,,,3286,1543,47%
SEO,4752.83,5232.47,9985.3,1967.2,5.1,,,2111,1121,53%
G7,2006.84,3153,5159.84,1204.4,4.3,,,1336,906,68%
G6,805.05,1138.22,1943.27,599.9,3.2,,,667,457,69%
SCS,268.22,775,1043.22,326.3,3.2,,,379,307,81%
Unknown,4991,4321,9312,1874.6,5.0,,,2162,1040,48%
TOTAL,51792.99,52647.12,104440.11,15145.1,6.9,,,17087,8060,47%
,,,,,,,,,,
ABSENCE REASON,,,,,,,,,,
Congenital Anomalies,5,0,5,,,,,,,
Blood & Blood forming organs,148.34,269.89,418.23,,,,,,,
Neoplasms (Cancers),319.63,2466.03,2785.66,,,,,,,
"Endocrine, Nutritional & Metabolic",257.83,323,580.83,,,,,,,
Skin & Subcutaneous Tissues,424.46,359,783.46,,,,,,,
Circulatory System,494.41,1361.2,1855.61,,,,,,,
Pregnancy Complications,1520.14,1025.29,2545.43,,,,,,,
Genitourinary Systems,1050.15,1052.4,2102.55,,,,,,,
Infections & Parasites,1846.42,274.1,2120.52,,,,,,,
Injury & Poisoning,1830.58,3198.48,5029.06,,,,,,,
Mental Disorders,5723.49,18698.48,24421.97,,,,,,,
Musculoskeletel System,3808.22,5001.94,8810.16,,,,,,,
Nervous System (inc. Headaches),2390.1,2065.53,4455.63,,,,,,,
Digestive System (inc. Food Poisoning),6685.36,2728.88,9414.24,,,,,,,
Respiratory System (inc. Colds),13951.35,1484.24,15435.59,,,,,,,
Diseases of the eye and adnexa,561.29,403,964.29,,,,,,,
Diseases of the ear and mastoid process,604.25,255.14,859.39,,,,,,,
Swine Flu,0,0,0,,,,,,,
Symptons ill-defined,3263.13,5677.51,8940.64,,,,,,,
Unknown,6908.84,6003,12911.84,,,,,,,
TOTAL,51792.99,52647.11,104440.1,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
All total cells should be green indicating that they are equal to the corresponding Total entered at the top of the form.,,,,,,,,,,,,
If the total cell displays amber this indicates that the sum total is less than the corresponding Total entered at the top of the form.,,,,,,,,,,,,
If the total cell displays red this indicates that the sum total is more than the corresponding Total entered at the top of the form.,,,,,,,,,,,,

If any of the cells display red or amber then please supply your comments/reasons for the discrepancy.,,,,,,,,,,,,
