,,,,,,
Department,Organisation Name,Project name,Basis for expenditure approval,Total Value requested (£M),Total Value Approved (£M),Date of approval
Department for Work & Pensions,,Universal Credit,Universal Credits - UC live Service Release 9 Detailed Design & Build (Accenture),"£445,219","£445,219",14/10/2014
Department for Work & Pensions,,Universal Credit,Universal Credits - UC live Service Release 9 Detailed Design & Build (HPES),"£292,671","£292,671",14/10/2014
Department for Work & Pensions,,Universal Credit,Universal Credits WSP Software for Production and Test Environments ,"£228,291","£228,291",13/10/2014
Department for Work & Pensions,,Universal Credit,UC Test and Learn Evaluation: Monitoring and evaluating the formal Trials of Universal Support Delivered Locally U/C 2014315,"£490,624","£490,624",13/10/2014
Department for Work & Pensions,,Universal Credit,Universal Credits - RF 1533 - SB-2777 UC Test and Learn Evaluation: Experimental Qualitative Research,"£149,916","£149,916",03/10/2014
Department for Work & Pensions,,Universal Credit,Universal Credits - Application Maintenance Service uplift for Universal Credit Core ,"£4,560,328","£4,560,328",03/10/2014
Department for Work & Pensions,,Universal Credit,Application Maintenance uplift for Universal Credit – IBM – Release 8 ,"£208,025","£208,025",14/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit  (UC) Live Service Release 8- Dot release support UC 201454,"£177,895","£177,895",20/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit Live Service Four in a Box ,"£155,296","£155,296",20/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit Live Service Four in a Box ,"£108,414","£108,414",20/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit Live Service Four in a Box ,"£243,398","£243,398",20/11/2014
Department for Work & Pensions,,Universal Credit,Application Maintenance (AM) uplift for Universal Credit Live Service- Accenture Release 8,"£296,818","£296,818",20/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit (UC) Live Service – IBM Release 9a Build & System Test,"£356,608","£356,608",01/12/2014
Department for Work & Pensions,,Universal Credit,"Universal Credit (UC) Live Service – IBM Release 9a Test, Environment Support and implementation","£2,491,636","£2,491,636",01/12/2014
Department for Work & Pensions,,Universal Credit,"Universal Credit (UC) Live Service – IBM Release 9b Test, Environment Support and implementation","£2,401,114","£2,401,114",01/12/2014
Department for Work & Pensions,,Universal Credit,Universal Credit (UC) Work Services Platform (WSP) – Estate management and test support,"£325,988","£325,988",27/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit (UC) Work Services Platform (WSP) Release 9 – Application Development,"£1,008,483","£1,008,483",27/11/2014
Department for Work & Pensions,,Universal Credit,Universal Credit (UC) Live Service – IBM Release 9b Build & System Test UC/2014439,"£613,472","£613,472",11/12/2014
Department for Work & Pensions,,Universal Credit,Universal Credit-Purchase and installation of Visual Identity products for UC 2015 National Expansion,"£1,180,800","£1,180,800",16/12/2014
Department for Work & Pensions,,Universal Credit,QAS Licenses for UC test/Production,"£599,690","£599,690",15/12/2014
