 1 ORGANISATION NAME,2 PURPOSE OF SPEND,3 DIRECTORATE/ SERVICE RESPONSIBLE,4 START DATE,5 END DATE,6 AWARD AMOUNT (£),7 SUPPLIER/ BENFICIARY NAME,8 REGISTERED CHARITY NUMBER
ROCHDALE BOROUGH COUNCIL,GRANT - BURNSIDE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,6550.00,BURNSIDE CENTRE ACCOUNT,1145309
ROCHDALE BOROUGH COUNCIL,GRANT - BURNSIDE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,6550.00,BURNSIDE CENTRE ACCOUNT,1145309
ROCHDALE BOROUGH COUNCIL,GRANT - CASTLEMERE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,3275.00,CASTLEMERE COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CASTLEMERE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,3275.00,CASTLEMERE COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CASTLEMERE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,3275.00,CASTLEMERE COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CASTLEMERE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,3275.00,CASTLEMERE COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CLEWORTH RD CENTRE,NEIGHBOURHOODS,13/04/2016,16/05/2016,5800.00,CLEWORTH CHILDRENS ACTIVITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CRIMBLECROFT COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8125.00,CRIMBLE CROFT COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CRIMBLECROFT COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8125.00,CRIMBLE CROFT COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CRIMBLECROFT COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8125.00,CRIMBLE CROFT COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - CRIMBLECROFT COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8125.00,CRIMBLE CROFT COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - DEEPLISH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10800.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,GRANT - DEEPLISH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10800.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,GRANT - DEEPLISH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10800.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,GRANT - DEEPLISH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10800.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,GRANT - DEMESNE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10100.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,GRANT - DEMESNE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10100.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,GRANT - DEMESNE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10100.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,GRANT - DEMESNE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,10100.00,DEMESNE COMMUNITY ASSOCIATION,1061422
ROCHDALE BOROUGH COUNCIL,GRANT - KASHMIR YOUTH PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,4200.00,KASHMIR YOUTH PROJECT,
ROCHDALE BOROUGH COUNCIL,GRANT - KASHMIR YOUTH PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,4200.00,KASHMIR YOUTH PROJECT,
ROCHDALE BOROUGH COUNCIL,GRANT - KASHMIR YOUTH PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,4200.00,KASHMIR YOUTH PROJECT,
ROCHDALE BOROUGH COUNCIL,GRANT - KASHMIR YOUTH PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,4200.00,KASHMIR YOUTH PROJECT,
ROCHDALE BOROUGH COUNCIL,GRANT - MEADOWFIELD COMMUNITY CENTRE,NEIGHBOURHOODS,18/04/2016,31/03/2017,9575.00,MEADOWFIELD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - MEADOWFIELD COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,9575.00,MEADOWFIELD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - MEADOWFIELD COMMUNITY CENTRE,NEIGHBOURHOODS,02/12/2016,31/12/2016,9575.00,MEADOWFIELD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - MEADOWFIELD COMMUNITY CENTRE,NEIGHBOURHOODS,20/12/2016,31/12/2016,9575.00,MEADOWFIELD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - ROCHDALE WOMENS WELFARE,NEIGHBOURHOODS,01/04/2016,31/03/2017,4550.00,ROCHDALE WOMENS WELFARE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - ROCHDALE WOMENS WELFARE,NEIGHBOURHOODS,01/04/2016,31/03/2017,4550.00,ROCHDALE WOMENS WELFARE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - ROCHDALE WOMENS WELFARE,NEIGHBOURHOODS,01/04/2016,31/03/2017,4550.00,ROCHDALE WOMENS WELFARE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - ROCHDALE WOMENS WELFARE,NEIGHBOURHOODS,01/04/2016,31/03/2017,4550.00,ROCHDALE WOMENS WELFARE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - SPARTH COMMUNITY CENTRE,NEIGHBOURHOODS,27/09/2016,24/11/2016,11425.00,SPARTH COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SPARTH COMMUNITY CENTRE,NEIGHBOURHOODS,21/09/2016,31/03/2017,11425.00,SPARTH COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SPARTH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/08/2016,11425.00,SPARTH COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SPARTH COMMUNITY CENTRE,NEIGHBOURHOODS,24/10/2016,31/03/2017,11425.00,SPARTH COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SPOTLAND COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,7475.00,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,GRANT - SPOTLAND COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,7475.00,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,GRANT - SPOTLAND COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,7475.00,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,GRANT - SPOTLAND COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,5588.49,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,GRANT - SUDDEN AND BRIMROD COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,2325.00,SUDDEN & BRIMROD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SUDDEN AND BRIMROD COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,2325.00,SUDDEN & BRIMROD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SUDDEN AND BRIMROD COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,2325.00,SUDDEN & BRIMROD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SUDDEN AND BRIMROD COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,2325.00,SUDDEN & BRIMROD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - SYKE COMMUNITY,NEIGHBOURHOODS,18/01/2017,31/03/2017,4125.00,NORTH AREA PARTNERSHIP,
ROCHDALE BOROUGH COUNCIL,GRANT - SYKE COMMUNITY,NEIGHBOURHOODS,01/07/2016,10/09/2016,4125.00,NORTH AREA PARTNERSHIP,
ROCHDALE BOROUGH COUNCIL,GRANT - SYKE COMMUNITY,NEIGHBOURHOODS,23/03/2017,31/03/2017,4125.00,NORTH AREA PARTNERSHIP,
ROCHDALE BOROUGH COUNCIL,GRANT - SYKE COMMUNITY,NEIGHBOURHOODS,26/01/2017,31/03/2017,4125.00,NORTH AREA PARTNERSHIP,
ROCHDALE BOROUGH COUNCIL,GRANT - TURFHILL COMMUNITY CENTRE,NEIGHBOURHOODS,01/07/2016,07/08/2016,2800.00,TURF HILL INITIATIVE CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - TURFHILL COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,2800.00,TURF HILL INITIATIVE CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - TURFHILL COMMUNITY CENTRE,NEIGHBOURHOODS,26/10/2016,31/10/2016,2800.00,TURF HILL INITIATIVE CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - TURFHILL COMMUNITY CENTRE,NEIGHBOURHOODS,07/07/2016,31/03/2017,2800.00,TURF HILL INITIATIVE CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT - WARDLEWORTH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,11675.00,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - WARDLEWORTH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,11675.00,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - WARDLEWORTH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,11675.00,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - WARDLEWORTH COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,11675.00,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT (FORMAL SPORT) TO REINSTATE CHANGING PAVILION ,NEIGHBOURHOODS,01/04/2016,31/03/2017,14608.00,PER PRO MIDDLETON CRICKET CLUB,
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT - CE/10/16 WARDLEWORTH COMMUNITY CENTRE YOUTH CLUB,NEIGHBOURHOODS,01/04/2016,31/03/2017,1000.00,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT - M/59/15 EMPOWERED WOMEN,NEIGHBOURHOODS,24/02/2017,31/03/2017,1000.00,ROCHDALE WOMENS WELFARE ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT - MP/15/16 M.I.N.D MOVING IN NEW DIRECTIONS,NEIGHBOURHOODS,02/05/2016,02/05/2016,1317.60,MIDDLETON POPSTARS ACADEMY,
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT (PW/06/16 NATIONAL FLOOD FORUM CONFERENCE),NEIGHBOURHOODS,01/04/2016,31/03/2017,404.45,LITTLEBOROUGH CIVIC TRUST,1174714
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT FOR BACK O` TH MOSS COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,5926.18,BACK OTH MOSS COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,"GRANT PAYMENT FOR MANAGEMENT OF BACK O TH MOSS COMMUNITY CENTRE, HEYWOOD",NEIGHBOURHOODS,01/04/2016,31/03/2017,10000.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT TO BACK O` TH MOSS COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,2000.00,BACK OTH MOSS COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT PAYMENT TO BACK O` TH` MOSS COMMUNITY CENTRE,NEIGHBOURHOODS,01/08/2016,31/08/2016,1000.00,BACK OTH MOSS COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,GRANT TO RESTORE SPRINGFIELD PARK RUNNING TRACK FOR INFORMAL USE AND TO ENSURE THAT IT REMAINED IN GOOD CONDITION FOR AT LEAST 10 YEARS,NEIGHBOURHOODS,01/04/2016,31/03/2017,50000.00,FRIENDS OF SPRINGFIELD PARK LTD,
ROCHDALE BOROUGH COUNCIL,GRANT TO SUPPORT HATE CRIME AWARENESS WEEK  2017,NEIGHBOURHOODS,01/04/2016,31/03/2017,1040.00,ROCHDALE AND DISTRICT DISABLED ACTION GRP,
ROCHDALE BOROUGH COUNCIL,GRANT TO SUPPORT HATE CRIME AWARENESS WEEK 2017,NEIGHBOURHOODS,01/04/2016,31/03/2017,1040.00,HEYWOOD MIDDLETON AND ROCHDALE CIRCLE,
ROCHDALE BOROUGH COUNCIL,GRANT TO SUPPORT HATE CRIME AWARENESS WEEK 2017,NEIGHBOURHOODS,01/04/2016,31/03/2017,1040.00,ROCHDALE COUNCIL OF MOSQUES,
ROCHDALE BOROUGH COUNCIL,"GRANT TOWARDS PITCH IMPROVEMENTS SAND, SEED AND VERTI DRAIN ",NEIGHBOURHOODS,01/04/2016,31/03/2017,5800.00,WARDLE FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,HATE CRIME AWARENESS WEEK 2017,NEIGHBOURHOODS,27/03/2017,31/03/2017,1040.00,BOROUGH OF ROCHDALE MULTI FAITH PARTNERSHIP,
ROCHDALE BOROUGH COUNCIL,HATE CRIME AWARENESS WEEK 2017,NEIGHBOURHOODS,01/04/2016,31/03/2017,1040.00,ROCHDALE BOROUGHWIDE USER FORUM,
ROCHDALE BOROUGH COUNCIL,HATE CRIME AWARENESS WEEK LAUNCH EVENT 6TH FEBRUARY 2017    (WHEELCHAIR RUGBY),NEIGHBOURHOODS,01/04/2016,31/03/2017,1040.00,ROCHDALE HORNETS SPORTING FOUNDATION,1159601
ROCHDALE BOROUGH COUNCIL,HE/01/16 GRANT PAYMENT (HEYWOOD 1940`S DAY 2017),NEIGHBOURHOODS,24/10/2016,31/03/2017,8000.00,HEYWOOD BUSINESS GROUP,
ROCHDALE BOROUGH COUNCIL,HELP FOR SINGLE HOMELESS - FREQUENT FLYERS PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,10033.00,THE BOND BOARD LIMITED,1040176
ROCHDALE BOROUGH COUNCIL,HP/06/16 GRANT PAYMENT (HEYWOOD DROP IN),NEIGHBOURHOODS,01/04/2016,31/03/2017,4949.00,ROCHDALE CONNECTION TRUST,1074736
ROCHDALE BOROUGH COUNCIL,HP/11/16 GRANT PAYMENT (HEYWOOD CHARITIES FETE 2016),NEIGHBOURHOODS,21/07/2016,04/09/2016,2260.00,HEYWOOD CHARITIES FETE,
ROCHDALE BOROUGH COUNCIL,HP/19/16 GRANT PAYMENT (HEYWOOD CHRISTMAS FESTIVAL 2016),NEIGHBOURHOODS,05/07/2016,19/11/2016,4000.00,HEYWOOD BUSINESS GROUP,
ROCHDALE BOROUGH COUNCIL,HP/20/15 GRANT PAYMENT (HEYWOOD CHESS CONGRESS - 18-19 JUNE 2016),NEIGHBOURHOODS,28/04/2016,31/03/2017,500.00,HEYWOOD CHESS CONGRESS,
