Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,547.16",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,563.88",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,599.66",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,659.98",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,660.13",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,754.16",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,866.66",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,922.88",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"5,747.76",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000005982,"6,115.82",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"6,872.69",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,HSR Phase 1 Sponsor,CAPITA BUSINESS SERVICES LTD,2000005982,"7,012.32",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"7,776.96",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"8,186.88",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000005982,"9,086.35",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000005982,"9,094.32",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000005982,"21,589.34",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Support Services,"Road Safety, Standards and Services",Environmental Scientifics Group,2000005983,"1,264.80",#,OX9 3SZ
Department for Transport,Department for Transport,03/07/2017,Maintenance Other,"Road Safety, Standards and Services",ARVAL,2000005984,"2,066.35",#,SN5 6PE
Department for Transport,Department for Transport,03/07/2017,Maintenance Other,"Road Safety, Standards and Services",ARVAL,2000005984,"2,646.51",#,SN5 6PE
Department for Transport,Department for Transport,03/07/2017,Maintenance Other,"Road Safety, Standards and Services",ARVAL,2000005984,"4,044.53",#,SN5 6PE
Department for Transport,Department for Transport,03/07/2017,Research,Analysis & Strategy,ATKINS LTD (TRANSPORT PLANNING),2000005985,"32,056.50",#,WR5 1TX
Department for Transport,Department for Transport,03/07/2017,Support Services,Aviation,Civil Aviation Authority,2000005986,"120,572.50",#,RH6 0YR
Department for Transport,Department for Transport,03/07/2017,Research,Transport Security Co-ordination & Response,DEFENCE SCIENCE & TECHNOLOGY,2000005988,"501,100.00",#,PO14 9HL
Department for Transport,Department for Transport,03/07/2017,Research,Local,HALCROW GROUP LTD,2000005989,"4,186.00",Road safety research,W6 7EF
Department for Transport,Department for Transport,03/07/2017,CurrGrt Las in AEF/A,"Energy, Technology and International",HORSHAM DC,2000005990,"5,237.04","""ULEVR HDC VL #5237.04 (Annual 2x van, Qrt 1x LEAF",RH12 1RL
Department for Transport,Department for Transport,03/07/2017,Transport  Consult,DG_Rail - Passenger Services,OVE ARUP & PARTNERS,2000005991,"30,516.58",#,NE1 3PL
Department for Transport,Department for Transport,03/07/2017,Transport  Consult,DG_Rail - Passenger Services,WSP UK Ltd T/A Parsons Brinckerhoff,2000005992,796.01,#,RG21 4HJ
Department for Transport,Department for Transport,03/07/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000005993,"1,685.00",#,BS24 9BP
Department for Transport,Department for Transport,03/07/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000005993,"1,852.00",#,BS24 9BP
Department for Transport,Department for Transport,03/07/2017,Transport  Consult,DG_Rail - Passenger Services,TRANSPORT RESEARCH LABORATORY,2000005994,"6,957.67",#,RG40 3GA
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,BROOK STREET (UK) LIMITED,2000005995,"1,050.74",#,AL1 4JB
Department for Transport,Department for Transport,03/07/2017,Cap Grt Loc Auth,"Energy, Technology and International",COVENTRY CITY COUNCIL,2000005996,"462,500.00","""Coventry City Council ULEV Taxi Payment #462,500""",CV1 2QL
Department for Transport,Department for Transport,03/07/2017,CurrGrtPriSec-P&NPIS,"Energy, Technology and International",ENERGY SAVING TRUST,2000005997,"147,817.00","""EST May 2017-18 #147,817.00""",SW1H 9BP
Department for Transport,Department for Transport,03/07/2017,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000005998,"199,483.00",#,EH4 1PU
Department for Transport,Department for Transport,03/07/2017,Property Consultancy,Group Commercial Services,Mace Limited,2000005999,"254,038.80",#,EC2M 6XB
Department for Transport,Department for Transport,03/07/2017,Transport  Consult,DG_Rail - Passenger Services,Steer Davies Gleave,2000006000,"15,287.99",#,SE1 9PD
Department for Transport,Department for Transport,03/07/2017,Secondments,Group Human Resources,FCO Foreign and Commonwealth Office,2000006001,"1,179.23",#,MK10 1PX
Department for Transport,Department for Transport,03/07/2017,CurrGrtPriSec-P&NPIS,"Energy, Technology and International",LOW CARBON VEHICLE PARTNERSHIP,2000006002,"80,500.00","""LowCVP June 2017 #80,500""",SW1H 9JJ
Department for Transport,Department for Transport,03/07/2017,CurrGrt Las in AEF/A,"Energy, Technology and International",Home Office,2000006003,"40,280.62","""VL 16x 3rd & 4th qtr + 8 x 2nd qrt #40,280.62""",NP20 9BB
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Mercedes-Benz UK Limited,2000006004,"1,151,000.00","""PICG Mercedes May 2017 #1,151,000""",MK15 8BA
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",RENAULT,2000006005,"348,984.95","""PICG Renault May 2017 #348,984.95""",WD3 9YS
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",TOYOTA (GB) PLC,2000006006,"40,000.00","""PICG Toyota May 2017 #40,000""",KT18 5XS
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Pod Point,2000006010,"13,000.00","""Pod Point Jan 17 #13,000""",E1 1EE
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Pod Point,2000006010,"78,500.00","""Pod Point Mar 17 #78,500""",E1 1EE
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Pod Point,2000006010,"158,000.00","""Pod Point Apr 17 #158,000""",E1 1EE
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Chargemaster,2000006011,"8,500.00",Chargemaster Feb 17 #8500,LU1 3LU
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Chargemaster,2000006011,"242,500.00","""Chargemaster Apr 17 #242,500""",LU1 3LU
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Volvo Car UK Limited,2000006012,"100,000.00","""PICG Volvo May 2017 #100,00""",SL6 4FL
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Volvo Car UK Limited,2000006012,"212,500.00","""PICG Volvo April 2017 #212,500""",SL6 4FL
Department for Transport,Department for Transport,03/07/2017,Support Services,Group Finance,Irwin Mitchell,2000006013,"74,663.00",Industrial Injury Claim - SR 9000528054,S3 8DT
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,HSR Programme and Funding,Eversheds LLP,2000006014,"1,450,000.00",#,CF10 5BT
Department for Transport,Department for Transport,03/07/2017,Training,Marine Accident Investigation Branch,March on Stress Ltd,2000006015,650.00,#,PO16 9XS
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Armstrong Renewables,2000006016,"2,000.00",Armstrong Renewables Mar 17 #2000,NE37 2SH
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Armstrong Renewables,2000006016,"7,000.00",Armstrong Renewables Apr 17 #7000,NE37 2SH
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Evergreen MAC,2000006017,500.00,Evergreen MAC May 17 #500,DY10 4LX
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Evergreen MAC,2000006017,500.00,Evergreen MAC Apr 17 #500,DY10 4LX
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Stratford Energy Solutions Limited,2000006018,500.00,Stratford Energy Solutions Mar 17 #500,CV37 0HR
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000006019,500.00,Phoenix Renewables Mar 17 #500,LS28 5LY
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000006019,"2,500.00",Phoenix Renewables Apr 17 #2500,LS28 5LY
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Phoenix Renewables Ltd,2000006019,"4,500.00",Phoenix Renewables Mar 17 #4500,LS28 5LY
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Audi UK,2000006020,"77,500.00","""PICG Audi May 2017 #77,500""",MK14 5AN
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Earth Electrical (Southern) Ltd,2000006021,"12,500.00","""Earth Electrical May 17 #12,500""",GU14 8DS
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",WB Electrical Services Ltd,2000006022,"3,000.00",WB Electrical Mar 17 #3000,ML9 2EX
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SRG Electrical Ltd,2000006023,"2,000.00",SRG Elec Apr 17 #2000,CR8 1HA
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SRG Electrical Ltd,2000006023,"2,000.00",SRG Elec May 17 #2000,CR8 1HA
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Nova Pangaea Technologies (UK) Ltd,2000006024,"60,025.50",Nova Pangaea Technologies Ltd - June,CV33 9LW
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Go Green Fuels Ltd,2000006025,"655,742.00",Go Green Fuels 2017 June,SN3 4DE
Department for Transport,Department for Transport,03/07/2017,CurrGrt Las in AEF/A,"Energy, Technology and International",Warwick District Council,2000006026,"20,273.07","""ULEVR WDC June 16 - Sept 17 #20,273.07""",CV32 5HZ
Department for Transport,Department for Transport,03/07/2017,Cars Maintenance,"Road Safety, Standards and Services",Hart Automotive Customs Ltd,2000006027,"1,245.00",#,IG6 3TU
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Diamond Controls Ltd,2000006028,500.00,Diamond Controls Apr 17 #500,NR5 9JR
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",API Electrical Limited,2000006029,500.00,API Electrical Feb 17 #500,M28 1UG
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",API Electrical Limited,2000006029,500.00,API Electrical Feb 17 #500,M28 1UG
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",B-Line Project Services,2000006030,"2,000.00",B-Line Project Services Apr 17 #2000,GL10 2BB
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",KVA Electrical Contractors Ltd,2000006031,500.00,KVA Electrical Nov 16 #500,CF72 8ST
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Hyundai Motor UK Limited,2000006032,"81,000.00","""PICG Hyundai May 2017 #81,000""",HP11 1HE
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",LCS Energy Ltd,2000006033,"1,000.00",LCS Energy Apr 16 #1000,DE74 2XD
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SunGift Solar Ltd,2000006034,500.00,SunGift Solar Dec 16 #500,EX2 8QP
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Chiltern Solar Ltd,2000006036,500.00,Chiltern Solar Mar 17 #500,HP5 2QA
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Chiltern Solar Ltd,2000006036,500.00,Chiltern Solar Apr 17 #500,HP5 2QA
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",O'Connor Electrical Ltd,2000006037,500.00,O'Connor Electrical May 17 #500,DE14 1RW
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Corin Dudley Electrical Services,2000006038,500.00,Corin Dudley Electrical Mar 17 #500,BN26 6JF
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",RB Grant Ltd,2000006039,500.00,RB Grant Feb 17 #500,KY1 3NA
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Analogue Electrics Limited TA AEL,2000006041,500.00,Analogue Electrics May 17 #500,DN11 8BZ
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",JRP Electrical Services Ltd,2000006042,500.00,JRP Electrical Services Jul 16 #500,CV21 3XH
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",PG Electrics,2000006043,500.00,PG Electrics May 17 #500,NP7 8RT
Department for Transport,Department for Transport,03/07/2017,Cap Grt Loc Auth,"Energy, Technology and International",Cambridge City Council,2000006044,"180,000.00",Low Emission Taxi Camb City  #180000,CB1 0JH
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Stubbs Electrical Ltd,2000006045,500.00,Stubbs Electrical Feb 17 #500,DL11 6BW
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",LMP Electrical Services Limited,2000006046,"1,000.00",LMP Electrical Apr 17 #1000,ME3 8FT
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Deuce Electrical Services,2000006047,500.00,Deuce Electrical Mar 17 #500,NG17 8BP
Department for Transport,Department for Transport,03/07/2017,Support Services,Group Finance,Macks Solicitors,2000006048,"235,170.00",Industrial Injury Claim - SR 9000528282,TS1 3BE
Department for Transport,Department for Transport,03/07/2017,CurrGrt Las in AEF/A,"Energy, Technology and International",NORTHAMPTONSHIRE CC,2000006049,"20,528.47","""ULEVR NCC VL Annual 17/18 #20,528.47""",NN4 7DB
Department for Transport,Department for Transport,04/07/2017,Research,Analysis & Strategy,Department Of Energy & Climate,100008797,"7,200.00",#,NP10 8FZ
Department for Transport,Department for Transport,04/07/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,SNCF Caisse Generale,2000006100,"6,188,353.94",SNCF JUNE 17 GBP - SR 9-528532,93633
Department for Transport,Department for Transport,04/07/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,SNCF TRESORERIE ENC RHT VFE,2000006101,"6,431,520.68","SNCF JUNE 17 (7,326,570.44 EURO) SR 9-528532",75014
Department for Transport,Department for Transport,04/07/2017,Agency Staff Costs,HSR Programme and Funding,CAPITA BUSINESS SERVICES LTD,2000006103,"1,985.33",#,DL1 9HN
Department for Transport,Department for Transport,04/07/2017,Agency Staff Costs,HSR Programme and Funding,CAPITA BUSINESS SERVICES LTD,2000006103,"2,882.16",#,DL1 9HN
Department for Transport,Department for Transport,04/07/2017,Agency Staff Costs,HSR Programme and Funding,CAPITA BUSINESS SERVICES LTD,2000006103,"2,963.16",#,DL1 9HN
Department for Transport,Department for Transport,04/07/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000006103,"3,717.14",#,DL1 9HN
Department for Transport,Department for Transport,04/07/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000006103,"4,130.16",#,DL1 9HN
Department for Transport,Department for Transport,04/07/2017,IT Consultancy,Marine Accident Investigation Branch,AVENCA LTD,2000006106,720.00,#,SP5 3AR
Department for Transport,Department for Transport,04/07/2017,Research,Strategic Roads,CAMBRIDGE ECONOMIC POLICY ASSOC LTD,2000006108,"122,181.00",#,WC2A 3LJ
Department for Transport,Department for Transport,04/07/2017,IT Consultancy,DG_RAIL - Network Services,CAPITA PROPERTY & INFRASTRUCTURE,2000006109,627.19,#,CA6 4SJ
Department for Transport,Department for Transport,04/07/2017,IT Consultancy,DG_RAIL - Network Services,CAPITA PROPERTY & INFRASTRUCTURE,2000006109,"9,388.80",#,CA6 4SJ
Department for Transport,Department for Transport,04/07/2017,Training,Maritime,INDUSTRY & PARLIAMENT TRUST,2000006111,950.00,#,SW1A 2EL
Department for Transport,Department for Transport,04/07/2017,Transport  Consult,Major Projects,Mott MacDonald Limited,2000006113,"128,522.89",#,CR0 2EE
Department for Transport,Department for Transport,04/07/2017,Transport  Consult,DG_Rail - Passenger Services,WSP UK Ltd T/A Parsons Brinckerhoff,2000006114,506.78,#,RG21 4HJ
Department for Transport,Department for Transport,04/07/2017,Transport  Consult,DG_Rail - Passenger Services,WSP UK Ltd T/A Parsons Brinckerhoff,2000006114,685.78,#,RG21 4HJ
Department for Transport,Department for Transport,04/07/2017,Transport  Consult,DG_Rail - Passenger Services,WSP UK Ltd T/A Parsons Brinckerhoff,2000006114,"6,731.46",#,RG21 4HJ
Department for Transport,Department for Transport,04/07/2017,Financial Consultanc,DG_Rail - Passenger Services,Pricewaterhouse Coopers LLP,2000006115,"52,889.06",#,SE1 2RD
Department for Transport,Department for Transport,04/07/2017,Financial Consultanc,DG_Rail - Passenger Services,Pricewaterhouse Coopers LLP,2000006115,"61,216.50",#,SE1 2RD
Department for Transport,Department for Transport,04/07/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000006117,"1,925.00",#,BS24 9BP
Department for Transport,Department for Transport,04/07/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000006117,"2,094.00",#,BS24 9BP
Department for Transport,Department for Transport,04/07/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000006117,"2,910.00",#,BS24 9BP
Department for Transport,Department for Transport,04/07/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000006117,"5,000.40",#,BS24 9BP
Department for Transport,Department for Transport,04/07/2017,Research,"Energy, Technology and International",TRANSPORT RESEARCH LABORATORY,2000006118,"148,396.13",#,RG40 3GA
Department for Transport,Department for Transport,04/07/2017,Management Consultan,DG_Rail - Passenger Services,Turner & Townsend Cost Management,2000006119,"15,465.00",#,LS18 4GH
Department for Transport,Department for Transport,04/07/2017,Agency Staff Costs,Strategic Roads,BROOK STREET (UK) LIMITED,2000006120,541.08,#,AL1 4JB
Department for Transport,Department for Transport,04/07/2017,Legal Consultancy,DG_Rail - Passenger Services,ADDLESHAW GODDARD LIMITED,2000006121,"89,802.72",#,M2 3AB
Department for Transport,Department for Transport,04/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",THE COLT CAR COMPANY LTD,2000006122,"1,768,383.00","""PICG Mitsubishi April 2017 #1,768,383""",GL7 1LF
Department for Transport,Department for Transport,04/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",NISSAN MOTOR GB LTD,2000006123,"2,743,254.65","""PICG Nissan May 2017 #2,743,254.65""",WD3 9YS
Department for Transport,Department for Transport,04/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMW UK Ltd,2000006127,"2,597,000.00","""PICG BMW May 2017 #2,597,000""",GU14 0FB
Department for Transport,Department for Transport,04/07/2017,Conferences / Semina,DG_IS - ISE DG Office,Calder Conferences Limited,2000006129,"1,073.96",#,LS16 6RF
Department for Transport,Department for Transport,04/07/2017,Training,Group Commercial Services,UKGovcamp,2000006135,"1,000.00",#,BR3 4EY
Department for Transport,Department for Transport,04/07/2017,Agents Fees,Marine Accident Investigation Branch,Foilseachan Na Mara Teoranta,2000006136,"1,000.00",#,.
Department for Transport,Department for Transport,05/07/2017,Other Professional F,Group Finance,Arvato Ltd,100010226,"1,160,665.00",Matched to credit note,HU10 6DN
Department for Transport,Department for Transport,05/07/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,Eurotunnel,2000006153,"5,778,755.16",Opex & Usage Charges - June 2017 - SR 9000528868,CT18 8XX
Department for Transport,Department for Transport,05/07/2017,Eurotunnel Admin Pay,DG_Rail - Passenger Services,EUROTUNNEL,2000006154,"5,377,961.62",Opex & Usage Charges - June 2017 - SR 9000528868,CT18 8XY
Department for Transport,Department for Transport,05/07/2017,Training,Group Assurance,Cranfield Management Development,2000006173,"6,565.83",#,MK43 0AL
