Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,SLA South Mcr Vit D,Diagnostics & Clinical Support,UNI HOSP OF S MANCHESTER NHS FOUND TRUST,0001008878,36509.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,M & S Equipment,Capital,DEKOMED LTD,0001009238,42634.80 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Network Systems Maintenance,Corporate Services Other,PINACL SOLUTIONS LTD,0001009290,77601.02 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Computer Hardware & Software,Capital,ANS GROUP,0001009296,31200.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Computer Hardware & Software,Capital,ANS GROUP,0001009296,67033.72 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Balance Sheet,North Manchester Pharmacy,ROCHE PRODUCTS LTD,0001009363,32372.08 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Rates,Estates and Facilities,OLDHAM M B,0001009647,86600.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Rates,Estates and Facilities,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0001009649,42646.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Rates,Estates and Facilities,MANCHESTER CITY COUNCIL,0001009651,75342.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Rates,Estates and Facilities,BURY MBC,0001009652,73177.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Pathology Systems Maintenance,Corporate Services Other,CLINISYS SCOTLAND LTD,0001009782,175431.55 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Computer Hardware & Software,Capital,INSIGHT DIRECT UK LTD,0001010107,52935.60 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Computer Hardware & Software,Capital,INSIGHT DIRECT UK LTD,0001010108,112701.60 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Bld Contract Pennine Acute,Capital,ENVIRONMENTAL WATER SYSTEMS,0001010227,43520.40 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Reagent - Instrument Labs,Diagnostics & Clinical Support,S G EQUIPMENT FINANCE LTD,0001010265,52120.10 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Reagent - Horiba ABX,Diagnostics & Clinical Support,S G EQUIPMENT FINANCE LTD,0001010265,76175.55 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Reagents - Genprobe,Diagnostics & Clinical Support,S G EQUIPMENT FINANCE LTD,0001010265,72166.29 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Interest Payable-Finance Lease,Dividents and Interest,S G EQUIPMENT FINANCE LTD,0001010265,13614.25 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Balance Sheet,Finance Leases,S G EQUIPMENT FINANCE LTD,0001010265,36323.75 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Balance Sheet,North Manchester Pharmacy,BRISTOL- MYERS SQUIBB PHARM LTD,0001010292,27756.13 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Balance Sheet,North Manchester Pharmacy,GILEAD SCIENCES LTD,0001010339,37800.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Balance Sheet,North Manchester Pharmacy,GILEAD SCIENCES LTD,0001010496,37800.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001010529,33788.84 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Balance Sheet,Capital Retentions,PROJECTS LTD,0001010529,8247.52 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Balance Sheet,Credit Union,METRO MONEYWISE,0001010559,39495.18 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,PACS Support & Maintenance,Corporate Services Other,CSC CHORLEY,0001010698,113937.23 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,M & S Equipment,Capital,DRAEGER MEDICAL,0001010755,34845.62 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,M & S Equipment,Capital,DRAEGER MEDICAL,0001010755,1460.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,M & S Equipment,Capital,DRAEGER MEDICAL,0001010755,62.40 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,A & E Systems Maintenance,Corporate Services Other,ASCRIBE,0001010799,42669.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,A & E Systems Maintenance,Corporate Services Other,ASCRIBE,0001010799,6372.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,M & S Equipment,Capital,TOSHIBA MEDICAL SYSTEMS LTD,0001010826,233640.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,M & S Equipment,Capital,TOSHIBA MEDICAL SYSTEMS LTD,0001010834,131160.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,DUE NORTH LTD,0001010837,29040.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,DUE NORTH LTD,0001010837,1080.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,DUE NORTH LTD,0001010837,3540.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,DUE NORTH LTD,0001010837,6000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,DUE NORTH LTD,0001010837,3240.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,M & S Equipment,Capital,TOSHIBA MEDICAL SYSTEMS LTD,0001010840,551017.39 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Lithotripsy,Surgery,CARIAD TECHNOLOGIES,0001010880,33040.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110426,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001011071,69192.73 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Computer Hardware & Software,Capital,ISOFT,0001011105,60000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Balance Sheet,UNISON,UNISON,0001011268,27953.70 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Balance Sheet,Hospital Saturday Fund,HEALTHSURE GROUP LTD,0001011271,25904.04 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001011481,11013.83 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001011481,52866.38 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001011574,14077.55 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001011574,13267.74 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Balance Sheet,Bury Pharmacy,AAH CUSTOMER SERVICE,0001011711,143102.05 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Balance Sheet,Rochdale Pharmacy,AAH CUSTOMER SERVICE,0001011716,53379.17 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Balance Sheet,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001011717,190435.99 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Balance Sheet,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001011718,260102.31 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Balance Sheet,North Manchester Pharmacy,GILEAD SCIENCES LTD,0001011750,42273.84 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001012124,25167.10 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Pressure Relieving Equipment,Corporate Services Other,TALLEY GROUP LIMITED,0001012178,33588.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Bld Contract Pennine Acute,Capital,WILLIAMS REFRIGERATION CENTRAL LTD,0001012267,38591.82 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110426,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001012334,175164.18 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Bld Contract Pennine Acute,Capital,DIRECT SECURITY LTD,0001012592,70000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Bld Contract Pennine Acute,Capital,D H WELTON CO LTD,0001012638,37873.19 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Bld Contract Pennine Acute,Capital,PENLON LTD,0001012955,29450.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Bld Contract Pennine Acute,Capital,BROWNS CONSTRUCTION GROUP LTD,0001012956,3490.13 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Bld Contract Pennine Acute,Capital,BROWNS CONSTRUCTION GROUP LTD,0001012956,79575.06 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Insurance Premiums,Corporate Services Other,BRIAN JOHNSTON & CO (INSURANCE BROKERS),0001013164,59878.50 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,M & S Equipment,Capital,RATIONAL UK,0001013236,29594.40 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,M & S Equipment,Capital,RATIONAL UK,0001013236,1345.20 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Auditors Remuneration,Corporate Services Other,KPMG LLP,0001013262,41400.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,1453.05 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,1663.20 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,1728.54 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,415.80 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,1663.20 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,65696.40 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment,Capital,OLYMPUS KEYMED,0001013541,101455.20 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001013652,678409.19 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Maternity Systems Maintenance,Corporate Services Other,HEALTHCARE SOFTWARE SYSTEMS LT,0001013857,66556.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001013949,5069.62 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001013949,55416.93 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001013949,8887.50 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Bld Contract Pennine Acute,Capital,MEDWAY HEATING (BOLTON) LTD,0001014076,93660.78 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Security Services,Estates and Facilities,SECURITAS SECURITY SERVICES,0001014180,57340.05 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Energy Steam,Estates and Facilities,SRCL LTD,0001014190,27529.51 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001014194,-87935.28
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001014196,-36195.31
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001014216,-34603.35
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Balance Sheet,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001014424,427452.73 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001014548,61121.35 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001014548,39599.59 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Consultancy Services,Corporate Services Other,ERNST & YOUNG LLP,0001014887,376000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Bld Contract Pennine Acute,Capital,TOM CROFT (BOLTON) LTD,0001014996,23136.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Bld Contract Pennine Acute,Capital,TOM CROFT (BOLTON) LTD,0001014996,4820.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Pacemakers,Medicine,BOSTON SCIENTIFIC LTD,0001015430,10524.61 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,Pacemakers,Medicine,BOSTON SCIENTIFIC LTD,0001015430,18569.04 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001015506,10000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001015506,10000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001015506,10000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001015506,10000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001015592,1444.88 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001015592,26753.04 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001015595,854.91 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001015595,51405.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001015598,114923.70 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001015598,2899.36 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Eng Serv Contract PennineAcute,Estates and Facilities,COFELY LTD,0001016793,21560.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Eng Serv Contract PennineAcute,Estates and Facilities,COFELY LTD,0001016793,8520.19 
,,,,,,,
