Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,15/07/2014,Estates,Water Rates,United Utilities Water Limited,548290,"32,092.06"
Department of Health,Mersey Care NHS Trust,15/07/2014,Estates,Water Rates,United Utilities Water Limited,548718,"29,605.39"
Department of Health,Mersey Care NHS Trust,22/07/2014,Hss Business Management System,Building Works,Impact Control Systems Ltd,19499,"35,332.06"
Department of Health,Mersey Care NHS Trust,22/07/2014,Adult Drugs,Fp 10'S,Nhs Business Services Authority,20061,159.55
Department of Health,Mersey Care NHS Trust,22/07/2014,Brook Place,Fp 10'S,Nhs Business Services Authority,20061,"36,960.53"
Department of Health,Mersey Care NHS Trust,22/07/2014,D.A.R.T,Fp 10'S,Nhs Business Services Authority,20061,"29,907.41"
Department of Health,Mersey Care NHS Trust,22/07/2014,Drr Green Lane,Fp 10'S,Nhs Business Services Authority,20061,"4,714.67"
Department of Health,Mersey Care NHS Trust,22/07/2014,Pharmacy (Ns),Fp 10'S,Nhs Business Services Authority,20061,"10,521.50"
Department of Health,Mersey Care NHS Trust,22/07/2014,Windsor Clinic,Fp 10'S,Nhs Business Services Authority,20061,158.55
Department of Health,Mersey Care NHS Trust,22/07/2014,Bal Sheet Control,Capitalised Pens Non Current,Nhs Pension Scheme,20064,"109,143.51"
Department of Health,Mersey Care NHS Trust,22/07/2014,Bal Sheet Control,P I B Provision Non Current,Nhs Pension Scheme,20065,"213,853.20"
Department of Health,Mersey Care NHS Trust,22/07/2014,Human Resources,Capita Payroll/Hr Sla,Capita Business Services Ltd,548174,"33,452.43"
Department of Health,Mersey Care NHS Trust,22/07/2014,Human Resources,Capita Payroll/Hr Sla,Capita Business Services Ltd,548174,"15,412.47"
Department of Health,Mersey Care NHS Trust,22/07/2014,Cheshire & M'Side Npfit,Cloud,Specialist Computer Cent.Ltd,549293,"61,127.39"
Department of Health,Mersey Care NHS Trust,29/07/2014,Bal Sheet Control,Drugs,Novartis Pharmaceuticals Uk Ltd,550068,"45,903.60"
Department of Health,Mersey Care NHS Trust,03/07/2014,Cheshire & M'Side Npfit,Cloud,Specialist Computer Cent.Ltd,545638,"47,529.14"
Department of Health,Mersey Care NHS Trust,18/07/2014,Bal Sheet Control,Income Tax,Hmrc,1076281,"1,298,038.72"
Department of Health,Mersey Care NHS Trust,18/07/2014,Bal Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1076281,"627,790.47"
Department of Health,Mersey Care NHS Trust,18/07/2014,Bal Sheet Control,Ni (Er),Hmrc,1076281,"742,037.68"
Department of Health,Mersey Care NHS Trust,18/07/2014,Bal Sheet Control,Superannuation (Ee),Nhs Pensions,1076281,"715,405.08"
Department of Health,Mersey Care NHS Trust,18/07/2014,Bal Sheet Control,Superannuation (Er),Nhs Pensions,1076281,"1,105,729.23"
Department of Health,Mersey Care NHS Trust,18/07/2014,Nmhis Balance Sheet Control,Income Tax,Hmrc,1076281,"72,345.49"
Department of Health,Mersey Care NHS Trust,18/07/2014,Nmhis Balance Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1076281,"41,443.48"
Department of Health,Mersey Care NHS Trust,18/07/2014,Nmhis Balance Sheet Control,Ni (Er),Hmrc,1076281,"44,492.77"
Department of Health,Mersey Care NHS Trust,18/07/2014,Nmhis Balance Sheet Control,Superannuation (Ee),Nhs Pensions,1076281,"46,267.73"
Department of Health,Mersey Care NHS Trust,18/07/2014,Nmhis Balance Sheet Control,Superannuation (Er),Nhs Pensions,1076281,"71,920.28"
