,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.11,"Listening to radio via internet, DTV, mobile phone",,,,,,,,,,,
"Proportion of respondents (%) who have listened to radio via DTV, internet or mobile phone",,,,,,,,,,,,
How often if at all do you access the rado via….,UK,Wales,England,Scotland,Northern Ireland,,Urban Wales,Rural Wales,,South East Wales,South West Wales,North / Mid Wales
Digital TV,32%,33%,32%,32%,24%,,30%,38%,,33%,20%,40%
Internet,20%,12%,21%,14%,16%,,11%,12%,,13%,9%,13%
DAB,28%,22%,29%,19%,27%,,23%,19%,,23%,23%,18%
Mobile Phone,13%,9%,13%,10%,17%,,9%,9%,,12%,8%,7%
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio (n= 7017 UK, 854 Wales, 4476 England, 1034 Scotland, 653 Northern Ireland, 623 Wales urban, 231 Wales rural, 251 South East Wales, 277 South West Wales, 326 North/ Mid Wales",,,,,,,,,,,,
"QP3. How often, if at all, do you access the radio via – Digital radio via: TV, Internet, DAB radio, mobile phone?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.12,,,,,,,,,,,,
Share of radio listening hours via digital and analogue platforms,,,,,,,,,,,,
 ,Analogue,Digital,Not Stated,,,,,,,,,
UK,67%,24%,9%,,,,,,,,,
Wales,74%,22%,5%,,,,,,,,,
England,66%,25%,10%,,,,,,,,,
Northern Ireland,73%,14%,13%,,,,,,,,,
Scotland,70%,22%,8%,,,,,,,,,
"Source: RAJAR/ Octagon, Q1 2010",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.13,Listening to audio content on mobile phone ,,,,,,,,,,,
Proportion of respondents (%) who have used their mobile to listen to audio content,,,,,,,,,,,,
,UK,Wales,England,Scotland,N Ireland,,Wales urban,Wales rural,,SE Wales,SW Wales,North/ Mid Wales
Listened in past week,12,10,12,9,15,,10,9, ,10,6,12
Listen less than weekly,6,4,7,4,9,,4,4,,4,5,5
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1075 Wales, 5709 England, 1468 Scotland, 761 Northern Ireland, 810 Wales urban, 265 Wales rural, 348 South East Wales, 360 South West Wales, 367 North/ Mid Wales)",,,,,,,,,,,,
"QD28A-B. Which, if any, of the following activities, other than making and receiving calls, do you use your mobile for?/ And, which of these activities have you used your mobile for in the last week?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.14,Proportion of adults living in a household that has used the internet to listen to radio,,,,,,,,,,,
Online radio listening ,UK,Wales,England,Scotland,N Ireland,,Wales urban,Wales rural,,SE Wales,SW Wales,North/ Mid Wales
Listen online less than weekly,6,4,7,4,6,,4,4,,2,2,8
Listened online in past week,8,5,8,4,9,,5,6,,5,4,6
Broadband penetration,71%,64%,73%,61%,70%,,62%,69%,,58%,66%,70%
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1075 Wales, 5709 England, 1468 Scotland, 761 Northern Ireland, 810 Wales urban, 265 Wales rural, 348 South East Wales, 360 South West Wales, 367 North/ Mid Wales)",,,,,,,,,,,,
"QE5A-B. Which, if any, of these do you or members of your household use the internet for whilst at home?/ And, which, if any, of these activities have you or members of your household used the internet for in the last week?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.15,Use of internet for listening to streamed audio services ,,,,,,,,,,,
,UK,Wales,England,Scotland,N Ireland,,Wales urban,Wales rural,,SE Wales,SW Wales,North/ Mid Wales
Use of internet to listen to streamed audio services,6,3,7,3,5,,3,4,,3,3,5
Broadband penetration (%),71,64,73,61,70,,62,69,,58,66,70
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1075 Wales, 5709 England, 1468 Scotland, 761 Northern Ireland, 810 Wales urban, 265 Wales rural, 348 South East Wales, 360 South West Wales, 367 North/ Mid Wales)",,,,,,,,,,,,
"QE10A. Which, if any, of these do you or members of your household use the internet for whilst at home?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 3.16,Satisfaction with radio stations choice – by area,,,,,,,,,,,
Q1 2010 satifaction choice,UK,Wales,England,Scotland,Northern Ireland,,Urban Wales,Rural Wales,,South East Wales,South West Wales,North / Mid Wales
Satisfied,93%,95%,93%,95%,89%,,95%,94%,,97%,96%,92%
Dissatisfied,3%,3%,3%,2%,5%,,1%,4%,,0%,2%,2%
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio (n= 7017 UK, 854 Wales, 4476 England, 1034 Scotland, 653 Northern Ireland, 623 Wales urban, 231 Wales rural, 251 South East Wales, 277 South West Wales, 326 North/ Mid Wales)",,,,,,,,,,,,
QP4. How satisfied are you with the choice of radio stations available in your area? Note: Remaining percentages include ‘neither’ responses,,,,,,,,,,,,
