Merchant Category,Supplier Name,Service,Summary of Purpose of Expenditure,Date,Net Amount
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,394.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,37.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,962.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,795.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,958.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,387.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,37.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,"7,616.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,"3,627.80"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,64.60
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,20.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,"7,517.40"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,"3,604.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,64.60
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/03/2017,20.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,"7,816.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,"4,226.20"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,71.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,20.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,"7,306.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,"3,808.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,78.20
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/03/2017,20.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,"7,503.80"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,"3,876.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,71.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,20.40
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,"7,833.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,"3,787.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,74.80
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,29/03/2017,20.40
Social Care Services,Abacus Homecare,Adult Social Care,Information and Communications Technology,15/03/2017,-620.95
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,01/03/2017,513.40
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,01/03/2017,775.20
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/03/2017,326.40
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/03/2017,700.40
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/03/2017,323.00
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/03/2017,547.40
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,29/03/2017,319.60
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,29/03/2017,540.60
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,29/03/2017,401.20
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,29/03/2017,408.00
Mobility Equipment / Supplies,Ability Aware Limited,Adult Social Care,Furniture and Equipment,28/03/2017,530.28
Health Services,ABL Health Ltd,Public Health,Supplies and services,01/03/2017,"61,083.33"
Health Services,ABL Health Ltd,Public Health,Supplies and services,29/03/2017,"61,083.33"
Healthcare Supplies,ABLE 2,Adult Social Care,Agency Staff,03/03/2017,"3,450.00"
Social Care Services,ABLE COMMUNITY CARE,Adult Social Care,Care Payments,31/03/2017,"11,349.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,21/03/2017,"-1,750.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,21/03/2017,"-1,000.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,21/03/2017,"1,000.00"
Recruitment / Staffing,ABN AMRO Commercial Fin a/f Insight,Central Support Costs,Agency Staff,21/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,06/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,06/03/2017,"1,250.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,07/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,13/03/2017,"1,250.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,13/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,13/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,20/03/2017,"1,250.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,20/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,20/03/2017,"1,250.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,22/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,27/03/2017,"1,250.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,03/03/2017,"1,000.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,27/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,27/03/2017,"1,750.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,03/03/2017,"1,600.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,03/03/2017,"1,400.00"
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,31/03/2017,"4,750.00"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,06/03/2017,"-1,876.90"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,06/03/2017,"3,540.00"
Social Care Services,About Me Care and Support Ltd,Adult Social Care,Care Payments,22/03/2017,850.93
Social Care Services,Absolute care & support (UK)Ltd ISF,Adult Social Care,Care Payments,31/03/2017,-899.34
Social Care Services,Absolute care & support (UK)Ltd ISF,Adult Social Care,Care Payments,31/03/2017,"3,310.84"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,472.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,173.40
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,163.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,183.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,703.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,"4,345.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,"1,332.80"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,482.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,190.40
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,163.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,159.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,788.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,"4,433.60"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/03/2017,"1,343.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,306.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,197.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,163.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,183.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,816.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,"4,474.40"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,"1,363.40"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,384.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,204.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,142.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,183.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,778.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,"4,593.40"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/03/2017,"1,254.60"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,22/03/2017,210.80
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,22/03/2017,319.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,438.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,204.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,136.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,170.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,761.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,"4,488.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,"1,152.60"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,486.20
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,204.00
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,115.60
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,190.40
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,802.40
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,"4,175.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,29/03/2017,"1,193.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,68.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,"1,730.60"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,200.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,428.40
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,"1,710.20"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,105.40
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,61.20
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,"2,196.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,200.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,428.40
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,"1,706.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,01/03/2017,102.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,68.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,"2,461.60"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,200.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,428.40
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,"1,540.20"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,108.80
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,68.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,"2,461.60"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,193.80
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,428.40
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,"1,574.20"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,15/03/2017,112.20
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,68.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,"2,417.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,193.80
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,571.20
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,"1,652.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,102.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,68.00
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,"2,400.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,248.20
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,557.60
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,"1,744.20"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,29/03/2017,112.20
Security / Safety,ACC SECURITY SOLUTIONS,Central Support Costs,Repairs and Maintenance,27/03/2017,852.00
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,07/03/2017,"11,197.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Childcare Provision,Acorn Care and Education,Childrens & Educational Services,Fees and Charges,30/03/2017,"2,799.33"
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,01/03/2017,807.50
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,01/03/2017,807.50
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Capital Expenditure,Capital Expenditure - Works,01/03/2017,911.50
Construction / Building Services,ACORN LIGHTING SERVICES LTD,Highways & Transport Services,Repairs and Maintenance,28/03/2017,838.46
Construction / Building Services,ACORN LIGHTING SERVICES LTD,Highways & Transport Services,Repairs and Maintenance,28/03/2017,"2,236.46"
Counselling Services,Acorn Recovery Projects,Adult Social Care,Third party payments - Private/Voluntary Sector,06/03/2017,"5,325.00"
Counselling Services,Acorn Recovery Projects,Adult Social Care,Third party payments - Private/Voluntary Sector,21/03/2017,"4,875.00"
Counselling Services,Acorn Recovery Projects,Childrens & Educational Services,Fees and Charges,23/03/2017,"2,652.00"
Counselling Services,Acorn Recovery Projects,Childrens & Educational Services,Fees and Charges,29/03/2017,"7,720.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,14/03/2017,"2,130.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/03/2017,"1,904.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/03/2017,560.67
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,08/03/2017,"1,121.33"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,16/03/2017,875.00
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,-686.55
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,-631.50
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,-769.30
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,"-1,263.15"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,"2,174.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,"5,560.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,468.75
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,"2,375.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,06/03/2017,"4,440.00"
Psychology / Assessment Services,ADVANCED CHILD CARE ASSESSMENTS LTD,Childrens & Educational Services,Legal Fees,28/03/2017,"1,729.60"
Financial Services,Advanced Payment Solutions Ltd,Central Support Costs,Fees and Charges,10/03/2017,"3,750.00"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Professional Fees,15/03/2017,"17,286.18"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,23/03/2017,"4,788.00"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,23/03/2017,"7,471.48"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,29/03/2017,750.00
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,24/03/2017,"3,718.23"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,24/03/2017,"13,215.25"
Welfare Services,Age Concern Manchester,Adult Social Care,Care Payments,29/03/2017,754.80
Welfare Services,Age Concern Manchester,Adult Social Care,Care Payments,23/03/2017,717.06
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,22/03/2017,34.95
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,22/03/2017,23.30
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,22/03/2017,279.60
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,22/03/2017,69.90
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,22/03/2017,195.14
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,30/03/2017,46.60
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,30/03/2017,93.20
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,30/03/2017,279.60
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,30/03/2017,34.95
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,30/03/2017,139.80
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Third party payments - Private/Voluntary Sector,03/03/2017,"16,366.00"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"2,210.91"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"2,210.91"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"2,210.91"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"2,210.91"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"2,210.91"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"1,364.65"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"1,364.65"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"1,364.65"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"1,364.65"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Care Payments,03/03/2017,"1,364.65"
Mobility Equipment / Supplies,AIDSERVICE LTD,Adult Social Care,Furniture and Equipment,13/03/2017,394.00
Mobility Equipment / Supplies,AIDSERVICE LTD,Adult Social Care,Furniture and Equipment,13/03/2017,316.80
Mobility Equipment / Supplies,AIDSERVICE LTD,Adult Social Care,Office Expenses,13/03/2017,12.00
Mobility Equipment / Supplies,AIDSERVICE LTD,Adult Social Care,Furniture and Equipment,16/03/2017,725.00
Mobility Equipment / Supplies,AIDSERVICE LTD,Adult Social Care,Office Expenses,16/03/2017,45.00
Environmental Services,AIRBORNE ENVIRONMENTAL CONSULTANCY,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"7,490.00"
Environmental Services,AIRBORNE ENVIRONMENTAL CONSULTANCY,Capital Expenditure,Capital Expenditure - Works,29/03/2017,"1,400.00"
Music and Musical Instruments,ALAN GREGORY,Childrens & Educational Services,Furniture and Equipment,13/03/2017,"2,564.57"
Forensics / Laboratories,Alere Toxicology Plc,Central Services to the public,Fees and Charges,01/03/2017,"2,142.50"
Transport and Travel,ALFA TRAVEL,Cultural & Related Services,Publicity and Promotion,24/03/2017,865.49
Childcare Provision,All Aboard Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,02/03/2017,"1,769.85"
Childcare Provision,All Aboard Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,09/03/2017,891.00
Church / Place of Worship,ALL HALLOWS CHURCH,Non Distributed Costs,Third party payments - Private/Voluntary Sector,14/03/2017,"1,079.00"
