A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 6/1/2015 11:52:57 AM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,8072325,"(60,404.83)",,HT000017104,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,8072326,"116,214.40",,HT000017105,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,8072326,"4,322.85",,HT000017105,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7911195,"390,045.00",,29085,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Cont Care- Retrospective Claims,CHC ADULT FULLY FUNDED,ONE-OFF SUPPLIER,8081468,"36,349.11",,101848-21-MAY-2015,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,7928623,"225,486.00",654935994,I0091952,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PATHOLOGY PARTNERSHIP,7897031,"397,001.00",,77000302,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PATHOLOGY PARTNERSHIP,7897066,"90,964.43",,77000362,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,8086574,"447,571.00",,ENHCCGINVPINMAY15,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,8086578,"447,571.00",,ENHCCGINVPINAPR15,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,8086594,"(562,520.00)",,ENHCCGCRPINAPR15,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Audit Fees: Statutory,FINANCE,PRICEWATERHOUSECOOPERS LLP,7945402,"78,000.00",,1354367235,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7794913,"4,077,415.17",654964985,BL150201,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8102333,"5,132,244.15",654964985,BL150301,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,RAMSAY HEALTH CARE UK,8032151,"215,000.00",,ENHERTS0515PF,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,7772190,"251,020.44",426505170,ENHCCGRIVINVFINSEPT14,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,7772205,"195,685.23",426505170,ENHCCGRIVINVFINOCT14,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,7772220,"189,557.48",426505170,ENHCCGRIVINVFINNOV14,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,7772262,"178,506.15",426505170,ENHCCGRIVINVFINJAN15,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,7772281,"105,793.83",426505170,ENHCCGRIVINVFINDEC14,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RIVERS HOSPITAL,7897241,"520,717.00",426505170,ENHMAY2015RIVERS,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,7911369,"180,750.84",,I0173828,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,8086237,"(74,213.46)",,C0012075,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,7769631,"52,427.00",654946987,I0071686,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,7769687,"295,250.00",654946987,I0072517,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,7911275,"337,661.00",654946987,I0100188,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,7910939,"239,113.00",,B0028030,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Prior Year,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,7910517,"40,420.09",654974100,I0043662,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,7911246,"40,420.05",654974100,I0044826,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,7945661,"135,770.00",915970991,06KHPNPF201502,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Voluntary Sector,HOSPICES,ST CLARE HOSPICE TRUST,7911165,"42,895.00",,2788,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Furniture & Fittings,NON RECURRENT PROGRAMMES,TEAL FURNITURE LTD,7903285,"45,733.20",,T00022661,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Accruals <1Yr-Other Payments,BALANCE SHEET,UNIT4 BUSINESS SOFTWARE LTD,7769722,"70,637.19",,20017542,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,7795112,"513,371.00",654948687,5010052395,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,7945057,"108,391.00",654948687,5010048629,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,URGENT CARE,VIRGIN CARE LEA VALLEY LLP,7927691,"76,715.50",918510332,812Z375,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,8072351,"(55,854.90)",,HT000017131,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,8072352,"99,202.47",,HT000017132,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,8072352,"1,255.80",,HT000017132,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,7910761,"(136,964.00)",,22553,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,7910851,"287,656.00",,229479,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,8072347,"36,550.06",,HT000017127,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,8072347,"1,851.50",,HT000017127,
,,,,,,,,,,
,,,,,,,"45,194,871.16",,,
