,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Kent,3,100.0%,0,0.0%,225,76.5%,69,23.5%,18,90.0%,2,10.0%,37,86.0%,6,14.0%,13,86.7%,2,13.3%,312,86.7%,48,13.3%,17,100.0%,0,0.0%,73,70.2%,31,29.8%,103,93.6%,7,6.4%,103,83.7%,20,16.3%,147,88.6%,19,11.4%,166,87.8%,23,12.2%,31,100.0%
Lancashire,1,100.0%,0,0.0%,352,73.6%,126,26.4%,43,84.3%,8,15.7%,62,81.6%,14,18.4%,20,74.1%,7,25.9%,401,94.8%,22,5.2%,15,93.8%,1,6.3%,94,82.5%,20,17.5%,114,96.6%,4,3.4%,205,93.2%,15,6.8%,90,84.1%,17,15.9%,269,85.1%,47,14.9%,36,100.0%
Leicestershire,0,0.0%,1,100.0%,138,76.7%,42,23.3%,21,84.0%,4,16.0%,48,94.1%,3,5.9%,22,100.0%,0,0.0%,189,90.9%,19,9.1%,10,76.9%,3,23.1%,40,83.3%,8,16.7%,36,97.3%,1,2.7%,48,80.0%,12,20.0%,31,79.5%,8,20.5%,379,94.5%,22,5.5%,15,100.0%
Lincolnshire,0,-,0,-,58,73.4%,21,26.6%,8,80.0%,2,20.0%,10,71.4%,4,28.6%,2,100.0%,0,0.0%,120,88.2%,16,11.8%,6,85.7%,1,14.3%,23,82.1%,5,17.9%,45,93.8%,3,6.3%,42,73.7%,15,26.3%,8,88.9%,1,11.1%,111,86.7%,17,13.3%,7,100.0%
Merseyside,17,77.3%,5,22.7%,"1,299",70.0%,558,30.0%,127,66.8%,63,33.2%,313,86.7%,48,13.3%,192,75.3%,63,24.7%,"1,287",89.2%,156,10.8%,205,83.3%,41,16.7%,307,84.1%,58,15.9%,"1,160",94.8%,63,5.2%,705,82.9%,145,17.1%,525,82.0%,115,18.0%,"1,771",80.2%,437,19.8%,178,100.0%
Metropolitan and City,0,-,0,-,208,77.0%,62,23.0%,25,75.8%,8,24.2%,56,91.8%,5,8.2%,17,94.4%,1,5.6%,366,95.1%,19,4.9%,24,92.3%,2,7.7%,60,81.1%,14,18.9%,273,97.2%,8,2.8%,126,81.3%,29,18.7%,131,86.8%,20,13.2%,416,93.1%,31,6.9%,27,100.0%
Norfolk,0,-,0,-,153,85.0%,27,15.0%,11,78.6%,3,21.4%,19,90.5%,2,9.5%,7,100.0%,0,0.0%,151,87.3%,22,12.7%,3,60.0%,2,40.0%,47,90.4%,5,9.6%,64,97.0%,2,3.0%,81,89.0%,10,11.0%,66,88.0%,9,12.0%,131,87.9%,18,12.1%,4,100.0%
Northamptonshire,2,100.0%,0,0.0%,96,80.0%,24,20.0%,10,76.9%,3,23.1%,18,78.3%,5,21.7%,1,100.0%,0,0.0%,109,90.1%,12,9.9%,7,70.0%,3,30.0%,25,92.6%,2,7.4%,39,92.9%,3,7.1%,26,68.4%,12,31.6%,26,89.7%,3,10.3%,139,93.9%,9,6.1%,18,100.0%
Northumbria,3,100.0%,0,0.0%,234,71.8%,92,28.2%,23,71.9%,9,28.1%,53,76.8%,16,23.2%,23,92.0%,2,8.0%,483,89.6%,56,10.4%,26,65.0%,14,35.0%,97,81.5%,22,18.5%,130,90.9%,13,9.1%,151,78.2%,42,21.8%,223,80.8%,53,19.2%,557,91.3%,53,8.7%,34,100.0%
North Wales,0,-,0,-,120,82.2%,26,17.8%,11,73.3%,4,26.7%,19,95.0%,1,5.0%,9,100.0%,0,0.0%,132,91.7%,12,8.3%,11,91.7%,1,8.3%,44,86.3%,7,13.7%,49,98.0%,1,2.0%,73,90.1%,8,9.9%,90,91.8%,8,8.2%,228,93.4%,16,6.6%,5,100.0%
North Yorkshire,0,-,0,-,136,84.5%,25,15.5%,2,100.0%,0,0.0%,18,78.3%,5,21.7%,1,100.0%,0,0.0%,154,90.1%,17,9.9%,1,100.0%,0,0.0%,39,83.0%,8,17.0%,30,90.9%,3,9.1%,86,88.7%,11,11.3%,18,69.2%,8,30.8%,111,88.8%,14,11.2%,5,100.0%
Nottinghamshire,4,80.0%,1,20.0%,166,77.9%,47,22.1%,17,77.3%,5,22.7%,33,91.7%,3,8.3%,22,88.0%,3,12.0%,213,95.9%,9,4.1%,8,80.0%,2,20.0%,41,85.4%,7,14.6%,104,96.3%,4,3.7%,58,84.1%,11,15.9%,67,85.9%,11,14.1%,163,91.1%,16,8.9%,16,100.0%
South Wales,1,100.0%,0,0.0%,218,71.5%,87,28.5%,17,65.4%,9,34.6%,38,92.7%,3,7.3%,15,88.2%,2,11.8%,237,94.0%,15,6.0%,7,87.5%,1,12.5%,63,88.7%,8,11.3%,93,95.9%,4,4.1%,179,87.7%,25,12.3%,43,74.1%,15,25.9%,436,83.4%,87,16.6%,17,100.0%
South Yorkshire,2,100.0%,0,0.0%,198,72.5%,75,27.5%,18,75.0%,6,25.0%,53,89.8%,6,10.2%,23,82.1%,5,17.9%,351,93.1%,26,6.9%,8,88.9%,1,11.1%,60,82.2%,13,17.8%,97,89.8%,11,10.2%,115,88.5%,15,11.5%,37,92.5%,3,7.5%,317,91.1%,31,8.9%,7,100.0%
Staffordshire,0,-,0,-,182,74.9%,61,25.1%,10,83.3%,2,16.7%,23,67.6%,11,32.4%,11,100.0%,0,0.0%,170,87.2%,25,12.8%,4,57.1%,3,42.9%,58,75.3%,19,24.7%,80,89.9%,9,10.1%,90,81.8%,20,18.2%,23,82.1%,5,17.9%,455,97.0%,14,3.0%,6,100.0%
Suffolk,0,-,0,-,129,84.3%,24,15.7%,4,80.0%,1,20.0%,12,92.3%,1,7.7%,3,75.0%,1,25.0%,97,92.4%,8,7.6%,4,100.0%,0,0.0%,31,83.8%,6,16.2%,42,93.3%,3,6.7%,64,98.5%,1,1.5%,27,96.4%,1,3.6%,96,82.8%,20,17.2%,2,100.0%
Surrey,0,-,0,-,97,75.8%,31,24.2%,12,80.0%,3,20.0%,16,76.2%,5,23.8%,2,100.0%,0,0.0%,136,93.2%,10,6.8%,9,100.0%,0,0.0%,31,79.5%,8,20.5%,75,97.4%,2,2.6%,77,87.5%,11,12.5%,72,88.9%,9,11.1%,235,92.5%,19,7.5%,26,100.0%
Sussex,0,-,0,-,194,75.2%,64,24.8%,16,66.7%,8,33.3%,25,89.3%,3,10.7%,7,87.5%,1,12.5%,195,88.2%,26,11.8%,21,80.8%,5,19.2%,39,78.0%,11,22.0%,109,98.2%,2,1.8%,99,86.1%,16,13.9%,68,78.2%,19,21.8%,288,92.3%,24,7.7%,14,100.0%
Thames Valley,3,100.0%,0,0.0%,325,73.7%,116,26.3%,19,76.0%,6,24.0%,57,85.1%,10,14.9%,14,87.5%,2,12.5%,388,87.8%,54,12.2%,14,82.4%,3,17.6%,79,89.8%,9,10.2%,182,93.3%,13,6.7%,166,87.4%,24,12.6%,53,79.1%,14,20.9%,599,93.7%,40,6.3%,25,100.0%
Warwickshire,0,-,0,-,39,88.6%,5,11.4%,7,87.5%,1,12.5%,18,100.0%,0,0.0%,2,100.0%,0,0.0%,61,80.3%,15,19.7%,7,87.5%,1,12.5%,17,89.5%,2,10.5%,25,92.6%,2,7.4%,24,88.9%,3,11.1%,21,87.5%,3,12.5%,132,83.5%,26,16.5%,2,100.0%
West Mercia,2,100.0%,0,0.0%,125,80.1%,31,19.9%,23,76.7%,7,23.3%,34,91.9%,3,8.1%,17,85.0%,3,15.0%,142,95.3%,7,4.7%,13,92.9%,1,7.1%,28,87.5%,4,12.5%,48,90.6%,5,9.4%,74,86.0%,12,14.0%,42,91.3%,4,8.7%,318,94.4%,19,5.6%,7,100.0%
West Midlands,3,75.0%,1,25.0%,436,67.7%,208,32.3%,49,86.0%,8,14.0%,90,84.1%,17,15.9%,68,81.9%,15,18.1%,513,89.5%,60,10.5%,24,82.8%,5,17.2%,119,82.6%,25,17.4%,214,95.1%,11,4.9%,156,78.4%,43,21.6%,156,86.7%,24,13.3%,345,90.8%,35,9.2%,70,100.0%
West Yorkshire,2,66.7%,1,33.3%,361,68.2%,168,31.8%,46,74.2%,16,25.8%,96,81.4%,22,18.6%,40,78.4%,11,21.6%,448,90.3%,48,9.7%,46,74.2%,16,25.8%,91,88.3%,12,11.7%,172,90.1%,19,9.9%,134,74.9%,45,25.1%,65,87.8%,9,12.2%,311,81.2%,72,18.8%,31,100.0%
Wiltshire,0,-,0,-,62,84.9%,11,15.1%,3,60.0%,2,40.0%,14,77.8%,4,22.2%,0,0,0,0,73,93.6%,5,6.4%,3,75.0%,1,25.0%,20,90.9%,2,9.1%,21,95.5%,1,4.5%,18,85.7%,3,14.3%,37,82.2%,8,17.8%,79,87.8%,11,12.2%,5,100.0%
