Table,Notes
5.2,More information on the EWC-STAT waste type categorisation can be found on p24 of the Eurostat publication 'Manual on Waste Statistics'
5.2,Link to 'Manual on Waste Statistics'
5.2,Link to full list of the components of each EWC-STAT waste type classification.
5.2,The waste category (row) 'Household & similar' refers to waste type and may be generated by any industry.  Similarly 'Mineral waste from construction & demolition' may be generated by any industry.
5.2,Waste material categories report materials where they are separately identifiable.  Residual waste categories may also include a proportion of the same materials in an unidentified form.
5.2,NACE: the ‘General Industrial Classification of Economic Activities’. 
5.2,Link to the official list of NACE codes
5.2,Industry column 'F Construction' includes excavation waste and dreding spoils
5.2,"Industry column 'EP_HH Households' is based on the 'Waste from Households' measure used for household recycling reporting, but is also subject to minor additional adjustments"
5.2,"Defra Statistics define 'Commercial & Industrial' waste to be NACE C + NACE D + NACE E36_E37_E39 + NACE G-U_X_G4677, with NACE G-U_X_G4677 representing the 'Commercial' element (leaving the remainder as 'Industrial)."
5.2,More information on industry categorisation can be found on p21 of the Eurostat publication 'Manual on Waste Statistics'
5.2,Link to 'Manual on Waste Statistics'
5.2,The categorisation of waste by type and the generating industry is difficult and can be subjective.  Therefore users should exercise caution when using breakdowns of these statistics
5.2,Excludes 'secondary waste' (waste leaving treatment facilities).  Some estimates of 'Total waste' published by Eurostat from the same dataset may include 'secondary waste'
5.2,Sludges and dredging spoils are reported as dry weight.  In some cases raw data assumed to be wet weight has been adjusted to a dry weight equivalent
5.2,Includes waste that may go on to be exported
5.2,Some figures for 2012 were revised in December 2016 to reflect methodological improvements to England construction waste estimates.
5.2,"Waste here is categorised using European Wast Catalogue (EWC) codes, as part of the Waste Framework Directive"
5.3,All figures are in tonnes
5.3,EWC STAT code 08 shown here excludes 08.1 and 08.41
5.3,Source: Waste Statistics Regulation return
5.3,EWC-STAT is the European Waste Classification for Statistics.  It consolidates European Waste Classification (EWC) codes as described in COMMISSION REGULATION (EU) No 849/2010
5.3,Link to COMMISSION REGULATION (EU) No 849/2010
5.3,More information on the EWC-STAT waste type categorisation can be found on pg24 of the Eurostat publication 'Manual on Waste Statistics'
5.3,Link to 'Manual on Waste Statistics'
5.3,Link to full list of the components of each EWC-STAT waste type classification.
5.3,The waste category (row) 'Household & similar' refers to waste type and may be generated by any industry.  Similarly 'Mineral waste from construction & demolition' may be generated by any industry.
5.3,Waste material categories report materials where they are separately identifiable.  Residual waste categories may also include a proportion of the same materials in an unidentified form
5.3,NACE: the ‘General Industrial Classification of Economic Activities’. 
5.3,Link to the official list of NACE codes
5.3,The categorisation of waste by type is difficult and can be subjective.  Therefore users should exercise caution when using breakdowns of these statistics
5.3,There is no direct reconciliation between generation (detailed in other templates in this dataset) and final treatment of total waste.  Different methodology is used to estimate generation and final treatment and therefore caution should be exercised if the two are compared  
5.3,Sludges and dredging spoils are reported as dry weight.  In some cases raw data assumed to be wet weight has been adjusted to a dry weight equivalent
5.3,Includes waste that may have been imported
5.3,Some figures for 2012 were revised in December 2016 to reflect methodological improvements to England construction waste estimates
5.3,"Waste here is categorised using European Wast Catalogue (EWC) codes, as part of the Waste Framework Directive"
5.4,All figures are in tonnes
5.4,EWC STAT code 08 shown here excludes 08.1 and 08.41
5.4,Source: Waste Statistics Regulation return
5.4,EWC-STAT is the European Waste Classification for Statistics.  It consolidates European Waste Classification (EWC) codes as described in COMMISSION REGULATION (EU) No 849/2010
5.4,Link to COMMISSION REGULATION (EU) No 849/2010
5.4,More information on the EWC-STAT waste type categorisation can be found on pg24 of the Eurostat publication 'Manual on Waste Statistics'
5.4,Link to 'Manual on Waste Statistics'
5.4,Link to full list of the components of each EWC-STAT waste type classification.
5.4,The waste category (row) 'Household & similar' refers to waste type and may be generated by any industry.  Similarly 'Mineral waste from construction & demolition' may be generated by any industry.
5.4,Waste material categories report materials where they are separately identifiable.  Residual waste categories may also include a proportion of the same materials in an unidentified form
5.4,NACE: the ‘General Industrial Classification of Economic Activities’. 
5.4,Link to the official list of NACE codes
5.4,The categorisation of waste by type is difficult and can be subjective.  Therefore users should exercise caution when using breakdowns of these statistics
5.4,There is no direct reconciliation between generation (detailed in other templates in this dataset) and final treatment of total waste.  Different methodology is used to estimate generation and final treatment and therefore caution should be exercised if the two are compared  
5.4,Sludges and dredging spoils are reported as dry weight.  In some cases raw data assumed to be wet weight has been adjusted to a dry weight equivalent
5.4,Includes waste that may have been imported
5.4,Some figures for 2012 were revised in December 2016 to reflect methodological improvements to England construction waste estimates
5.4,"Waste here is categorised using European Wast Catalogue (EWC) codes, as part of the Waste Framework Directive"
6.1,*includes closed facilities
6.1,MSW = Municipal solid waste
6.1,"Source: Waste Statistics Regulation return, Defra Statistics"
6.1,"'Energy recovery' refers to facilities where the main purpose is generation of energy, or formal R1 accreditation has been awarded"
6.1,Defra collates summaries from the environment agencies of all four UK countries of facilities authorised by mandatory permit or license.  
6.1,The data excludes facilities that were formally closed throughout the reference year but does not identify permitted facilities which were non-operational in the reference year.  
6.1,Facilities permitted only for treatment operations identified as intermediate (which include anaerobic digestion) are excluded from Table 6.1.  
6.1,"Capacity is based on the level authorised by permit or license with the exception of some small scale incinerators where the permit did not feature capacity.  In these cases, operational capacity is used.  "
6.1,Small scale ‘LAPPC’ (Local Authority Pollution Prevention and Control) incinerators have not been included for England.
6.1,"Only facilities that have R1 accreditation have been included as ‘Energy Recovery’, in accordance with EU definitions.  R1 accreditation is an EC standard based on efficiency factors.  Application is voluntary, so the number of plants meeting R1 standards may be in excess of the number that are actually accredited."
6.1,"In 2012, no Municipal Waste Incinerators had formal R1 status.  These have been included as 'Incineration'."
6.1,Recovery operations covered by simple exemptions or simple registrations are not included.  These operations are classed as low risk or low volume and do not have to report activity to Environment Agencies. 
6.1,"The permitted capacity of Energy Recovery and Incineration facilities includes municipal, commercial and industrial waste, and will be higher than the actual volume of waste treated."
6.1,Excludes recovery facilities operating solely under a waste exemption
6.1,For 2012 data:
6.1,"     UK Number of facilities for 'Recovery other than energy recovery' revised from 3,614 on 10 October 2014"
6.1,"     England Number of facilities for 'Recovery other than energy recovery' revised from 1,971 on 10 October 2014"
6.1,     Revised on 25 March 2015 to reflect more accurate classification of energy recovery facilities 
7.1,2016 figures are provisional and subject to change
7.1,Source: Defra Statistics
7.1,These statistics have been calculated to fulfil a reporting requirement to Eurostat at UK level in relation to the EC Packaging and Packaging Waste Directive (94/62/EC).  Calendar year figures are submitted to Eurostat in the June of the year after next. 2016 figures will be submitted in June 2018 and will remain provisional until these have been approved by Eurostat.
7.1,Figures are compiled from the National Packaging Waste Database (NPWD) and industry reports.
7.1,Only includes obligated packaging producers (handle 50 tonnes of packaging materials or packaging and have a turnover more than £2 million a year)
7.1,'Recovery' in these tables refer specifically to waste used for energy recovery.
7.1,"The recovery figure includes waste sent to facilities that did not meet the R1 recovery energy efficiency thresholds, but were considered eligible based on the Packaging Directive, which states “‘energy recovery’ shall mean the use of combustible packaging waste as a means to generate energy through direct incineration with or without other waste but with recovery of the heat”."
7.1,"In 2013, 72.7% of packaging waste was either recycled or recovered. The main driver for the drop after 2013 was the adoption of a new paper and cardboard ‘placed on market’ estimate published in a bespoke industry report. This represents a significant increase in the estimated level of waste arisings compared to that assumed for 2012 and 2013. "
