,,,,,,,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,034.22",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,034.22",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,789.41,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,749.42,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,689.48,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,689.48,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,671.73,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,493.37,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,413.24,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,400.20,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,349.73,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,344.74,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,329.75,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,283.36,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,206.84,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,206.84,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.90,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.90,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,134.35,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,104.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,82.65,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,77.57,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,68.95,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,32.00,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,20.99,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,15.51,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,15.00,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.40,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,3.00,"40,193.06 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,COMPUTER MAINTENANCE,RADIOLOGY,ACCENTURE (UK) LTD,3003146097,"54,304.55","65,165.46 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,COMPUTER MAINTENANCE,RADIOLOGY,,3003148381,"54,304.55","65,165.46 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,AGFA GEVAERT LTD,9009002836,"81,733.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"14,303.28",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"3,000.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"2,800.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,525.00,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,490.00,"102,851.28 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,30/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,ALBERTI INSULATION LTD,1128,"-35,000.00","<41,125.00>",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,30/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,2030692,"35,000.00","41,125.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,VEHICLE RUNNING COSTS : OTHER,TRANSPORT SERVICES,AMBULINE,32802,"44,725.57","44,725.57 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,VEHICLE MAINTENANCE,TRANSPORT SERVICES,,32803,"44,725.57",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,HEALTHCARE FROM COMMERCIAL SECTOR,TRANSPORT SERVICES,,,"44,725.57",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,VEHICLE MAINTENANCE,TRANSPORT SERVICES,,,"-44,725.57","44,725.57 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,ARDMORE HEALTHCARE LTD,011558,"48,585.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"8,502.38","57,087.38 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,RENAL FLUIDS,RENAL,BAXTER HEALTHCARE LTD,001333068,"50,082.88","50,082.88 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,COMPUTER MAINTENANCE,OPERATIONS,CLINISYS SOLUTIONS LTD,17336,"151,358.90","177,846.71 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,LEASE RENTS,FACILITIES,CRM,H&E RENT 001,"134,239.73","134,239.73 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LEASE RENTS,FACILITIES,,H&E RENT 002,"69,500.00","69,500.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,BLOOD PRODUCTS,PATHOLOGY,CSL BEHRING UK LTD,991153322,"40,800.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,BLOOD PRODUCTS,PATHOLOGY,,,"8,160.00","48,960.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,SPINAL CORD STIMULATORS,NEUROSURGERY,CYBERONICS EUROPE,014242-2011-01,"26,500.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,SPINAL CORD STIMULATORS,NEUROSURGERY,,,"5,300.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,SPINAL CORD STIMULATORS,NEUROSURGERY,,,"-5,300.00","26,500.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,SERVICES FROM OTHER NHS BODIES,RENAL,DEPARTMENT OF HEALTH,204719,"1,467,856.00","1,467,856.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,SERVICES FROM OTHER NHS BODIES,RENAL,,205328,"2,966,504.67","2,966,504.67 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,DIGITIMER LTD,37601/63174,"32,808.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"5,741.40",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,0.03,"38,549.43 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,DRAEGER MEDICAL UK LTD,20002696,"74,790.60",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"14,958.12","89,748.72 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,RATES,PLANNING,EAST RIDING OF YORKSHIRE COUNCIL,56397180,"26,306.59","26,306.59 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,ELEKTA LTD,202108172,"26,482.50",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"5,296.50","31,779.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,ELI LILLY AND CO LTD,8011346935,"21,922.79",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"4,384.56","26,307.35 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,GAS,ENERGY AND UTILITIES,GAZPROM MARKETING AND TRADING RETAIL LTD,1014546,"-4,577.61",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,GAS,ENERGY AND UTILITIES,,,"-27,254.63","<31,832.24>",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,GAS,ENERGY AND UTILITIES,,1014579,"28,265.96",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,GAS,ENERGY AND UTILITIES,,,"4,656.94","32,922.90 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,GAS,ENERGY AND UTILITIES,,1042751,"54,299.68",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,GAS,ENERGY AND UTILITIES,,,"10,859.93","65,159.61 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,GAS,ENERGY AND UTILITIES,,1042752,"102,521.16",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,GAS,ENERGY AND UTILITIES,,,"20,504.24","123,025.40 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,GAS,ENERGY AND UTILITIES,,1043406,"37,162.61",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,GAS,ENERGY AND UTILITIES,,,"6,994.34","44,156.95 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,GAS,ENERGY AND UTILITIES,,994833,"62,190.46",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,GAS,ENERGY AND UTILITIES,,,"12,438.09","74,628.55 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,GAS,ENERGY AND UTILITIES,,994834,"105,990.76",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,GAS,ENERGY AND UTILITIES,,,"21,198.16","127,188.92 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT REPAIRS,RADIOLOGY,GE HEALTHCARE CLINICAL SYSTEMS (UK) LTD,131/J581,"178,216.00","213,859.20 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,GRIFOLS UK LTD,5811001052,"34,000.00",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,20.00,0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,4.00,"34,024.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,DRUGS,PHARMACY,HEALTHCARE PRODUCT SERVICES LTD,9770022895,"21,840.00",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,DRUGS,PHARMACY,,,"4,368.00","26,208.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,RENT,PLANNING,HEALTHCARE SOLUTIONS LTD,2063,"412,557.71","495,069.25 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,HOBSON AND PORTER,015512,"24,874.26",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"24,874.26",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"4,974.85",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"2,795.37",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"-4,974.85",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"-24,874.26","29,849.11 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,01/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,HOSPEDIA LTD,SI002315,"47,692.00",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,01/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"9,538.40","57,230.40 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,HOSPITAL ENGINEERING INFORMATION SYSTEMS LTD,K/71495,"40,645.50",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,"8,129.10",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,784.29,0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,412.38,0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,156.86,0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,82.48,"50,210.61 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,03/03/2011,OTHER DEBTORS < ONE YEAR,FINANCE AND IT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,020311,"200,000.00","200,000.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,RENT,PLANNING,HULL MATERNITY DEVELOPMENT LTD,HMD100A,"240,051.29","288,061.55 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,SERVICES FROM NHS TRUSTS,ELDERLY MEDICINE,HULL TEACHING PCT,80004120,"67,000.00","67,000.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,AUDIT FEES : INTERNAL,FINANCE AND IT,HUMBER NHS FOUNDATION TRUST,2013916,"31,270.00","31,270.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,RENT,FACILITIES,INFRASTRUCTURE INVESTORS CASTLEHILL LTD,130,"152,100.65","182,520.78 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,COMPUTER NETWORK COSTS,OPERATIONS,ISOFT PLC,SI/005692,"125,499.76","150,599.71 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,COMPUTER NETWORK COSTS,OPERATIONS,,SI/005694,"37,064.45","44,477.34 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,COMPUTER MAINTENANCE,RADIOLOGY,,SI/005697,"35,806.02","42,967.22 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,JANSSEN-CILAG LTD,91683765,"35,917.93",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"7,183.59","43,101.52 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,30/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,K BINKS HEATING LTD,IN004650,"94,860.44",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,30/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"16,242.00","113,832.53 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT LEASING,PATHOLOGY,KINGSTON UPON HULL CITY COUNCIL,1000138889,"33,103.70",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT LEASING,PATHOLOGY,,,"6,620.74","39,724.44 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,STAFF RECHARGES,FINANCE AND IT,LEEDS TEACHING HOSPITALS NHS TRUST,350332,"230,000.00","230,000.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,STAFF RECHARGES,MEDICAL DIRECTOR,LIVERPOOL WOMENS NHS FOUNDATION TRUST,94004727,"88,933.00","88,933.00 ",,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT GENERAL,GENERAL SURGERY,MEDTRONIC LTD,1050597540,"14,250.00",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT GENERAL,GENERAL SURGERY,,,"7,800.00",0.00 ,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,MED SURG EQPT GENERAL,GENERAL SURGERY,,,"2,850.00",0.00 ,,,,,,
