"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Other Transport Costs","PTS CHANDLERS FORD AREA","PTS SOUTHERN LTD",12870008,33734.46,"26007041133734"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","Other Transport Costs","PTS CHANDLERS FORD AREA","PTS SOUTHERN LTD",13019311,33734.46,"26606051140481"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Other Transport Costs","PTS MAU Contract","E-ZEC MEDICAL TRANSPORT SERVICES LTD",12972490,6379,"110159"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Other Transport Costs","PTS PORTSMOUTH AREA","E-ZEC MEDICAL TRANSPORT SERVICES LTD",12972490,199292.4,"110159"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Other Transport Costs","PTS PORTSMOUTH RENAL","PTS SOUTHERN LTD",12870006,24383.43,"25707041129260"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","Other Transport Costs","PTS PORTSMOUTH RENAL","PTS SOUTHERN LTD",13019310,24383.43,"26306051129260"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Other Transport Costs","PTS TOTTON AREA","PTS SOUTHERN LTD",12870004,20900.49,"25607041125080"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","Other Transport Costs","PTS TOTTON AREA","PTS SOUTHERN LTD",13019309,20900.49,"26206051125080"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Pacemakers","CARDIAC INVESTIGAT'N UNIT","MEDTRONIC LTD",12911615,102000,"1050616684"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","Payroll Ded'ns N/S Curr","Balance Sheet","CHILDCARE VOUCHERS LTD",12988210,42002.34,"112691-16-MAY-2011"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Phone Rental and Calls","ICT SERVICES DISTRICT","BT GLOBAL SERVICES",12869967,21376.94,"0790045064"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Phone Rental and Calls","ICT SERVICES PHT","BT GLOBAL SERVICES",12869967,6093.35,"0790045064"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","Prepayments - Current","Balance Sheet","HOSPITAL COMPANY QAH PORTSMOUTH LTD",12933024,-4791558.5,"QAH131"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","Prepayments - Current","Balance Sheet","HOSPITAL COMPANY QAH PORTSMOUTH LTD",12950938,4791558.5,"PPQAH131"
"Department of Health","Portsmouth Hospitals Trust","05/05/2011","Prepayments - Current","Balance Sheet","PORTSMOUTH CITY COUNCIL",12927621,397494,"PPAPRIL/MAYSCHEDULEDINVOICES"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Rates","MANUFACTURING PHARMACY","PORTSMOUTH CITY COUNCIL",12893451,26499.6,"2000545341103113124"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Rates","RQC SOLENT IND ESTATE","PORTSMOUTH CITY COUNCIL",12893451,6624.9,"2000545341103113124"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Rent","PTS PORTSMOUTH AREA","E-ZEC MEDICAL TRANSPORT SERVICES LTD",12972490,2782,"110159"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","SYS Inventory","Balance Sheet","AAH PHARMACEUTICALS LTD",12806116,53602.56,"99291446D"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","SYS Inventory","Balance Sheet","AAH PHARMACEUTICALS LTD",12895205,87550.85,"99519421M"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","SYS Inventory","Balance Sheet","ABBOTT LABORATORIES LTD",12903570,39721.39,"4351671"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","SYS Inventory","Balance Sheet","ABBOTT LABORATORIES LTD",12908300,26485.03,"4352263"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","SYS Inventory","Balance Sheet","AMO UK LTD",12852707,27129.6,"1057784545"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","SYS Inventory","Balance Sheet","BOEHRINGER INGELHEIM LTD",12878453,76590.05,"5010019978"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","SYS Inventory","Balance Sheet","BRISTOL MYERS SQUIBB PHARMACY LTD",12956946,55102.36,"100469792"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","SYS Inventory","Balance Sheet","CHIESI LTD",12908260,27000,"0000187786"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","SYS Inventory","Balance Sheet","CLINIMED LTD",12878478,25086.6,"1070297"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","SYS Inventory","Balance Sheet","ELI LILLY & CO LTD",12852694,26749.44,"8011350525"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","SYS Inventory","Balance Sheet","ELI LILLY & CO LTD",12852696,28685.66,"8011350526"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","SYS Inventory","Balance Sheet","FRESENIUS KABI LTD",12862030,34946.74,"911564379"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","SYS Inventory","Balance Sheet","GILEAD SCIENCES LTD",12908316,210960,"11091946"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","SYS Inventory","Balance Sheet","GILEAD SCIENCES LTD",12926517,221116.32,"11092107"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","SYS Inventory","Balance Sheet","HEALTHCARE PRODUCT SERVICES LTD",12903596,25704,"9770025227"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","SYS Inventory","Balance Sheet","HEALTHCARE PRODUCT SERVICES LTD",12973833,62899.2,"9770025843"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","SYS Inventory","Balance Sheet","MARTINDALE PHARMACEUTICALS",12956890,28272.59,"3497122"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","SYS Inventory","Balance Sheet","NOVARTIS PHARMACEUTICALS UK LTD",12956952,402793.97,"90849857"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","SYS Inventory","Balance Sheet","ROCHE PRODUCTS LTD",12852697,276021.48,"1321363709"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","SYS Inventory","Balance Sheet","UNIDRUG DISTRIBUTION GROUP LTD",12956686,48239.77,"SIN100299302"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Services Received - PCTs","COMMUNITY HOSPITALS - SMH","PORTSMOUTH CITY TEACHING PCT",12876811,109219,"9577410"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Services Received - PCTs","PHCT/PHT RECHARGES","SOLENT NHS TRUST",12939414,330712,"8043984"
"Department of Health","Portsmouth Hospitals Trust","04/05/2011","Wheelchairs","WHEELCHAIRS","AJ MOBILITY LTD",12917265,21001.19,"B504666"
"Department of Health","Portsmouth Hospitals Trust","06/05/2011","Wheelchairs","WHEELCHAIRS","AJ MOBILITY LTD",12924626,119400,"B504727"
