"Publication of Spend over £25,000.00 between 01/10/2011 and 31/10/2011",,,,,,,

Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Trans No,Amount
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,IT SLA,RWHT SLAs,Rl4 T : Royal Wolverhampton Hospita,10179960,"37,201.08"
Wolverhampton City PCT,Wolverhampton City PCT,18/10/2011,RRK FT - UHB U/O Performance,Healthcare - Foundation,Rrk Ft : University Hospital Birmingham,10180020,"201,212.00"
Wolverhampton City PCT,Wolverhampton City PCT,13/10/2011,6070785509,Continuing Care,Sandwell Community Care Trust,10180022,"35,413.76"
Wolverhampton City PCT,Wolverhampton City PCT,13/10/2011,6070785509,Continuing Care,Sandwell Community Care Trust,10180022,"1,606.24"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,Purchase of Healthcare - NHS,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10180106,"12,163,933.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,Purchase of Healthcare - NHS,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10180109,"102,457.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RJE T - North Staffs Purchase,Healthcare Block Contracts,Rje T : University Hospital Of Nort,10180129,"27,797.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RBK T - Walsall Hosp Purchase,Healthcare Block Contracts,Walsall Hospital Nhs Trust,10180130,"190,049.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RXK T - Sandwell & W Bham Purc,Healthcare Block Contracts,Rxk T : Sandwell And West Birmingha,10180133,"75,143.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,South Western Staffs Purchase,Healthcare Block Contracts,5Pk P : South Staffordshire Pct,10180138,"27,763.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RL1 T - Robert Jones Purchase,Healthcare Block Contracts,Rl1 T : Robert Jones & Agnes Hunt O,10180139,"26,723.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RQ3 FT - B'ham Childrens Purch,Healthcare - Foundation,Rq3 Ft : Birmingham Children'S Hosp,10180140,"112,113.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,5PE P - Dudley PCT Purchase of,Healthcare Block Contracts,Ryk T : Dudley & Walsall Mental Hea,10180141,"48,646.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RJD FT - Mid Staffs Purchase o,Healthcare - Foundation,Rjd Ft : Mid Staffordshire Nhs Foun,10180142,"29,485.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RRJ FT - Royal Orthopeadic Pur,Healthcare - Foundation,Rrj F : The Royal Orthopaedic Hosp Nhs,10180143,"52,746.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RNA FT - Dudley Group Purchase,Healthcare - Foundation,Rna Ft : The Dudley Group Of Hospit,10180144,"244,850.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,Tier 2 WMMSA,Healthcare Block Contracts,5Pg - Bham East And North Pct,10180268,"1,768,617.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RYA T -WMAS Purchase of Health,Healthcare Block Contracts,5Pg - Bham East And North Pct,10180269,"655,343.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,Tier 1 LSCG,Healthcare Block Contracts,5Pg - Bham East And North Pct,10180271,"1,729,149.00"
Wolverhampton City PCT,Wolverhampton City PCT,13/10/2011,Purchase of Healthcare - Non,LD Pooled Budget,Wolverhampton City Council,10180275,"1,359,202.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,RRK FT - UHB Purchase of Healt,Healthcare - Foundation,Rrk Ft : University Hospital Birmingham,10180276,"283,292.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,TAJ FT - Black Country Partner,Healthcare - Foundation,Taj Ft : Black Country Partnership,10180277,"2,760,606.00"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,Provisions : Back to Back,Purchaser - SOFP,5M3 P : Walsall Pct,10180290,"28,820.00"
Wolverhampton City PCT,Wolverhampton City PCT,18/10/2011,Provisions for Liabs & Charges,Corporate - SOFP,N H S P A - Pension Scheme,10180291,"181,431.51"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10180300,"28,280.98"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10180301,"27,176.27"
Wolverhampton City PCT,Wolverhampton City PCT,18/10/2011,MH Pool Budget - Internal Prov,Mental Health Pool,Rl4 T : Royal Wolverhampton Hospita,10180323,"57,277.00"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Out of Hours Service Commissio,GMS & PMS - Out of Hours,Primecare,10180539,"180,745.33"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Rent - General Premises,The Phoenix Centre,W-Ton  City  &  Walsall Lift  Accom.,10180594,"34,788.95"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Rent - General Premises,The Gem Centre,W-Ton  City  &  Walsall Lift  Accom.,10180595,"93,577.90"
Wolverhampton City PCT,Wolverhampton City PCT,13/10/2011,Recharge - Grants,Talking Therapies,Wolverhampton City Council,10180597,"50,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Health Promotion Materials,Adult Weight Management,Weight Watchers,10180734,"25,145.00"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Health Promotion Materials,Adult Weight Management,Weight Watchers,10180736,"25,145.00"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Health Promotion Materials,Adult Weight Management,Weight Watchers,10180737,"25,145.00"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Health Promotion Materials,Adult Weight Management,Weight Watchers,10180738,"25,145.00"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,NHS W - Hywel DDA NHS Trust,OATS,Bwrdd Lechyd Lleol Hywel Dda,10180750,"50,234.65"
Wolverhampton City PCT,Wolverhampton City PCT,20/10/2011,Professional Fees,Care Services - Mental Health,Care Quality Commission,10180847,"40,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,18/10/2011,Domestic Services SLA,Clinics Domestic Services,Rl4 T : Royal Wolverhampton Hospita,10180861,"40,093.00"
Wolverhampton City PCT,Wolverhampton City PCT,18/10/2011,Purchase of Non Health - NHS,Black Country Locality Board,Walsall Hospital Nhs Trust,10180883,"72,500.00"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,6070785509,Continuing Care,Sandwell Community Care Trust,10181074,"38,254.00"
Wolverhampton City PCT,Wolverhampton City PCT,21/10/2011,4748906944,Continuing Care,Care Cost Repayment - 4748906944,10181217,"46,642.68"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,External Auditors - KPMG,Finance,Price Waterhouse Coopers,10181263,"146,399.40"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Supsense - SLS BCP Invoice,Mental Health - SOFP,Taj Ft : Black Country Partnership,10181566,"916,059.40"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,ACST (Adv Comm Skills Train),Adv Comm Skills Training,Compton Hospice Ltd,10181571,"3,075.00"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,ACST (Adv Comm Skills Train),Adv Comm Skills Training,Compton Hospice Ltd,10181571,"3,075.00"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,ACST (Adv Comm Skills Train),Adv Comm Skills Training,Compton Hospice Ltd,10181571,"2,400.00"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Admin & Clerical Agency,Palliative Care,Compton Hospice Ltd,10181571,"1,352.33"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Admin & Clerical Agency,Palliative Care,Compton Hospice Ltd,10181571,"1,352.33"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Non NHS Statutory Sector,Other Grants Compton Hospice,Compton Hospice Ltd,10181571,401
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Non NHS Statutory Sector,Other Grants Compton Hospice,Compton Hospice Ltd,10181571,0.5
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Non NHS Statutory Sector,Other Grants Compton Hospice,Compton Hospice Ltd,10181571,"147,630.00"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Non NHS Statutory Sector,Other Grants Compton Hospice,Compton Hospice Ltd,10181571,269.5
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Non NHS Statutory Sector,Other Grants Compton Hospice,Compton Hospice Ltd,10181571,"137,295.00"
,,,,,Total Payments >£25k - Oct 2011,,"29,864,064.94"
