Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Sussex Community NHS Trust,28/02/2015,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,12463226,554685.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,12463242,29256.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,12463254,554685.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,12463286,29256.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Continence Products,Continence Paeds WS,PAUL HARTMANN LTD,12464168,55111.00
Department of Health,Sussex Community NHS Trust,28/02/2015,NonNHS Trade Pybls Curr,Balance Sheet,VODAFONE LTD,12497790,58968.32
Department of Health,Sussex Community NHS Trust,28/02/2015,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,12497817,38355.99
Department of Health,Sussex Community NHS Trust,28/02/2015,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,12498815,51918.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,12499074,44675.34
Department of Health,Sussex Community NHS Trust,28/02/2015,Services Received - NHSTs,Crawley Nurse M/ment WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,12538412,49861.42
Department of Health,Sussex Community NHS Trust,28/02/2015,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,12539067,57144.78
Department of Health,Sussex Community NHS Trust,28/02/2015,Res Short Stay Exp,Frail Elderly Pathway Nth,TRUSCOTT MANOR NURSING HOME,12539163,25929.29
Department of Health,Sussex Community NHS Trust,28/02/2015,Computer Software/License,Finance Admin,SOFTWARE (EUROPE) LTD,12542568,37208.40
Department of Health,Sussex Community NHS Trust,28/02/2015,Services Received - NHSTs,Crawley Nurse M/ment WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,12566662,194956.75
Department of Health,Sussex Community NHS Trust,28/02/2015,Laboratory External Tests,Chlamydia Screening B&H,BRIGHTON&SUSSEX UNIVERSITY HOSPITAL NHS TRUST,12566705,43610.79
Department of Health,Sussex Community NHS Trust,28/02/2015,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,12566955,190656.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Services Received - PCTs,IT Management,NHS SOUTH LONDON CSU,12623236,99060.00
Department of Health,Sussex Community NHS Trust,28/02/2015,Computer Network Costs,IT Management,NHS SOUTH LONDON CSU,12623890,68230.83
Department of Health,Sussex Community NHS Trust,28/02/2015,Rent,Estates - Midhurst Hospital,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,12640008,101057.75
Department of Health,Sussex Community NHS Trust,28/02/2015,Wheelchairs,Mgt & Adm SRCB,AJ MOBILITY LTD,12663013,25705.36
Department of Health,Sussex Community NHS Trust,28/02/2015,NonNHS Trade Pybls Curr,Balance Sheet,,SSC DD4715051135 NAT WEST PURG,33326.96
Department of Health,Sussex Community NHS Trust,28/02/2015,Commercial Sector,Deputy Director of Finance,,SSC SBS SLA,57519.39
Department of Health,Sussex Community NHS Trust,28/02/2015,Interest Payable,General Reserves,,INTEREST ON CAP LOAN,179452.60
