Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,06-Sep-17,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00463360RI,"38,605.13",Skipton - Car Park - New Ventilation System,SO53 3YE,LARGE,,,
,,06-Sep-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00463399RI,"45,699.35",Skipton House  - Variable Building Maintainance  costs Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,06-Sep-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00463401ARI,"43,396.33",Wellington House - Variable Building Maintainance  costs Apr 2017 - Mar 2018 Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,06-Sep-17,Rates,FINANCE AND GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),3913672,"106,664.46",Quarry House - Business Rates for FY2017/18 ( 10 Months),FY5 3TA,PUBLIC,,,
,,06-Sep-17,Rent of Land & Buildings (non-PFI operating lease),FINANCE AND GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),3913672,"608,452.99",Quarry House - FUP for FY2017/18,FY5 3TA,PUBLIC,,,
,,06-Sep-17,Utilities,FINANCE AND GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),3913672,"3,299.26",Quarry House - utility charges for FY2017/18,FY5 3TA,PUBLIC,,,
,,06-Sep-17,Secondees in invoiced costs,FINANCE AND GROUP OPERATIONS,NHS ENGLAND CBA033,7000024894,"143,793.60",IMS4 - Service Transition Programme  – Discovery Phase 1 ,LS2 7UE,PUBLIC,,,
,,06-Sep-17,Consultancy/Professional Advice,FINANCE AND GROUP OPERATIONS,ERNST AND YOUNG LLP,GB10300028731,"347,606.40",ICC Transformation Services - Core Team 17/18,SE1 2AF,LARGE,,,
,,07-Sep-17,Service charge,COMMUNITY CARE,PAERS Ltd,1718-001,"75,144.00",Revenue GPSOC 17/18 - CCN 085 PFS via BETA,LN9 6QB,SME,,,
,,07-Sep-17,Service charge,COMMUNITY CARE,PAERS Ltd,1718-002,"33,000.00",Revenue 17/18 - GPSOC Replacement  - Paers  - Patient  facing services covering April 2017 to June 2017,LN9 6QB,SME,,,
,,07-Sep-17,Service charge,COMMUNITY CARE,PAERS Ltd,1718-003,"67,823.00",Revenue GPSOC 17/18 - CCN 085 PFS via BETA,LN9 6QB,SME,,,
,,07-Sep-17,Rent of Land & Buildings (non-PFI operating lease),FINANCE AND GROUP OPERATIONS,GRAINMARKET PROPERTIES LTD,22918,"66,900.00","120 Leman St, London - former  NHS Direct - Zeena Ventures Ltd - Rent",EC4V 6AW,SME,,,
,,07-Sep-17,EEA medical costs (ST),GLOBAL AND PUBLIC HEALTH,PGO FOREIGN CURRENCY PAYMENTS,417092867,"28,736.47",,RH10 1UH,PUBLIC,,,
,,07-Sep-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584244624,"27,309.62","AD federation with Azure AD WR1098-02 Build ADFS, WAP, AADC",WS11 0JA,LARGE,,,
,,07-Sep-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6294434,"255,407.88",2017-18 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,PUBLIC,,,
,,07-Sep-17,Revenue Grants to non-profit institutions,CHIEF SCIENTIFIC ADVISOR,Northern Health Science Alliance Ltd,ERS-578759-143041,"1,177,421.96",2017/008 1718 Q1 NHSA Connected Cities,M2 4PD,LARGE,,,
,,07-Sep-17,Other programme expenditure,FINANCE AND GROUP OPERATIONS,CROWN COMMERCIAL SERVICE CCS,SINMIS7477,"101,722.00",Complex Transaction Team -  - Stakeholder Management - Design Authority ,L3 9PP,PUBLIC,,,
,,08-Sep-17,Rent of Land & Buildings (non-PFI operating lease),FINANCE AND GROUP OPERATIONS,JONES LANG LASALLE,755906,"59,921.97","REG210 - Harrington House, Stoke Mandeville Hospital, Aylesbury, Buckinghamshire - Jones Lang Lasalle  - rent",E14 5EG,LARGE,,,
,,08-Sep-17,Rates,FINANCE AND GROUP OPERATIONS,LEEDS CITY COUNCIL,901349235Q3,"49,434.11","Blenheim House Pt Grd, 1st, 2nd & 3rd floors business rates FY17/18 - £49,434.11 due on Qtrs 1/4/17, 1/7/17, 1/10/17 & 1/1/18 - Account reference 901349235",LS1 1UR,PUBLIC,,,
,,08-Sep-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000032,"178,152.74",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,08-Sep-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000033,"283,908.16",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,08-Sep-17,DH Support to Mergers,Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0146878,"1,727,000.00",Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,PUBLIC,,,
,,08-Sep-17,Outsourcing Contract,CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10120104,"30,842.40",NIHR Systems,SG8 6DP,LARGE,,,
,,08-Sep-17,Outsourcing Contract,CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10120103,"164,640.00",NIHR Systems,SG8 6DP,LARGE,,,
,,11-Sep-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,Willmott Dixon Interiors Limited,08000270,"1,105,200.00",39VS - Construction Costs Purchase Order Two,EC4A 4HJ,LARGE,,,
,,11-Sep-17,Rates,FINANCE AND GROUP OPERATIONS,READING BOROUGH COUNCIL,1002668060029Q3,"39,478.00","Premier House - Business Rates FY2017-2018 - Qtr1 £40,288.89 Qtr2 £40,288.89 Qtr3 £40,288.89 & Qtr4 £40,288.91",RG1 7TD,PUBLIC,,,
,,11-Sep-17,Rates,FINANCE AND GROUP OPERATIONS,LAMBETH LONDON BOROUGH COUNCIL,325683913Q3,"402,943.00","Wellington House - Business rates FY2017-2018 @ £403,450 Qtrly - Property Ref 325683913",SW2 1RW,PUBLIC,,,
,,11-Sep-17,Addition Clearing - IT,FINANCE AND GROUP OPERATIONS,INSIGHT DIRECT UK LTD,3528519,"58,235.22",CP3 Hardware requirements,UB8 1PH,LARGE,,,
,,11-Sep-17,Rates,FINANCE AND GROUP OPERATIONS,WESTMINSTER CITY COUNCIL,400696103979Q2,"554,908.00","39 Victoria Street - Business rates FY2017-2018 - @ £681,135 – Property Ref 403208179",WC2N 6NU,PUBLIC,,,
,,11-Sep-17,Policy Payments,GLOBAL AND PUBLIC HEALTH,DEPARTMENT FOR EDUCATION (DFE),4100141,"20,000,000.00",Primary PE & Sports Premium 2017-18: DH contribution,WA7 2GJ,PUBLIC,,,
,,11-Sep-17,Addition Clearing - IT,ACUTE CARE AND WORKFORCE ,IBM UK LTD,5808171947,"166,357.02",ESR Transition - T1.7 Including Retention,PO6 3AU,LARGE,,,
,,11-Sep-17,Addition Clearing - SW LIC,COMMUNITY CARE,PCTI Solutions Limited,59819,"628,208.23","Capital 17/18 - GPSOC Replacement - PCTI - GP Systems of Choice (Replacement contract) supplies, covering the 2 year extension to Dec-18",WF10 5QU,SME,,,
,,11-Sep-17,Service charge,COMMUNITY CARE,PCTI Solutions Limited,59819,"144,056.09",Revenue 17/18 - GPSOC Replacement  - PCTI - Revenue charges for the Period Commencing 01/04/17 - 30/06/17 System support charges ,WF10 5QU,SME,,,
,,11-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,NHS CONFEDERATION,80860,"72,360.00",The provision of employers' organisation services - Junior Doctors' Contract CV2 2017/2018,LS10 1JR,VCS,,,
,,11-Sep-17,Rent of Land & Buildings (non-PFI operating lease),FINANCE AND GROUP OPERATIONS,SAVILLS COMMERCIAL LTD,DS101I-050786-1/10/17,"26,400.00","Blenheim House - Part ground floor - rent FY17/18 - £22,000 due on (or before) Qtrs 1/4/17, 1/7/17 and £22,000+ on 1/10/17 & 1/1/18 - (Includes provision for 11/10/2016 Rent Review).",M2 2FE,LARGE,,,
,,11-Sep-17,Service charge,FINANCE AND GROUP OPERATIONS,SAVILLS COMMERCIAL LTD,DS101I-050786-1/10/17,"10,272.96","Blenheim House - Part ground floor - service charge FY17/18 - £ 7,529.63 qtrly - (Includes provision for end of year reconciliation)",M2 2FE,LARGE,,,
,,11-Sep-17,Rent of Land & Buildings (non-PFI operating lease),FINANCE AND GROUP OPERATIONS,SAVILLS COMMERCIAL LTD,DS101I-050787-1/10/2017,"130,500.00","Blenheim House - Part Grd, 1st & 2nd Floors - Rental FY2017/18 @£108,750 qtrly - (Includes provision for 11/10/2016 Rent Review).",M2 2FE,LARGE,,,
,,11-Sep-17,Service charge,FINANCE AND GROUP OPERATIONS,SAVILLS COMMERCIAL LTD,DS101I-050787-1/10/2017,"53,169.10","Blenheim House - Part Grd, 1st & 2nd Floors - Service Charge FY2017-18 @£39,510.10 qtrly - (Includes provision for end of year reconciliation)",M2 2FE,LARGE,,,
,,11-Sep-17,Additions PDC Capital Support NHS T Permanent,Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-23119,"708,000.00",,LS9 7TF,PUBLIC,,,
,,11-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23120,"553,000.00",,SS2 6GE,PUBLIC,,,
,,11-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-23121,"180,000.00",,WN1 1XX,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,BARTS HEALTH NHS TRUST,HAFS-23122,"45,000,000.00",,E1 8PR,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-23123,"5,501,000.00",,BN2 3EW,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-23124,"900,000.00",,HP7 0JD,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-23125,"2,875,000.00",,HD3 3EA,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Capital Investment Loans,Holding CT Core,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-23126,"1,454,000.00",,HD3 3EA,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23127,"8,419,000.00",,CB2 2QQ,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-23128,"2,000,000.00",,CR7 7YE,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-23129,"847,000.00",,BS1 2NP,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-23130,"5,722,000.00",,TN37 7PT,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-23131,"1,775,000.00",,CV10 7DJ,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,ISLE OF WIGHT NHS TRUST,HAFS-23132,"3,639,000.00",,PO30 5TG,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Capital Investment Loans,Holding CT Core,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-23133,"945,000.00",,NN16 8UZ,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-23134,"2,135,000.00",,NN16 8UZ,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-23135,"4,200,000.00",,PR7 1GZ,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-23136,"7,500,000.00",,LS9 7TF,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,HAFS-23137,"1,677,000.00",,ME16 9QQ,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-23138,"2,222,000.00",,CM8 2TL,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-23139,"2,524,000.00",,WF1 4TU,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-23140,"1,095,000.00",,MK6 5LD,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-23141,"2,539,000.00",,BS1 2NP,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-23142,"4,754,000.00",,CA2 7HX,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Capital Investment Loans,Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-23143,"1,047,000.00",,NN1 5BD,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-23144,"1,516,000.00",,NN1 5BD,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-23145,"7,893,000.00",,NG5 1PT,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,HAFS-23146,"7,272,000.00",,L7 8XP,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-23147,"1,819,000.00",,HA7 4LP,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,SALISBURY NHS FOUNDATION TRUST,HAFS-23148,"1,432,000.00",,SP2 8BJ,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,HAFS-23149,"2,123,000.00",,TS4 3BW,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,HAFS-23150,"2,532,000.00",,PR8 6PT,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23151,"11,000,000.00",,SW17 0QT,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,SURREY & SUSSEX HEALTHCARE NHS TRUST,HAFS-23152,"1,800,000.00",,RH1 5RH,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,HAFS-23153,"3,600,000.00",,OL6 9RW,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Working Capital Loans,Holding CT Core,THE IPSWICH HOSPITAL NHS TRUST,HAFS-23154,"1,133,000.00",,IP4 5PD,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Capital Investment Loans,Holding CT Core,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-23155,"160,000.00",,TQ2 7AN,PUBLIC,,,
,,11-Sep-17,Additions NHS Trust Capital Investment Loans,Holding CT Core,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,HAFS-23156,"2,000,000.00",,LE5 4QF,PUBLIC,,,
,,11-Sep-17,Additions NHS FTs Working Capital Loans,Holding CT Core,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-23157,"4,961,000.00",,LA1 4GG,PUBLIC,,,
