A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 10/4/2013 3:39:58 PM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088741,"52,026.85",,,
Department of Health,NHS Hull CCG,30/09/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000178773,"123,028.56",,,
Department of Health,NHS Hull CCG,30/09/2013,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410000360,"27,318.42",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,115492,"29,955.46",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088739,"101,764.58",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec Oth-NHS,LOCAL ENHANCED SERVICES,NHS COMMISSIONING BOARD,7000001569,"99,643.54",,,
Department of Health,NHS Hull CCG,30/09/2013,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100285,"71,304.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Computer Maintenance,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100294,"30,621.54",,,
Department of Health,NHS Hull CCG,30/09/2013,Minor Works,ESTATES AND FACILITIES,HOBSON & PORTER LTD,IN759,"93,032.83",317344274,,
Department of Health,NHS Hull CCG,30/09/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000180285,"587,499.73",,,
,,,,,,,,,,
