Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"-1,080.00",Publicity and Promotion,Arts & Leisure Services  ,5100291010,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,640.00",Publicity and Promotion,Arts & Leisure Services  ,5100291014,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,080.00",Publicity and Promotion,Arts & Leisure Services  ,5100291015,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,800.00",Publicity and Promotion,Arts & Leisure Services  ,5100291016,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,800.00",Publicity and Promotion,Arts & Leisure Services  ,5100291017,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,870.00,Publicity and Promotion,Facilities & Management Services  ,5100146175,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,870.00,Publicity and Promotion,Facilities & Management Services  ,5100146175,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,-870.00,Publicity and Promotion,Facilities & Management Services  ,5100291412,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,-870.00,Publicity and Promotion,Facilities & Management Services  ,5100291412,Stockport,Services to Place
Adult Social Care,24 Hour Home Care,2015-09-01,"1,320.00",Care Payments,Social Community Care Supplies & Services  ,1900551253,Stockport,Services to People
Adult Social Care,24 Hour Home Care,2015-09-07,529.56,Care Payments,Social Community Care Supplies & Services  ,1900552093,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,-195.92,Information and Communications Technology,Information Communication Technology  ,1900553008,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,"2,280.60",Care Payments,Social Community Care Supplies & Services  ,102264775,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,78.75,Care Payments,Social Community Care Supplies & Services  ,102264775,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,989.10,Care Payments,Social Community Care Supplies & Services  ,102264775,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,"1,953.00",Care Payments,Social Community Care Supplies & Services  ,102264776,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,72.45,Care Payments,Social Community Care Supplies & Services  ,102264776,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,"1,014.30",Care Payments,Social Community Care Supplies & Services  ,102264776,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-09,252.00,Care Payments,Social Community Care Supplies & Services  ,102269670,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-09,529.20,Care Payments,Social Community Care Supplies & Services  ,102269670,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,"2,085.30",Care Payments,Social Community Care Supplies & Services  ,102273355,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,78.75,Care Payments,Social Community Care Supplies & Services  ,102273355,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,992.25,Care Payments,Social Community Care Supplies & Services  ,102273355,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,"2,403.45",Care Payments,Social Community Care Supplies & Services  ,102273356,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,50.40,Care Payments,Social Community Care Supplies & Services  ,102273356,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-16,"1,064.70",Care Payments,Social Community Care Supplies & Services  ,102273356,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-30,"1,990.80",Care Payments,Social Community Care Supplies & Services  ,102281117,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-30,78.75,Care Payments,Social Community Care Supplies & Services  ,102281117,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-30,"1,004.85",Care Payments,Social Community Care Supplies & Services  ,102281117,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-30,"2,050.65",Care Payments,Social Community Care Supplies & Services  ,102281118,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-30,78.75,Care Payments,Social Community Care Supplies & Services  ,102281118,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-30,"1,042.65",Care Payments,Social Community Care Supplies & Services  ,102281118,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-02,180.00,Care Payments,Social Community Care Supplies & Services  ,1900551543,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-15,180.00,Care Payments,Social Community Care Supplies & Services  ,1900552963,Stockport,Services to People
Adult Social Care,A BUCKLEY LTD - INDEPENDENT CARE,2015-09-29,180.00,Care Payments,Social Community Care Supplies & Services  ,1900554551,Stockport,Services to People
Public Health,A N COMPUTING,2015-09-10,500.00,Information and Communications Technology,Information Communication Technology  ,5100290677,Stockport,Services to People
Capital Expenditure,A&D JOINERY LTD,2015-09-15,"2,545.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550526,Stockport,Services to Place
Childrens & Educational Services,ABACUS CHILDRENS SERVICES LTD,2015-09-03,"61,844.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551727,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-16,-566.33,Information and Communications Technology,Information Communication Technology  ,1900552991,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-02,"10,458.00",Care Payments,Social Community Care Supplies & Services  ,102264806,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-02,"10,316.25",Care Payments,Social Community Care Supplies & Services  ,102264807,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-15,107.10,Care Payments,Social Community Care Supplies & Services  ,102272754,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-16,"10,464.30",Care Payments,Social Community Care Supplies & Services  ,102273382,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-16,"12,124.35",Care Payments,Social Community Care Supplies & Services  ,102273383,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-30,"10,549.35",Care Payments,Social Community Care Supplies & Services  ,102281141,Stockport,Services to People
Adult Social Care,ABACUS HOMECARE,2015-09-30,"10,275.30",Care Payments,Social Community Care Supplies & Services  ,102281142,Stockport,Services to People
Adult Social Care,ABBEYFIELD UK - BRAMHALL,2015-09-07,"21,417.14",Care Payments,Social Community Care Supplies & Services  ,102267713,Stockport,Services to People
Adult Social Care,ABBEYFIELD UK - BRAMHALL,2015-09-07,"-8,359.09",Care Payments,Social Community Care Supplies & Services  ,102267713,Stockport,Services to People
Adult Social Care,ABBOTSFORD CARE HOME,2015-09-07,"1,940.90",Care Payments,Social Community Care Supplies & Services  ,102267714,Stockport,Services to People
Adult Social Care,ABBOTSFORD CARE HOME,2015-09-07,-631.50,Care Payments,Social Community Care Supplies & Services  ,102267714,Stockport,Services to People
Childrens & Educational Services,ABC,2015-09-03,788.40,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551713,Stockport,Services to People
Central Support Costs,ABC DIGITAL SOLUTIONS LTD,2015-09-24,120.00,Furniture and Equipment,Environmental Services Technical Equipment ,1900553765,Stockport,Services to People
Childrens & Educational Services,ABC DIGITAL SOLUTIONS LTD,2015-09-29,29.02,Furniture and Equipment,Environmental Services Technical Equipment ,1900554162,Stockport,Services to People
Childrens & Educational Services,ABC DIGITAL SOLUTIONS LTD,2015-09-04,64.44,Office Expenses,Facilities & Management Services  ,1900539802,Stockport,Services to People
Childrens & Educational Services,ABC DIGITAL SOLUTIONS LTD,2015-09-01,236.28,Office Expenses,Facilities & Management Services  ,1900544050,Stockport,Services to People
Childrens & Educational Services,ABC DIGITAL SOLUTIONS LTD,2015-09-01,160.35,Printing and Photocopying,Facilities & Management Services Printing ,1900544781,Stockport,Services to People
Childrens & Educational Services,ABC DIGITAL SOLUTIONS LTD,2015-09-01,61.65,Printing and Photocopying,Facilities & Management Services Printing ,1900549285,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-16,-62.68,Information and Communications Technology,Information Communication Technology  ,1900552992,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-02,456.75,Care Payments,Social Community Care Supplies & Services  ,102264804,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-02,434.70,Care Payments,Social Community Care Supplies & Services  ,102264805,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-16,425.25,Care Payments,Social Community Care Supplies & Services  ,102273380,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-16,500.85,Care Payments,Social Community Care Supplies & Services  ,102273381,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-30,431.55,Care Payments,Social Community Care Supplies & Services  ,102281139,Stockport,Services to People
Adult Social Care,A-BEST NURSING AND CARE LTD,2015-09-30,434.70,Care Payments,Social Community Care Supplies & Services  ,102281140,Stockport,Services to People
Environmental & Regulatory Services,ABIC Ltd,2015-09-24,"1,162.50",Professional Fees,Consultancy   ,1900551239,Stockport,Corporate and Support Services
Adult Social Care,ABILITY AWARE LIMITED,2015-09-01,288.54,Furniture and Equipment,Environmental Services Technical Equipment ,1900548331,Stockport,Services to People
Adult Social Care,ABILITY AWARE LIMITED,2015-09-10,581.64,Furniture and Equipment,Environmental Services Technical Equipment ,1900549859,Stockport,Services to People
Adult Social Care,ABILITY AWARE LIMITED,2015-09-15,162.56,Furniture and Equipment,Environmental Services Technical Equipment ,1900550696,Stockport,Services to People
Adult Social Care,ABILITY AWARE LIMITED,2015-09-24,492.72,Furniture and Equipment,Environmental Services Technical Equipment ,1900551563,Stockport,Services to People
Adult Social Care,ABLE COMMUNITY CARE,2015-09-09,"3,639.16",Care Payments,Social Community Care Supplies & Services  ,102269667,Stockport,Services to People
Adult Social Care,Ablewell Care,2015-09-29,578.16,Care Payments,Social Community Care Supplies & Services  ,1900554625,Stockport,Services to People
Capital Expenditure,ABN AMRO COMMERCIAL FINANCE,2015-09-25,"5,388.00",Information and Communications Technology,Information Communication Technology  ,1900554210,Stockport,Services to People
Capital Expenditure,ABN AMRO COMMERCIAL FINANCE,2015-09-25,"8,082.00",Information and Communications Technology,Information Communication Technology  ,1900554211,Stockport,Services to People
Adult Social Care,ABOUT ME CARE AND SUPPORT LTD,2015-09-09,972.48,Care Payments,Social Community Care Supplies & Services  ,102269672,Stockport,Services to People
Adult Social Care,Absolute care & support (UK)Ltd ISF,2015-09-25,"3,193.84",Care Payments,Social Community Care Supplies & Services  ,102278754,Stockport,Services to People
Adult Social Care,Absolute care & support (UK)Ltd ISF,2015-09-25,-864.63,Care Payments,Social Community Care Supplies & Services  ,102278754,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,173.25,Care Payments,Social Community Care Supplies & Services  ,102264824,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,280.35,Care Payments,Social Community Care Supplies & Services  ,102264824,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,510.30,Care Payments,Social Community Care Supplies & Services  ,102264824,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,"1,250.55",Care Payments,Social Community Care Supplies & Services  ,102264824,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,192.15,Care Payments,Social Community Care Supplies & Services  ,102264825,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,274.05,Care Payments,Social Community Care Supplies & Services  ,102264825,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,522.90,Care Payments,Social Community Care Supplies & Services  ,102264825,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-02,"1,741.95",Care Payments,Social Community Care Supplies & Services  ,102264825,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-09,94.50,Care Payments,Social Community Care Supplies & Services  ,102269686,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-09,18.90,Care Payments,Social Community Care Supplies & Services  ,102269686,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-09,94.50,Care Payments,Social Community Care Supplies & Services  ,102269686,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,198.45,Care Payments,Social Community Care Supplies & Services  ,102273400,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,274.05,Care Payments,Social Community Care Supplies & Services  ,102273400,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,516.60,Care Payments,Social Community Care Supplies & Services  ,102273400,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,"1,886.85",Care Payments,Social Community Care Supplies & Services  ,102273400,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,226.80,Care Payments,Social Community Care Supplies & Services  ,102273401,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,327.60,Care Payments,Social Community Care Supplies & Services  ,102273401,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,598.50,Care Payments,Social Community Care Supplies & Services  ,102273401,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-16,"2,107.35",Care Payments,Social Community Care Supplies & Services  ,102273401,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,154.35,Care Payments,Social Community Care Supplies & Services  ,102281159,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,280.35,Care Payments,Social Community Care Supplies & Services  ,102281159,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,522.90,Care Payments,Social Community Care Supplies & Services  ,102281159,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,"1,600.20",Care Payments,Social Community Care Supplies & Services  ,102281159,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,198.45,Care Payments,Social Community Care Supplies & Services  ,102281160,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,274.05,Care Payments,Social Community Care Supplies & Services  ,102281160,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,516.60,Care Payments,Social Community Care Supplies & Services  ,102281160,Stockport,Services to People
Adult Social Care,Absolute Care and Support (UK) Ltd,2015-09-30,"1,726.20",Care Payments,Social Community Care Supplies & Services  ,102281160,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,88.20,Care Payments,Social Community Care Supplies & Services  ,102264822,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,"3,313.80",Care Payments,Social Community Care Supplies & Services  ,102264822,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,"2,469.60",Care Payments,Social Community Care Supplies & Services  ,102264822,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,179.55,Care Payments,Social Community Care Supplies & Services  ,102264822,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,88.20,Care Payments,Social Community Care Supplies & Services  ,102264823,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,"3,219.30",Care Payments,Social Community Care Supplies & Services  ,102264823,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,"2,472.75",Care Payments,Social Community Care Supplies & Services  ,102264823,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-02,179.55,Care Payments,Social Community Care Supplies & Services  ,102264823,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-09,403.20,Care Payments,Social Community Care Supplies & Services  ,102269684,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-09,100.80,Care Payments,Social Community Care Supplies & Services  ,102269684,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,88.20,Care Payments,Social Community Care Supplies & Services  ,102273398,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,"3,361.05",Care Payments,Social Community Care Supplies & Services  ,102273398,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,"2,475.90",Care Payments,Social Community Care Supplies & Services  ,102273398,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,179.55,Care Payments,Social Community Care Supplies & Services  ,102273398,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,100.80,Care Payments,Social Community Care Supplies & Services  ,102273399,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,"3,815.75",Care Payments,Social Community Care Supplies & Services  ,102273399,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,"2,844.45",Care Payments,Social Community Care Supplies & Services  ,102273399,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-16,201.60,Care Payments,Social Community Care Supplies & Services  ,102273399,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,88.20,Care Payments,Social Community Care Supplies & Services  ,102281157,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,"3,316.95",Care Payments,Social Community Care Supplies & Services  ,102281157,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,"2,394.00",Care Payments,Social Community Care Supplies & Services  ,102281157,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,179.55,Care Payments,Social Community Care Supplies & Services  ,102281157,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,88.20,Care Payments,Social Community Care Supplies & Services  ,102281158,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,"3,357.90",Care Payments,Social Community Care Supplies & Services  ,102281158,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,"2,394.00",Care Payments,Social Community Care Supplies & Services  ,102281158,Stockport,Services to People
Adult Social Care,Absolute Care At Home Ltd,2015-09-30,179.55,Care Payments,Social Community Care Supplies & Services  ,102281158,Stockport,Services to People
Adult Social Care,Acacia Care Home,2015-09-07,"2,012.50",Care Payments,Social Community Care Supplies & Services  ,102267854,Stockport,Services to People
Adult Social Care,Acacia Care Home,2015-09-07,-869.05,Care Payments,Social Community Care Supplies & Services  ,102267854,Stockport,Services to People
Capital Expenditure,ACCENT CORPORATE SERVICES LTD,2015-09-23,"3,763.00",Capital Expenditure - Acquisitions,Acquisition of Land and Buildings,5100292204,Stockport,Services to Place
Adult Social Care,Access Independent,2015-09-11,"1,680.00",Agency Staff,Human Resources Temporary & Agency Staff ,1900552065,Stockport,Services to People
Central Support Costs,ACORN ENVIRONMENTAL SERVICES,2015-09-14,450.00,Cleaning,Cleaning & Janitorial  ,1900552279,Stockport,Corporate and Support Services
Central Support Costs,ACORN ENVIRONMENTAL SERVICES,2015-09-14,60.00,Cleaning,Cleaning & Janitorial  ,1900552280,Stockport,Corporate and Support Services
Central Support Costs,ACORN ENVIRONMENTAL SERVICES,2015-09-14,75.00,Cleaning,Environmental Services Street Cleansing ,1900552278,Stockport,Corporate and Support Services
Capital Expenditure,ACORN ENVIRONMENTAL SERVICES,2015-09-10,400.00,Office Expenses,Facilities & Management Services  ,1900552277,Stockport,Corporate and Support Services
Adult Social Care,ACORN ENVIRONMENTAL SERVICES,2015-09-08,40.00,Care Payments,Social Community Care Supplies & Services  ,1900552120,Stockport,Services to People
Adult Social Care,ACORN RECOVERY PROJECTS,2015-09-16,"8,325.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900553205,Stockport,Services to People
Adult Social Care,ACORN RECOVERY PROJECTS,2015-09-18,"9,000.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900553474,Stockport,Services to People
Cultural & Related Services,ACOUSTIGUIDE LTD,2015-09-07,780.00,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",5100291291,Stockport,Services to Place
Corporate & Democratic Core,ACT NOW TRAINING LTD,2015-09-09,39.00,Staff Training,Human Resources  ,1900552505,Stockport,Corporate and Support Services
Corporate & Democratic Core,ACT NOW TRAINING LTD,2015-09-21,39.00,Staff Training,Human Resources  ,1900553351,Stockport,Corporate and Support Services
Corporate & Democratic Core,ACT NOW TRAINING LTD,2015-09-08,"1,850.00",Staff Training,Human Resources  ,5100291338,Stockport,Corporate and Support Services
Adult Social Care,ACTIVECARE LTD,2015-09-07,560.00,Care Payments,Social Community Care Supplies & Services  ,102267872,Stockport,Services to People
Adult Social Care,ACTIVECARE LTD,2015-09-07,"3,395.00",Care Payments,Social Community Care Supplies & Services  ,102267872,Stockport,Services to People
Adult Social Care,ACTIVECARE LTD,2015-09-07,"-1,215.00",Care Payments,Social Community Care Supplies & Services  ,102267872,Stockport,Services to People
Adult Social Care,ACTIVECARE LTD,2015-09-24,0.79,Care Payments,Social Community Care Supplies & Services  ,1900554159,Stockport,Services to People
Planning Services,ADAM CONTINUITY,2015-09-01,"12,250.00",Information and Communications Technology,Information Communication Technology  ,5100290079,Stockport,Corporate and Support Services
Adult Social Care,ADASS,2015-09-01,"1,700.00",Fees and Charges,Fees and Charges,1900551168,Stockport,Services to People
Adult Social Care,ADASS,2015-09-02,499.00,Expenses and Allowances,Human Resources Training & Conferences ,1900551283,Stockport,Services to People
Central Support Costs,ADI SERVICES LTD,2015-09-07,65.00,Professional Fees,Consultancy   ,1900549762,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-10,65.00,Professional Fees,Consultancy   ,1900550219,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-09,65.00,Professional Fees,Consultancy   ,1900550222,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-04,65.00,Professional Fees,Consultancy   ,1900550223,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-07,65.00,Professional Fees,Consultancy   ,1900550224,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-03,65.00,Professional Fees,Consultancy   ,1900550225,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-16,65.00,Professional Fees,Consultancy   ,1900551597,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552008,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552009,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552010,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552011,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552012,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,100.00,Professional Fees,Consultancy   ,1900552013,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552014,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552015,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552016,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-16,65.00,Professional Fees,Consultancy   ,1900552409,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-22,65.00,Professional Fees,Consultancy   ,1900552709,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-24,65.00,Professional Fees,Consultancy   ,1900553322,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-04,65.00,Professional Fees,Consultancy   ,5100290090,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-09,65.00,Professional Fees,Consultancy   ,5100290446,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-16,65.00,Professional Fees,Consultancy   ,5100290910,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-09,65.00,Professional Fees,Consultancy   ,5100290911,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-18,65.00,Professional Fees,Consultancy   ,5100290912,Stockport,Corporate and Support Services
Central Support Costs,ADI SERVICES LTD,2015-09-18,65.00,Professional Fees,Consultancy   ,5100290913,Stockport,Corporate and Support Services
