Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount,Additional Narrative
HMRC,VOA,16.09.13,Electricity,Corporate,Planning Inspectorate,5100002905,"£5,422.18",Accommodation Charges
HMRC,VOA,16.09.13,Rates,Corporate,Planning Inspectorate,5100002905,"£13,082.97",Accommodation Charges
HMRC,VOA,16.09.13,Royal mail postage,Corporate,Royal Mail,1900016104,"£56,176.81",Postage Charges
HMRC,VOA,16.09.13,Subscriptions,Corporate,Specialist Computer Centres,5100003020,"£100,224.06",IT support and maintenance
HMRC,VOA,16.09.13,Input VAT (ST),Corporate,Specialist Computer Centres,5100003020,"£1,371.54",VAT
HMRC,VOA,20.09.13,Accommodation rent,Corporate,The Charity Commission For England,5100003083,"£25,904.40",Accommodation Charges
HMRC,VOA,05.09.13,Postage,Corporate,TNT UK LTD,5100002897,"£37,183.67",Postage Charges
HMRC,VOA,05.09.13,Input VAT (ST),Corporate,TNT UK LTD,5100002897,"£7,436.73",VAT
HMRC,VOA,17.09.13,Accommodation rent,Corporate,Turnstone Estates Ltd,5100003035,"£37,865.90",Accommodation Charges
HMRC,VOA,17.09.13,Input VAT (ST),Corporate,Turnstone Estates Ltd,5100003035,£518.19,VAT
HMRC,VOA,04.09.13,I.T.-Hardware Maintenance,Corporate,XEROX (UK) LTD,5100002869,"£64,988.71",Hardware Maintenance
HMRC,VOA,04.09.13,Input VAT (ST),Corporate,XEROX (UK) LTD,5100002869,"£12,997.72",VAT
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000505,"£33,633.50",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,Royal Borough of Kensington & Chelsea,1900000482,"£59,442.24",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,Royal Borough of Kensington & Chelsea,1900000481,"£87,398.00",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000426,"£107,038.00",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,London Borough of Ealing,1900000506,"£127,485.13",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000427,"£133,797.50",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000445,"£267,595.00",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000440,"£279,870.00",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000442,"£289,975.72",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000446,"£454,519.86",Payment of business rates for diplomatic properties
HMRC,POLAR,24.09.13,Non-domestic Rates,Diplomatic Properties,City of Westminster,1900000423,"£461,540.00",Payment of business rates for diplomatic properties
