Company,Transaction Date ,Amount,VAT Amount,Merchant,Cost Centre,Expense Type,Description
Health & Safety Executive,24-Oct-2017,"£1,560.00",£0.00,INSTITUTION OF CHEMICA,10444111,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,29-Oct-2017,"£1,572.00",£0.00,WWW.SPENERGYNETWORKS.C,10440510,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,17-Oct-2017,"£1,740.00",£0.00,THE UNDERWATER CENTRE,10444112,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,12-Oct-2017,"£1,751.00",£0.00,UOM OPEN PAYMENT PATHW,10445111,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,12-Oct-2017,"£1,758.00",£0.00,DIAMOND ENVIRONMENTAL,10453111,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,03-Oct-2017,"£2,000.00",£0.00,CITY OF LONDON CORPORA,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,12-Oct-2017,"£2,100.00",£0.00,ABB LIMITED,10443111,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,13-Oct-2017,"£2,142.00",£0.00,CIVIL SERVICE COLLEGE,10448111,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,03-Oct-2017,"£2,400.00",£0.00,VOBSTER DIVING,10444111,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,13-Oct-2017,"£2,426.16",£0.00,WWW.BONDSOLON.COM,10440511,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,09-Oct-2017,"£2,512.80",£0.00,HAYMARKET PUBLISHING S,10447310,Books and Periodicals/Purchase of Publications/Miscellaneous,Books
Health & Safety Executive,13-Oct-2017,"£3,000.00",£0.00,KPMG,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,13-Oct-2017,"£3,105.60",£0.00,CAPITA BUSINESS SERVS,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,11-Oct-2017,"£3,600.00",£0.00,PRIMETAKE LTD,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,11-Oct-2017,"£4,200.00",£0.00,MANCHESTER FLUID SYSTE,10453110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,02-Oct-2017,"£4,488.12",£0.00,SOFTCAT PLC,10447213,Computer Equipment & Services/Hardware/Miscellaneous,Computer Equipment
Health & Safety Executive,02-Oct-2017,"£5,213.76",£0.00,SOFTCAT PLC,10447213,Computer Equipment & Services/Hardware/Miscellaneous,Computer Equipment
Health & Safety Executive,11-Oct-2017,"£5,437.20",£0.00,KPMG,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,11-Oct-2017,"£6,589.20",£0.00,KPMG,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,17-Oct-2017,"£7,260.00",£0.00,KPMG,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,13-Oct-2017,"£8,923.20",£0.00,KPMG,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
Health & Safety Executive,13-Oct-2017,"£9,135.69",£0.00,CAPITA BUSINESS SERVS,10446110,Training and Educational/Business/Training - Other External/Miscellaneous,Training Event
