Newcastle City Council Invoices over £250 paid in December 2016,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ABBEYMOOR,7106450,Revenue,1MH10,Nursing Care PD,-660.08
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ABBEYMOOR,7106450,Revenue,1MM10,Nursing Care MH,-793.84
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,06-Dec-2016,ABC AWARDS,7067069,Revenue,1EA15,Newcastle City Learning Main,266.00
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,09-Dec-2016,ABC AWARDS,7067649,Revenue,1EA15,Newcastle City Learning Main,336.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,23-Dec-2016,ABEL ALARM COMPANY LTD,7107887,Revenue,1KE27,Bereavement Services Overhead,2050.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,13-Dec-2016,ABEL ALARM COMPANY LTD,7095616,Revenue,1KVEM,Mechanical Stand Alone Works,579.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,13-Dec-2016,ABIGAIL LODGE,7095744,Revenue,1MG10,Nursing Care OP,1096.39
Adult and Culture,Social Services-Carefirst              ,Revenue Income,13-Dec-2016,ABIGAIL LODGE,7095744,Revenue,1MG10,Nursing Care OP,-270.47
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ABSOLUTE QUALITY CARE,7103870,Revenue,1MG50,Home Care-Spot Purchased OP,27800.50
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ABSOLUTE QUALITY CARE,7103870,Revenue,1MG51,Home Care-Personal OP,2314.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ABSOLUTE QUALITY CARE,7103870,Revenue,1MH50,Home Care PD,6675.50
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ABSOLUTE QUALITY CARE,7103870,Revenue,1MM50,Home Care MH,962.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,23-Dec-2016,ACCOUNTABILITY,7108592,Revenue,1MH40,Direct Payments PD,2782.00
Children's Services,Int Childhood Services     ,Revenue Expenditure,22-Dec-2016,ACHIEVEMENT FOR ALL LTD,7106136,Revenue,1E45H,Early Years Sector Support,15400.00
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,08-Dec-2016,ACP,7091941,Revenue,1KESW,Fleet SLA Costs & Income,1673.70
Environment & Regeneration,NS: Resources              ,Revenue Expenditure,08-Dec-2016,ACP,7091941,Revenue,1KSCD,External Vehicle Tracking,3978.05
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,07-Dec-2016,ACROL AIR CONDITIONING CO LTD,7063668,Revenue,1VH22,Temporary Accommodation Prem,875.71
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,20-Dec-2016,ACROL AIR CONDITIONING CO LTD,7102727,Revenue,1FRAW,Premises Contracts,7860.50
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,05-Dec-2016,ACROL AIR CONDITIONING CO LTD,7059957,Revenue,1KBM0,Public & Educ O/H,283.45
Environment & Regeneration,Allendale Building                     ,Revenue Expenditure,30-Dec-2016,ACTAVO (UK) LTD,7111310,Revenue,1KBM0,Public & Educ O/H,1047.14
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Dec-2016,ACTION FOR CHILDREN,7101299,Revenue,1EEG3,CFH - Commission,93124.36
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,13-Dec-2016,ACTION FOR CHILDREN,7095504,Revenue,1MC22,IND Sector Foster Carer Costs,21718.86
Children's Services,Childrens Services Support       ,Revenue Expenditure,08-Dec-2016,ACTION FOR CHILDREN,7090933,Revenue,1MB04,Childrens Standards Unit,2476.25
Adult and Culture,Social Services                        ,Revenue Expenditure,23-Dec-2016,ACTION ON HEARING LOSS,7108841,Revenue,1MK50,Supported Living LD,9815.04
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,13-Dec-2016,ACTIVE HORIZONS LTD,7095705,Revenue,1MK20,Residential Care LD,3791.29
Adult and Culture,Social Services-Carefirst              ,Revenue Income,13-Dec-2016,ACTIVE HORIZONS LTD,7095705,Revenue,1MK20,Residential Care LD,-40.95
Adult and Culture,Social Services                        ,Revenue Expenditure,07-Dec-2016,ACTIVE NORTHUMBERLAND,7091062,Revenue,1DF71,High Bridge Studios & Gallery,14000.00
Chief Executive's,CD - Electoral Reg               ,Revenue Expenditure,02-Dec-2016,ADARE LTD,7086685,Revenue,1FL01,Electoral Registration Unit,1660.95
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,13-Dec-2016,ADC ELECTRICAL CO LTD(F),7095620,Revenue,1KR20,M&E Electrical,426.00
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,13-Dec-2016,ADC ELECTRICAL CO LTD(F),7095619,Revenue,1KR20,M&E Electrical,426.00
Adult and Culture,Social Services                        ,Revenue Expenditure,19-Dec-2016,ADELPHI HOTEL,7101165,Revenue,1MN30,Asylum Seekers Adults,3195.00
Chief Executive's,CD - Business Dev Centres        ,Revenue Expenditure,30-Dec-2016,ADT FIRE & SECURITY,7097618,Revenue,1DE49,i4- Quayside NEC,387.25
Chief Executive's,CD - Business Dev Centres        ,Revenue Expenditure,30-Dec-2016,ADT FIRE & SECURITY,7097671,Revenue,1DE49,i4- Quayside NEC,736.71
Children's Services,Walbottle Campus Secon/High School     ,Revenue Expenditure,30-Dec-2016,ADT FIRE & SECURITY,7106865,Revenue,1E877,Walbottle Leisure,425.58
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,14-Dec-2016,ADT FIRE & SECURITY,7097783,Revenue,1VH22,Temporary Accommodation Prem,399.89
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,14-Dec-2016,ADT FIRE & SECURITY,7097586,Revenue,1VH22,Temporary Accommodation Prem,2028.95
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,14-Dec-2016,ADT FIRE & SECURITY,7097849,Revenue,1VH22,Temporary Accommodation Prem,1769.50
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,16-Dec-2016,ADT FIRE & SECURITY,7100428,Revenue,1VH22,Temporary Accommodation Prem,371.88
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,19-Dec-2016,ADVANCED LEGAL LTD,7085378,Revenue,1FA51,Coroner,1215.00
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,28-Dec-2016,ADVANCED WATER TECHNOLOGIES,7094670,Revenue,1KR8L,Wide District Heating,265.00
Environment & Regeneration,NS: District Heating       ,Revenue Expenditure,28-Dec-2016,ADVANCED WATER TECHNOLOGIES,7094670,Revenue,1KR05,District Heating,1100.00
Adult and Culture,Adult Serv Finance         ,Revenue Expenditure,01-Dec-2016,AFTER ADOPTION,7085541,Revenue,1MF10,Adoption Payments,12375.00
Children's Services,Childrens Services Support       ,Revenue Expenditure,09-Dec-2016,AFTER ADOPTION,7090940,Revenue,1MB28,Regional Adoption Agency,600.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,07-Dec-2016,AGD SYSTEMS LTD,7077927,Revenue,1KEMC,Highways,60.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,07-Dec-2016,AGD SYSTEMS LTD,7077927,Revenue,1KELT,Traffic Sig Sunderlnd Recharge,7290.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,07-Dec-2016,AGD SYSTEMS LTD,7079046,Revenue,1KEMC,Highways,1200.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,07-Dec-2016,AGD SYSTEMS LTD,7077928,Revenue,1KEMC,Highways,190.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,07-Dec-2016,AGD SYSTEMS LTD,7079047,Revenue,1KEMC,Highways,140.00
Environment & Regeneration,Highways                               ,Revenue Expenditure,16-Dec-2016,AGD SYSTEMS LTD,7097051,Revenue,1KELQ,Traffic Sig N Tyne Recharge,3150.00
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Dec-2016,AGE UK NEWCASTLE,7101307,Revenue,1MG88,Age Friendly Unit,13808.20
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,AGE UK NEWCASTLE,7103841,Revenue,1MG50,Home Care-Spot Purchased OP,2916.50
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,AGE UK NEWCASTLE,7103841,Revenue,1MH50,Home Care PD,24522.50
Chief Executive's,CD - Treasury Mgmt Payments NOR        ,Revenue Expenditure,20-Dec-2016,AGE UK NEWCASTLE,7105531,Revenue,1RB48,Other Corporate Items,19015.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,20-Dec-2016,AIR TECHNIQUE,7103129,Revenue,1KKX1,Civic Centre Direct Costs,435.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,28-Dec-2016,AIR TECHNIQUE,7107588,Revenue,1DF71,High Bridge Studios & Gallery,449.00
Adult and Culture,Social Services                        ,Revenue Expenditure,02-Dec-2016,AIREY TERRACE,7086661,Revenue,1MC06,Iona Place Childrens Unit,304.35
Adult and Culture,Social Services                        ,Revenue Expenditure,19-Dec-2016,AIREY TERRACE,7101076,Revenue,1MC06,Iona Place Childrens Unit,1694.50
Adult and Culture,Social Services                        ,Revenue Expenditure,13-Dec-2016,AIREY TERRACE,7095576,Revenue,1MC06,Iona Place Childrens Unit,761.17
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,12-Dec-2016,AKW MEDI-CARE LTD,7086577,Revenue,1KR12,DDA,560.49
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,12-Dec-2016,AKW MEDI-CARE LTD,7086581,Revenue,1KR12,DDA,340.86
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,01-Dec-2016,AKW MEDI-CARE LTD,7068797,Revenue,1KR12,DDA,348.30
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,01-Dec-2016,AKW MEDI-CARE LTD,7068796,Revenue,1KR12,DDA,340.86
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,09-Dec-2016,ALAN CARR DESIGN & PRINT,7086761,Revenue,1V204,Car Parking Infrastructure,1284.00
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,30-Dec-2016,ALAN CARR DESIGN & PRINT,7111467,Revenue,1V204,Car Parking Infrastructure,446.50
Environment & Regeneration,E&R Raising Participation        ,Revenue Expenditure,05-Dec-2016,ALAN RANSOME SPORTING GOODS GROUP LTD,7065437,Revenue,1KLM1,Ping,379.98
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,09-Dec-2016,ALARM SUPPLIES SCOTLAND LTD,7093139,Revenue,1KKU5,Civic Centre Control,388.50
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALBANY HOUSE  (WHITLEY BAY),7106451,Revenue,1MM20,Residential Care MH,5287.68
Chief Executive's,CD - Accountancy                 ,Revenue Expenditure,06-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7077032,Revenue,1FF51,Finance,359.00
Chief Executive's,CD - Customer Service Devt       ,Revenue Expenditure,22-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,6990896,Revenue,1CC26,Contact Centre Management,440.00
Chief Executive's,CD - Economic Development        ,Capital Expenditure,09-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7093392,Capital,2CAPI,Capital Investment,363.00
Chief Executive's,CD - Economic Development        ,Revenue Expenditure,08-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7048887,Revenue,1KKX1,Civic Centre Direct Costs,363.00
Chief Executive's,CD - Economic Development        ,Revenue Expenditure,20-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7098375,Revenue,1CP17,Digital Printing,630.00
Children's Services,Educ Montagu               ,Capital Expenditure,21-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7090330,Capital,2E46H,NNI Montagu Comm Nursery,728.00
Children's Services,Educ Rye Hill              ,Capital Expenditure,21-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7092200,Capital,2E463,Rye Hill Nursery,728.00
Children's Services,Educ Shieldfield           ,Capital Expenditure,21-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7090331,Capital,2E464,Shieldfield Day Nursery,728.00
Children's Services,Educ Willow Ave            ,Capital Expenditure,21-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7090332,Capital,2E465,Willow Avenue Day Nursery,728.00
Children's Services,Youth Offending Team       ,Revenue Expenditure,14-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7042244,Revenue,1MF02,16+ Team,893.00
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,12-Dec-2016,ALBANY OFFICE FURNITURE SOLUTIONS,7084553,Revenue,1V204,Car Parking Infrastructure,283.00
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,15-Dec-2016,ALERE FORENSICS LTD,7097228,Revenue,1FA51,Coroner,1355.00
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,20-Dec-2016,ALERE FORENSICS LTD,7100536,Revenue,1FA51,Coroner,470.00
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,23-Dec-2016,ALERE FORENSICS LTD,7105078,Revenue,1FA51,Coroner,880.00
Chief Executive's,CD - Legal Services              ,Revenue Expenditure,23-Dec-2016,ALERE FORENSICS LTD,7105080,Revenue,1FA51,Coroner,1670.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,13-Dec-2016,ALEXANDRA HOUSE,7095636,Revenue,1MG20,Residential Care OP,1872.00
Adult and Culture,Social Services-Carefirst              ,Revenue Income,13-Dec-2016,ALEXANDRA HOUSE,7095636,Revenue,1MG20,Residential Care OP,-495.80
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MG10,Nursing Care OP,32538.69
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MG20,Residential Care OP,17120.52
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MK10,Nursing Care LD,-106.25
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MK20,Residential Care LD,2200.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MM20,Residential Care MH,7439.94
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106525,Revenue,1MG10,Nursing Care OP,625.00
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MG10,Nursing Care OP,-2021.96
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MG20,Residential Care OP,-3276.88
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MK10,Nursing Care LD,106.24
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MK20,Residential Care LD,-477.32
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ALLAN COURT RESIDENTIAL HOME,7106509,Revenue,1MM20,Residential Care MH,-905.80
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ALLIED HEALTHCARE GROUP,7103839,Revenue,1MG51,Home Care-Personal OP,49978.22
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ALLIED HEALTHCARE GROUP,7103839,Revenue,1MH50,Home Care PD,11547.07
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ALLIED HEALTHCARE GROUP,7103839,Revenue,1MK51,Home Care LD,1856.21
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ALLIED HEALTHCARE GROUP,7103839,Revenue,1MM50,Home Care MH,1183.00
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,15-Dec-2016,ALZHEIMERS SOCIETY,7098858,Revenue,1MG91,VCS Commissioning OP,8383.83
Chief Executive's,CD - Finance & Resources NOR           ,Revenue Expenditure,22-Dec-2016,AMAS LTD,7106331,Revenue,1DY60,Stephenson Quarter,5942.50
Chief Executive's,CD - Finance & Resources NOR           ,Revenue Expenditure,22-Dec-2016,AMAS LTD,7106350,Revenue,1DY60,Stephenson Quarter,5950.00
Chief Executive's,CD - Finance & Resources NOR           ,Revenue Expenditure,22-Dec-2016,AMAS LTD,7106347,Revenue,1DY60,Stephenson Quarter,4855.00
Chief Executive's,CD - Finance & Resources NOR           ,Revenue Expenditure,22-Dec-2016,AMAS LTD,7106342,Revenue,1DY60,Stephenson Quarter,5442.50
Chief Executive's,CD - Finance & Resources NOR           ,Revenue Expenditure,21-Dec-2016,AMAS LTD,7105142,Revenue,1DF32,NGI Visitor Info Ctr,1573.15
Children's Services,Educ School Planning    ,Revenue Expenditure,21-Dec-2016,AMJ SUPPORT SERVICES LTD,7094942,Revenue,1MC02,Ind Sector Placements,5694.33
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,19-Dec-2016,ANCHOR TRUST,7101304,Revenue,1MX51,VP Hosuing Support Subsidy,791.12
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,09-Dec-2016,ANDTECH SYSTEMS,7093343,Revenue,1KJ42,Security Consultancy,345.00
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,09-Dec-2016,ANDTECH SYSTEMS,7093339,Revenue,1KKU5,Civic Centre Control,645.00
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,21-Dec-2016,ANDTECH SYSTEMS,7093345,Revenue,1KJ42,Security Consultancy,1540.00
Environment & Regeneration,CW Security Services             ,Revenue Expenditure,30-Dec-2016,ANDTECH SYSTEMS,7096052,Revenue,1KKU5,Civic Centre Control,270.00
HRA,HRA Property Maint         ,Revenue Expenditure,30-Dec-2016,ANTHONY P DAVIES ASSOCIATES LTD,7097536,Revenue,1HBTC,Planned Tech Maintenance,885.00
HRA,HRA Property Maint         ,Revenue Expenditure,30-Dec-2016,ANTHONY P DAVIES ASSOCIATES LTD,7097537,Revenue,1HBTC,Planned Tech Maintenance,3525.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,29-Dec-2016,APEX BLINDS,7097588,Revenue,1KEMC,Highways,255.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,13-Dec-2016,APPLEBY CARE HOME,7095653,Revenue,1MG10,Nursing Care OP,2535.60
Children's Services,Educ School Planning    ,Revenue Expenditure,30-Dec-2016,ARC ADOPTION NORTH EAST,7097095,Revenue,1MB28,Regional Adoption Agency,1039.50
Adult and Culture,Social Services                        ,Revenue Expenditure,13-Dec-2016,ARCADEA,7083137,Revenue,1MK34,Shared Lives - Adult LD,360.00
Environment & Regeneration,Cityworks Rangers          ,Revenue Expenditure,19-Dec-2016,ARCO LTD,7056400,Revenue,1KL6A,Rangers Development Budget,273.47
Environment & Regeneration,Cityworks Rangers          ,Revenue Expenditure,19-Dec-2016,ARCO LTD,7084901,Revenue,1KL6A,Rangers Development Budget,273.47
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,13-Dec-2016,ARCO LTD,7084898,Revenue,1V204,Car Parking Infrastructure,898.64
Environment & Regeneration,NS: Waste Management       ,Revenue Expenditure,02-Dec-2016,ARCO LTD,7087101,Revenue,1KE14,Waste Disposal General O/H,574.55
Environment & Regeneration,NS: Waste Management       ,Revenue Expenditure,01-Dec-2016,ARCO LTD,7059721,Revenue,1KE14,Waste Disposal General O/H,574.55
Environment & Regeneration,NS: Waste Management       ,Revenue Expenditure,01-Dec-2016,ARCO LTD,7059723,Revenue,1KE14,Waste Disposal General O/H,574.55
Children's Services,Schools Payment Agency                 ,Revenue Expenditure,20-Dec-2016,ARK HOUSE TREATMENT CENTRE,7102887,Revenue,1MP27,DAT Residential Rehab,565.71
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,08-Dec-2016,ARNOLD CLARK,7087236,Revenue,1KESA,Heavy Workshop Routine Repair,487.49
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,29-Dec-2016,ARRIVA NORTH EAST,7101830,Revenue,1V301,Travel office Travel Passes,1585.00
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,15-Dec-2016,ARRIVA RAIL NORTH LTD,7098627,Revenue,1V301,Travel office Travel Passes,808.00
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,19-Dec-2016,ARRIVA RAIL NORTH LTD,7083175,Revenue,1V301,Travel office Travel Passes,868.00
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,19-Dec-2016,ARRIVA RAIL NORTH LTD,7094823,Revenue,1V301,Travel office Travel Passes,1572.00
Environment & Regeneration,E&R Parking Services       ,Revenue Expenditure,19-Dec-2016,ARRIVA RAIL NORTH LTD,7083174,Revenue,1V301,Travel office Travel Passes,1516.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ARTEMIS DOMICILIARY CARE,7103866,Revenue,1MG50,Home Care-Spot Purchased OP,10820.82
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ARTEMIS DOMICILIARY CARE,7103866,Revenue,1MG51,Home Care-Personal OP,1164.87
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,20-Dec-2016,ARTEMIS DOMICILIARY CARE,7103866,Revenue,1MH50,Home Care PD,567.00
Chief Executive's,CD - Revenues & Benefits         ,Revenue Expenditure,20-Dec-2016,ASH INFORMATION SYSTEMS LTD,7098941,Revenue,1CS14,Revs & Bens Small Grants,14000.00
Chief Executive's,CD - Revenues & Benefits         ,Revenue Expenditure,20-Dec-2016,ASH INFORMATION SYSTEMS LTD,7098568,Revenue,1CS14,Revs & Bens Small Grants,1125.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ASHFIELD COURT,7106452,Revenue,1MG20,Residential Care OP,5538.00
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ASHFIELD COURT,7106452,Revenue,1MG20,Residential Care OP,-1165.52
Adult and Culture,Social Services-Care Support           ,Revenue Expenditure,15-Dec-2016,ASIAN BUSINESS CONNEXIONS,7098865,Revenue,1FN11,Eco Development Ncl Fund,8999.90
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,07-Dec-2016,ASKEWS LIBRARY SERVICES LTD,7073037,Revenue,1EJ13,Stock Services,558.73
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,02-Dec-2016,ASKEWS LIBRARY SERVICES LTD,7073012,Revenue,1EJ13,Stock Services,739.95
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,02-Dec-2016,ASKEWS LIBRARY SERVICES LTD,7073013,Revenue,1EJ13,Stock Services,422.09
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,02-Dec-2016,ASKEWS LIBRARY SERVICES LTD,7073016,Revenue,1EJ13,Stock Services,614.83
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,02-Dec-2016,ASKEWS LIBRARY SERVICES LTD,7073019,Revenue,1EJ13,Stock Services,448.65
