Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Inc VAT where appropriate,VAT Paid,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5035705,"35,088.89",,NC01381448,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2014,Transcriptions And Translation,Corporate,AVR Transcription Ltd Bolton,5035739,"108,407.04",,NC01329946,BL6 6HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2014,Transcriptions And Translation,Corporate,Mendip Media Group Ltd Tiverton,5035753,"36,851.76",,NC01329961,EX2 5AZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/09/2014,Crown Court Very High Cost Cases,Proceeds of Crime,Draycott Simon ,1444467,"32,144.25",Y,7701382623,EC4V 5BY,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/09/2014,New Works,Corporate,Orchard Build Ltd Essex,5035779,"53,181.00",,Valuation Riding Gate House,CO5 9SE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Computer Services,Corporate,CGI IT UK Ltd,5035802,"40,348.80",,CCR5280 Accommodation Moves Aug 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5035802,"59,024.47",,BIS CCR Unitary Charges for July 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5035802,"93,979.67",,BIS Projects CCR Unitary Charges for July 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Fittings,Corporate,Dimestage (Construction Co.) Ltd,5035803,"45,790.98",,Replacement of Major HeatingPlant,LS27 7EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Crown Court Graduated Fee Scheme,London,Plaschkes S ,1444798,"43,116.70",Y,6250383677,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Crown Court Graduated Fee Scheme,London,Smart Roger ,1444797,"44,353.14",Y,6250379967,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Crown Court Graduated Fee Scheme,London,Stott Phillip ,1444796,"29,759.98",Y,6250379925,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2014,Transcriptions And Translation,Corporate,Wordwave International Ltd,5035807,"53,142.01",,NC01329963,EC4A 2DY,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2014,Crown Court Graduated Fee Scheme,London,Boyce William ,1445349,"31,097.18",Y,6250383480,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2014,Crown Court Graduated Fee Scheme,London,Hicks Martin ,1445490,"35,884.55",Y,6250381947,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2014,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Robertson Andrew ,1445514,"25,522.45",Y,2854385346,LS11 5DL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2014,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Smith Robert QC ,1445387,"27,684.30",Y,2858382774,LS1 2SJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2014,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Thomas Andrew ,1445306,"72,034.15",Y,2418385835,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2014,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Williams Nicholas ,1445296,"36,185.42",Y,2418385843,CH1 2LU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2014,Crown Court Graduated Fee Scheme,Wessex Area,Bowes Michael Anthony ,1446161,"31,264.73",Y,4908379532,WC2R 1BA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2014,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Christie Simon ,1446320,"25,942.08",Y,2418384255,L2 4TX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2014,Carbon Reduction Commitment,Corporate,Dept of Energy and Climate Change,5035838,"76,812.00",,CRC Phase 1 allowance payment 2013-14,SW1A 2AW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Herbert David ,1446067,"28,387.26",Y,3761388877,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/09/2014,New Works,Corporate,Beacons Business Interiors Ltd Powys,5035904,"95,997.73",,internal alteration,LD3 8LA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/09/2014,Electricity,Corporate,EDF Energy,5035900,"8,696.98",,010814/310814,PL3 5XQ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,16/09/2014,Electricity,Corporate,EDF Energy,5035900,"26,090.94",,010814/310814,PL3 5XQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/09/2014,Professional Charges,Business Information Sys Dir,Evolve Business Consultancy,5035897,"30,780.00",,ANNUAL IT HEALTH CHECK,GU10 1DW,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,17/09/2014,Crown Court Graduated Fee Scheme,South East Area,Cheema Parmjit Kaur ,1447532,"54,871.70",Y,4714390087,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/09/2014,Overseas Accommodation & Allowances,Operations Directorate,Foreign And Commonwealth Office,5035945,"32,884.35",,TRP Port of Spain,MK10 1PX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Wheeler Andrew ,1447537,"25,950.48",Y,7503390515,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/09/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3443866077,"599,827.59",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/09/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3443866077,"351,441.22",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/09/2014,Rent,Corporate,DTZ Debenham Tie Leung,3443866077,"3,582,704.15",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/09/2014,Crown Court Graduated Fee Scheme,North West Area,Reid Paul ,1447800,"42,073.45",Y,2523389722,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Watson Hal ,1447801,"28,921.30",Y,7503390517,NE1 3DQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Logica / Xerox MFD click charges,Corporate,CGI IT UK Ltd,5035992,"222,710.02",,07/2014 Xerox MFD,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5035992,"13,029.50",,07/2014 Xerox MFD,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5035992,"100,502.82",,08/2014 BIS projects,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5035992,"59,024.47",,08/2014 BIS unitary Charges,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5035992,"25,500.00",,08/2014 Level 3 agency management  charges,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Rees Caroline ,1449020,"47,379.42",Y,6064388818,CF10 3BA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/09/2014,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Williams Zillah ,1448602,"28,968.00",Y,2418390590,M3 4DJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/09/2014,Crown Court Very High Cost Cases,London,Evans Philip ,1449167,"57,021.00",Y,6250385404,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/09/2014,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Mather-Lees M ,1449502,"34,946.27",Y,6064389338,CF1 3BA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/09/2014,Other Accommodation Costs,Corporate,Banner Business Supplies Limited,5036057,"31,978.16",,NC01388809,NR3 1QU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/09/2014,Crown Court Graduated Fee Scheme,South West Area,Mooney Stephen ,1449837,"43,620.00",Y,5210393826,BS1 1DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/09/2014,Crown Court Very High Cost Cases,North West Area,Reid Martin ,1449905,"40,368.00",Y,2512393809,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/09/2014,Crown Court Very High Cost Cases,North West Area,Snowdon Martine ,1449981,"25,327.00",Y,2512393518,L2 9XX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Sutton Richard ,1449707,"36,295.50",Y,7503393657,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Sutton Richard ,1449707,"27,384.50",Y,7503393689,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/09/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3443870190,"50,112.75",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/09/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3443870190,"122,342.25",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/09/2014,Rent,Corporate,DTZ Debenham Tie Leung,3443870190,"354,021.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/09/2014,Rent,Corporate,DTZ Debenham Tie Leung,3443870190,"1,004,744.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5036099,"116,237.98",,CCR5401-CPS Manchester Transition to a super host,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/09/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Harbage William ,1450933,"30,736.54",Y,3761395034,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/09/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Spencer Timothy John ,1450835,"33,708.90",Y,3761395302,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Sutton Richard ,1450732,"73,561.11",Y,7504395749,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/09/2014,Logica / Xerox MFD click charges,Corporate,CGI IT UK Ltd,5036123,"180,823.50",,Xerox MFD Click Charges,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5036123,"13,029.50",,Xerox MFD Click Charges,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/09/2014,Global Crossing Quarterly Management Charge,Corporate,Level 3 Communications UK Limited,5036132,"165,669.72",,Level 3 Jan-Mar QSC cgarges-Variable element,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5036148,"161,666.83",,CCR5043,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/09/2014,Logica contract,Corporate,CGI IT UK Ltd,5036148,"-47,390.40",,Credit against invoice GB240004260,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/09/2014,File Storage,Business Information Sys Dir,Iron Mountain Ltd,5036144,"39,780.00",,NC01309040,EH54 7DF,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,30/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Miskin Charles ,1451859,"45,584.00",Y,7503393772,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/09/2014,New Works,Corporate,Orchard Build Ltd Essex,5036141,"234,898.14",,ref Riding gate House,CO5 9SE,Not available,Not available,Not available,Programme
