Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,Other,People Places & Serv Direct,Www.Apex-Market-Stalls,H57720160610vwnjqqgee,3102.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160610fsogrvpir,287.03,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,07/06/2016,Office Stationery,Finance Directorate,Amazon UK Retail,H57720160609zqbjuease,77.12,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160608djqkvjrln,34.43,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Office Stationery,Finance Directorate,Amazon UK Retail,H57720160604dbftkjaop,25.29,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Career Development Services,People Places & Serv Direct,Amazon UK Marketplace,H57720160604wshyupryv,35.83,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Career Development Services,People Places & Serv Direct,Amazon UK Marketplace,H57720160603kwvbehfvu,98.10,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160602qjmcugfso,222.84,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Career Development Services,International Policy Directorate,Informa UK Moto Gb,H57720160602lluyfaadv,3071.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Inta Community VAT,Trade Mark Directorate,Informa UK Moto Gb,H57720160602lluyfaadv,526.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,12/06/2016,Books,Innovation Directorate,The Financial Times,H57720160614ionfdgqyc,371.80,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Books,Innovation Directorate,Twitter*advertising,H57720160614vyvflydbn,40.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Books,Innovation Directorate,Linkedin-3323146363,H57720160614wnpgofkqw,46.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,03/06/2016,Books,Innovation Directorate,Twitter*advertising,H57720160607forqmzkif,35.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Books,Innovation Directorate,Twitter*advertising,H57720160604scfpdhxlh,70.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Books,People Places & Serv Direct,Bls*prezi Inc,H57720160603jgvpudjnc,8.40,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Books,Innovation Directorate,Twitter*advertising,H57720160602ciddcejuq,70.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Books,Innovation Directorate,Facebook Rt3eu9jdk2,H57720160602gwlpttloo,15.65,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Books,Innovation Directorate,Facebook Lqunq9jzs2,H57720160602hxybfwjlt,15.49,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,22/06/2016,Perpetual Licences,IT Directorate,Fastspring,H57720160624avgwffekd,16.87,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,17/06/2016,Perpetual Licences,IT Directorate,Meetingzone Ltd,H57720160621hjwoeruid,364.07,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Perpetual Licences,IT Directorate,Prestosoft Llc,H57720160616uxtwvgokl,226.17,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Books,IT Directorate,Amazon UK Retail Amazon.C,H57720160609uednwhvcj,24.98,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Perpetual Licences,IT Directorate,Dri Techtalk,H57720160604hcgmzsbno,643.15,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Perpetual Licences,IT Directorate,Fsprg.Com Ncrunch.Com,H57720160603oetglpisy,246.18,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Overseas Patent Specifications,Patent Directorate,Www.Springer.Com,H57720160624xfjgrulap,41.94,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Overseas Patent Specifications,Patent Directorate,Www.Ingentaconnect.Com,H57720160617sexbyjbyd,16.49,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,Design Services,People Places & Serv Direct,Total Id Ltd,H57720160628xalguzlbb,245.94,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,23/06/2016,Office Stationery,People Places & Serv Direct,Hse Books (Mail Order),H57720160625wbjsaecou,15.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,20/06/2016,Career Development Services,People Places & Serv Direct,B I F M,H57720160622yydfkzbox,148.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,18/06/2016,Other,People Places & Serv Direct,Amazon UK Retail,H57720160621dhpaqrwmy,20.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,16/06/2016,Other,People Places & Serv Direct,Acorn Glass & Glazing,H57720160618dpvcehybf,41.10,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160617jmjeihnmv,22.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Other,People Places & Serv Direct,Screwfix Direct,H57720160617tqwtzvegk,42.12,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Other,People Places & Serv Direct,Quadrilect Ltd,H57720160616hurgjrkcu,480.48,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Other,People Places & Serv Direct,Quadrilect Ltd,H57720160616toxlrtoic,480.48,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Other,People Places & Serv Direct,Amazon UK Retail,H57720160616uekhewsrg,39.56,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Office Stationery,People Places & Serv Direct,Carpet Services Cardiff,H57720160616zomqixvde,77.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Office Stationery,People Places & Serv Direct,The Colour Centre,H57720160616glebhlxtj,309.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Other,People Places & Serv Direct,Screwfix Direct,H57720160608xiscefbmp,13.24,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Other,People Places & Serv Direct,Amazon UK Marketplace,H57720160604jjitdyprh,11.97,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Other,People Places & Serv Direct,Amazon UK Marketplace,H57720160604tremjffqy,11.97,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Other,People Places & Serv Direct,Amazon UK Marketplace,H57720160603xoohvscff,17.97,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160623bibvqecqm,25.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160623yypqthshu,25.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160610ydoxmwfkk,25.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160604wtxhkoimm,25.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,22/06/2016,Office Stationery,Finance Directorate,Www.Ukpos.Com,H57720160624vsuhnspvk,74.11,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,13/06/2016,Office Stationery,Finance Directorate,B & Q 1046,H57720160615lpuiqfzlt,9.63,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Office Stationery,Finance Directorate,Homebase Ltd 110,H57720160611dxeiurjmi,5.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160611fvrbfxhjo,4.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160611jeztzuseb,5.49,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160611rhhvafccl,1.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160611unowrkxga,22.85,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,GPC,Trade Mark Directorate,Tfr From 4864461001776104,H57720160603snktoirlc,-520.44,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,Advertising Distribution,Innovation Directorate,Www.Conceptfurniture.C,H57720160628vawgtlxsx,291.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Advertising Distribution,Innovation Directorate,Dri*,H57720160611gxxlwsnlt,39.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,07/06/2016,Advertising Distribution,Innovation Directorate,Twitonomy.Com,H57720160609kjrapsjjl,13.58,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160611oplktihgn,135.59,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,07/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160609lozyirrnh,40.75,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160608gxlrtoypd,97.48,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160603vphcwyvkv,227.88,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Entertainment,Innovation Directorate,Marksandspencer.Co,H57720160611qwhtzgbsi,41.49,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Office Stationery,People Places & Serv Direct,Key Industrial Equipment,H57720160602nzcjgaqhm,34.74,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,T&S UK,Patent Directorate,Www.Farnborough.Co,H57720160628gxezxrraa,432.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Career Development Services,Patent Directorate,Eb *solid Timber House,H57720160617ufshlcxeu,252.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,T&S O-seas excl EPOQUE,Trade Mark Directorate,National Express Limited,H57720160611rfejolque,16.40,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Career Development Services,Patent Directorate,Eb *solid Timber House,H57720160603yssvpcjws,96.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,26/06/2016,Books,Innovation Directorate,Times Newspapers Ltd,H57720160629pkgqwqvlp,26.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,03/06/2016,Books,IT Directorate,Amazon Mktplace Pmts,H57720160607qaignjhks,22.53,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,20/06/2016,Software Maintenance,Trade Mark Directorate,The Intellectual Property,H57720160622wvndhvhyc,-500.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,16/06/2016,Software Maintenance,Trade Mark Directorate,The Intellectual Property,H57720160618ifjbohcwc,500.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Software Maintenance,Trade Mark Directorate,The Intellectual Property,H57720160608hydusdgci,-60.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Software Maintenance,Trade Mark Directorate,The Intellectual Property,H57720160608vhgrnaqfd,-60.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,03/06/2016,Career Development Services,Finance Directorate,Www.Cips.Org,H57720160607lgkrqpgnq,118.32,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,02/06/2016,Perpetual Licences,IT Directorate,Websitepulse.Com,H57720160607xjrbglzkn,56.78,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,26/06/2016,Entertainment,Patent Directorate,Sainsburys S/mkts,H57720160628gwolzbmxm,4.80,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Entertainment,Patent Directorate,Sainsburys S/mkts,H57720160603isxklyywl,19.47,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Software Maintenance,IT Directorate,Dri Poweriso,H57720160614cvqivsesl,27.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160628eujzkqjby,10.88,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,22/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160624eapxkxmro,205.86,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160610judvskyhm,122.91,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160603noggkeqpd,3.29,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,31/05/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160602lulxjqpuo,39.98,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Entertainment,People Places & Serv Direct,Tesco Store 2931,H57720160630uudtwhyps,5.05,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Entertainment,People Places & Serv Direct,Currys S/s,H57720160630ytjosnexm,44.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,17/06/2016,Overseas Patent Specifications,Patent Directorate,Rei,H57720160621mxcrrrhhp,31.59,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,CIMS Printing,Patent Directorate,The Intellectual Property,H57720160610gybgrxeiy,-20.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,Perpetual Licences,Projects,Cloudflare,H57720160628ujjeqzkeb,166.53,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Entertainment,People Places & Serv Direct,Tesco-Stores 6459,H57720160629mlslswfyd,7.93,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,16/06/2016,Minor Works-Goods,People Places & Serv Direct,Newey & Eyre,H57720160621czsvderqu,224.28,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,13/06/2016,Office Stationery,People Places & Serv Direct,Tv Licensing,H57720160617gigteqtxt,145.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Legal Consultancy,People Places & Serv Direct,B I F M,H57720160617mgsuxpmee,148.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Office Stationery,People Places & Serv Direct,Paypal,H57720160617qqfwowkrj,17.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Minor Works-Goods,People Places & Serv Direct,Paypal,H57720160616kirmmjtpd,8.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160630rfpnjrtvu,52.40,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160630jmiemnlqq,22.98,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,Office Stationery,People Places & Serv Direct,Ross Handling Ltd,H57720160628wvvhmarww,295.86,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,23/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Retail,H57720160625ormfopntm,14.73,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Office Stationery,People Places & Serv Direct,Newey & Eyre,H57720160624lblhjrmmj,135.75,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,22/06/2016,Office Stationery,People Places & Serv Direct,Quadrilect Ltd,H57720160624ptrpqvdpk,561.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,13/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160615gkeplbtrs,257.80,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160614mtbpjsonc,22.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,09/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160611krfhcpjbh,66.25,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,Office Stationery,People Places & Serv Direct,Currys S/s,H57720160610fprxmmxbd,203.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,07/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160609viyuszdrc,21.49,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,07/06/2016,Office Stationery,People Places & Serv Direct,Healthy Workstations Ltd,H57720160609wrskgmxdn,17.94,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,04/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Retail,H57720160607nhgqzjsgb,19.07,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016,T&S O-seas excl EPOQUE,Innovation Directorate,Theassociationspecia,H57720160609gtskbfqkw,643.14,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,17/06/2016,Office Stationery,People Places & Serv Direct,Screwfix Direct,H57720160621srlihsxnk,44.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,13/06/2016,Career Development Services,People Places & Serv Direct,B I F M,H57720160615tpsppramj,148.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/06/2016,Perpetual Licences,IT Directorate,Trello,H57720160701aprubvybf,23.27,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Perpetual Licences,IT Directorate,Sched Org,H57720160604fmzsfnzmd,17.90,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,16/06/2016,Seminars and Confereces,People Places & Serv Direct,Przcharge.Prezi.Com,H57720160618ojcivrloe,15.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Seminars and Confereces,People Places & Serv Direct,Coveritlive Scribbl,H57720160603jboftjilv,34.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,16/06/2016,Office Stationery,People Places & Serv Direct,Ebuyer (UK) Ltd,H57720160621ykwetwsel,21.07,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160617mpjdbdjxr,1.65,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,24/06/2016,Career Development Services,People Places & Serv Direct,Asda Superstore 4928,H57720160628gybjrigle,12.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,22/06/2016,Career Development Services,People Places & Serv Direct,Amazon UK Marketplace,H57720160624scijftisg,29.21,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Career Development Services,People Places & Serv Direct,British Psycho Soc,H57720160614cjarmjygl,127.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016,Career Development Services,People Places & Serv Direct,Eb *a Fresh Approach T,H57720160609flbvtguer,834.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,03/06/2016,Career Development Services,People Places & Serv Direct,Amazon UK Marketplace,H57720160607nvajthcdh,31.88,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Entertainment,International Policy Directorate,Www.Intecoffice.Co.Uk,H57720160616lcuaxnlsd,190.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/06/2016,Information Technology,People Places & Serv Direct,Probrand Ltd,OP-I541365,9386.69,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,194130.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Miscellaneous Expenses General,People Places & Serv Direct,Mitie Facilities Services Ltd,100-91215068,336.23,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,Miscellaneous Expenses General,People Places & Serv Direct,Mitie Facilities Services Ltd,100-91225008,9.72,Not Applicable,
