Department family,Entity,Date,Expense Type,Expense area,Supplier,Purchase invoice number,AP Amount (œ)
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,7300000019,"11,386.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,7300000019,"7,924.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,FINANCE,NHS GREATER MANCHESTER CSU,7300000019,"37,978.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,EQUALITY AND DIVERSITY,NHS GREATER MANCHESTER CSU,7300000019,"2,160.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,7300000019,"43,509.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,7300000019,"10,021.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,COMMISSIONING,NHS GREATER MANCHESTER CSU,7300000019,"41,853.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,BUSINESS INFORMATICS,NHS GREATER MANCHESTER CSU,7300000019,"17,739.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,ASSURA BLACKPOOL LLP,809Z156,"31,990.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,FUNDED NURSING CARE,CHADDERTON TOTAL-CARE UNIT LTD,I0053056,"33,276.05"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,ST GEORGES NURSING HOME LTD,4351,"51,002.43"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,I005272901051352151,"52,151.30"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,1000139546,"192,509.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,205129,"490,042.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,3110000208,"609,726.07"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,302363,"194,655.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,RAMSAY HEALTH CARE UK,1250513,"95,555.92"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec NHS Trust,MENTAL HEALTH CONTRACTS,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,5110000054,"31,573.23"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,STROKE ASSOCIATION (THE),CRM3677,"29,243.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,STROKE ASSOCIATION (THE),CRM3680,"81,794.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,1010000266,"2,020,441.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,1010000257,"1,582,465.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,TURNING POINT SERVICES LTD,SITPS00005003,"168,381.97"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,40040711,"46,320.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Drugs,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,SINV1165283,"27,527.50"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,97983,"156,429.00"
Department of Health,NHS Oldham CCG,31/05/2013,Programme Support Costs,COLLABORATIVE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,1000139595,"34,590.00"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,OLDHAM DISTRICT CITIZENS ADVICE BUREAU,802,"30,711.39"
