Fixed,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
Summary of network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share  (exc. EE),,,
2015,"2,749",468,182,"2,099",,17.00%,,,
2016,"2,169",398,152,"1,619",,18.40%,,,
,,,,,,,,,
2016 Q3,515,95,36,384,,18.50%,,,
2016 Q4,470,94,31,345,,20.00%,,,
2017 Q1,420,89,26,305,,21.20%,,,
2017 Q2,380,81,22,277,,21.30%,,,
2017 Q3,376,75,21,280,,19.90%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2015,2735,1084,388,1263,,39.60%,,,
2016,2811,1017,325,1469,,36.20%,,,
,,,,,,,,,
2016 Q3,683,257,79,347,,37.60%,,,
2016 Q4,741,248,67,426,,33.50%,,,
2017 Q1,709,240,54,415,,33.90%,,,
2017 Q2,670,227,46,397,,33.90%,,,
2017 Q3,608,223,45,340,,36.70%,,,
,,,,,,,,,
Other calls1,,,,,,,,,
2015,8855,3599,961,4295,,40.60%,,,
2016,7826,3126,686,4014,,39.90%,,,
,,,,,,,,,
2016 Q3,1988,781,168,1039,,39.30%,,,
2016 Q4,1786,763,137,886,,42.70%,,,
2017 Q1,1778,743,116,919,,41.80%,,,
2017 Q2,1484,579,96,809,,39.00%,,,
2017 Q3,"1,482",605,99,778,,40.80%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 11,,,,,,,,,
Summary of business network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2015,2299,1168,75,1056,,50.80%,,,
2016,2325,1198,69,1058,,51.50%,,,
,,,,,,,,,
2016 Q3,585,306,17,262,,52.30%,,,
2016 Q4,577,294,17,266,,51.00%,,,
2017 Q1,576,297,17,262,,51.50%,,,
2017 Q2,549,285,15,248,,52.00%,,,
2017 Q3,539,280,16,243,,51.90%,,,
,,,,,,,,,
Access,,,,,,,,,
2015,1543,861,36,646,,55.80%,,,
2016,1580,873,38,669,,55.30%,,,
,,,,,,,,,
2016 Q3,401,224,9,168,,55.80%,,,
2016 Q4,395,213,9,172,,54.00%,,,
2017 Q1,390,211,9,170,,54.10%,,,
2017 Q2,379,209,9,162,,55.10%,,,
2017 Q3,372,204,8,160,,54.80%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2015,756,307,39,410,,40.60%,,,
2016,745,325,31,389,,43.60%,,,
,,,,,,,,,
2016 Q3,184,82,8,94,,44.70%,,,
2016 Q4,182,82,7,93,,44.70%,,,
2017 Q1,186,86,8,92,,46.00%,,,
2017 Q2,170,77,7,86,,45.10%,,,
2017 Q3,167,76,7,84,,45.50%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 12,,,,,,,,,
Summary of business exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
2015,7591,3291,467,3833,,43.40%,,,
2016,7083,2983,511,3589,,42.10%,,,
,,,,,,,,,
2016 Q3,7174,3054,444,3676,,42.60%,,,
2016 Q4,7083,2983,511,3589,,42.10%,,,
2017 Q1,6904,2910,421,3573,,42.20%,,,
2017 Q2,6738,2843,410,3485,,42.20%,,,
2017 Q3,6591,2777,407,3406,,42.10%,,,
,,,,,,,,,
,,,,,,,,,
Table 13,,,,,,,,,
Summary of business call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE)1,Virgin Media,Other Direct Access,Other Indirect Access,BT share (exc. EE),,,
,,,,,,,,,
2015,"23,921","8,504",1355,"7,657",6405,35.60%,,,
2016,"21,544","7,663",1160,"6,662",6059,35.60%,,,
,,,,,,,,,
2016 Q3,5343,1889,281,1646,1527,35.40%,,,
2016 Q4,5101,1804,267,1593,1437,35.40%,,,
2017 Q1,5100,1832,280,1513,1475,35.90%,,,
2017 Q2,4622,1670,234,1388,1330,36.10%,,,
2017 Q3,4540,1632,277,1320,1311,35.90%,,,
,,,,,,,,,
,,,,,,,,,
Table 14,,,,,,,,,
Summary of business call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2015,756,188,91,293,185,,,,
2016,745,198,77,259,211,,,,
,,,,,,,,,
2016 Q3,184,50,19,64,52,,,,
2016 Q4,182,51,18,61,52,,,,
2017 Q1,186,54,20,60,53,,,,
2017 Q2,170,47,17,53,53,,,,
2017 Q3,167,47,16,51,54,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 15,,,,,,,,,
Summary of business call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other Direct Access,Other Indirect Access,BT share (exc. EE),,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2015,12818,4434,800,4137,3447,34.60%,,,
2016,11456,4011,674,3537,3234,35.00%,,,
,,,,,,,,,
2016 Q3,2832,991,163,879,799,35.00%,,,
2016 Q4,2713,946,152,845,771,34.90%,,,
2017 Q1,2734,971,160,822,781,35.50%,,,
2017 Q2,2483,885,129,752,716,35.60%,,,
2017 Q3,2434,859,151,726,699,35.30%,,,
,,,,,,,,,
International calls,,,,,,,,,
2015,"1,294",321,24,715,234,24.80%,,,
2016,"1,131",277,21,622,211,24.50%,,,
,,,,,,,,,
2016 Q3,285,67,5,158,55,23.50%,,,
2016 Q4,265,63,5,147,50,23.80%,,,
2017 Q1,257,64,5,142,46,24.90%,,,
2017 Q2,243,59,4,143,37,24.30%,,,
2017 Q3,236,55,5,140,36,23.30%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2015,"4,356",1618,332,992,1413,37.10%,,,
2016,"4,069",1508,308,939,1314,37.10%,,,
,,,,,,,,,
2016 Q3,1006,375,75,233,323,37.30%,,,
2016 Q4,977,355,75,234,312,36.30%,,,
2017 Q1,976,361,80,215,320,37.00%,,,
2017 Q2,911,344,73,199,295,37.80%,,,
2017 Q3,902,336,86,187,293,37.20%,,,
,,,,,,,,,
Other calls*,,,,,,,,,
2015,"5,453","2,131",199,1812,"1,310",39.10%,,,
2016,"4,888","1,867",157,1564,"1,300",38.20%,,,
,,,,,,,,,
2016 Q3,"1,221",456,38,376,351,37.40%,,,
2016 Q4,"1,146",440,35,367,304,38.40%,,,
2017 Q1,1134,436,35,334,329,38.50%,,,
2017 Q2,986,382,28,294,282,38.70%,,,
2017 Q3,968,382,35,267,284,39.50%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 16,,,,,,,,,
Summary of residential and small business broadband connections at end of quarter (000's)1,,,,,,,,,
,,,,,,,,,
,Total,ADSL,Cable,Other (inc. FTTx),,BT retail share (ex. EE),,,
,,,,,,,,,
2015,"24,686",14488,4701,5498,,32.40%,,,
2016,25190,13569,4924,6697,,32.80%,,,
,,,,,,,,,
2016 Q3,24983,13823,4876,6284,,32.80%,,,
2016 Q4,25190,13569,4924,6697,,32.80%,,,
2017 Q1,25289,13192,5003,7094,,32.60%,,,
2017 Q2,25335,12845,5032,7457,,32.60%,,,
2017 Q3,25415,12436,5079,7900,,32.50%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Mobile,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
Estimated retail revenues generated by mobile telephony (£millions),,,,,,,,,
,,,,,,,,,
,Total,Access and bundled svcs,UK fixed calls,On-net mobile calls,Off-net mobile calls,Int'l calls,Other calls,SMS and MMS,Data services
,,,,,,,,,
2015,15221,10337,395,315,434,523,685,773,1758
2016,15368,10884,314,281,364,453,587,714,1773
,,,,,,,,,
,,,,,,,,,
2016 Q3,3892,2738,78,71,92,110,156,183,463
2016 Q4,3884,2776,75,71,87,114,132,178,451
2017 Q1,3826,2822,67,62,74,103,119,162,416
2017 Q2,3845,2850,65,61,75,104,115,141,433
2017 Q3,3948,2948,63,60,76,107,105,140,448
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers; excludes revenues from interconnection.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 2,,,,,,,,,
Call and message volumes by call type (billions of minutes/messages),,,,,,,,,
,,,,,,,,,
,All calls,UK fixed calls,On-net mobile calls,Off-net mobile calls,Int'l calls,Calls when roaming,Other calls,,SMS & MMS messages
,,,,,,,,,
2015,142.99,33.22,39.59,56.18,6.49,1.91,5.61,,101.01
2016,151.17,33.78,42.98,60.65,5.94,2.28,5.54,,90.95
,,,,,,,,,
2016 Q3,37.67,8.66,10.78,14.61,1.5,0.73,1.39,,22.62
2016 Q4,38.76,8.61,11.33,15.47,1.36,0.57,1.43,,22.2
2017 Q1,38.37,8.63,11.41,15.08,1.26,0.52,1.48,,20.61
2017 Q2,36.07,8.02,10.77,14.09,1.19,0.63,1.37,,19.25
2017 Q3,37.58,8.25,10.73,15.27,1.17,0.78,1.38,,18.91
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 3,,,,,,,,,
Subscriber numbers by type (millions),,,,,,,,,
,,,,,,,,,
,Conns during period,,Total subs at end of period,Post-pay subs at end of period,Pre-pay subs at end of period,Net change during period,Proportion post-pay,,Mobile b'band subs at end of period
2015,30.51,,85.15,51.84,33.31,1.49,0.609,,5.52
2016,29.28,,83.91,54.44,29.47,-1.24,0.649,,4.98
,,,,,,,,,
2016 Q3,7.89,,84.16,53.7,30.46,0.47,0.638,,4.96
2016 Q4,7.63,,83.91,54.44,29.47,-0.25,0.649,,4.98
2017 Q1,6.67,,83.8,54.82,28.98,-0.11,0.654,,5
2017 Q2,6.8,,84.06,55.24,28.81,0.25,0.657,,4.96
2017 Q3,7.65,,84.46,55.91,28.55,0.4,0.662,,4.94
,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from providers; excludes M2M connections.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 4,,,,,,,,,
Average monthly retail revenue per subscriber (£ per month),,,,,,,,,
,,,,,,,,,
,,All subscribers,,Post-pay contract,Pre-pay,,,,
,,,,,,,,,
2015,,14.98,,21.84,4.79,,,,
2016,,15.26,,21.25,4.84,,,,
,,,,,,,,,
2016 Q3,,15.46,,21.41,5.14,,,,
2016 Q4,,15.41,,21.18,4.99,,,,
2017 Q1,,15.21,,20.84,4.68,,,,
2017 Q2,,15.27,,20.77,4.79,,,,
2017 Q3,,15.62,,21.08,5.03,,,,
,,,,,,,,,
Note: Revenues are only from those services detailed in Table 1 and do not include those generated by incoming calls or VAT.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
Interconnection call volumes (billions of minutes),,,,,,,,,
,,,,,,,,,
,,All operators,,,,,,,
,,,,,,,,,
2015,,52.48,,,,,,,
2016,,54.3,,,,,,,
,,,,,,,,,
2016 Q3,,14.35,,,,,,,
2016 Q4,,14.56,,,,,,,
2017 Q1,,14.66,,,,,,,
2017 Q2,,13.91,,,,,,,
2017 Q3,,14.45,,,,,,,
,,,,,,,,,
Note: Shows the number of call minutes terminating on mobile networks which originate on other networks,,,,,,,,,
