Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCR
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"""=0010172420""",61.08,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"""=0010172420""",5904,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"""=0010172420""",35079.72,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,HIGHCLIFF HOLDINGS LTD (RENT),"""=0010172450""",74100,MANCHESTER RENT - DUE 29/9/11
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,HIGHCLIFF HOLDINGS LTD (SERVICE CHARGE),"""=0010172451""",20869.29,MANCHESTER S/C - DUE 29/9/11
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,WORLD HEALTH ORGANIZATION,"""=0010172464""",30000,CO 2061 ANNUAL 2011/12 PAYMENT
DWP,HEALTH AND SAFETY EXECUTIVE,14/09/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OECD NUCLEAR ENERGY AGENCY,"""=0010172474""",18843,ND 1604 CONTRIBUTION FOR 2011
DWP,HEALTH AND SAFETY EXECUTIVE,15/09/2011,PESTICIDE RESIDUE TESTING,CHEMICAL REGULATIONS DIRECTORATE,LGC (TEDDINGTON) LTD,"""=0010172486""",55695.9,AUGUST PESTICIDE RESIDUE TESTING IN FOOD
DWP,HEALTH AND SAFETY EXECUTIVE,15/09/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"""=0010172495""",60362.34,CARLSON120911
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,UNITED KINGDOM BORDERS AGENCY,"""=0010172522""",44837.5,RENT FOUNDRY HOUSE 29/9/11 - 24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,VIVIENNE PROPERTIES,"""=0010172525""",21979.53,NOTTINGHAM-SERV CHARGE-29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,VIVIENNE PROPERTIES,"""=0010172525""",50250,NOTTINGHAM-RENT-29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,LAW TRIBUNAL & LEGAL COSTS,HAZARDOUS INSTALLATIONS DIRECTORATE,ADDLESHAW GODDARD,"""=0010172542""",45719.62,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,DILAPIDATIONS,BUSINESS SERVICES DIRECTORATE,LEGAL & GENERAL PROPERTY LTD,"""=0010172553""",43558.88,"BELGRAVE HSE, NORTHAMPTON - DILAPIDATION"
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,ALDER KING PROPERTY CONSULTANTS,"""=0010172556""",17547.75,BRISTOL SERVICE CHARGE -29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,ALDER KING PROPERTY CONSULTANTS,"""=0010172556""",55510.5,BRISTOL RENT - 29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"""=0010172558""",170771.7,FACILITIES MANAGEMENT - VARIOUS GOVT BUILDINGS - SEPT 2011
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,WATER RATES,CHEMICAL REGULATIONS DIRECTORATE,DTZ,"""=0010172614""",347.65,WATER RATES - YORK QUARTER 1
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,GAS,CHEMICAL REGULATIONS DIRECTORATE,DTZ,"""=0010172614""",2781.9,GAS -YORK - QUARTER 1
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,ELECTRICITY,CHEMICAL REGULATIONS DIRECTORATE,DTZ,"""=0010172614""",7811.88,ELECTRICITY - YORK - QUARTER 1
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,RATES,CHEMICAL REGULATIONS DIRECTORATE,DTZ,"""=0010172614""",33182.09,RATES - YORK - QUARTER 1
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,FACILITIES MANAGEMENT,CHEMICAL REGULATIONS DIRECTORATE,DTZ,"""=0010172614""",40742.25,FACILITIES MANAGEMENT -YORK - QUARTER 1
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,RENTS,CHEMICAL REGULATIONS DIRECTORATE,DTZ,"""=0010172614""",110453.57,RENT - YORK - QUARTER 1
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"""=0010172623""",52429.67,CARLSON190911
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,EDDISONS COMMERCIAL LTD,"""=0010172629""",31317.21,ABERDEEN RENT ARREARS
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,DCSF RM SHARED SERVICES,"""=0010172631""",62919,MOTO SANCTUARY BLDGS 01/10/11-31/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,HOTEL ACCOMMODATION,CENTRAL EXPENDITURE,EXPOTEL HOTEL RESERVATIONS LTD,"""=0010172640""",108554.07,EXPOTEL
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172647""",47942.85,CAPITAL
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172647""",1143149.87,12/01/006 LOGICA PAYMENT STREAMS 1 & 3
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172648""",1495.86,RFP 729 LEES RELOCATION
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172648""",3153.72,RFP 717 REDGRAVE COURT RE-STACK
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,PREMISES COSTS,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172648""",5100,RFP 744 PRESTON CLOSURE
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172648""",5127.07,RFP 721 NEWCASTLE RELOCATION
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172648""",6032.9,RFP 749 NORWICH RELOCATION
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172648""",171283.02, 12/02/006 LOGICA PAYMENT STREAM 2
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,REPROGRAPHIC USAGE,COMMUNICATION DIRECTORATE,LOGICA CMG,"""=0010172649""",10275.83,CDS CANNON C6000 PRINTER CHARGES
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"""=0010172649""",12294.38,12/03/006 LOGICA PAYMENT STREAM 4
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,LEVY ADVISORY/DRAFTING LAWYERS,SOLICITORS,THE TREASURY SOLICITOR,"""=0010172652""",117539.49,AUGUST 2011 LEVY TSOL
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OECD NUCLEAR ENERGY AGENCY,"""=0010172662""",275659.25,ND1882 M/SHIP OECD 2011
DWP,HEALTH AND SAFETY EXECUTIVE,27/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,BASINGSTOKE AND DEANE BOROUGH COUNCIL,"""=0010172663""",47250,RENT - BASINGSTOKE OCTOBER 2011
DWP,HEALTH AND SAFETY EXECUTIVE,27/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,LAMBERT SMITH HAMPTON,"""=0010172694""",33000,RENT HARWELL 01/10/11-31/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,27/09/2011,GPC  PURCHASES,CENTRAL EXPENDITURE,BARCLAYS BANK PLC,"""=0010172727""",123777.56,GPC:SEPTEMBER 2011
DWP,HEALTH AND SAFETY EXECUTIVE,29/09/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"""=0010172741""",58794.16,CARLSON260911
DWP,HEALTH AND SAFETY EXECUTIVE,29/09/2011,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"""=0010172778""",175.68,BOOTLE VOLUME RELATED PAYMENTS SEP 2011
DWP,HEALTH AND SAFETY EXECUTIVE,29/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"""=0010172778""",283.2,BOOTLE RESTACK KEYS
DWP,HEALTH AND SAFETY EXECUTIVE,29/09/2011,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"""=0010172778""",55702,REDGRAVE COURT - SEP 2011
DWP,HEALTH AND SAFETY EXECUTIVE,29/09/2011,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"""=0010172778""",296226.64,BOOTLE UNIITARY PAYMENT SEPTEMBER 2011
DWP,HEALTH AND SAFETY EXECUTIVE,29/09/2011,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"""=0010172778""",412628,BOOTLE INTEREST PAYMENT - SEP 2011
DWP,HEALTH AND SAFETY EXECUTIVE,15/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,FLEXIFORM BUSINESS FURNITURE LIMITED,"""=0020109078""",25479.6,MOBILE SHELVING SYSTEM - REDGRAVE COURT
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,DISTRIBUTION,COMMUNICATION DIRECTORATE,PROLOG (PROMOTIONAL LOGISTICS LTD),"""=0020109090""",32951,PUBLICATIONS DISTRIBUTION COSTS
DWP,HEALTH AND SAFETY EXECUTIVE,27/09/2011,COI PRESS OFFICE SERVICES,COMMUNICATION DIRECTORATE,CENTRAL OFFICE OF INFORMATION,"""=0020109122""",68209.55,HSE REGIONAL NEWS
DWP,HEALTH AND SAFETY EXECUTIVE,20/09/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,SERCO LTD,"""=0070002471""",25000,ND599 TAGSI subs 2011/12
DWP,HEALTH AND SAFETY EXECUTIVE,27/09/2011,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,HEALTH PROTECTION AGENCY,"""=0070002476""",24379.5,CO2303 costs for Apr-Sep 2011
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,CAPITAL EXPENDITURE,HEALTH AND SAFETY LABORATORY,CONNECT INTERNET SOLUTIONS LIMITED ,"""=0000107566""",24664.78,WEBSITE - ADDITIONAL FUNCTIONALITY - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,01/09/2011,PFI,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"""=0000108642""",795787.84,PFI UNITARY CHARGE FOR AUGUST 2011 - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,07/09/2011,ELECTRICITY                   ,HEALTH AND SAFETY LABORATORY,EDF ENERGY                         ,"""=0000108711""",52991.65,ELECTRICITY FOR AUGUST 2011 - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,08/09/2011,CAPITAL EXPENDITURE,HEALTH AND SAFETY LABORATORY,LCE CONSTRUCTION & ENGINEERING LTD ,"""=0000108716""",44693.67,CONSTRUCTION WORKS - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,ACCOMMODATION EXPENSES  ,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"""=0000108852""",38527.92,PFI ADDITIONAL WORKS/CHARGES FOR AUGUST 2011- BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,26/09/2011,RATES                         ,HEALTH AND SAFETY LABORATORY,COUNCIL OF THE BOROUGH OF HIGH PEAK,"""=0000108875""",76208,RATES FOR OCTOBER 2011 - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,27/09/2011,CAPITAL EXPENDITURE,HEALTH AND SAFETY LABORATORY,LCE CONSTRUCTION & ENGINEERING LTD ,"""=0000108897""",35706.7,CONSTRUCTION WORKS - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,22/09/2011,GPC PURCHASES,HEALTH AND SAFETY LABORATORY,VARIOUS LOW VALUE PURCHASES,"""=VARIOUS""",31706.25,GPC PURCHASES - SEPTEMBER 2011 - BUXTON
,,,,,,,,
,,,,,,,,
