"Publication of Spend over £25,000.00 
between 01/01/2011 and 31/01/2011",,,,,,,

Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Beynon Cent,Podiatric Surgery,Rl4 T : Royal Wolverhampton Hospita,10158988,"3,522.08"
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - Acute Block,Recharges,Rl4 T : Royal Wolverhampton Hospita,10158988,"44,498.98"
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - Acute Block,Recharges - Mental Health,Rl4 T : Royal Wolverhampton Hospita,10158988,"19,189.27"
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,PPC Dental Non Pay,Rl4 T : Royal Wolverhampton Hospita,10158989,392.39
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Hospital @ Home,Rl4 T : Royal Wolverhampton Hospita,10158989,94.82
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Learning Disability Management,Rl4 T : Royal Wolverhampton Hospita,10158989,628.1
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Contraception & Sexual Health,Rl4 T : Royal Wolverhampton Hospita,10158989,"17,494.55"
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Walk in Centre,Rl4 T : Royal Wolverhampton Hospita,10158989,377.67
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Mental Health - Management,Rl4 T : Royal Wolverhampton Hospita,10158989,"42,234.20"
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Elderly Care - Management,Rl4 T : Royal Wolverhampton Hospita,10158989,"14,342.03"
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Paramedics - Management,Rl4 T : Royal Wolverhampton Hospita,10158989,167.23
Wolverhampton City PCT,Wolverhampton City PCT,26/01/2011,Recharge - RWHT - Drugs,Childrens Nursing Services,Rl4 T : Royal Wolverhampton Hospita,10158989,210.02
Wolverhampton City PCT,Wolverhampton City PCT,24/01/2011,Rent - General Premises,The Phoenix Centre,W-Ton  City  &  Walsall Lift  Accom.,10159269,"33,602.82"
Wolverhampton City PCT,Wolverhampton City PCT,27/01/2011,Rent - General Premises,The Gem Centre,W-Ton  City  &  Walsall Lift  Accom.,10159272,"90,387.37"
Wolverhampton City PCT,Wolverhampton City PCT,27/01/2011,Rental - General Phones,Operational IT,Virgin Media Business,10159321,"34,362.73"
Wolverhampton City PCT,Wolverhampton City PCT,20/01/2011,Rent - General Premises,Health & Comm Care Info Svce,Wolverhampton City Council,10159542,857.32
Wolverhampton City PCT,Wolverhampton City PCT,20/01/2011,Rent - General Premises,Mental Health - Management,Wolverhampton City Council,10159542,"4,065.97"
Wolverhampton City PCT,Wolverhampton City PCT,20/01/2011,Rent - General Premises,Mental Health - Management,Wolverhampton City Council,10159542,"5,264.73"
Wolverhampton City PCT,Wolverhampton City PCT,20/01/2011,Recharge - Joint Home Loans,Recharges,Wolverhampton City Council,10159542,"38,700.41"
Wolverhampton City PCT,Wolverhampton City PCT,25/01/2011,Rent - General Premises,Coniston House,Midland Commercial Properties Ltd,10160811,"41,366.38"
Wolverhampton City PCT,Wolverhampton City PCT,25/01/2011,Rent - General Premises,Coniston House,Midland Commercial Properties Ltd,10160812,"38,841.79"
Wolverhampton City PCT,Wolverhampton City PCT,25/01/2011,Rent - General Premises,Coniston House,Midland Commercial Properties Ltd,10160816,"41,670.66"
,,,,,Total Payments > £25k - Jan 2011,,"21,077,237.71"
