Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,DRUGS,PHARMACY,NOVARTIS PHARMACEUTICALS UK LTD,90935528,"27,421.82"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,SERVICES FROM NHS TRUSTS,RADIOLOGY,SIEMENS PLC,1020235542,"85,561.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050868623,"129,897.05"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,INTEREST EXPENSE ON FINANCE LEASE NON PFI NHSFT,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050868623,"7,878.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS > ONE YEAR,BALANCE SHEET,SODEXO HEALTHCARE SERVICES LTD,9050868623,"7,103.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,71143990/11,"22,909.88"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,71143990/11,"5,436.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,71143990/11,"2,145.02"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,71143990/11,"2,127.60"
,,,,,,,
Report created October 10 - RX7 RWW,,,,,,,
