Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,701718,514.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,701711,527.23,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699974,531.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Central Support,Acorn Recruitment Ltd,700871,531.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,701713,535.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700860,536.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,699965,538.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,700858,538.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,701712,539.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699971,542.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,701714,543.91,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003826638,548.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700859,549.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5562461,559.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699972,559.90,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003870597,568.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700861,573.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,700864,591.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,700854,714.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,699969,716.83,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,700867,758.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/12/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003801766,797.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5557446,801.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30210928,813.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,670553,816.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30200486,824.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30190562,829.92,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5561420,854.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5565795,885.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,23/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5569113,885.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5571632,885.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5547741,896.33,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5554234,927.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5555517,1022.21,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,672140,1111.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5550816,1459.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5550818,1459.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5550822,1459.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5504379,4379.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/12/2013,Training,Business Support Directorate,Capita Business Services  Ltd,C2524,-144.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Patents Directorate,Business Language Services Ltd,13178,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Training,Patents Directorate,Business Language Services Ltd,13179,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Patents Directorate,Business Language Services Ltd,13180,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Patents Directorate,Business Language Services Ltd,13181,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Trade Marks Directorate,Business Language Services Ltd,13183,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Training,Business Support Directorate,Business Language Services Ltd,13177,67.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Training,Business Support Directorate,Teamworks,2086-13-IPO-SUP-11-13,67.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Training,Business Support Directorate,All Things Embroidered,601,70.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/12/2013,Training,Innovation Directorate,Capita Business Services  Ltd,X21829,91.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Training,Finance Directorate,Capita Business Services  Ltd,X24880,129.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Training,Patents Directorate,Business Language Services Ltd,13172,142.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Training,Business Support Directorate,Capita Business Services  Ltd,X22586,144.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Finance Directorate,Business Language Services Ltd,13175,150.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/12/2013,Training,Patents Directorate,Capita Business Services  Ltd,X22585,150.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Training,Patents Directorate,Chartered Institute of Patent Attorneys,62893,168.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Training,Patents Directorate,Chartered Institute of Patent Attorneys,62894,168.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Training,Finance Directorate,Capita Business Services  Ltd,X24107,180.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/12/2013,Training,Business Support Directorate,British Red Cross,N850192,180.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/12/2013,Training,International Policy Directorate,Capita Business Services  Ltd,X21084,186.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Training,Finance Directorate,TQMI Ltd,100380,200.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Copyright and IP Enforcement Directorate,Business Language Services Ltd,13176,225.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/12/2013,Training,Business Support Directorate,Celtech Consultancy Ltd,FRA-0043-13-01,250.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/12/2013,Training,International Policy Directorate,Cardiff University,1088535,252.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Finance Directorate,Dod's Parliamentary Communications,PK068881,295.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Training,Innovation Directorate,Dod's Parliamentary Communications,PK071439,295.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Training,Business Support Directorate,Business Language Services Ltd,13174,300.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Training,Business Support Directorate,Business Language Services Ltd,13182,301.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/12/2013,Training,Innovation Directorate,Capita Business Services  Ltd,X23255,304.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Training,Patents Directorate,Chartered Institute of Patent Attorneys,62581,320.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/12/2013,Training,Business Support Directorate,Celtech Consultancy Ltd,FRA-0046-13-01,500.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Copyright and IP Enforcement Directorate,Business Language Services Ltd,13186,532.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/12/2013,Training,Copyright and IP Enforcement Directorate,Capita Business Services  Ltd,X21828,626.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Training,Business Support Directorate,Speech Empowered Computing,200,654.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Training,Patents Directorate,Speech Empowered Computing,207,675.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Training,Business Support Directorate,World Trade Group Limited,D373415,869.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Training,Business Support Directorate,Quantum of Value,560347,995.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Training,Copyright and IP Enforcement Directorate,Research & Intelligence Support Centre Ltd,T-1782,1000.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/12/2013,Training,Business Support Directorate,Capita Business Services  Ltd,X22059,1039.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Training,Patents Directorate,Group 5 Training Ltd,685,2177.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/12/2013,Training,Business Support Directorate,Fast Lane Consulting and Educational Services Ltd,11196,2319.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/12/2013,Training,Business Support Directorate,Time2test Ltd,T2T10020,2877.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/12/2013,Training,Business Support Directorate,Capita Business Services  Ltd,X21826,125.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Training,Business Support Directorate,TMS Development International Ltd,7852,2138.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Training,Business Support Directorate,OE Cam LLP,1009,2986.33,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Training,Business Support Directorate,OE Cam LLP,967-OE CAM,3786.91,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,52134,100.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/12/2013,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,52133,113.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,52125,126.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,52129,127.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,52126,166.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/12/2013,Childcare costs,Business Support Directorate,Computershare  Voucher Services,C-0001767111,6306.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/12/2013,Childcare costs,Business Support Directorate,Childcare Vouchers Ltd,IN080393992,6924.85,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/12/2013,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,52121,614.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/12/2013,Recruitment Advertising,Patents Directorate,Leasedrive Velo Rental Management Ltd,RHI01049655,43.73,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/12/2013,Recruitment Advertising,Patents Directorate,Swansea University,M085787,250.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/12/2013,Recruitment Advertising,Patents Directorate,Cardiff University,1088333,320.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/12/2013,Recruitment Advertising,Business Support Directorate,Jobserve Events Ltd,399220,1500.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/12/2013,Recruitment Advertising,Business Support Directorate,Michael Page International Recruitment Ltd,62554,3908.26,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/12/2013,Recruitment Advertising,Business Support Directorate,Redrock Consulting Ltd,3908,5978.40,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/12/2013,Recruitment Advertising,Business Support Directorate,Michael Page International Recruitment Ltd,62644,11812.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757627232,-90.85,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757627234,-90.85,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757714212,-90.85,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Patents Directorate,HRG UK,757627142,-85.95,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757744883,-53.91,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757664583,-34.01,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757538529,-29.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757561980,-17.53,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Finance Directorate,HRG UK,757627204,-12.15,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Finance Directorate,HRG UK,757627205,-12.15,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757561981,-10.38,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757627371,-7.67,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757627372,-7.67,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757588672,-4.44,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757201622,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757501654,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757501921,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757501973,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757502015,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757502097,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757502950,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757504372,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757516697,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757516927,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757516928,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Finance Directorate,HRG UK,757530327,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757550182,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757564705,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757564740,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757564797,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757564828,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Patents Directorate,HRG UK,757564904,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757564940,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757564946,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/12/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757564961,2.57,Not applicable,
