Y (Latitude),X (Longitude),Stone type,Name,Commissioned by,Location,Inscription/Notes,Interpretation/Description,Link to Image
50.372702,-4.157161,Leat Stones and Waterworks,PPP-LSES 17 Leat Stone†,Not recorded but presumably East Stonehouse Local Board. ,"Millfields, Stonehouse On private property. On south-west front side of the northernmost summer house - in old school grounds south of present day ""The East Courts"". ",OLD STONEHOUSE/LEAT † †Incised.,,https://lh4.googleusercontent.com/proxy/b5WG2uHreet4RyqUPzvNrhDNiWhQnaKsWYttWrMQTkpBH7fjn6TQUE1BLSdJckYfpzYSVkK6XOK4rXcIoXWDkdxNu2AH25XmPczpD7vVyCYtxSJqqwaLX0AGrw_wWgG06DkMPobkVh0XK0fo4nEy9_hEr2aKKxsVAJBbzfHOgbHM https://lh3.googleusercontent.com/proxy/ROZcTOZglIrT22m04Ye5IgrI5Q3poOWKyVa5vEZsJ-lKujkdSf0aUaOaRi4hoCtv1qfkYHrJPxwAV6q7yh6j9APr55hB7yKFd6fVjuNAmXEQucySw20Q1LZHwXzU11ngnupFU4ZJ_gihPmymPf06T4PUJqjnwJHymPWRz6DrI2SU
50.392623,-4.126544,Leat Stones and Waterworks,PPP-LSES 18 Leat Stone†,East Stonehouse Local Board ,"Higher Compton RoadOn private propertyOpposite number 49, †serving rear of 12 Reservoir Road. ",EAST/STONEHOUSE/1883 † †Incised.,,https://lh3.googleusercontent.com/proxy/QTi1GTv7HQBCflI2tY_E3KiKQLghDxot-yvG5-58W_MS8cIdlwThd0DSCMrY_y_X2SclzIRvTKncXZkJBsoYaIxN1xB9Ui5SqMvv90MQkMfWVPL4Vhfm9Hr2xhc40grVK6U0Ssy6cohs6GTEQ9PAuD2U9-2o-kl76HOkgYZFM_iI https://lh6.googleusercontent.com/proxy/msIhPexItajF1rLoZaX787ACT0VTtmftIrsVz3CH7jMM6QV2rA8xisvt_aCvIwogvcg-7hkXF3Hy7Tj4IN6N9EDm-zanRlV9JlfTehiKFLnBFiV3icgixW3NI6M_nUZXm5PKiHMIHbP3rwYczPUkhOTU19vStHXb_Oy7sgb-Xocf
50.411063,-4.133122,Leat Stones and Waterworks,PPP-LSPC 1 Leat Stone†,Not known but presued to be East Stonehouse Local Board.,"Budshead Road roundaboutOn west side of roundabout facing Budshead Road,†near site of Widey Mill on the leat.†Resited 1994 after roadworks. ",J WARN'S/Bridge/1788Description, Inscription now indecipherable but recorded as reading as above.,https://lh5.googleusercontent.com/proxy/MCQEIfC5qkSYNpbGuegwK--RQDGXHw2FmwUHzKea0Hx4TY0MzW3dYy6x9bb618Jvg2lZsOXnbBXbC28uTntP-4whEcLTLdHuzsVcfDSwtZepFLE326kY02x9Ba-YnukXzXm_CYZZqZOcgw02yNdLL5fCTbba-h9ZPUajdo5ljUg https://lh3.googleusercontent.com/proxy/M6jYNSYWwW6Sz3Z3z0H5p1A2-c-l8qHDUwF86Jao0aToAkxJwVzuyXYJVdrmXp0WpHum0uSoeVC0BGG41X0x7RmzvW9aBPUF0TczOmA0Bi4nyaXCsDUtle4XDCb8yqrnniGLb4CEtT7zFuifXu4pNOYBFSIcJsOYntUKnhFxhbk
50.380709,-4.133657,Leat Stones and Waterworks,PPP-LSPC 2 †Leat Stone†,Plymouth Corporation ,Houndiscombe RoadAt junction of Houndiscombe Road (south side) with Mutley Plain (North Hill end).,Motif †'Plymouth Coat of Arms' Description, No inscription but plain recessed panel below Coat of Arms † †Incised.,https://lh3.googleusercontent.com/proxy/Ll1y3Dvb5ihCIl8lEIf5jPE2nub7ld31kmKvjYGIEhyMQgkfI0kMsTvLSADDWP9-E1O5hlbUk9CRYM3kOKis9ZKMYmoDGK3vmpLCgolfixFPSo6yJIYtYPM2NVQw5XV8RfODgLlzPytyeIbSAKjD8XetsoKX7fsw58SlvOwMkK0 https://lh5.googleusercontent.com/proxy/ePT2cgovVgffV9NKxy1w4dzf5aFBQU-Z8BTw_gJTfE1Zy8UhdQ3-SinWMLfMn_ksIRGChc--VLbvEH2IAC9HtSVy9O16FHArbf7GmTDNKjbQr_Bv6Fx-SO6w1f3sZ9o3Vsc7AGQLw3i0202OBObLJrE1GMVGmftuo5LY60f70QM
50.37685,-4.13705,Leat Stones and Waterworks,PPP-LSPC 3 †Plymouth Corporation Water Works Leat Stone,Plymouth Corporation Water Works,Drake's Place ReservoirSet in north wall of reservoir,"†""Town Crest""†motif † Incised.  Interpretation", Exact purpose of this stone is unclear,https://lh6.googleusercontent.com/proxy/YSNakfdWXMeXk-AeeLtvabhVU0gY5bGHSgR5vZ4IcIeKAXzS5z9pAj4OTDFCyUWv6rf7KKDsmgVpac5aG2Oualp-Zc04ybBQ9VWNnCLa0aWqBdlRyGdtZI2rzANHHFqnPy3mj4jtQjj-qeH2PySoQynUoVU7U0OkX0h1mxpC https://lh6.googleusercontent.com/proxy/R4sBOgMaty_5tSaHWt6-pvOVyGrK87HGOMX6sZHrGM12wLsjjLImclNwatcr2PSbttJt4NMyaxXAwxh8OjqWAtSSCaNiKHprdJeqnFhqbyLUnocUtRyx5dQQx-6gpr2f7HhkPdfewt_JxtDDhE2tlyfnhg5jQRWw1XI_25XWQHPhi9OObPZeGfPBMEy4
50.3762558,-4.1378988,Leat Stones and Waterworks,PPP-LSPC 4 Plymouth Corporation Water Works,,,,,
50.48878,-4.04449,Leat Stones and Waterworks,PPP-PCWW 1 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works ,River MeavyBuilt into field boundary wall on west bank of River Meavy. 500 metres approximately below Burrator Dam.,†PCWW / 1917 †Incised.,,https://lh6.googleusercontent.com/proxy/_A9ISNscy_PETXuLxtmioKnFjp9BRfBAFEwZ7n1y0bCGB0VRqBk_wycxbsNhliJ-XItulSyB7hHz7zSRRJbtl2JQUYIdCq8AEqyu58G9TKPj8wSNcxm3onAt9c9reLgKH0F7YliJ959gjIz1oZXtc0sDCsyCQpH6AOvtg8ORJM0 https://lh3.googleusercontent.com/proxy/n1-V9gjAh38A6dq-N_E-jpdFN-dvWbvEHRI9BsMf-GCFZUagA-YlskbDyx7O8iot005E4bJUvSHk_uRZ-cundUYHIRyccbRRqez81X6pGAQnUYVcAuXiIsmmA1TYUy3zUh8Rfz7_tka1CAJ8dREBYXtNcQ87CbUGdOofphbItro
50.48989,-4.04599,Leat Stones and Waterworks,PPP-PCWW 2 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works,"Burrator ReservoirApproximately 180 metres south of the reservoir dam. Next to the Plymouth Leat, beside wall on footpath to Meavy.†PCWW / 1917 †Incised.",,,https://lh6.googleusercontent.com/proxy/N0SYXG2uCqn8o28MI9n37mMRoo8K7_kPezBxvoCYHKj4SDIEGcAicrJOGtKofxEAyYLVjLaVx3OONuIQzg4WF65afHwamtW3Lt8FOxlMvHOWwwOaFtGSn9IuS6I46WPkZFikSNwhe45OlVQY3U8kn5NwWO3BsFPfjI3ZxMO_L2Q https://lh6.googleusercontent.com/proxy/Tbt5w0qaYHPt6z6SSYmRhnBY_2vN6LKDWaLVyy5bjJxE38kti0nXVZ1R018oc6L1Ot6ST8riwd3z0ob-RsuKnfE3TOWuzU0Bfv3kc8exKCKtC9Q77fjgbcjyVrdhY5TC-CYpp2F6palhok4t8R-i-87QlgdnERV02mgBr6QjyME
50.49146,-4.04742,Leat Stones and Waterworks,PPP-PCWW 3 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works,Yennadon DownAt south end of Yennadon Down. Just below disused track bed of Princetown railway.,†PCWW / 1917 †Incised.,,https://lh3.googleusercontent.com/proxy/QA-K6wYx6VFlzITxWg0Rk554Jzh3bq4W33kH9cAMCGowyT7y_RKRsMcppKgIKTsP6NrP5UrTchs8Rgfl8qALTZHVuxd2HItPecWvZCX0aw1bQkf1Ir6jbzUwYMKqp7kefTMKeS1r9cl7IZFSObh94FSbSWpm9v3cjhXoar_cdtU https://lh6.googleusercontent.com/proxy/6o2ir1Pqrukhbst5fC0kaSOju2fS0INvZsTW1we4OUnLzre-u90L9BK3cL9W7MjxXaZ_lzmP5LSK2hWqpDo0EQZehvHCATuJgO_XoQad5bdq956JsbITHCARlX-BgCWA4BWdV6MUwFnIemBnIBNIeMjz-RSmvNIHmNsQludhaQY
50.49538,-4.04948,Leat Stones and Waterworks,PPP-PCWW 4 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works ,Yennadon DownAt south end of Yennadon Down. Approximately 300 metres north of stone PPP-PCWW 3.,†PCWW / 1917 †Incised.,,https://lh4.googleusercontent.com/proxy/O4Nq0D0prjRW822ZpjFIJkexSVjhsIwGs61XCPklChG2ShsUfbnJYSI3qcM2y0-6wX_gZAyoFy9_eWafSK2bQQWDP_uSJAk6Byvjz3YDDqaYnz-ztN0_whT-MgfcoXUfvfn-jLWj92dgB4DhaX-2bNbqREmmTur9fUdLTEX7Mr0 https://lh6.googleusercontent.com/proxy/d_e_2aNGXT38HG9en6vtTWd9GBZjU1oTPWz7ENvXgdaINMpo4N3qAWCg0LZbgrF72m1I9_QlIcX5mAMkyXmM09mkpklsuXYnyGiccnll3QkLt34PXCx9jsYbjLI3gcupCsYacfkFWvMVypnBng0_LGUkxfCNNvqdwAsnyWw493Q
50.49905,-4.05014,Leat Stones and Waterworks,PPP-PCWW 6 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works ,Yennadon DownAt high point of Yennadon Down,†PCWW / 1917 †Incised.,,https://lh3.googleusercontent.com/proxy/FHj7sEdKAl2unMUQqflD847Xtq19wKREXSHSqK0Pjqg1CkdESQuvkux3d5I8RCrkOTEKhbjlWrYYl-44qzluaA-dKdMcI2JH8Rl51Iavul6JbZ2tYJQ7ukxZ_DRYVT5w2sqBIUJfU9cd5WU6BKVbefif8PmVS_mLpHfR7Gcm-OI https://lh4.googleusercontent.com/proxy/w-ShEAicXvRqQd9xJCMp3_w_Ly2G_aYMSwSo4aZkT6Eud02HzWYTRTLjTrM7HOmJXznp__Kl1L2EnGnqhdmpvYK0msYr_IYsR9IrRwXptDwypsrfbDm6fWoDwbP0RBBHyWMoT8azTtdogIhj5dSYM4EX-paXk3zHUSNg-tO-eKQ
50.49538,-4.04948,Leat Stones and Waterworks,PPP-PCWW 5 Plymouth Corporation Water Works Boundary Btone,Plymouth Corporation Water Works,Yennadon DownAt south end of Yennadon Down. Approximately 300 metres north of stone PPP-PCWW 4.,†PCWW / 1917 †Incised.,,https://lh5.googleusercontent.com/proxy/fGA21eLgFgDCvYDl7w8YyPRZwQe0_TkJVdpoUWbAAaX-qzYEr7tuDq77_TKGB1cp1ErlZNYGFBWYyEO7siS9y8pALWyd7UaLZcQFsNvFeXDZ1vYG1NgpWeRm6mdEiGBRkH7Oz1IbLh8pUfcMmWvgNLlh4qiqoHdpWBFt1ufSsZE https://lh4.googleusercontent.com/proxy/my60AwrBfyew7lVKaJ__xtMmloEUeklWuals3PpzGB2UckckyUqMryJjyzjgaeNYCSjLhAX4VWv6C43SzZOxqwJ49Chlrf4S-cMjrk8brq4jPYE0pqiPGSB84OP-jXnWYEA7_FcLmikhTQv3aWObPwR_A9gZDuURa-b6NfQX9vM
50.50291,-4.04974,Leat Stones and Waterworks,PPP-PCWW 7 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works ,Yennadon DownAt north end of Yennadon Down. Built into plantation boundary wall south of car park.,†PCWW / 1917 †Incised.,,
50.5049,-4.04929,Leat Stones and Waterworks,PPP-PCWW 8 Plymouth Corporation Water Works Boundary Stone,Plymouth Corporation Water Works ,Yennadon DownAt entrance to car park at north end of Yennadon Down. Built into wall.,PCWW / 1917 †Incised.,,https://lh6.googleusercontent.com/proxy/tLsxMmmIBGTm7bdoe2LSH7JLh-Kw5ZaNq_om9DwdkuX7hRBqUWK7QW8V5Aqw6V-czB4naPYKcdSHM-qNLwxpzrUM4ddmpjn5seycP6LzgZULmcgXWYsBEQRCtKq0Xk7j1r1yeJQ2LyBqNO2lFsJMs2s6lmgcFQCLVde_shCl5Bw https://lh4.googleusercontent.com/proxy/SWh_KEK-sUl6lClOaIb4KrYwiTNejoFuH3ghn8JtJ_9Pi4pv9ejPd2HyRRlQp_eX1NlX2uKNPVLnKcxngxNRh8v2x17hdBv76i_Yx3z4z87F9hDSaTbbESOv-s2CzZltRl7ts-c5d4ZaSsCvgTScmJtN9FTdy-4aZHEXvBPCHUA
50.51062,-4.04444,Leat Stones and Waterworks,PPP-PCWW 9 Plymouth Corporation Water Works Boundary Btone,Plymouth Corporation Water Works ,"Peek Hill FarmOn east side of B3212, 400 metres north east of turn to Peek Hill farm. Amongst bushes above cattle grid.",†PCWW / 1917 †Incised.,,https://lh6.googleusercontent.com/proxy/e9Ci6jnD6xdw7bApAQHUFKBIiRuyrhZnJfhG6pR3yNGh6Nku3YpD_WcVJKOVTAhPoLSCpDWfw3Wv6P0W-2tJNk7qAf3f0tducNomg2jeAElwUnlKaELP9nddSk_04NhBPY1hFV-fApou475MYo6pQCwUafNZrenxcL39p_gsoQw https://lh3.googleusercontent.com/proxy/3yNtDUaMQS-blyT_ObIw9NwPJz89XIBvd6acJvdjSjKk3iL_aUhITgkLY050wnGVt1e_qIOVmhqJyVgr4f3kh7BpubNa-pRY7La4JKTV-A1-EGnXbYVk__Q-qFHPObL2xGK8vJr0A-bBicZuRWVKi68AIFWWZfjbeCkC_eQiynQ
50.51892,-4.03513,Leat Stones and Waterworks,PPP-PCWW 10 †Plymouth Corporation Water Works†Marker Stone ,Plymouth Corporation Water Works,"Walkhampton CommonOn south side of B 3212 approx 200 metres west of car parks below and north of Sharpitor. On opposite side of road from PCWW 11 and a milestone (Plymouth/Princetown).,",†PCWW / 1917 †Incised.,,https://lh6.googleusercontent.com/proxy/wTL19FpwedkpUqyFdOca8_13BnlWU_XjbZdoR-0g3bXXRRuk0k0SWXa9nCu0eVssu-GUeqtVRFHLp7NwAY1BoYU4CaPc3C9AvgFSFS6d9Ow1pAx75ZfiOiU5o6iZ4_utu9G8oFCS2hziQCvVVKNaewJbl4zuuQh6--l1Ckrqedw https://lh5.googleusercontent.com/proxy/ABUdj3bEOEI1OPV9AsAQCgc46U5OoPJqCy9xT093NMXiAYFlt0Y9fA7QYiuRvYbp8dY5pMIAgRV4WMuAStjeeTaFF8PMgFwRd9A_Vu398bbI7Jd9ddv3xREd45jnOK2lWBKaUmz52Rljspi_VAEFr1921nF-fqA0gFVna2H2hIo
50.51901,-4.03519,Leat Stones and Waterworks,PPP-PCWW 11 †Plymouth Corporation Water Works†Marker Stone ,Plymouth Corporation Water Works,"Walkhampton CommonBeside B 3212 on north side of road, approx 200 metres west of car parks below and north of Sharpitor. On opposite side of road from PCWW 10 and close to milestone Plymouth/Princetown",†PCWW / 1917 †Incised.,,https://lh3.googleusercontent.com/proxy/4GOj1Ua6drqTRBCGu09Fxee1BHjLViXDUEcltgwPwCe7UUpHwkuXCkxqsr_lsC4jBWQrVjGMSh7geZO5ld-ZYh84qpTkzsv4cH42Ey1JIlk9J2rSXlYzP_kdeR7Q-hoYPHeVwoDf464SnEnJ3tPG1I25s_oG0n1PidqKCnF5C0c
50.53351,-4.01492,Leat Stones and Waterworks,PPP-PCWW 12 †Plymouth Corporation Water Works†Marker Stone ,Plymouth Corporation Water Works †,Walkhampton CommonApprox 70 metres from B 3212 on north side. location north of Black Tor.,†PCWW / 1917 †.Incised.,,https://lh3.googleusercontent.com/proxy/hQxevNWnPvoJrhRrb-jcCZ_W_JH7ruFmbCV5bXROfyBCP0du8bfvHOgvs3uEWzdf5y0wi8TfFH43Ubp9CkHdqz7EQnodcIpdtBTsczatao889j4yuWiMn_K4pl-5wS3bRyk0PXdI0B_zBoRRGJ0zvNWhpxywIDzdPLPnFuYpb1I https://lh6.googleusercontent.com/proxy/2vtCuxiVCflE4PSPq-1YM9JlDAUon5DUv-k58KH9FbNPhW7-9CPIhi5wRUUk8TMckunwlMW65OCDCInhInDf2uVCN4IfBoFAVEb35W1AyjgUCcBbwag4MjZNEdJnPL1vAvUoGmh-9z94Z0s--K3pyEiIq8IgFPa2CMgHYS4yAFI
50.54063,-4.01652,Leat Stones and Waterworks,PPP-PCWW 13 †Plymouth Corporation Water Works†Marker Stone ,Plymouth Corporation Water Works,"Walkhampton CommonNear disused Princetown railway track, 1.5 kilometers west of Princetown. On south side of track above cutting.,",PCWW / 1917 †Incised.,,https://lh3.googleusercontent.com/proxy/9mB-FDMFLC2GIqB96Y1ldl2pw2941iztcdYnTIpaMKobH6YUEseGEh00YRVnSsx83nGHcUqHDm64aL8f7mX54QbsNVBR0JqcQHq2E-aQbElmFbnZW7FTbjK3odUuN4a2oLSctp6Ncp6pZK8S2Shkk78yvqhQfr6-hs9M80NGHj4 https://lh3.googleusercontent.com/proxy/1bbFCOPDS-QDZlcAKByu9xZSPplW3WTnEnTh9ZgBsn-plMwzWBNLgoYPO6DlGtIrSbqF3swqV5mgsg3EMeNFdFk4NKIJ_0v94FNIi2KuzaiQDqQHwgQ_PaeEavSK7UHEK7KC_HC5BMGrPJhhL9IOMYBhn-464N_mRLI5LFaiHLc
