OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Licensing,14042340,A01689,Disclosure & Barring Service,R1601-REG002,CRB Police Checks,05/02/2016,616.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042500,28818,DPDS Regional Limited - DPDS Consulting Group,R4401-PLP101,Services - Fees and Charges,12/02/2016,3500.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Phase 3 Development,14042634,105524,Edward Nash LLP T/A Nash Partnership,C1107-CAH039,Building Works,19/02/2016,2122.30,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Park Play Area,14043012,VALUATION1,Eibe Play Ltd,C4000-CAP125,Acquisition of Equipment,26/02/2016,34963.01,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042963,301267/1/2016,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,26/02/2016,2965.85,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042645,301267/12/2015,Ener-G Combined Power (South) Limited,R2001-REC111,R & M of Fix & Fit - General,19/02/2016,2761.39,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14042159,WM006636,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,19/02/2016,7693.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14042915,WM006767,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,19/02/2016,898.45,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14042916,WM006768,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,19/02/2016,2304.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14042917,WM006769,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,19/02/2016,577.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14042918,WM006770,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,26/02/2016,1676.77,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Garage Improvements,14043005,WM006772,English Landscapes Limited t/a The Landscape Group,C1107-CAH008,Building Works,26/02/2016,13319.91,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Garage Improvements,14043016,WM006775,English Landscapes Limited t/a The Landscape Group,C1107-CAH008,Building Works,26/02/2016,41221.74,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Crematorium Scheme: New Build,14042928,6165,ES International Limited,C1005-CAP601,Surveyors Fees,19/02/2016,3060.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Standards,14043003,36715,Ferret Information,R4531-HOS004,IT - Purchase of Software,26/02/2016,513.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14042931,1355,Focus Ecology Limited,C1107-CAH055,Building Works,26/02/2016,580.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Licensing,14042458,120441,Fraser Brown,R4611-REG002,Conference Expenses,05/02/2016,750.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14042630,GP15/016199,G Purchase Construction Limited,C1107-CAH003,Building Works,19/02/2016,124634.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14042628,GP15/016200,G Purchase Construction Limited,C1107-CAH003,Building Works,19/02/2016,116253.12,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14042629,GP15/016201,G Purchase Construction Limited,C1107-CAH003,Building Works,19/02/2016,44679.22,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trees,14043030,231,Gaskins Treework Specialists,R2070-PLP006,Tree Work,26/02/2016,2407.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trees,14043029,233,Gaskins Treework Specialists,R2070-PLP006,Tree Work,26/02/2016,560.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14043007,581,Gloucestershire Association for Voluntary & Community Action (GAVCA),R6280-GBD001,Grants,12/02/2016,5000.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14042474,1800382252,Gloucestershire County Council,R4400-WST001,Services - Professional Fees,12/02/2016,7068.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14042352,1800385280,Gloucestershire County Council,R4400-TRW001,Services - Professional Fees,12/02/2016,2023.75,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Land Charges,14043053,1800387721,Gloucestershire County Council,R4401-BUC004,Services - Fees and Charges,26/02/2016,3360.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Land Charges,14043052,1800387731,Gloucestershire County Council,R4401-BUC004,Services - Fees and Charges,26/02/2016,9046.68,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14043146,1800388473,Gloucestershire County Council,R4400-WST001,Services - Professional Fees,26/02/2016,7042.19,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pensions Backfunding,14042383,800006312,Gloucestershire Local Government Pension Scheme (LGPS ONLY),R1301-SUP038,Enhanced Pension,12/02/2016,16821.24,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14042347,6015,Gooch Group Limited (Cleaning not Products),R2701-HRA110,Window Cleaning,12/02/2016,618.14,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Corporate Management,14042858,8474949,Grant Thornton UK LLP,R4430-COR001,Audit Fees,26/02/2016,12020.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Accountancy,14042813,8477222,Grant Thornton UK LLP,R4411-SUP009,Consultancy Fees,26/02/2016,824.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Built Environment,14042825,68995,Graphic Design Supplies Limited,R4530-SUP040,IT - Purchase of Hardware,26/02/2016,3536.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14043015,2518,Greenway Partnership Limited T/A GPL Building Services,R4010-OPS001,Materials - Other Materials,26/02/2016,1319.29,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042751,3118,Greenway Partnership Limited T/A GPL Building Services,R2004-REC111,R & M of Build Programmed,26/02/2016,2697.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042747,3121,Greenway Partnership Limited T/A GPL Building Services,R2077-REC111,R&M of Build - internal structures,26/02/2016,745.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Pump Room Repairs & Maintenance,14042882,3127,Greenway Partnership Limited T/A GPL Building Services,R2081-CUL113,Roof Repairs,26/02/2016,684.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14042734,3141,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,R & M of Build Drain Cleaning,19/02/2016,970.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Pump Room Repairs & Maintenance,14042719,3148,Greenway Partnership Limited T/A GPL Building Services,R2004-CUL113,R & M of Build Programmed,19/02/2016,3500.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042717,3149,Greenway Partnership Limited T/A GPL Building Services,R2062-REC111,R & M of Build Cyclical Electrical Remedials,19/02/2016,5475.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14042833,3155,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,R & M of Build Drain Cleaning,26/02/2016,1342.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Repairs & Maintenance,14042838,3160,Greenway Partnership Limited T/A GPL Building Services,R2085-OPS122,R&M of Fix & Fit - Internal,26/02/2016,617.52,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Repairs & Maintenance,14042846,3168,Greenway Partnership Limited T/A GPL Building Services,R2500-OPS122,Fixtures and Fittings - Purchases,26/02/2016,1066.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14042706,15349,Hellion Environmental Limited,R2080-CUL117,Mechanical Services,19/02/2016,520.84,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042688,15363,Hellion Environmental Limited,R2080-REC111,Mechanical Services,19/02/2016,545.63,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14041553,SIAL/00017624,Herefordshire Housing Limited,R4445-HRA110,Communal Alarms - Monitoring & Maintenance,19/02/2016,5773.14,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14042752,cis deduct0601-050216,HMRC (CBC - CIS),B6220-BAL100,CIS Deductions Control (reallocated),15/02/2016,19017.49,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14042551,150255AA10,Ian Williams Limited,R2060-HRA100,R & M of Build Cyclical Painting Communal Areas,26/02/2016,39333.21,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14042753,8561,International Fine Art Conservation Studios Limited,R4400-FIE040,Services - Professional Fees,26/02/2016,700.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2a,14042552,3,J Harper & Sons (Leominster) Limited,C1107-CAH052,Building Works,05/02/2016,111385.95,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14042741,RND301015/COMB,John Gillman & Sons (Electrical) Limited (Gillmans Appliance),R4002-HRA110,Tools & Equipment - Lease/Rental,19/02/2016,1990.71,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14042479,RND301115/comb,John Gillman & Sons (Electrical) Limited (Gillmans Appliance),R4001-HRA110,Tools & Equipment - Hire,19/02/2016,1990.71,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14042740,RND301215/COMB,John Gillman & Sons (Electrical) Limited (Gillmans Appliance),R4002-HRA110,Tools & Equipment - Lease/Rental,19/02/2016,1990.71,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14042901,4543,"Knight, Kavanagh & Page (KKP Management Consultants)",R9100-DEV001,Contributions - County Council,26/02/2016,25641.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14042580,250116,Lewis Advisory Services Limited,R2076-OPS001,Grounds Maintenance - Non Contract,12/02/2016,1500.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,New Heating Installations,14043069,1173243,Liberty Gas Group,C1107-CAH009,Building Works,26/02/2016,3554.70,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14043068,1173248,Liberty Gas Group,R2040-HRA100,R & M of Build Central Heating,26/02/2016,41196.89,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pest Control,14042342,283,Life in the Rainforest,R4400-REG018,Services - Professional Fees,19/02/2016,2000.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14041782,60592344,Local World Limited (was Northcliffe Media),R4411-HLD130,Consultancy Fees,19/02/2016,950.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14042227,60632673,Local World Limited (was Northcliffe Media),R4411-HLD130,Consultancy Fees,19/02/2016,950.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14043017,4876LC,Martin Surgey T/A Lifechart,R2004-OPS002,R & M of Build Programmed,26/02/2016,824.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Neighbourhood works,14042620,1082,MHP Design Limited,C1107-CAH005,Building Works,19/02/2016,1140.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14042827,24109,Morgan Lambert Limited,R2040-HRA100,R & M of Build Central Heating,19/02/2016,1052.75,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14042349,24566,Morgan Lambert Limited,R2040-HRA100,R & M of Build Central Heating,12/02/2016,1012.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042619,CTG JCS 007,Mr Ian Kemp,R4400-PLP101,Services - Professional Fees,19/02/2016,1563.68,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042870,CTG JCS 008,Mr Ian Kemp,R4400-PLP101,Services - Professional Fees,26/02/2016,2908.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14043060,31-1-2016,Mr J Sureda,R4401-CCM001,Services - Fees and Charges,26/02/2016,806.62,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042823,94858,Nathaniel Lichfield & Partners,R4400-PLP101,Services - Professional Fees,19/02/2016,9271.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14043058,23182,Naturescape,R2076-OPS002,Grounds Maintenance - Non Contract,26/02/2016,2047.67,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CCTV,14042469,615710,OpenView Security Solutions Limited,R4003-CCT001,Tools & Equipment - R & M,26/02/2016,1419.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CCTV,14043143,619752,OpenView Security Solutions Limited,R4003-CCT001,Tools & Equipment - R & M,26/02/2016,1419.17,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14042794,O0392257,Orbis Protect Limited,R2012-HRA100,R & M of Build Standby and Call Out,26/02/2016,1127.03,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042351,401260,Ove Arup & Partners Limited,R4400-PLP101,Services - Professional Fees,12/02/2016,2708.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042816,402775,Ove Arup & Partners Limited,R4400-PLP101,Services - Professional Fees,19/02/2016,5300.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14042726,UK84600,Parkeon Limited,R4401-CPK001,Services - Fees and Charges,26/02/2016,2421.64,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042596,125397 MFE,Peter Brett Associates LLP,R4400-PLP101,Services - Professional Fees,26/02/2016,4750.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14042597,15189,PIMSS Data Systems Limited,C1107-CAH017,Building Works,19/02/2016,1387.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14042595,SI-796,Prestige Fire Door Services Limited,C1107-CAH017,Building Works,19/02/2016,544.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Payroll,14042897,OP/1601822,Prolog Print Media Limited,R4000-SUP013,Equipment Purchase,19/02/2016,885.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14042395,PL101121,Redactive Publishing Limited,R1700-PLP001,Staff Advertising Costs,05/02/2016,800.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Printing Services,14043150,100449807,Ricoh UK Limited,R4300-SUP022,Printing - Services,26/02/2016,4728.56,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sandford Lido car park,14042573,Sandford Lido Jan 16,Sandford Parks Lido (Trading) Limited,R5003-CPK103,TPP - Agency Fees,26/02/2016,20232.48,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sandford Lido car park,14042573,Sandford Lido Jan 16,Sandford Parks Lido (Trading) Limited,R5003-CPK103,TPP - Agency Fees,26/02/2016,-1683.33,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14042938,748,SAS EPC,R2018-HRA100,R & M of Build Voids Energy Performance Certificates,26/02/2016,745.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Park Income Collection,14042988,537424,Security Plus+ Limited,R4435-CPK002,Cash Collection Contract,26/02/2016,805.95,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14042757,77551,Signcraft Limited,R2008-ADB103,R & M of Build - Reactive Repairs,26/02/2016,737.09,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT Virtual e-mail,14042617,1530,Smith's (Gloucester) Limited,C1105-CAP025,Design Services,19/02/2016,2504.25,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14042567,115848,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,12/02/2016,3514.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Bulking Facility,14042601,115903,South Wales Wood Recycling Ltd,R5005-RYC008,TPP - Minor Contract Fees,12/02/2016,1093.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Printing Services,14042611,355668,Springfield Business Papers Limited,R4306-SUP022,Photocopier Charges - Consumables,19/02/2016,1035.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Neighbourhood works,14042616,CGB/14138,Sutcliffe Garages Limited,C1107-CAH005,Building Works,19/02/2016,4500.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Neighbourhood works,14043013,CGB/1413B,Sutcliffe Garages Limited,C1107-CAH005,Building Works,26/02/2016,4500.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14042772,4960,System Six Design & Build,R4003-CCM111,Tools & Equipment - R & M,26/02/2016,674.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14042957,4995,System Six Design & Build,R2081-ADB101,Roof Repairs,26/02/2016,2466.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14042943,DEBT104458,Tewkesbury Borough Council,R4426-FIE040,Legal Expenses,26/02/2016,1098.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Legal,14042594,DEBT104524,Tewkesbury Borough Council,R4401-SUP004,Services - Fees and Charges,12/02/2016,115524.34,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14042745,DEBT104527,Tewkesbury Borough Council,R4420-FIE040,Legal Expenses And Court Costs,19/02/2016,2330.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Benefit Administration,14042914,DEBT104560,Tewkesbury Borough Council,R4426-HBA001,Legal Expenses,19/02/2016,5825.00,
