Department family,Entity,Date Paid,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Blood & Blood Products,Pathology,Nhs Blood & Transplant,375239,84800.36
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,375245,43701.38
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,375255,53752.94
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,,Procurement,St George's Hospital Nhs Trust,375341,63627.00
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Audit Services,Finance,Grant Thornton Uk Llp,375342,41125.00
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Therapy Services,Therapies,Nhs Haringey Provider Services,375352,230716.00
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Sterile Services Contract,Environmental Services,Synergy Healthcare (Uk) Ltd,375475,44676.97
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Sterile Services Contract,Environmental Services,Synergy Healthcare (Uk) Ltd,375479,38008.09
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Med Equip Maint Contracts,Radiotherapy,Elekta Limited,376109,132681.00
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Utilities,Environmental Services,Bynorth Ltd,376288,174797.74
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Strategic Planning,Trust Headquarters,Ucl Partners,376426,50000.00
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Refurbishment,Hospital Development,Medicinq Osborne,376769,494913.60
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Refurbishment,Hospital Development,Sherman + Co Ltd,376817,72663.61
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Patient Transport,Environmental Services,M&L Ambulance Serv- Venture Finance Plc,377314,73966.45
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,PFI Unitary Payment,New Hospital,Bynorth Ltd,377477,1349701.22
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Drugs,Pharmacy,Gilead Sciences Ltd,374070,25947.53
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Drugs,Pharmacy,Gilead Sciences Ltd,374085,31137.03
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Drugs,Pharmacy,Gilead Sciences Ltd,374878,31137.03
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Drugs,Pharmacy,Alliance Healthcare Distribution Ltd,373240,25133.25
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Drugs,Pharmacy,Roche Products Ltd,374963,37612.34
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Drugs,Pharmacy,Roche Products Ltd,376004,58129.01
Department of Health,North Middlesex University Hospital NHS Trust,14-Oct-10,Insurance,Nursing and Patient Services,Nhs Litigation Authority,NHSLA07,312769.00
