,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Essex,0,-,0,-,262,78.0%,74,22.0%,11,61.1%,7,38.9%,44,91.7%,4,8.3%,16,88.9%,2,11.1%,273,96.1%,11,3.9%,16,94.1%,1,5.9%,65,92.9%,5,7.1%,104,95.4%,5,4.6%,102,94.4%,6,5.6%,72,86.7%,11,13.3%,233,86.0%,38,14.0%,12,100.0%
Gloucestershire,0,-,0,-,56,84.8%,10,15.2%,6,66.7%,3,33.3%,10,83.3%,2,16.7%,3,100.0%,0,0.0%,72,100.0%,0,0.0%,5,100.0%,0,0.0%,16,94.1%,1,5.9%,34,97.1%,1,2.9%,24,100.0%,0,0.0%,4,80.0%,1,20.0%,137,93.8%,9,6.2%,2,100.0%
GreaterManchester,1,50.0%,1,50.0%,468,82.5%,99,17.5%,52,81.3%,12,18.8%,106,89.1%,13,10.9%,48,87.3%,7,12.7%,588,93.2%,43,6.8%,48,96.0%,2,4.0%,140,87.0%,21,13.0%,231,94.7%,13,5.3%,242,84.9%,43,15.1%,93,86.9%,14,13.1%,"1,252",90.9%,126,9.1%,29,100.0%
Gwent,0,-,0,-,102,79.1%,27,20.9%,7,70.0%,3,30.0%,19,90.5%,2,9.5%,7,100.0%,0,0.0%,148,95.5%,7,4.5%,7,100.0%,0,0.0%,52,92.9%,4,7.1%,49,90.7%,5,9.3%,74,93.7%,5,6.3%,25,89.3%,3,10.7%,142,84.5%,26,15.5%,6,100.0%
Hampshire,0,-,0,-,272,77.7%,78,22.3%,24,54.5%,20,45.5%,46,92.0%,4,8.0%,11,68.8%,5,31.3%,359,92.1%,31,7.9%,24,70.6%,10,29.4%,109,88.6%,14,11.4%,162,92.0%,14,8.0%,119,78.3%,33,21.7%,101,86.3%,16,13.7%,562,93.7%,38,6.3%,13,100.0%
Hertfordshire,3,100.0%,0,0.0%,118,76.6%,36,23.4%,13,92.9%,1,7.1%,14,70.0%,6,30.0%,10,90.9%,1,9.1%,188,91.7%,17,8.3%,16,84.2%,3,15.8%,34,94.4%,2,5.6%,101,95.3%,5,4.7%,49,89.1%,6,10.9%,29,90.6%,3,9.4%,329,92.4%,27,7.6%,17,100.0%
Humberside,0,-,0,-,180,85.3%,31,14.7%,14,93.3%,1,6.7%,34,89.5%,4,10.5%,11,100.0%,0,0.0%,253,93.0%,19,7.0%,9,90.0%,1,10.0%,62,88.6%,8,11.4%,74,97.4%,2,2.6%,99,88.4%,13,11.6%,44,95.7%,2,4.3%,360,94.7%,20,5.3%,9,100.0%
Kent,2,50.0%,2,50.0%,203,76.3%,63,23.7%,28,93.3%,2,6.7%,33,82.5%,7,17.5%,8,66.7%,4,33.3%,357,92.0%,31,8.0%,28,96.6%,1,3.4%,94,83.9%,18,16.1%,93,93.0%,7,7.0%,91,77.8%,26,22.2%,75,90.4%,8,9.6%,199,90.5%,21,9.5%,20,100.0%
Lancashire,3,100.0%,0,0.0%,293,74.0%,103,26.0%,37,92.5%,3,7.5%,76,89.4%,9,10.6%,10,66.7%,5,33.3%,375,93.5%,26,6.5%,20,83.3%,4,16.7%,123,86.0%,20,14.0%,120,93.0%,9,7.0%,201,93.1%,15,6.9%,85,83.3%,17,16.7%,729,93.9%,47,6.1%,12,100.0%
Leicestershire,1,100.0%,0,0.0%,164,80.8%,39,19.2%,10,62.5%,6,37.5%,24,88.9%,3,11.1%,14,93.3%,1,6.7%,132,87.4%,19,12.6%,14,77.8%,4,22.2%,42,84.0%,8,16.0%,45,95.7%,2,4.3%,25,80.6%,6,19.4%,33,71.7%,13,28.3%,385,94.6%,22,5.4%,7,100.0%
Lincolnshire,1,100.0%,0,0.0%,87,88.8%,11,11.2%,5,100.0%,0,0.0%,16,69.6%,7,30.4%,3,100.0%,0,0.0%,111,94.9%,6,5.1%,3,100.0%,0,0.0%,28,100.0%,0,0.0%,36,100.0%,0,0.0%,53,84.1%,10,15.9%,19,50.0%,19,50.0%,144,84.2%,27,15.8%,10,100.0%
Merseyside,4,100.0%,0,0.0%,264,80.7%,63,19.3%,21,70.0%,9,30.0%,40,90.9%,4,9.1%,13,76.5%,4,23.5%,394,94.0%,25,6.0%,35,100.0%,0,0.0%,73,92.4%,6,7.6%,306,96.5%,11,3.5%,180,87.0%,27,13.0%,134,87.6%,19,12.4%,429,88.5%,56,11.5%,14,100.0%
Metropolitan and City,20,76.9%,6,23.1%,"1,185",67.9%,561,32.1%,118,64.5%,65,35.5%,314,77.5%,91,22.5%,265,73.2%,97,26.8%,"1,474",88.9%,184,11.1%,217,82.8%,45,17.2%,298,78.4%,82,21.6%,"1,259",92.2%,106,7.8%,710,83.2%,143,16.8%,526,77.4%,154,22.6%,"1,562",79.8%,395,20.2%,146,100.0%
Norfolk,5,83.3%,1,16.7%,136,82.4%,29,17.6%,12,85.7%,2,14.3%,18,75.0%,6,25.0%,5,83.3%,1,16.7%,168,90.8%,17,9.2%,10,90.9%,1,9.1%,54,94.7%,3,5.3%,60,95.2%,3,4.8%,103,87.3%,15,12.7%,29,93.5%,2,6.5%,220,90.2%,24,9.8%,13,100.0%
Northamptonshire,0,-,0,-,103,78.0%,29,22.0%,8,66.7%,4,33.3%,20,90.9%,2,9.1%,12,92.3%,1,7.7%,146,92.4%,12,7.6%,6,100.0%,0,0.0%,31,81.6%,7,18.4%,31,86.1%,5,13.9%,39,81.3%,9,18.8%,22,88.0%,3,12.0%,219,93.2%,16,6.8%,8,100.0%
Northumbria,0,-,0,-,196,78.1%,55,21.9%,16,80.0%,4,20.0%,49,83.1%,10,16.9%,1,33.3%,2,66.7%,377,90.2%,41,9.8%,26,86.7%,4,13.3%,66,86.8%,10,13.2%,132,95.0%,7,5.0%,125,82.8%,26,17.2%,284,85.8%,47,14.2%,685,90.3%,74,9.7%,15,100.0%
North Wales,1,100.0%,0,0.0%,109,84.5%,20,15.5%,6,85.7%,1,14.3%,29,93.5%,2,6.5%,2,100.0%,0,0.0%,145,94.8%,8,5.2%,4,80.0%,1,20.0%,44,84.6%,8,15.4%,35,100.0%,0,0.0%,45,95.7%,2,4.3%,75,94.9%,4,5.1%,231,93.5%,16,6.5%,0,-
North Yorkshire,0,-,0,-,107,87.0%,16,13.0%,6,85.7%,1,14.3%,19,100.0%,0,0.0%,6,100.0%,0,0.0%,150,90.9%,15,9.1%,12,85.7%,2,14.3%,33,84.6%,6,15.4%,36,94.7%,2,5.3%,59,88.1%,8,11.9%,24,80.0%,6,20.0%,123,92.5%,10,7.5%,0,-
Nottinghamshire,3,100.0%,0,0.0%,196,72.6%,74,27.4%,10,66.7%,5,33.3%,29,93.5%,2,6.5%,28,90.3%,3,9.7%,219,93.6%,15,6.4%,13,100.0%,0,0.0%,60,90.9%,6,9.1%,88,98.9%,1,1.1%,73,91.3%,7,8.8%,50,83.3%,10,16.7%,235,91.1%,23,8.9%,13,100.0%
South Wales,1,100.0%,0,0.0%,294,79.0%,78,21.0%,13,61.9%,8,38.1%,58,85.3%,10,14.7%,9,75.0%,3,25.0%,289,96.0%,12,4.0%,22,100.0%,0,0.0%,73,81.1%,17,18.9%,165,94.3%,10,5.7%,180,86.5%,28,13.5%,48,90.6%,5,9.4%,738,92.3%,62,7.8%,22,100.0%
South Yorkshire,5,100.0%,0,0.0%,192,80.3%,47,19.7%,15,88.2%,2,11.8%,54,88.5%,7,11.5%,14,93.3%,1,6.7%,420,93.8%,28,6.3%,21,84.0%,4,16.0%,71,92.2%,6,7.8%,127,92.7%,10,7.3%,68,84.0%,13,16.0%,69,87.3%,10,12.7%,429,92.7%,34,7.3%,8,100.0%
Staffordshire,1,100.0%,0,0.0%,167,72.6%,63,27.4%,7,53.8%,6,46.2%,20,87.0%,3,13.0%,5,100.0%,0,0.0%,197,91.6%,18,8.4%,27,100.0%,0,0.0%,59,79.7%,15,20.3%,42,91.3%,4,8.7%,82,82.8%,17,17.2%,22,84.6%,4,15.4%,556,91.6%,51,8.4%,15,100.0%
Suffolk,0,-,0,-,96,85.0%,17,15.0%,8,88.9%,1,11.1%,15,83.3%,3,16.7%,3,100.0%,0,0.0%,132,91.0%,13,9.0%,13,92.9%,1,7.1%,26,89.7%,3,10.3%,54,88.5%,7,11.5%,75,92.6%,6,7.4%,24,88.9%,3,11.1%,114,94.2%,7,5.8%,5,100.0%
Surrey,1,100.0%,0,0.0%,122,83.0%,25,17.0%,15,78.9%,4,21.1%,16,80.0%,4,20.0%,7,87.5%,1,12.5%,106,94.6%,6,5.4%,9,100.0%,0,0.0%,29,90.6%,3,9.4%,75,94.9%,4,5.1%,59,84.3%,11,15.7%,15,75.0%,5,25.0%,281,93.0%,21,7.0%,7,100.0%
Sussex,0,-,0,-,180,68.4%,83,31.6%,24,70.6%,10,29.4%,28,84.8%,5,15.2%,5,100.0%,0,0.0%,195,89.9%,22,10.1%,12,80.0%,3,20.0%,54,78.3%,15,21.7%,96,90.6%,10,9.4%,91,88.3%,12,11.7%,39,90.7%,4,9.3%,261,91.3%,25,8.7%,12,100.0%
Thames Valley,4,57.1%,3,42.9%,330,66.9%,163,33.1%,25,80.6%,6,19.4%,54,83.1%,11,16.9%,22,88.0%,3,12.0%,387,89.2%,47,10.8%,24,80.0%,6,20.0%,71,78.9%,19,21.1%,193,90.2%,21,9.8%,106,80.9%,25,19.1%,117,80.1%,29,19.9%,690,92.0%,60,8.0%,38,100.0%
Warwickshire,0,-,0,-,30,85.7%,5,14.3%,2,100.0%,0,0.0%,12,92.3%,1,7.7%,13,86.7%,2,13.3%,66,94.3%,4,5.7%,7,77.8%,2,22.2%,14,82.4%,3,17.6%,16,94.1%,1,5.9%,13,81.3%,3,18.8%,21,87.5%,3,12.5%,175,80.6%,42,19.4%,4,100.0%
West Mercia,3,100.0%,0,0.0%,136,79.5%,35,20.5%,10,76.9%,3,23.1%,11,68.8%,5,31.3%,5,62.5%,3,37.5%,163,95.9%,7,4.1%,12,92.3%,1,7.7%,33,84.6%,6,15.4%,69,94.5%,4,5.5%,52,78.8%,14,21.2%,33,80.5%,8,19.5%,380,88.2%,51,11.8%,11,100.0%
West Midlands,6,100.0%,0,0.0%,347,67.2%,169,32.8%,25,75.8%,8,24.2%,80,83.3%,16,16.7%,79,79.8%,20,20.2%,560,94.1%,35,5.9%,34,89.5%,4,10.5%,131,86.2%,21,13.8%,203,92.7%,16,7.3%,159,89.3%,19,10.7%,164,88.6%,21,11.4%,577,89.2%,70,10.8%,42,100.0%
West Yorkshire,2,100.0%,0,0.0%,343,76.2%,107,23.8%,45,83.3%,9,16.7%,92,80.7%,22,19.3%,28,80.0%,7,20.0%,462,89.5%,54,10.5%,26,74.3%,9,25.7%,85,84.2%,16,15.8%,159,89.3%,19,10.7%,135,84.9%,24,15.1%,72,80.9%,17,19.1%,645,83.5%,127,16.5%,67,100.0%
Wiltshire,0,-,0,-,56,83.6%,11,16.4%,5,83.3%,1,16.7%,7,77.8%,2,22.2%,0,0,0,0,87,91.6%,8,8.4%,3,100.0%,0,0.0%,20,95.2%,1,4.8%,22,100.0%,0,0.0%,28,77.8%,8,22.2%,19,90.5%,2,9.5%,69,95.8%,3,4.2%,7,100.0%
