Trust code,Trust Name,N of carotid endarterectomy cases from HES,N of carotid endarterectomy cases on the NVR,% Carotid endarterectomy case ascertainment,N of Symptomatic cases,N of patients referred within 7 days of symptom,% of patients referred within 7 days of symptom,N of patients receiving surgery within 7 days of referral,% of patients receiving surgery within 7 days of referral,N of patients having surgery within 14 days of symptom,% of patients having surgery within 14 days of symptom,Median delay and IQR from index symptom to surgery,% Stroke and/or death Adjusted
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,44,41,93%,41,32,80%,10,24%,25,61%,13 (10-16),1.40%
RPA,Medway NHS Foundation Trust,33,31,94%,22,18,82%,13,42%,14,64%,12 (8-20),3.70%
RQ6,Royal Liverpool and Broadgreen University Hospitals NHS Trust,136,122,90%,120,84,72%,42,35%,57,48%,15 (10-25),2.50%
RQ8,Mid Essex Hospital Services NHS Trust,39,8,21%,8,6,75%,4,50%,4,50%,18 (10-41),0.00%
RQW,Princess Alexandra Hospital NHS Trust,19,19,100%,18,7,44%,6,33%,4,25%,23 (14-169),2.40%
RR1,Heart of England NHS Foundation Trust,48,44,92%,44,32,76%,24,56%,25,57%,10 (6-49),0.70%
RR7,Gateshead Health NHS Foundation Trust,24,24,100%,24,12,50%,10,42%,10,42%,19 (12-40),1.90%
RR8,Leeds Teaching Hospitals NHS Trust,93,87,94%,86,61,73%,68,78%,62,72%,8 (6-16),0.00%
RRK,University Hospitals Birmingham NHS Foundation Trust,69,70,101%,54,35,67%,10,14%,13,25%,26 (15-51),3.60%
RRV,University College London Hospitals NHS Foundation Trust,67,70,104%,62,46,75%,50,72%,40,66%,9 (6-19),1.40%
RTD,Newcastle upon Tyne Hospitals NHS Foundation Trust,70,67,96%,61,30,53%,36,54%,24,41%,19 (8-39),2.00%
RTE,Gloucestershire Hospitals NHS Foundation Trust,75,72,96%,67,40,60%,26,37%,29,43%,17 (10-31),1.20%
RTG,Derby Teaching Hospitals NHS Foundation Trust,41,46,112%,46,38,83%,42,91%,40,87%,6 (3-11),4.90%
RTH,Oxford University Hospitals NHS Trust,113,88,78%,63,32,51%,40,47%,32,51%,14 (8-43),2.80%
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,55,57,104%,52,40,77%,36,63%,38,73%,8 (4-20),0.50%
RTR,South Tees Hospitals NHS Foundation Trust,66,67,102%,67,53,79%,23,35%,33,50%,15 (9-23),1.00%
RVJ,North Bristol NHS Trust,48,51,106%,51,40,78%,37,73%,36,71%,11 (8-21),2.20%
RVV,East Kent Hospitals University NHS Foundation Trust,85,85,100%,78,58,74%,63,74%,60,77%,7 (4-14),1.00%
RW3,Central Manchester University Hospitals NHS Foundation Trust,83,84,101%,74,53,73%,50,63%,54,76%,8 (5-14),0.70%
RW6,Pennine Acute Hospitals NHS Trust,153,152,99%,136,87,64%,85,56%,78,57%,10 (5-34),1.60%
RWA,Hull and East Yorkshire Hospitals NHS Trust,96,93,97%,90,46,51%,45,48%,38,42%,19 (9-78),3.40%
RWD,United Lincolnshire Hospitals NHS Trust,39,36,92%,36,21,58%,26,72%,21,58%,13 (6-29),2.30%
RWE,University Hospitals of Leicester NHS Trust,94,92,98%,83,61,75%,77,84%,64,79%,7 (4-13),1.40%
RWG,West Hertfordshire Hospitals NHS Trust,55,50,91%,45,33,75%,22,44%,23,51%,14 (7-24),2.20%
RWH,East and North Hertfordshire NHS Trust,42,40,95%,35,27,77%,30,77%,29,83%,8 (5-12),0.70%
RWP,Worcestershire Acute Hospitals NHS Trust,91,90,99%,88,52,60%,61,69%,56,64%,11 (7-26),0.90%
RWY,Calderdale and Huddersfield NHS Foundation Trust,33,29,88%,25,17,68%,15,52%,13,52%,13 (9-21),1.00%
RX1,Nottingham University Hospitals NHS Trust,73,71,97%,61,51,84%,55,77%,54,89%,8 (4-9),2.20%
RXH,Brighton and Sussex University Hospitals NHS Trust,58,59,102%,59,33,56%,33,57%,32,54%,13 (9-31),1.40%
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,52,0,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,37,30,81%,27,12,46%,4,13%,6,22%,28 (17-46),2.70%
RXP,County Durham and Darlington NHS Foundation Trust,60,56,93%,55,39,72%,13,23%,30,55%,14 (11-27),0.00%
RXQ,Buckinghamshire Healthcare NHS Trust,89,86,97%,64,38,59%,27,32%,29,46%,15 (10-30),2.40%
RXR,East Lancashire Hospitals NHS Trust,61,62,102%,54,39,74%,14,23%,20,37%,28 (8-64),1.40%
RXW,Shrewsbury and Telford Hospital NHS Trust,42,37,88%,37,25,68%,30,81%,27,73%,9 (5-18),2.50%
RYJ,Imperial College Healthcare NHS Trust,75,68,91%,60,52,87%,38,58%,43,72%,7 (5-18),2.90%
