Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Democratic Services,1323,Postages,04/06/2015,0000193233,5700.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Democratic Services,1326,General Repairs and Maintenance,04/06/2015,0000193262,909.00,Revenue,Accurate Mechanical Services Ltd,12623
Rushmoor Borough Council,Strategy and Communiations,1402,Miscellaneous Expenses,04/06/2015,0000193268,380.25,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Community,2549,Materials,04/06/2015,0000193268,380.25,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Community,2551,Operational Equipment,11/06/2015,0000193269,2650.00,Revenue,Clearskies Software Ltd,12304
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,04/06/2015,0000193270,538.00,Revenue,Westronics Ltd,10247
Rushmoor Borough Council,Strategy and Communiations,1402,Miscellaneous Expenses,04/06/2015,0000193276,365.00,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/06/2015,0000193280,462.00,Revenue,Acme Technical Services Limited,03569
Rushmoor Borough Council,Holding Accounts,9404,Trading Company Consultancy,04/06/2015,0000193284,541.40,Holding Accounts,Scrumptious Consultancy,13554
Rushmoor Borough Council,Democratic Services,1323,Postages,04/06/2015,0000193285,1399.39,Revenue,Royal Mail,00821
Rushmoor Borough Council,Holding Accounts,9404,Trading Company Consultancy,04/06/2015,0000193286,1041.40,Holding Accounts,Scrumptious Consultancy,13554
Rushmoor Borough Council,Democratic Services,1322,Trade Refuse,04/06/2015,0000193289,697.22,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Democratic Services,1322,Canteen Subsidy,04/06/2015,0000193291,906.41,Revenue,Edwards And Ward Ltd,12710
Rushmoor Borough Council,Democratic Services,1303,Travel and Subsistence,04/06/2015,0000193292,329.00,Revenue,Edwards And Ward Ltd,12710
Rushmoor Borough Council,Planning,2612,Recruitment Advertising,04/06/2015,0000193294,545.00,Revenue,Jobs Go Public,08630
Rushmoor Borough Council,Community,6540,Contract Costs,04/06/2015,0000193298,-259.36,Capital,Stage Electrics,07262
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/06/2015,0000193302,487.50,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Democratic Services,1322,Equipment Maintenance,04/06/2015,0000193304,261.50,Revenue,Commercial Dishwasher Services,03316
Rushmoor Borough Council,Community,2517,Playground Apparatus,04/06/2015,0000193305,428.36,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Democratic Services,1322,Refreshments at Meetings,04/06/2015,0000193306,271.46,Revenue,Coffee Select Ltd,12667
Rushmoor Borough Council,Legal,1208,Repair and Maintenance Paved Areas,04/06/2015,0000193308,3548.00,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Community,2518,Payment to Artistes,04/06/2015,0000193309,470.10,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Director of Resources,3106,Contractor,04/06/2015,0000193311,3750.00,Revenue,Calcott Solutions Limited,10534
Rushmoor Borough Council,Director of Resources,3106,Contractor,04/06/2015,0000193314,3750.00,Revenue,Calcott Solutions Limited,10534
Rushmoor Borough Council,Community,2538,Telecommunications,04/06/2015,0000193317,425.81,Revenue,O2 Uk Ltd,04540
Rushmoor Borough Council,Customer Services,3811,Contract Staff,04/06/2015,0000193318,988.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Community,2556,Payment to Contractor,04/06/2015,0000193320,2376.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2555,Payment to Contractor,04/06/2015,0000193321,13883.40,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Payment to Contractor,04/06/2015,0000193322,772.46,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Contract Variations Highways,04/06/2015,0000193324,2381.29,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Car Parks,04/06/2015,0000193325,7280.79,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Highways,04/06/2015,0000193325,65718.83,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Parks,04/06/2015,0000193325,9644.96,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,04/06/2015,0000193327,4200.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Lighting Repairs,04/06/2015,0000193330,294.46,Revenue,City Electrical Factors (Aldershot),00236
Rushmoor Borough Council,Democratic Services,1302,External Printing,04/06/2015,0000193331,2633.56,Revenue,Electoral Reform Services,06506
Rushmoor Borough Council,Community,2553,Payment to Contractor,04/06/2015,0000193336,106175.74,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,04/06/2015,0000193336,733.75,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,04/06/2015,0000193336,64475.04,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Customer Services,3814,Temporary Staff,04/06/2015,0000193338,510.23,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2510,Temporary Staff,04/06/2015,0000193339,717.68,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,04/06/2015,0000193341,727.00,Revenue,Earth Anchors Ltd,00321
Rushmoor Borough Council,Community,2518,Databox Maintenance,25/06/2015,0000193342,360.00,Revenue,Spektrix Limited,13635
Rushmoor Borough Council,Community,2565,Clothes and Uniform,04/06/2015,0000193345,6023.80,Revenue,Nicoll Industries Limited,13474
Rushmoor Borough Council,Community,2540,Repairs and Maintenance Signs,04/06/2015,0000193348,2965.00,Revenue,Signway Supplies,00884
Rushmoor Borough Council,Democratic Services,1322,Electricity,04/06/2015,0000193351,6030.30,Revenue,Edf Energy,09831
Rushmoor Borough Council,Democratic Services,1323,Postages,04/06/2015,0000193353,1063.57,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2508,Operational Equipment,04/06/2015,0000193354,495.00,Revenue,D & P Coaches,01735
Rushmoor Borough Council,Community,2551,Building and Monument Maintenance,04/06/2015,0000193355,4282.38,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Community,2551,Book of Remembrance,04/06/2015,0000193357,418.81,Revenue,Hilton Cabinet Co Ltd,00024
Rushmoor Borough Council,Democratic Services,1323,Mobile Phones,04/06/2015,0000193359,498.02,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Democratic Services,1322,General Repairs and Maintenance,04/06/2015,0000193360,1300.00,Revenue,Thorobrite Cleaning Services,01043
Rushmoor Borough Council,Holding Accounts,9436,Insurance,04/06/2015,0000193361,8860.00,Holding Accounts,Zurich Municipal,01129
Rushmoor Borough Council,Holding Accounts,9436,Insurance,04/06/2015,0000193363,13134.93,Holding Accounts,Zurich Municipal,01129
Rushmoor Borough Council,Democratic Services,1323,Postages,04/06/2015,0000193368,1432.14,Revenue,Royal Mail,00821
Rushmoor Borough Council,Democratic Services,1322,Cleaning Materials,04/06/2015,0000193379,522.01,Revenue,Bowak Ltd,04579
Rushmoor Borough Council,Community,2551,Registration Fees,04/06/2015,0000193381,445.00,Revenue,Institute Of Cemetery & Crematorium Man,02762
Rushmoor Borough Council,Community,2537,External Printing,04/06/2015,0000193382,1170.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Financial Services,3402,Consultancy,11/06/2015,0000193384,2400.00,Revenue,Baker Tilly,13646
Rushmoor Borough Council,Strategy and Communiations,1413,Economic Development Promotions,04/06/2015,0000193385,1000.00,Revenue,The Sixth Form College Farnborough B,13647
Rushmoor Borough Council,Strategy and Communiations,1413,Learning Partnership,04/06/2015,0000193385,2000.00,Revenue,The Sixth Form College Farnborough B,13647
Rushmoor Borough Council,Personnel & Payroll,3601,Subscriptions,04/06/2015,0000193387,300.00,Revenue,South East Employers,00906
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,04/06/2015,0000193388,447.85,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Democratic Services,1323,Postages,04/06/2015,0000193392,1486.61,Revenue,Neopost Limited,12328
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/06/2015,0000193393,516.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,04/06/2015,0000193394,1035.00,Revenue,Hays,02287
Rushmoor Borough Council,Strategy and Communiations,1409,Temporary Staff,11/06/2015,0000193395,2215.77,Revenue,Basingstoke & Deane Borough Council,00141
Rushmoor Borough Council,Legal,1202,Temporary Staff,04/06/2015,0000193396,1284.29,Revenue,Hays,02287
Rushmoor Borough Council,Democratic Services,1310,Miscellaneous Expenses,04/06/2015,0000193397,730.25,Revenue,Condeco Ltd,09705
Rushmoor Borough Council,Democratic Services,1322,Equipment Maintenance,04/06/2015,0000193397,730.25,Revenue,Condeco Ltd,09705
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/06/2015,0000193399,2661.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Strategy and Communiations,1413,Learning Partnership,04/06/2015,0000193400,286.80,Revenue,Basingstoke Consortium Limited,13650
Rushmoor Borough Council,Community,2537,Electricity,04/06/2015,0000193401,1342.42,Revenue,Edf Energy,09831
Rushmoor Borough Council,Personnel & Payroll,3601,Consultancy,04/06/2015,0000193407,858.33,Revenue,Reed,11780
Rushmoor Borough Council,Democratic Services,1321,Promotions,04/06/2015,0000193410,406.66,Revenue,Southern Waterscapes,12935
Rushmoor Borough Council,Information Technology,3300,Conferences and Seminars,04/06/2015,0000193417,500.00,Revenue,Agi,00078
Rushmoor Borough Council,Community,2515,Direct Grants,04/06/2015,0000193420,10500.00,Revenue,Samuel Cody Specialist Sports College,00851
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193423,672.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193424,336.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Community,2517,Tree Maintenance,04/06/2015,0000193427,2520.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193428,2475.00,Revenue,Annies Guest House,10688
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193429,935.00,Revenue,Annies Guest House,10688
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193430,450.00,Revenue,Airport Lodge,10121
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/06/2015,0000193433,500.00,Revenue,Airport Lodge,10121
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/06/2015,0000193434,700.00,Revenue,Airport Lodge,10121
Rushmoor Borough Council,Information Technology,3304,Network Software,04/06/2015,0000193438,350.00,Revenue,Cleverbridge,12125
Rushmoor Borough Council,Community,2526,Rents,11/06/2015,0000193439,2544.17,Revenue,Savills (Uk) Ltd,12411
Rushmoor Borough Council,Environmental Health and Housing,2402,Step by Step,04/06/2015,0000193445,10000.00,Revenue,Step By Step,02660
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,18/06/2015,0000193446,380.60,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,18/06/2015,0000193447,2957.06,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,04/06/2015,0000193455,484.00,Revenue,Gilgen Door Systems,00445
Rushmoor Borough Council,Customer Services,3811,Admin Equipment,11/06/2015,0000193456,627.20,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Community,2559,General Repairs and Maintenance,04/06/2015,0000193457,500.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,04/06/2015,0000193458,600.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/06/2015,0000193460,335.00,Revenue,Acme Technical Services Limited,03569
Rushmoor Borough Council,Community,2549,Materials,11/06/2015,0000193462,256.55,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,General Hardware,11/06/2015,0000193462,256.55,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,7500,Channel Shift,04/06/2015,0000193463,2328.75,Capital,Capita Business Services Ltd,00208
Rushmoor Borough Council,Legal,1208,Devereux House,04/06/2015,0000193464,790.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,04/06/2015,0000193468,3381.13,Revenue,Building Monitoring Services Ltd,08586
Rushmoor Borough Council,Community,2537,External Printing,04/06/2015,0000193471,-675.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Planning,2612,Admin Equipment,11/06/2015,0000193473,699.50,Revenue,D K Office Furniture,08652
Rushmoor Borough Council,Director of Community and Environment Services,2100,Operational Equipment,11/06/2015,0000193474,399.60,Revenue,D K Office Furniture,08652
Rushmoor Borough Council,Financial Services,3401,Admin Equipment,04/06/2015,0000193475,399.60,Revenue,D K Office Furniture,08652
Rushmoor Borough Council,Environmental Health and Housing,2219,Weight Challenge,11/06/2015,0000193480,302.40,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Community,2510,Temporary Staff,11/06/2015,0000193481,697.57,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Democratic Services,1310,Mail Dispatch,04/06/2015,0000193484,360.00,Revenue,Rapid Despatch Logistics Ltd,13208
Rushmoor Borough Council,Community,2537,Security Services,04/06/2015,0000193485,2357.88,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,11/06/2015,0000193489,427.00,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,04/06/2015,0000193491,2507.74,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Democratic Services,1322,Routine Grounds Maintenance,04/06/2015,0000193491,1133.18,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,04/06/2015,0000193491,580.50,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,04/06/2015,0000193491,24653.89,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Variations,04/06/2015,0000193491,1129.31,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,04/06/2015,0000193491,14934.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance,04/06/2015,0000193491,883.81,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,04/06/2015,0000193491,9151.06,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,04/06/2015,0000193491,2483.78,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,04/06/2015,0000193491,30743.78,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance,04/06/2015,0000193491,6967.44,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2549,Leasing Charges,04/06/2015,0000193493,310.21,Revenue,Northgate Vehicle Hire (South) Ltd,10334
Rushmoor Borough Council,Community,2518,Temporary Staff,04/06/2015,0000193495,382.59,Revenue,The Allgood Theatre Company,08579
Rushmoor Borough Council,Community,2518,Youth Theatre,04/06/2015,0000193495,1850.00,Revenue,The Allgood Theatre Company,08579
Rushmoor Borough Council,Personnel & Payroll,3601,Operational Equipment,04/06/2015,0000193496,553.30,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,11/06/2015,0000193502,350.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/06/2015,0000193504,500.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Customer Services,3811,Contract Staff,04/06/2015,0000193507,754.00,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Community,2518,Payment to Artistes,04/06/2015,0000193509,718.37,Revenue,Derek Block Concert Promotions Ltd,02720
Rushmoor Borough Council,Community,2508,Cherrywood Brochure,04/06/2015,0000193511,555.66,Revenue,Scw Deliveries,13091
Rushmoor Borough Council,Information Technology,3304,Telephony Support,04/06/2015,0000193512,790.00,Revenue,Spring Telecommunications,08672
Rushmoor Borough Council,Democratic Services,1303,Books and Publications,11/06/2015,0000193514,498.50,Revenue,Lexisnexis Uk,00199
Rushmoor Borough Council,Strategy and Communiations,1402,Books and Publications,11/06/2015,0000193514,498.50,Revenue,Lexisnexis Uk,00199
Rushmoor Borough Council,Community,2555,Water,04/06/2015,0000193517,506.04,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Community,2517,Water,04/06/2015,0000193528,701.00,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,04/06/2015,0000193530,468.75,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Community,6597,Contract Costs,04/06/2015,0000193530,562.50,Capital,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Flexible Working Review,04/06/2015,0000193530,375.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Uniform/Confirm,04/06/2015,0000193530,281.25,Capital,Austin Fraser,09925
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,04/06/2015,0000193531,1960.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,11/06/2015,0000193532,375.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,04/06/2015,0000193533,1260.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,04/06/2015,0000193534,1008.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,04/06/2015,0000193535,1140.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,04/06/2015,0000193536,1060.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2518,Payment to Artistes,04/06/2015,0000193537,7294.47,Revenue,Entertainers Management Ltd,13068
Rushmoor Borough Council,Community,6522,Contract Costs,04/06/2015,0000193539,898.91,Capital,Clive Richardson Limited,13407
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/06/2015,0000193540,336.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/06/2015,0000193541,672.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Personnel & Payroll,3601,Consultancy,04/06/2015,0000193545,895.38,Revenue,Reed,11780
Rushmoor Borough Council,Community,2549,Materials,11/06/2015,0000193546,460.50,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,General Hardware,11/06/2015,0000193546,460.50,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Strategy and Communiations,1411,Citizen Consultancy,18/06/2015,0000193550,667.50,Revenue,Drumainn Ltd,13522
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/06/2015,0000193552,1790.00,Revenue,Ves Andover Ltd,08781
Rushmoor Borough Council,Community,6511,Contract Costs,25/06/2015,0000193555,11372.61,Capital,Radarlux Radar Systems (Uk) Ltd,07047
Rushmoor Borough Council,Democratic Services,1322,Water,04/06/2015,0000193556,420.31,Revenue,Building Monitoring Services Ltd,08586
Rushmoor Borough Council,Community,2549,Materials,11/06/2015,0000193557,425.22,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Democratic Services,1322,Repair and Maintenance of Fixed Plant,11/06/2015,0000193558,5400.00,Revenue,P J S Building Services,08039
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,04/06/2015,0000193562,4200.00,Revenue,Auron Media Limited,12877
Rushmoor Borough Council,Customer Services,3814,Security Services,11/06/2015,0000193564,607.68,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Legal,1206,General Repairs and Maintenance,11/06/2015,0000193568,560.00,Revenue,Jenkins & Falvey,03370
Rushmoor Borough Council,Community,2517,Playground Apparatus,11/06/2015,0000193571,357.54,Revenue,Proludic Ltd,07094
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,11/06/2015,0000193572,960.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,11/06/2015,0000193573,390.00,Revenue,Sg Structures Ltd,09429
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,11/06/2015,0000193574,2340.00,Revenue,Safeplay Ps Ltd,13576
Rushmoor Borough Council,Customer Services,3808,Training Expenses,11/06/2015,0000193575,500.00,Revenue,Airey Consultancy Services,08608
Rushmoor Borough Council,Financial Services,3401,Company Searches,11/06/2015,0000193579,330.00,Revenue,N2 Check Limited,10689
Rushmoor Borough Council,Democratic Services,1303,Equipment Storage,25/06/2015,0000193580,1557.07,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2549,Leasing Charges,25/06/2015,0000193585,289.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2536,Elders Lunch Club,11/06/2015,0000193587,277.20,Revenue,Myers Catering & Consultancy Limited,06313
Rushmoor Borough Council,Community,2537,Electricity,18/06/2015,0000193588,-1342.42,Revenue,Edf Energy,09831
Rushmoor Borough Council,Democratic Services,1322,Electricity,18/06/2015,0000193590,-6030.30,Revenue,Edf Energy,09831
Rushmoor Borough Council,Legal,1202,Temporary Staff,11/06/2015,0000193592,1284.29,Revenue,Hays,02287
