RFI ,Summary,Status,Outcome,Refusal Reason(s)
7612,Copies of Research reports commissioned by Defra on various DWI and WQ projects,Closed,Information Partially Provided,"12 (4)(a) - Information not held, 12 (4)(d) - Unfinished documents/incomplete data"
7611,A copy of your current Bullying and Harassment Policy for staff.,Closed,All Information Provided,
7610,"The number of official complaints of (i) Racism (ii) Homophobia (iii) Sexism Made by an employee of your dept against another staff member either from your dept or another govt dept in the calendar years: 2010, 11, 12, 13, 14 and Jan-Jun 15.",Closed,All Information Provided,
7609,Requests the release all correspondence and minutes or records of meetings and phone calls between the department and First Milk relating to milk and milk prices between 1st March and 30th September 2014.,Closed,Information Not Held,
7608,"Any information you hold on the absolute and/or relative costs of killing badgers during the badger culls in Gloucestershire and Somerset to date by the different methods of 'free' shooting and cage trappin Any documents (including emails, notes, memos",Closed,Closed - Advice and assistance case,12 (4)(b) - Manifestly unreasonable
7607,"In accordance with the Freedom of Information Act 2000 and the Environmental Regulations 2004 I should be grateful if you would provide me with the undermentioned information on Slippery Gowt, Boston Flood defence.",Closed,Information Not Held,
7606,All correspondence produced or held by DEFRA between Beyton Parish Council concerning the release of Domestic geese on Beyton Village green (the Wildlife and Countryside Act 1981 Section 14) 2) All Wildlife licenses applied for by Beyton Parish Council,Closed,Information Not Held,
7605,Who is the senior officer(s) (outside of procurement) responsible for Specialist Consultancy Services for technology recruitment spend?,Closed,All Information Provided,
7604,Request for information on the number of times the following websites were clicked on in the last six months: 1) facebook 2) twitter 3) gmail 4) hotmail 5) amazon 6) ebay,Closed,Information Not Held,
7603,The cost of centrally provided training and the annual charge to Civil Service Resourcing for recruitment,Closed,All Information Provided,
7601,"The number of people working in Defra's Service Standards Adjudication team, Defra's Press Office and as Defra Directors, and how many of those are Black or Asian",Closed,No Information Provided,S40 - Personal information
7600,How many Meeting has SoS Depatment had with Bright Crop to treble the number of apprenticeships in the last 6 months,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7599,"Paperwork re licence and inspections for - Peter Jolly's Circus:30 May to 22 June 2015; Circus Mondao:30 May to 22 June 2015, Thomas Chipperfield:28 Feb to 22 June 2015; other travelling circuses application/inspection reports rec'd 28 Feb to 22 June 2015",Closed,Information Partially Provided,"S36 - Effective conduct of public affairs, S38 - Health & safety, S40 - Personal information"
7598,I would be grateful if you could provide me with the most recent records disposal policy(s) for your department. Some organisations may refer to this as their retention schedule.,Closed,Information Available Elsewhere,
7597,How many badger will defra kill in 2016,Closed,Information Not Held,
7596,"If DEFRA has commenced or commissioned any research to examine the impact on bovine TB,If such research has commenced or been commissioned, what ‘controls’ are being used",Closed,Information Available Elsewhere,
7595,"Name of each LA applying for funding, the amount and name and address for 2013/14 and 2014/15. Name and address of each con land site Defra is aware of.",Closed,All Information Provided,
7594,"To understand what consideration was given in the period between 28 November 1990 and 31 December 1994 within the Department of Environment, by whom and why to the decision to favour diesel over petrol.",Closed,Information Not Held,
7593,Information on fishing licenses for UK companies that undertake private agreements with certain countries that allow them private access to fishing opportunities in the EEZ of coastal states.,Closed,All Information Provided,
7592,Details of selected job roles within the Department,Closed,All Information Provided,
7591,The number of FOI/EIR requests received by the department each month from January 2010 to May 2015 (inclusive).,Closed,All Information Provided,
7590,"how much the Department spent on hiring out external PR companies in the calender years of 2013, 2014 and to-date in 2015. The names of external PR companies used by the Department; If the amount the Department spent on each PR company was for 1 occ",Closed,Closed - Advice and assistance case,
7589,Please could you provide me with the application made by the National Farmers Union for a derogation from restrictions on the use of neonicotinoids and any such applications made since January 2015.,Closed,Transferred Out to another public authority,
7588,Policy Papers for the following agri-environment schemes: Existing HLS agreement starting between Oct 2008-2010 AND Existing HLS agreement starting before Oct 2008.,Closed,No Information Provided,12 (4)(c) - Request is formulated too generally
7587,"Q1The legality of a Defra VO putting up a sign which charges the farm owner that he has FMD on his premises prior to it being proved. Q2 Why Defra is allowed to carry out this action in common law, covered by their FMD contingency plan dated 2011. Q",Closed,Information Not Held,
7586,Copy of Lead Ammunition Group Report,Closed,No Information Provided,S35 - Formulation of Government policy
7585,Can you supply me with copies of all correspondence between Defra Ministers and Prince Charles on the issue of ragwort. In particular any letter from Defra in relation to the letters from the Prince of 7 November 2007 and the response from Alan Johnson of,Closed,No Information Provided,Reg 12(3) personal data
7584,"Total number of employees disciplined for misuse of computers within Defra over the last five years, with Incidents broken down by year, detail of what happened in the incident, the nature and action taken",Closed,All Information Provided,
7583,Diversity team job description and Defra complaint procedures. Name of the external organisation that regulates DEFRA.,"Closed, With Appeals",Information Partially Provided,S40 - Personal information
7582,Requester would like to know how many full fish freshwater licences were issued between the year 1990/1991 and year 2013/2014,Closed,Information Not Held,
7581,"the running of their office for example, but not exclusively, the daily routine they expect from staff, any culinary preferences, the manner in which they want correspondence drafted or briefs prepared or any other edict",Closed,Closed - Advice and assistance case,
7580,Refine RFI 7486 to include civil servants from AA – G6 inclusive. Mtgs with lobbyists in past 12 mths: date of mtg; location; lobbyists who attended; name of lobbying Co; name of lobbying client; & name/position of most senior civil servant at mtg,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7579,Details of the most clicked on websites by DEFRA staff on their work computers.,Closed,Closed - Advice and assistance case,
7578,1. I know that the Cabinet Office has set up the Grants Efficiency Programme to look at how grants are administered – has this had any direct effect on how you do your administration so far? 2. Do you do all of this administration and disburse,Closed,All Information Provided,
7577,Staff training & recruitment spend in the last financial year,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7576,a) the start and end date of these contracts b) the total estimated value to Capita of these contracts c) the total expenditure thus far in these contracts d) whether there are any options for extension e) the full description of the services being pr,Closed,Information Not Held,
7575,The number of FTEs in your procurement team and total salary cost of this team for the 2013-14 and 2014-15 financial years,Closed,All Information Provided,
7574,"1.All Defra communications, incl Ministerial briefings, and all correspondence from the EC in relation to investigations by the EC into alleged infraction of EU laws in N Ireland in 2014/2015. 2. A copy of the policies in DEFRA for dealing with infraction",In Progress,,
7573,understand the 50 road links or other modelled locations within each of the Parliamentary constituencies of Cities of London and Westminster and Kensington with the highest modelled annual mean concentrations of nitrogen dioxide (NO2) for the latest,Closed,No Information Provided,12 (4)(c) - Request is formulated too generally
7572,Works of art owned by the Department.,Closed,All Information Provided,
7571,Copies of LAG resignation letters,Closed,Information Partially Provided,S40 - Personal information
7569,"what task, the NFU carried out in its own right (i.e. under its own umbrella).",Closed,Information Not Held,
7568,"How many people work in the diversity team at DEFRA, the names of the people in that team, who the diversity lead is, and who covers the work of the diversity lead while they are away on holiday.",Closed,No Information Provided,S40 - Personal information
7567,"Copies of submissions in reply to Defra's review of racing greyhound legislation held in Feb 2015 from: Dogs Trust, RSPCA, Greyhound Board of Great Britain, Greyhound Trainers Association and Greyt Exploitations",Closed,No Information Provided,S35 - Formulation of Government policy
7566,Peter Jollys inspection reports - only where Thomas Chipperfields lions and tigers were on Peter Jollys seniors licence,Closed,Information Available Elsewhere,
7565,Any applications made by circuses to be granted a licence under the Welfare of Wild Animals in Travelling Circuses (England) Regulations 2012 since the 27th February 2015 (the date of my last request). Any inspection reports relating to inspection of tra,Closed,No Information Provided,S36 - Effective conduct of public affairs
7564,"Contract information for Helpdesk, Network and Desktop Support Services",Closed,Information Partially Provided,S40 - Personal information
7562,Please provide all information / reports / letters or similar that you hold regarding to the site selection of Houghton Forest West Sussex as a potential site for development for Forest Holidays. This should include any material related to the EMGN4 as,Closed,Information Not Held,
7561,Copy of the final report and minutes of the last meeting,Closed,No Information Provided,S35 - Formulation of Government policy
7560,"Recent advice to MP’s, with references, on the use of NNI’s, in relation to impact on insects/bees.",Closed,Closed - Advice and assistance case,
7559,"The total number of works of art owned by UKCB, their insurance value, how many are on public display, and purchase price and current value of the five most valuable items",Closed,Information Not Held,
7558,Total number of works of art; total insurance value; No. on public display.,Closed,Information Not Held,
7557,"Details of meetings and correspondence on fracking with other senior officials from PHE, DECC, HSE, EA and Defra",Closed,Information Not Held,
7556,Details of selected job roles within the Department,Closed,Closed - Advice and assistance case,
7555,Address & contact details of all without Stunning licensed slaughterhouses for poultry & red meat by means of Halal Slaughter Method. How many non-stun slaughterhouses (poultry & Red meat) closed in last 5 years because of non-compliance?,Closed,Information Not Held,
7554,A copy of the final report and all correspondence relating to LAG since 1 November,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7553,A copy of the final report and all correspondence relating to LAG since 1 November,Closed,All Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7552,Unredacted copy of Rural Economy Impacts March 2014 report (shale gas); copy of email & all attachments sent to Mark Ellis-Jones & Marion Maloney (both EA) re:DEFRA report dated 9 May 2014; correspondence re:14/05/14 & 16/07/14 meetings.,Closed,Information Partially Provided,S40 - Personal information
7551,Information on the decision to accept a planning application to build on a Lowes Road Landfill Site which is currently Open & other Protected Land. … we the Lowes Road Landfill Residents Group want to know why a planning application has been accepted …?,Closed,Information Not Held,
7550,"Why it has taken 7 months to finalise minutes of a meeting, and whether there have been any subsequent meetings of the group",Closed,All Information Provided,
7549,"Total number of employees disciplined for misuse of social media over the last five years, broken down by incidents by year, detail of the incident/type of social media and action taken.",Closed,Information Not Held,
7548,"Number of contingent workers recruited in every financial year since 2010/11, showing the organisation from which they were hired, and the total cost of their services.",Closed,Information Partially Provided,S22 - Information intended for future publication
7547,To include copies of any relevant order made under the Water Act 1973 and of any relevant scheme made under the Water Act 1989.,Closed,Information Not Held,
7546,request to provide published documentation outlining current digital first or cloud first ICT strategy.,Closed,Information Not Held,
7545,as above,Closed,All Information Provided,
7544,"requesting release of an Excel spreadsheet that displays the same information as is available on the R&D pages - Code (with embedded hyperlink to the webpage for the project), Project Title, Cost, and Start & End dates - for all research projects currentl",Closed,All Information Provided,
7543,As above,Closed,Information Partially Provided,S31 - Law enforcement
7542,"The combined length of field margins open to public access under environmental stewardship schemes (if the length of such margins is not known, the area of land with such margins). 2) The number of holdings receiving payment for public access in margin",Closed,Information Not Held,
7541,Promotions by grade as a proportion of total employees within each grade as a whole since 2010/11,Closed,All Information Provided,
7540,How many civil servants have been seconded to the private sector in the five years since 10/11? How many have returned to the CS? How many secondees have joined from the private sector in the five years since 10/11? How many have returned to the CS?,Closed,All Information Provided,
7539,"Peter Jolly's circus and Circus Mondeo - carried out on or after 9 Oct 2014, on or after 15 Jan 2015 respectively. Similar to RFI7328",Closed,Information Available Elsewhere,
7538,Cyber Attacks,Closed,No Information Provided,S31 - Law enforcement
7537,Information on IP addresses,Closed,All Information Provided,
7536,"Please supply details of the final cost of year 2 of the badger cull (covering both Somerset and Gloucestershire cull areas), including the breakdown, as per last year (reference RFI 6913),",Closed,Information Partially Provided,12 (4)(d) - Unfinished documents/incomplete data
7535,Mobile phone contracts,Closed,All Information Provided,
7534,Constant spraying of the skies & weather manipulation. Why this is being done. why the public is not aware. why the UN agenda is being implemented.,Closed,Information Not Held,
7533,Provide the legal definition per the DDA of what constitutes a Pit Bull and details of what qualifications required in order to accurately identify such an animal,Closed,Information Available Elsewhere,
7532,"Number of working days lost to sickness absence in the department in every one of the five financial years since 2010/11, with a breakdown by occupational grade.",Closed,All Information Provided,
7531,Was any attempt made to cull sample match badgers? how many matched Gloucestershire/ Somerset? Is there any reason to believe that this cull sample matching was any less reliable than the cull sample matching carried out during the initial 6 weeks in,Closed,Information Available Elsewhere,
7530,Jill McLaughlin at Kew said that she had made DEFRA aware of concerns that I had about an equality issue. I have asked her under the FOI for copies of emails to DEFRA about the matter I raised. I did this on the 7th May and there was no acknowledgement. I,Closed,Information Partially Provided,"S40 - Personal information, S43 - Commercial interests"
7528,"This is a repeat of the the request, your reference RFI: 7473, sent on the 21/04/15 which you responded to on the 12/05/15, with a reduced scope as advised.",In Progress,,
7527,"requesting release of an Excel spreadsheet that displays the same information as is available on the R&D pages - Code (with embedded hyperlink to the webpage for the project), Project Title, Cost, and Start & End dates - for all research projects currentl",Closed,All Information Provided,
7526,"Environmental problems in Kingskettle, Fife & Halford Ct, Cupar Postcodes - KY14 0JS & KY15 4DJ. Reports of burst water mains and problems with the sewer pipes in the Fife area & suggestions as to where I can go to get the land/property checked out.",Closed,Transferred Out to another public authority,
7525,"Gifts and Hospitality register for the last two calender years for the central department, procurement department and top three business areas with the largest budgets, showing grade, name, description, date, date accepted/declined, cash value and reason",Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7524,Information on UKCB software licences,Closed,All Information Provided,
7523,"supply me with the annual budget and annual costs of maintaining the UK Pollutant Release and Transfer Register (PRTR) since its creation, along with the cost of its initial setup?",Closed,All Information Provided,
7521,licences for private or chartering agreements under Council Regulation EC 1006/2008 concerning authorisations for fishing activities of Community fishing vessels outside Community waters and the access of third country vessels to Community waters,Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7520,"Questions about 'bring your own device' (BYOD), phone calls and remote access in the department.",Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7519,"Since January 2004, information concerning British involvement in efforts to conserve the Patagonian toothfish. Please may I see the information. If you need further details in order to identify the information requested or a fee is payable please let m",Closed,Closed - Advice and assistance case,12 (4)(b) - Manifestly unreasonable
7518,"Require terms and extent of the Govt's ""Pre-Funded Risk Reserve"" supporting this project: 1. the number of tenders received 2. the names of those who submitted a tender 3. the names of those who submitted a compliant tender 4. the tender totals 5. Wh","Closed, Under Appeal",Information Partially Provided,"S43 - Commercial interests, S41 - Information provided in confidence"
7517,"How many Spanish companies since January 1, 2009, have applied for authorisation to export ABPs to the UK.",Closed,Information Not Held,
7516,FOI request for a list of all representations made by Andrew George MP between May 2010 and May 2011 to Defra officials and ministers about the proposed sale of the England forestry estate in the Public Bodies Bill and the consultation. I am not askin,Closed,Closed - Advice and assistance case,
7515,all representations made by Andrew George MP between May 2010 and May 2011 to Defra officials and ministers about the proposed sale of the England forestry estate in the Public Bodies Bill and the consultation,Closed,Information Not Held,
7514,a. Could you please provide me with a digital copy of the latest available version (draft of final) of the report on the evaluation of the biodiversity offsetting pilots that was commissioned to Collingwood Environmental Planning. b. If you don’t have a,Closed,No Information Provided,"12 (4)(d) - Unfinished documents/incomplete data, 12 (4)(a) - Information not held"
7513,Start and end dates and values of the following Frameworks / Contracts: • Quality Assurance Quality Control (QAQC) Contract for the Automatic Urban and Rural Network (AURN) and London Air Quality Monitoring Network (LAQMN). (442,Closed,All Information Provided,
7512,Please supply me with a copy of the Reasoned Opinion dated around the 10th July 2014 to the UK Government concerning the failure of a number of UK agglomerations to satisfy EU standards under the Urban Waste Water Treatment Directive and the UK response,Closed,No Information Provided,"12 (5)(a) - International relations, defence, etc, 12 (5)(b) - Course of justice, fair trial, conduct of criminal or disciplinary enquiry , 12 (5)(d) - Confidentially of proceedings"
7511,RDPE grant funding awarded to The Grasmere hotel and Ravenstone Manor,Closed,All Information Provided,
7510,Follow up to 7472: seeking ALL records held by Defra that was used to justify the review of latent capacity and shellfish activity to approval for public consulation by the Minister targeting under 10m licences. He has narrowed down the request.,Closed,All Information Provided,
7509,Defra consideration of wholesalers handling pre-packed organic goods and Defra policy on the certification of the wholesalers.,Closed,Information Available Elsewhere,
7508,Various Information on Gas and Electricity contracts.,Closed,All Information Provided,
7507,Could you please answer the following questions for 2010 through to 2014 inclusive on a year by year basis: How many NHI that are classified as OTFS revert to OTF at the subsequent test on a regional basis. How many cattle that test as IR then test,Closed,Information Partially Provided,12 (4)(a) - Information not held
7505,"How many DMMO applications were submitted to Order Making Authorities throughout the country, to Delete a ROW and these were then approved at the Order Making Authorities Committee meeting stage and then actually went on to be deleted.",Closed,Information Not Held,
7504,"Details of all away days, courses, training and other events since March 30 including The name of the event / course The numbers who took part The cost.",Closed,Closed - Advice and assistance case,
7501,"Written/electronic reports on these effects;between ministers/Gov't depts/vets/vet colleges/farming community-in particular reports re changes in breeding patterns,deformaties/mortality levels.Info on any monitoring programmes/reasons for not undertaking",Closed,Information Not Held,
7500,Number of civil servants working in the department by grade and time in service,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7499,Number of contingent workers recruited since 2010/11,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7498,Length of time taken to employ new staff from outside the Civil Service in 2014/15 and number of joiners since 2010/11 without undergoing a competency-based interview,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7497,"Days lost to sickness absence, staff turnover rate and civil servants made surplus since 2010/11, by grade",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7496,Number of civil servants working in Defra by grade and time period.,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7495,The number of people who have had an exit interview on leaving the department in every one of the five financial years since 2010/11,Closed,Information Not Held,
7494,"(i) All and any papers concerning the decision announced in the answer to a parliamentary question of 11 July 1994 asked by Sir Patrick McNair-Wilson, that the government would not be proceeding with national park status for the New Forest (ii) All",Closed,Information Not Held,
7493,"Recruitment practice changes since May 2010 affecting end-to-end recruitment, ie  External recruiters for advertising/sifting  Interview/sifting technique  Working days advertised  T&C for hiring external staff, temps and Departmental changes",Closed,All Information Provided,
7492,"Cost per head of hiring a new staff member from outside the Civil Service in the 2014/15 financial year, including a breakdown of how these costs were incurred, ie Advertising and use of external recruitment agencies. Sifting and interviewing ",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7490,Computers running Windows XP,Closed,No Information Provided,S31 - Law enforcement
7489,Could you please supply a copy of the findings of the project and any papers relating to it.began on 19 August 2013 and ended on 30 November 2014,In Progress,,
7487,Cost of Capital used to evaluate equity IRR and discount rate used for NPV evaluation,Closed,Closed - Advice and assistance case,
7486,For mtgs with lobbyists (except with ‘very top civil servants’) in past 12 mths: 1 date of mtg; 2 location; 3 lobbyists who attended; 4 name of lobbying Co; 5 name of lobbying Co’s client; & 6 name & position of most senior civil servant at the mtg,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7485,Contact centre/call centre and inbound network services contracts,Closed,Information Partially Provided,"S31 - Law enforcement, S40 - Personal information, S43 - Commercial interests"
7484,"the Flood Re scheme and note on costs, benefits and assumptions for Flood  finances",Closed,All Information Provided,
7483,"4 questions total costs incurred by the Department since 2010 in preparations and research by legal staff and instructing solicitors or barristers in, Portsmouth councils deatiled assessment, advice or guidance to local authorities which would have been",Closed,All Information Provided,
7482,1 - Please can you provide me with an update of the current total number of shares held by the DEFRA pension fund in fossil fuel companies & banks (Including company name and share Value). 2 - Please can you confirm if the Defra has considered the ri,Closed,Information Available Elsewhere,
7481,-How many people who have worked for you were paid off-payroll in the financial years 2013/14 and 2014/15? -How many of the off-payroll workers in the 2013/14 financial year were either board members or senior officials with significant financial respo,Closed,Information Partially Provided,S22 - Information intended for future publication
7480,"Please can you send me a copy of the FOI/EIR questions and answers between Defra and Dr Dick Van Steenis, from 1/9/12-15/5/12",Closed,No Information Provided,S40 - Personal information
7477,Follow up to 7374 requesting full meeting notes quoted in previous response.,Closed,Information Partially Provided,S43 - Commercial interests
7475,HR Department structure chart,Closed,Information Partially Provided,S40 - Personal information
7474,Request for copies of Defra correspondence with Prof Brendan Godley and Annette Broderick over last 5 years.,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7473,"Internal or external meetings/correspondences with: Neil Parish, Elizabeth Truss, Dan Rogerson, Lord de Mauley, George Eustice or Ian Boyd on the issue of the Infrastructure Bill/Act, from Jan 2014 to date.",Closed,Closed - Advice and assistance case,
7472,Requester is seeking ALL records held by Defra that was used to justify the reeview of latent capacity and shellfish activity to approval for public consultation by the Minister targeting under 10m licences.,Closed,Closed - Advice and assistance case,12 (4)(b) - Manifestly unreasonable
7471,Q1. Do you look after your own IT or is it outsourced? Q2. How much did you pay in last financial year for all software licenses (including Microsoft) that you purchase and rent? It should cover maintenance and supporting fee relating to software. ,Closed,All Information Provided,
7470,"Fixed telecommunications, and internet services",Closed,Closed - Advice and assistance case,
7469,"To confirm who the ""Provision of Criminal Litigation Services to MMO"" contract was awarded to",Closed,All Information Provided,
7468,"Information on land at Rougham Hill, Bury St Edmunds",Closed,All Information Provided,
7466,Request for the software licences held by SAC,Closed,Information Not Held,
7465,"I wish to request information under the FOI act regarding the surplus land that occupies Tyneview Park, Longbenton, NE12 9SE, the plans, previous planning applications, contacts of interest in the land, previous offers, survey reports and any other inform",Closed,Information Partially Provided,S12(1) - cost of compliance exceeds appropriate limit
7464,"How much of the departmental budget was allocated to litigation (fees to legal services, settlement awards, court costs, etc) in the financial years 2008-09 and 2013-14? How many litigation claims were brought against the department in the financial y",Closed,All Information Provided,
7463,Internal guidance abt resource security rec’d/issued by Liz Truss &/or Owen Paterson. Internal guidance = any doc intended to provide guidance/instruction produced fully/partly by Defra already made public &/or kept within the dept or wider government.,Closed,Information Not Held,
7462,"The results, non-confidential data and any analysis from a scientific study into the sperm counts of young Scottish men",Closed,Information Not Held,
7461,"Relationship between domestic & trade refuse collection frequency & flytipping levels, vermin populations, public health, recycling levels, volumes of waste & cost of service provision in an (LA) area.",Closed,Information Partially Provided,12 (4)(e) - Disclosure of internal communications
7460,Is the Royal Prerogative still used in the Department and how many times has it been used for the periods between 2000 to 2010 and 2010 to present April 2005,Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7459,"I am asking for a search of the department's Information WorkSpace (IWS) or the centralised records management system (if not using IWS) for all information referencing the email address ending nfu.org.uk, containing the phrase National Farmers Union",Closed,Information Partially Provided,Reg 12(3) personal data
7457,"Info requested on Local Area Network, Phone System, Storage, Data Centre, Cloud Services, Contacts",Closed,Closed - Advice and assistance case,S1(3) - Public authority reasonably requires further information to identify request
7456,"Total spend on recruitment for 2014/15, number of positions advertised, position titles that were advertised, dates advertised, dates positions filled, how many of these positions were filled.",Closed,All Information Provided,
7455,"The number of advocacy letters, schedule of advocacy letters and copies of advocasy letters which contain environmental information sent by Prince Charles.",In Progress,,
7454,report showing the various IT projects / programmes that are currently being conducted by the IT department,Closed,Information Partially Provided,"S31 - Law enforcement, S40 - Personal information"
7447,"List of suppliers providing ICT services, including renewal date and current spend (optional)",Closed,All Information Provided,
7446,all information held by central government concerning NO2 levels and congestion of traffic for Leicester for the years 2012 – todate.,Closed,All Information Provided,
7445,"Numbers of dogs on the index in the south of Cumbria - broken down specifically, if possible by district including Barrow-in-Furness, South Lakeland and Copeland",Closed,All Information Provided,
7444,"I refer to my earlier FOI [FOI #198971 email]. Thank you for that answer. Subsequent developments mean the detail of the PFI ""agreement"" now requires clarification. It appears my explanation regarding the intent of my last questions did not make them c",Closed,All Information Provided,
7442,"We are instructed to act on behalf of a group of residence (currently 105 Claimants) from Avonmouth Docks area of Bristol who were affected by a fly infestation which commenced in or around May 2014. At this stage, we are not making a formal request",Closed,Information Partially Provided,"12 (4)(e) - Disclosure of internal communications, 12 (5)(b) - Course of justice, fair trial, conduct of criminal or disciplinary enquiry , Reg 12(3) personal data"
7441,"The Tenant Farmers Association requests a list of all the organisations, Government Departments, Agencies, Companies and others which were represented at the Dairy Roundtable meeting held by invitation of DEFRA on 11 February 2015 and in respect of which",Closed,All Information Provided,
7439,Is this �61k just being spent on gassing or is some funds being directed to develop and assist with other methods such as snaring and shooting?,Closed,All Information Provided,
7437,Whistleblowing and disclosure of official information between 01/01/2010 - 31/12/2014. Number of individuals who have raised concerns regarding breaches of the Civil Service Code and the policy guidance/ procedures for handling this,Closed,Information Partially Provided,"S31 - Law enforcement, S40 - Personal information"
7426,"List of all veal rearing farming units in the UK, details of the permit and planning application process for such unit, and various operational and managemtn details about the intensive veal rearing farming unit being built at Stockton, Hampshire",Closed,Information Not Held,
7424,ICT Contracts in APHA,Closed,Information Partially Provided,S40 - Personal information
7423,Register of Hospitality and Gifts for the last year for grades AA -Grade 6,Closed,Information Partially Provided,S40 - Personal information
7421,"I'm writing to request the release of all correspondence DEFRA has had with the Direct Marketing Association (DMA) about an opt-out scheme for unaddressed mail (the 'Door-Drop Preference Service'), covering the period from 7 May 2012 to 31 May 2014.",Closed,Information Partially Provided,Reg 12(3) personal data
7420,"PDF copies of the minutes of all meetings and all written correspondence between Defra and the Hawk & Owl Trust which relate to the proposal for the Trust to administer a Brood Management scheme for Hen Harriers, as part of the draft Hen Harrier recovery",Closed,Information Not Held,
7419,"The total number of farms affected by BSE in cattle since 1985, sorted by year, and the mean average of cattle affected at each farm.",Closed,All Information Provided,
7416,Provide copies of all correpondence between Prince Charles and Defra Ministers.,Closed,Information Not Held,
7413,Copies of all communications between Margaret Beckett with Prince Charles and Nick Brown with Prince Charles.,Closed,Closed - Advice and assistance case,12 (4)(b) - Manifestly unreasonable
7409,advocacy correspondence between Prince Charles anMinisters dating from between September 1 2004 and April 1 2005 to Rob Evans of the Guardian newspaper. The original FoI was made by the Guardian in April 2005. Full copies of all the documents.,Closed,Information Available Elsewhere,
