Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,20956888,"4,446.12"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,20956890,"2,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,20956890,"75,020.60"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,20956890,760.07
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,20956890,"3,891.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,20956890,"1,553.33"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,20956890,"7,930.12"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,20956892,"2,436.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,20956892,"1,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,20956892,"92,027.85"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,20956892,"6,944.50"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,20956892,996.28
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,20956892,"11,034.47"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,20956894,"1,666.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,20956894,"99,788.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,20956894,"1,910.43"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,20956894,493.17
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,20956894,"2,048.80"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,20956894,"12,438.48"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,20956896,"1,166.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,20956896,"84,379.04"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,20956896,215.45
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,20956896,"6,333.33"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,20956896,"2,760.76"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,20956896,"12,169.92"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,20956898,458.33
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,20956898,"28,723.05"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,20956898,"3,845.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,20956898,"2,186.83"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,20956898,532.25
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,20956898,"4,600.11"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,20956900,"1,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,20956900,"76,119.48"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,20956900,766.1
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,20956900,"2,575.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,20956900,"8,755.89"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,20956902,"1,166.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,20956902,"60,900.57"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,20956902,277.28
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,20956902,"1,835.85"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,20956902,"6,951.17"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,20956904,"4,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,20956904,853
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,20956904,"98,809.33"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,20956904,517.36
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,20956904,"15,377.90"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,20956906,"2,166.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,20956906,"93,818.19"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,20956906,"2,931.67"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,20956906,566.96
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,20956906,"13,479.66"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,833.33
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,"53,830.73"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,"2,164.01"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,377.17
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,"2,861.66"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,"1,306.71"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,20956908,"5,652.55"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,20956910,"1,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,20956910,"55,325.35"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,20956910,"3,638.33"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,20956910,276.46
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,20956910,"6,878.34"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,20956912,"1,250.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,20956912,"39,631.75"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,20956912,"2,402.75"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,20956912,820.83
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,20956912,"1,165.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,20956912,"4,339.66"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,External Consultancy Fees,NON RECURRENT PROGRAMMES,MCKINSEY & CO INC,20968327,"58,800.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Sterile Products,PRESCRIBING,AMCARE LTD,20968344,"75,418.73"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ISLE OF WIGHT COUNCIL,21002983,"40,703.61"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,21011288,"-64,072.18"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,21011288,"-2,064.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,21011289,"123,409.22"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,21011289,"22,674.42"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,21011289,"2,064.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Clinical&Medical-Independent Sector,WINTER PRESSURES,EARL MOUNTBATTEN HOSPICE,21063748,"45,000.00"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,WARD HOUSE LTD,21069847,"3,192.28"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,WARD HOUSE LTD,21069847,"3,534.31"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,WARD HOUSE LTD,21069847,"17,671.55"
Department of Health,NHS Isle Of Wight CCG,28/02/2018,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,WARD HOUSE LTD,21069847,"3,534.31"
