Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,527595,5779.99,"Draft Invoice = Area 6 ASC Document Support Work Package Ref 1059, Stage 3, Period to end of June 2012",NE1 3PL
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,527618,26146.27,"Task 555, xxxxx, June 2012",NE1 3PL
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,SEVERN RIVER CROSSING PLC,527637,2028.1,Apps and Certs Receipt - APC25066,BS12 3BD
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,527544,-26743,"June Fees, Diesel Absorption Trials",KT18 5BW
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,BURO HAPPOLD LTD,527579,713.92,Receipt for end of June T&S for VR2 Specialist Support PIN 526445,BA2 3DQ
Department For Transport,Highways Agency,02/07/2012,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,527586,8294.36,,NE11 0RU
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,MAJOR PROJECTS,GATENBY SANDERSON LIMITED,527594,12372.42,,LS1 2HL
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,267.66,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,2040.94,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,833.86,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,171.34,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,5576.71,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,28343.34,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,2042.07,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),524922,-8433.94,Apps and Certs Receipt - APC21400,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),524922,-2002.5,Apps and Certs Receipt - APC21400,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),526129,-5696.03,Apps and Certs Receipt - APC23202,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,14447.96,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,9007.96,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,72113.31,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,9220,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,21631.93,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GOLDEN RIVER TRAFFIC LTD,527584,25000,For July 2012 Invoice,OX26 4LD
Department For Transport,Highways Agency,02/07/2012,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,SEVERN RIVER CROSSING PLC,527635,88509.31,Apps and Certs Receipt - APC25067,BS12 3BD
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,BRAY LEINO LTD,527619,844.04,inv L25807,EX32 0RX
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,CONSULT CAPITAL,527590,736,00006509,CF10 4AZ
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527596,982.5,6081,NE3 1HN
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527616,999,6088,NE3 1HN
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527617,2256.6,6091,NE3 1HN
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527620,972.6,6082,NE3 1HN
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,MACNAUGHTON MCGREGOR LTD,527621,595.2,6083,NE3 1HN
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,PREMIER PEOPLE SOLUTIONS LTD T/A PREMIER PARTNERSHIP,527627,2100,5849,DN4 5NL
Department For Transport,Highways Agency,02/07/2012,Other external training costs,FINANCE & BUSINESS SERVICES,ST. JOHN AMBULANCE,527630,2596,FIN/ 0021175,HU9 1LP
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,1181.54,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT A 50 LIMITED,527622,608728.14,Payment for invoice no 50.514,NW1 3AX
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT A 50 LIMITED,527624,46824.32,Payment for invoice no 50.515,NW1 3AX
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT M1-A1 LTD,527601,4285084.43,INVOICE YL0741 DATED 01 JULY 2012,NW1 3AX
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,CONNECT M1-A1 LTD,527602,79261.92,INVOICE YL0740 DATED 30 JUNE 2012,NW1 3AX
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROADLINK (A69) LTD,527576,4800.07,INVOICE 1237 DATED 27 JUNE 2012,NE43 7TN
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROADLINK (A69) LTD,527577,17966.23,INVOICE RL1239,NE43 7TN
Department For Transport,Highways Agency,02/07/2012,PFI Service Payments,NETWORK DELIVERY & DEVELOPMENT,ROADLINK (A69) LTD,527578,899192.78,INVOICE RL1238 DATED 01 JULY 2012,NE43 7TN
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY OW LIMITED,527289,6373.41,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,AMEY OW LIMITED,527289,1066.23,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,527615,4577.11,Inv Date 29/6/12 M1 J32-35a Advance Copy,KT18 5BW
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,527636,19236.64,Atkins A1 Dishforth Leeming invoice no 12012600 27/06/2012,KT18 5BW
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,527614,246478.64,Certificate No.116,RH1 1PQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,527638,12599.3,M6 Extension Aftercare Certificate 12  28/04/2012,WV1 4HY
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD237411,1518.8,HAL00001113//91076456,CF10 5BT
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,GENESYS TELECOMMUNICATIONS LTD,527585,37575.75,M1 J10-13 Bypass No.3 NTRS ID C-0424 Rev 3 NRTS ID 00175 28/06/2012,GU14 7BF
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,526304,2712.13,,OL1 9LH
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,527581,888.01,A2/A282 Dartford - Mouchel Invoice 90107637,OL1 9LH
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,LOMD238199,922,HAL00004818/XXXXX /90108143,OL1 9LH
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,LOMD238213,4316.36,HAL00011012//90108144,OL1 9LH
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,TREASURY SOLICITOR,527583,1664.4,,WC2B 4TS
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD238173,5049,HAL00003280//25000027792012,SW19 4DT
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,10465.88,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,54187.12,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,4232.34,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,181.31,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,843.66,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),524925,-3308.66,Apps and Certs Receipt - APC21394,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),526129,-10671.42,Apps and Certs Receipt - APC23202,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),526131,-4088.38,Apps and Certs Receipt - APC23156,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,1955.9,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,6665.14,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,738.43,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,814.44,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,4212.44,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,287.11,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,19052.5,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,58816.84,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,8972.24,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,2738.23,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,2232.93,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,LAMBERT SMITH HAMPTON,LOMD235142,1000,HAL00012084/XXXXX/arinv/00128716,CM2 0ND
Department For Transport,Highways Agency,02/07/2012,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,LAMBERT SMITH HAMPTON,LOMD235143,1000,HAL00012085/XXXXXW/004432,CM2 0ND
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY OW LIMITED,527289,10087.68,,OX4 4DQ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527571,36286.51,Apps and Certs Receipt - APC25102,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,179526.65,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,810232.17,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY CIVIL ENGINEERING LTD,527587,85228.72,Apps and Certs Receipt - APC25082,RH1 1PQ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,524144,7123.38,Apps and Certs Receipt - APC19412,BS32 4SR
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,524145,9939.6,Apps and Certs Receipt - APC19412,BS32 4SR
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CHEVRON TRAFFIC MANAGEMENT LIMITED,527588,101906.26,Apps and Certs Receipt - APC25081,OX39 4QS
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),526129,-10114.39,Apps and Certs Receipt - APC23202,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527571,9917.61,Apps and Certs Receipt - APC25102,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527572,123459.1,Apps and Certs Receipt - APC24996,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527573,175118.91,Apps and Certs Receipt - APC24913,DL1 1TJ
Department For Transport,Highways Agency,02/07/2012,TOS operational Vehicle consumables,TRAFFIC MANAGEMENT DIRECTORATE,PRO-TECT SAFETY SIGNS,527575,22168,Load Cell invoice 20166 - 17 radio-link,BS24 6TA
Department For Transport,Highways Agency,02/07/2012,Water and sewerage,FINANCE & BUSINESS SERVICES,SUTTON & EAST SURREY WATER PLC (NON CIS) CHARGES,527263,560,Federated House Water Charges - April - July 2012 - In Month Receipt,RH1 1LJ
Department For Transport,Highways Agency,03/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),525484,-1589.29,Apps and Certs Receipt - APC22377,DL1 1TJ
Department For Transport,Highways Agency,03/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527673,1567126.92,Apps and Certs Receipt - APC24183,DL1 1TJ
Department For Transport,Highways Agency,03/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527674,308650.77,Apps and Certs Receipt - APC24166,DL1 1TJ
Department For Transport,Highways Agency,03/07/2012,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),527675,76225.92,Apps and Certs Receipt - APC24144,DL1 1TJ
Department For Transport,Highways Agency,03/07/2012,CM - Term Maintenance Preliminaries,NETWORK DELIVERY & DEVELOPMENT,AMEY MOUCHEL JOINT VENTURE,527664,4366755.6,Apps and Certs Receipt - APC26373,EX2 7LB
Department For Transport,Highways Agency,03/07/2012,CM - Third Party Damage,NETWORK DELIVERY & DEVELOPMENT,CARILLION-WSP JOINT VENTURE,527652,30514.54,Apps and Certs Receipt - APC25121,WV1 4RU
Department For Transport,Highways Agency,03/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,319250,-396436.58,A&C September Receipt Accruals,BS32 4SR
Department For Transport,Highways Agency,03/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,352110,-250210.03,Apps & Certs Receipt Accrual - March 08,BS32 4SR
Department For Transport,Highways Agency,03/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,CARILLION-WSP JOINT VENTURE,524706,-856.81,Apps and Certs Receipt - APC21543,WV1 4RU
Department For Transport,Highways Agency,03/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,CARILLION-WSP JOINT VENTURE,525684,-6516.98,Apps and Certs Receipt - APC22798,WV1 4RU
Department For Transport,Highways Agency,03/07/2012,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,CARILLION-WSP JOINT VENTURE,527652,23060.81,Apps and Certs Receipt - APC25121,WV1 4RU
