P/L Individual Transactions Over £25K,Inv Cert Date between 01/02/2011 and 28/02/2011,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,16/02/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00014741,"28,660.94"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/02/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1011074598,"85,717.16"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/02/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_143383_2,"44,880.59"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/02/2011,PREMISES & FIXED PLANT,RADIOLOGY,ACCENTURE (UK) LTD,3003144076,"27,300.36"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/02/2011,ACCRUALS,CURRENT LIABILITIES,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0998190,"38,124.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,PREMISES & FIXED PLANT,FACILITIES,TOTAL GAS AND POWER LTD,64225045/11,"64,295.45"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,PREMISES & FIXED PLANT,FACILITIES,TOTAL GAS AND POWER LTD,65021489/11,"84,089.92"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,PREMISES & FIXED PLANT,FACILITIES,TOTAL GAS AND POWER LTD,64225045/11CNCHUFT,"64,295.45"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,PREMISES & FIXED PLANT,FACILITIES,SOUTHERN ELECTRIC PLC,231307501/0033,"26,701.83"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,PREMISES & FIXED PLANT,FACILITIES,SOUTHERN ELECTRIC PLC,261342989/0025,"43,582.38"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,PREMISES & FIXED PLANT,FACILITIES,SOUTHERN ELECTRIC PLC,261342989/0026,"44,796.38"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_146580_2,"48,038.79"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,175.79
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,98.60
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,141.34
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"1,459.33"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,241.20
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,363.98
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"3,469.06"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"1,609.88"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,224.78
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,447.17
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"5,852.88"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,546.25
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,272.77
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,355.44
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,347.05
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,287.15
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"1,491.41"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,476.24
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"5,090.71"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,"1,255.82"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,585.82
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,133.20
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,48.72
Department of Health,Colchester Hospital University NHS Foundation Trust,21/02/2011,CLINICAL SUPPLIES,PATHOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,106397663,458.21
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,118071,"102,909.95"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,118071,"95,747.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,118071,"299,605.70"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,118071,"7,773.79"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,118071,"47,804.18"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,ESTABLISHMENT EXPENSES,FACILITIES,CARILLION HEALTH,118071,"161,417.68"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,-82.70
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,"15,778.76"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,"19,148.36"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,OTHER OPERATING EXPENSES,FACILITIES,CARILLION HEALTH,118071,"5,800.87"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,OTHER INCOME,FACILITIES,CARILLION HEALTH,118071,"-9,961.31"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,"24,515.51"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,"162,166.95"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,"5,207.91"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,118071,739.74
Department of Health,Colchester Hospital University NHS Foundation Trust,22/02/2011,PREMISES & FIXED PLANT,FACILITIES,CARILLION HEALTH,118071,"28,785.38"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/02/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,BIGHAND LTD,20013882,"8,400.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/02/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,BIGHAND LTD,20013882,"8,232.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/02/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,BIGHAND LTD,20013882,600.00
Department of Health,Colchester Hospital University NHS Foundation Trust,23/02/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,BIGHAND LTD,20013882,"11,232.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/02/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,BIGHAND LTD,20013882,"3,468.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/02/2011,PREMISES & FIXED PLANT,ICT,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006695,"54,092.25"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/02/2011,CLINICAL SUPPLIES,PATHOLOGY,NHS BLOOD & TRANSPLANT,801722,"149,176.23"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/02/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321346189,"12,573.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/02/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321346189,"31,433.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/02/2011,CLINICAL SUPPLIES,RADIOLOGY,ACCENTURE (UK) LTD,3003146086,"32,760.43"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/02/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060016519,"20,908.42"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/02/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060016518,"60,662.36"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/02/2011,CLINICAL SUPPLIES,PATHOLOGY,TRENTCO LIMITED,CY2129,"119,799.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/02/2011,CAPITAL BUILDINGS,CAPITAL SCHEMES,KIER EASTERN,10080025,"76,512.47"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/02/2011,CAPITAL BUILDINGS,CAPITAL SCHEMES,KIER EASTERN,10080025,"32,301.60"
,,,,,,,"3,575,257.20"
Report ID : PL 2_23,,,,,Page -1 of 1,Print Date : 22/03/2011,Time : 09:37:15
