Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,91234.07,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,POSTAGE,DIRECTOR OF ESTATES & FACILITIES,NEOPOST (POSTAGE TOP UP ONLY) POSTROOM,50000,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,BMI HEALTHCARE LTD,34132.4,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,DIAGNOSTIC TESTS NON NHS,DIAGNOSTICS,BMI HEALTHCARE LTD,34028.01,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,STRUCTURE,CAPITAL PROGRAM,KIER SERVICES MAINTENANCE EAST,213288.37,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),218754.89,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/10/2016,CHILDCARE VOUCHERS,PAN TRUST,FIDELITI LTD,40476.88,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,11/10/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),150219.57,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,MINOR CLINICAL EQUIPMENT,INTEGRATED MEDICINE LINCOLN,MEDTRONIC LTD,44160,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,41911.2,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,EQUIPMENT >5K,CAPITAL PROGRAM,NHS SUPPLY CHAIN (CAPITAL INVOICES ONLY),1774821.75,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,88348.83,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,44981.1,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,64505.28,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,MAINTENANCE CONTRACTS AND MATS,DIAGNOSTICS,GETINGE UK LIMITED,32379.6,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,CLINICAL SERVICE CONTRACT,DIAGNOSTICS,MEDICA GROUP,51877,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,COST OF FP 10 PRESCRIPTIONS,DIAGNOSTICS,NHS BUSINESS SERVICES AUTHORITY (FP10),27201.01,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,SERVICES FROM NON-NHS BODIES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,44824,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),32930.38,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,PHARMACY,DIAGNOSTICS,CELGENE LIMITED,26031.6,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,64664.42,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/10/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,33666.36,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,MINOR CLINICAL EQUIPMENT,INTEGRATED MEDICINE LINCOLN,MEDTRONIC LTD,43200,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,VEOLIA ENERGY & UTILITY SERVICES UK PLC,53148.48,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,VEOLIA ENERGY & UTILITY SERVICES UK PLC,53148.48,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,CONSULTANCY STRATEGY,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,DR FOSTER LTD,66667,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,EQUIPMENT >5K,CAPITAL PROGRAM,SIEMENS HEALTHCARE LTD,40942.8,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,COMPUTER HARDWARE,CAPITAL PROGRAM,MSOFT eSOLUTIONS LIMITED,21600,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,COMPUTER SOFTWARE,CAPITAL PROGRAM,MSOFT eSOLUTIONS LIMITED,19200,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,241766.8,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,231098.64,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,PAYE,DIRECTOR OF SERVICE DELIVERY - BOSTON & SKEGNESS,HM REVENUE & CUSTOMS,2736411.41,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,PAYE,DIRECTOR OF SERVICE DELIVERY - BOSTON & SKEGNESS,HM REVENUE & CUSTOMS,3165141.46,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,PHARMACY,DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,36864,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,159625.75,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,58602.22,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,47499.48,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,ELECTRICITY,DIRECTOR OF ESTATES & FACILITIES,EDF ENERGY 1 LIMITED,35021.52,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,LEGAL FEES - EMPLOYMENT,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,BEACHCROFT LLP,134880,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,1167210,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,299663,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,488920,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/10/2016,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,37971,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/10/2016,CONSULTANCY DELIVERY,DIRECTOR OF OPERATIONS,QFI CONSULTING LLP,150000,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),118898.52,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,26208.36,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,28549,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,889607.24,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),42432.5,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,218580.71,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,CONSULTANCY DELIVERY,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RSM UK CONSULTING LLP,210000,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,RENTS,DIRECTOR OF ESTATES & FACILITIES,PROGRESS CARE HOUSING ASSOCIATION LTD,96801.86,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/10/2016,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,38124,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/10/2016,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,70512,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/10/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),265108.86,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/10/2016,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (PRODUCT SALES),218213.69,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/11/2016,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,44931.19,Oct-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/11/2016,ENGINEERING SERVICES,CAPITAL PROGRAM,AEROCOM UK LTD,25462.5,Oct-16
,,,,,,,
,,,,,,,
