Department ,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name, Component Code, Amount, Invoice Description
DFID,DFID,13/10/2014,Vehicle Repairs & Maintenance ,West and Southern Africa ,S MacNeillie & Son Limited ,101622-105 ,"£8,664.66",
DFID,DFID,21/10/2014,Cleaning Costs ,West and Southern Africa ,Sparklean Services Nig Ltd ,101622-105 ,"£2,631.44",
DFID,DFID,09/10/2014,Vehicle Repairs & Maintenance ,West and Southern Africa ,S MacNeillie & Son Limited ,101622-105 ,"£15,414.26",
DFID,DFID,31/10/2014,Hostile Environment Training ,West and Southern Africa ,Pilgrims Group ,101622-106 ,£638.47,
DFID,DFID,10/10/2014,Other Admin Costs ,West and Southern Africa ,PricewaterhouseCoopers inc ,101631-101 ,"£1,521.63",
DFID,DFID,27/10/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101631-101 ,"£2,262.53",
DFID,DFID,10/10/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101631-101 ,"£7,934.51",
DFID,DFID,06/10/2014,Vehicle Petrol & Oil ,West and Southern Africa ,Lynnwood Motors ,101631-101 ,£520.77,
DFID,DFID,07/10/2014,Other Admin Costs ,West and Southern Africa ,Positive People Company ,101631-101 ,£980.16,
DFID,DFID,29/10/2014,Project delivery costs â€“ supplier services ,East and Central Africa ,Montrose International ,201512-103 ,"£43,862.00",
DFID,DFID,03/10/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101622-101 ,"£5,553.40",
DFID,DFID,02/10/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101622-106 ,"£4,938.24",
DFID,DFID,28/10/2014,Aid Programme - Core contributions ,West and Southern Africa ,Collaborative Africa Budget Reform Initiative (CABRI) ,204349-101 ,"£14,418.84",
DFID,DFID,09/10/2014,Aid Programme - Other Financial Aid to Government ,Asia  Caribbean and Overseas Territories , The Government of India ,203757-102 ,"£66,135.30",
DFID,DFID,09/10/2014,Aid Programme - Other Financial Aid to Government ,Asia  Caribbean and Overseas Territories , The Government of India ,203757-102 ,"£471,965.00",
DFID,DFID,20/10/2014,Aid Programme - Trust Funds contributions ,Asia  Caribbean and Overseas Territories ,IBRD (HSBC)  C/O THE WORLD BANK ,114501-101 ,"£2,500,000.00",
DFID,DFID,16/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,KANCHAN MATHUR ,114177-101 ,"£4,429.11",
DFID,DFID,07/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,KANCHAN MATHUR ,114177-101 ,"£7,308.18",
DFID,DFID,30/10/2014,Project delivery costs â€“ supplier services ,Asia  Caribbean and Overseas Territories ,ICF CONSULTING SERVICES LTD. ,114168-101 ,"£70,262.00",
DFID,DFID,13/10/2014,Aid Programme - Aid and Trade Provision ,Asia  Caribbean and Overseas Territories ,ECGD ACCOUNT ,108237-101 ,"£119,028.31",
DFID,DFID,09/10/2014,Aid Programme - Voluntary contributions ,East and Central Africa ,UNDP (USD) ACCOUNT ,200272-102 ,"£1,589,210.00",
DFID,DFID,21/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,113961-102 ,"£50,221.10",
DFID,DFID,29/10/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101610-101 ,£850.80,
DFID,DFID,30/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Kezumotu Technologies Ltd ,100153-101 ,"£4,715.32",
DFID,DFID,14/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Biga Projects Ltd ,100152-110 ,"£2,934.39",
DFID,DFID,14/10/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Biga Projects Ltd ,101622-105 ,"£7,184.19",
DFID,DFID,24/10/2014,Hostile Environment Training ,West and Southern Africa ,Pilgrims Group ,101622-106 ,£638.47,
DFID,DFID,02/10/2014,Hostile Environment Training ,West and Southern Africa ,Pilgrims Group ,101622-106 ,"£1,215.48",
DFID,DFID,02/10/2014,Hostile Environment Training ,West and Southern Africa ,Pilgrims Group ,101622-106 ,£540.00,
DFID,DFID,08/10/2014,Training - Travel & Subsistence ,East and Central Africa ,Bon Voyage Travel Centre Ltd(USD) ,101634-101 ,£807.05,
DFID,DFID,24/10/2014,Training - Travel & Subsistence ,East and Central Africa ,Bon Voyage Travel Centre Ltd(USD) ,101634-101 ,£811.99,
DFID,DFID,31/10/2014,Aid Programme - Core contributions ,International Finance Division ,SG HAMBROS BANK & TRUST LTD (USD) ,203232-102 ,"£19,000,000.00",
DFID,DFID,09/10/2014,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,Chatham House Enterprises ,203174-101 ,"£13,645.00",
DFID,DFID,31/10/2014,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,China Agricultural University ,203174-101 ,"£109,516.31",
DFID,DFID,27/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,ADAM SMITH INTERNATIONAL  LTD ,104190-102 ,"£815,970.52",
DFID,DFID,29/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,104190-108 ,"£115,332.43",
DFID,DFID,10/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,104190-108 ,"£109,116.80",
DFID,DFID,02/10/2014,Aid Programme - Core contributions ,International Relations Division ,OHCHR ,202467-101 ,"£1,250,000.00",
DFID,DFID,06/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101616-101 ,£989.75,
DFID,DFID,06/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101616-101 ,"£1,830.62",
DFID,DFID,01/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101616-101 ,"£1,032.67",
DFID,DFID,01/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101630-101 ,"£1,409.76",
DFID,DFID,06/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101630-101 ,"£1,743.22",
DFID,DFID,06/10/2014,Air fares ,East and Central Africa ,BCD Travel (USD) ,101630-101 ,"£5,903.56",
DFID,DFID,21/10/2014,Aid Programme - Pooled/Basket funding ,West and Southern Africa ,UNDP CONTRIBUTIONS ACCOUNT ,203464-102 ,"£1,000,000.00",
DFID,DFID,29/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Jaya Travels & Tours Ltd ,101621-101 ,"£1,067.89",
DFID,DFID,29/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Jaya Travels & Tours Pvt Ltd. (US$) ,101621-108 ,"£2,382.89",
DFID,DFID,29/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Jaya Travels & Tours Pvt Ltd. (US$) ,101621-108 ,"£1,489.69",
DFID,DFID,15/10/2014,Training Providers/Facilitation Services ,Asia  Caribbean and Overseas Territories ,High Peak First Aid Training Ltd ,101621-108 ,"£3,996.00",
DFID,DFID,29/10/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Jaya Travels & Tours Ltd ,101621-108 ,"£1,248.02",
DFID,DFID,14/10/2014,General Equipment ,Asia  Caribbean and Overseas Territories ,Novel International Pvt. Ltd. ,100150-101 ,"£1,771.35",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£2,163.24",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£2,445.40",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£1,881.08",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£3,291.89",
DFID,DFID,17/10/2014,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,Nepal Oil Corporation ,101621-103 ,"£3,859.94",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£2,257.29",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£2,821.62",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£1,881.08",
DFID,DFID,15/10/2014,Furniture & Fittings ,Asia  Caribbean and Overseas Territories ,New Madan Furnishers Pvt. Ltd. ,101621-103 ,£789.30,
DFID,DFID,17/10/2014,Vehicle Petrol & Oil ,Asia  Caribbean and Overseas Territories ,Nepal Oil Corporation ,100150-103 ,"£2,078.43",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,100150-103 ,"£2,351.35",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£2,821.62",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£1,881.08",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£1,504.86",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£1,881.08",
DFID,DFID,15/10/2014,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Supplier Name withheld ,101621-103 ,"£2,257.29",
DFID,DFID,14/10/2014,Facilities Management payments ,Asia  Caribbean and Overseas Territories ,John Sanday Associates Pvt. Ltd ,101621-103 ,"£4,200.93",
DFID,DFID,14/10/2014,Hostile Environment Training ,Western Asia Division ,Supplier Name withheld ,101601-110 ,"£1,350.26",
DFID,DFID,16/10/2014,Telephone Usage & services ,Western Asia Division ,Supplier Name withheld ,101601-110 ,"£1,617.44",
DFID,DFID,14/10/2014,Hostile Environment Training ,Western Asia Division ,Supplier Name withheld ,101601-110 ,£675.13,
DFID,DFID,14/10/2014,Hotels - Accommodation only ,Western Asia Division ,Supplier Name withheld ,101601-110 ,£540.00,
DFID,DFID,19/10/2014,Oil - Other Utilities ,Western Asia Division ,Supplier Name withheld ,100011-110 ,"£1,190.34",
DFID,DFID,19/10/2014,Oil - Other Utilities ,Western Asia Division ,Supplier Name withheld ,101601-110 ,"£12,300.04",
DFID,DFID,16/10/2014,Training - Course Fees ,Western Asia Division ,Supplier Name withheld ,101601-110 ,"£6,300.00",
DFID,DFID,01/10/2014,Project delivery costs â€“ supplier services ,Growth and Resilience Division ,PRICEWATERHOUSECOOPERS ,202648-101 ,"£44,785.46",
DFID,DFID,03/10/2014,Project delivery costs â€“ supplier services ,Growth and Resilience Division ,PRICEWATERHOUSECOOPERS ,203732-101 ,"£39,583.87",
DFID,DFID,28/10/2014,Aid Programme - Trust Funds contributions ,Growth and Resilience Division ,IBRD (HSBC)  C/O THE WORLD BANK ,204252-103 ,"£250,000.00",
DFID,DFID,03/10/2014,Aid Programme - Core contributions ,East and Central Africa , ACCESS TO FINANCE RWANDA ,201845-101 ,"£904,827.89",
DFID,DFID,24/10/2014,Hostile Environment Training ,East and Central Africa ,Pilgrims Group ,101628-101 ,£675.13,
DFID,DFID,17/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,TROPICAL HEALTH AND EDUCATION TRUST ,202208-101 ,"£371,563.39",
DFID,DFID,17/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,TROPICAL HEALTH AND EDUCATION TRUST ,202208-101 ,"£100,037.94",
DFID,DFID,24/10/2014,Aid Programme - Accountable Grant Payments ,Policy Division ,Zvitambo Institute for Maternal & Child Health Research ,201854-107 ,"£168,779.99",
DFID,DFID,22/10/2014,Aid Programme - Trust Funds contributions ,Policy Division ,IBRD (HSBC)  C/O THE WORLD BANK ,201101-110 ,"£295,278.00",
DFID,DFID,03/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,IMPERIAL COLLEGE LONDON ,200706-101 ,"£135,125.27",
DFID,DFID,14/10/2014,Secure Staff Accommodation ,Western Asia Division ,Supplier Name withheld ,101601-110 ,"£6,601.26",
DFID,DFID,14/10/2014,Secure Staff Accommodation ,Western Asia Division ,Supplier Name withheld ,101601-110 ,"£6,601.26",
DFID,DFID,14/10/2014,Secure Staff Accommodation ,Western Asia Division ,Supplier Name withheld ,100011-110 ,£638.83,
DFID,DFID,14/10/2014,Secure Staff Accommodation ,Western Asia Division ,Supplier Name withheld ,100011-110 ,£638.83,
DFID,DFID,24/10/2014,Project delivery costs â€“ supplier services ,Policy Division ,FCO SERVICES ,204834-101 ,"£12,668.45",
DFID,DFID,21/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,113961-102 ,"£323,460.39",
DFID,DFID,01/10/2014,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,INTERNATIONAL RESCUE COMMITTEE UK ,105862-103 ,"£2,053,358.00",
DFID,DFID,21/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,113961-103 ,"£46,308.71",
DFID,DFID,21/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,Crown Agents Bank ,201198-101 ,"£225,494.00",
DFID,DFID,27/10/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101610-101 ,"£17,413.94",
DFID,DFID,31/10/2014,Aid Programme - Voluntary contributions ,West and Southern Africa ,UN HABITAT ,202416-115 ,"£1,068,059.00",
DFID,DFID,23/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,ADAM SMITH INTERNATIONAL  LTD ,203161-103 ,"£748,940.94",
DFID,DFID,14/10/2014,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,Action Against Hunger - USA ,202909-106 ,"£242,358.70",
DFID,DFID,08/10/2014,Aid Programme - Core contributions ,Research and Evidence Division ,African Economic Research Consortium ,201712-105 ,"£487,500.00",
DFID,DFID,07/10/2014,Aid Programme - Core contributions ,Middle East  Humanitarian & Security Division ,THE INTERNATIONAL COMMITTEE OF THE RED CROSS (ICRC) ,202457-101 ,"£30,000,000.00",
DFID,DFID,09/10/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,202594-101 ,"£3,933.21",
DFID,DFID,16/10/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,202594-101 ,"£4,452.69",
DFID,DFID,27/10/2014,Aid Programme - Voluntary contributions ,East and Central Africa ,THE INTERNATIONAL COMMITTEE OF THE RED CROSS (ICRC) ,204400-104 ,"£6,000,000.00",
DFID,DFID,30/10/2014,Hotels - Accommodation only ,Research and Evidence Division ,Summit Hotel Pvt Ltd ,202392-109 ,£960.66,
DFID,DFID,29/10/2014,Project delivery costs â€“ supplier services ,Research and Evidence Division ,institute of education (Inactive) ,203200-103 ,"£14,708.70",
DFID,DFID,07/10/2014,Hotels - Accommodation only ,Middle East  Humanitarian & Security Division ,Recipient name withheld ,202410-101 ,£743.20,
DFID,DFID,06/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,Summit Sociedade Unipessoal  Ldt ,113355-101 ,"£6,938.78",
DFID,DFID,24/10/2014,Project delivery costs â€“ supplier services ,West and Southern Africa ,FCO SERVICES ,204497-102 ,£650.00,
DFID,DFID,17/10/2014,Secure Staff Accommodation ,West and Southern Africa ,Supplier Name withheld ,101610-101 ,"£10,301.24",
DFID,DFID,23/10/2014,Aid Programme - Trust Funds contributions ,International Finance Division ,IBRD HSBC T ,204311-102 ,"£2,500,000.00",
DFID,DFID,16/10/2014,Project delivery costs â€“ supplier services ,International Finance Division ,PRICEWATERHOUSECOOPERS ,202939-106 ,"£10,889.94",
