Year,Author,Title,citation,Type,Collaborators,Main subject,Subject,Keywords,URL,Notes
2009,ARNOLD ME; MUELLER-DOBLIES D; CARRIQUE-MAS JJ; DAVIES RH,The estimation of pooled-sample sensitivity for detection of salmonella in turkey flocks.,Journal of Applied Microbiology 107 (3) 936-943,Periodical article,,BACTERIOLOGY,POULTRY AND OTHER BIRDS,Salmonella,http://dx.doi.org/10.1111/j.1365-2672.2009.04273.x,
2009,Artois M; Bengis R; Delahay RJ; Duchene MJ; DUFF JP; Ferroglio E; Gortazar C; Hutchings MR; Kock RA; Leighton FA; Morner T; Smith GC,Wildlife disease surveillance and monitoring.,"In: Delahay RJ (ed), Smith GC (ed), Hutchings MR (ed), Management of disease in wild mammals, Springer, Tokyo, 2009, 187-213",Book chapter,"Universite J. Fourier, Laboratoire TIMC-IMAG, Unite Environement et Prevision de la Sante des Populations F-38000 Grenoble; Ecole Nationale Veterinaire de Lyon, France. 
Veterinary Investigation Centre. P.O. Box 12, Skukuza 1350. South Africa. 
Central Science Laboratory, Sand Hutton, York, YO41 1LZ. 
AFSSA LERRPAS, Technopole Agricole et Veterinaire, B.P. 40009, 54220 Malzeville, France. 
Dipartimento Produzioni Animali, Epidemiologia ed Ecologia Via Leonardo da Vinci, 44-10095 Grugliasco (TO), Italy. 
Instituto de Investigacion en Recursos Cinegeticos IREC (CSIC-UCLM-JCCM), Ronda de Toledo s.n. E-13071, Ciudad Real, Spain. 
SAC, West Mains Road, Edinburgh, EH9 3JG. 
Conservations Programmes, Zoological Society of London, Regents Park, London, NW1 4RY. 
Canadian Cooperative Wildlife Health Centre, Department of Veterinary Pathology, University of Saskatchewan, Saskatoon, Saskatchewan S7N 5B4, Canada. 
National Veterinary Institute, 751 89 Uppsala, Sweden.",MISCELLANEOUS,WILDLIFE AND PESTS,Wild animals; Surveillance,,
2009,Atkins HS; SPENCER S; BREW SD; Jenner DC; Russell P; MACMILLAN AP; Eley SM; Simpson AJH,Efficacy of ciprofloxacin versus doxycycline as prophylaxis against experimental murine Brucella melitensis infection.,International Journal of Antimicrobial Agents 34 (5) 474-476,Periodical article,"Department of Biomedical Sciences, Defence Science and Technology Laboratory, Salisbury SP4 0JQ, Wilts.",BACTERIOLOGY,LABORATORY ANIMALS,Brucella,,
2009,Atkins HS; SPENCER S; BREW SD; Laws TR; THIRLWALL RE; MACMILLAN AP; Brooks TJG; Simpson AJH,Efficacy of moxifloxacin or gatifloxacin as prophylaxis against experimental murine Brucella melitensis infection.,International Journal of Antimicrobial Agents 34 (5) 471-473,Periodical article,"Department of Biomedical Sciences, Defence and Science Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wilts.",BACTERIOLOGY,GENERAL,Brucella,,
2009,Atterbury RJ; CARRIQUE-MAS JJ; DAVIES RH; Allen VM,Salmonella colonisation of laying hens following vaccination with killed and live attenuated commercial salmonella vaccines.,Veterinary Record 165 (17) 493-496,Periodical article,"Department of Clinical Veterinary Science, University of Bristol, Langford, Bristol BS40 5LX. ",BACTERIOLOGY,POULTRY AND OTHER BIRDS,Salmonella,http://veterinaryrecord.bvapublications.com/cgi/reprint/165/17/493,
2009,Awan MA; Abbas M; Yasinzai M; NICHOLAS RAJ; Babar S; AYLING RD; Attique MA; Ahmed Z,Prevalence of Mycoplasma capricolum subsspecies capricolum and Mycoplasma putrefaciens in goats in Pishin district of Balochistan.,Pakistan Veterinary Journal 29 (4) 179-185,Periodical article,"Center for Advanced Studies in Vaccinology and Biotechnology, University of Balochistan, Brewery Road, Quetta, Pakistan. 
Institute of Biochemistry, University of Balochistan, Quetta, Pakistan.",BACTERIOLOGY,GOATS,Mycoplasma,http://pvj.com.pk/pdf-files/29_4/179-185.pdf,
2009,Bailey AM; Constantinidou C; Ivens AI; Garvey MI; Webber MA; COLDHAM N; Hobman JL; Wain J; WOODWARD MJ; Piddock LJV,"Exposure of Escherichia coli and Salmonella enterica serovar Typhimurium to triclosan induces a species-specific response, including drug detoxification.",Journal of Antimicrobial Chemotherapy 64 (5) 973-985,Periodical article,"Antimicrobial Agents Research Group, School of Immunity and Infection, The Medical School, The University of Birmingham, Birmingham B15 2TT. 
School of Biosciences, The University of Birmingham, Birmingham B15 2TT. 
Wellcome Trust Sanger Institute, Hinxton, Cambridge CB10 1SA.",BACTERIOLOGY,GENERAL,Antimicrobial resistance,http://jac.oxfordjournals.org/content/64/5/973.full.pdf+html,
2009,BANYARD AC; JOHNSON N; VOLLER K; HICKS D; NUNEZ A; Hartley M; FOOKS AR,Repeated detection of European bat lyssavirus type 2 in dead bats found at a single roost site in the UK.,Archives of Virology 154 (11) 1847-1850,Periodical article,,VIROLOGY,WILDLIFE AND PESTS,Rabies,,
2009,BARLOW A; Ford S; Green R; Morris C; REANEY S,Investigations into suspected white-nose syndrome in two bat species in Somerset (letter).,Veterinary Record 165 (16) 481-482,Periodical article,"Bat Conservation Trust, 15 Cloisters House, 8 Battersea Park Road, London SW8 4BG. 
The Vincent Wildlife Trust, 3 & 4 Bronsil Courtyard, Eastnor, Ledbury, Herefordshire HR8 1EP.",MISCELLANEOUS,WILDLIFE AND PESTS,WILDLIFE DISEASES AND CONDITIONS; Bats; Mycology,http://veterinaryrecord.bvapublications.com/cgi/reprint/165/16/481-a,
2009,BARNETT J; DAVISON N; Deaville R; MONIES R; Loveridge J; Tregenza N; Jepson PD,Postmortem evidence of interactions of bottlenose dolphins (Tursiops truncatus) with other dolphin species in south-west England.,Veterinary Record 165 (15) 441-444,Periodical article,"Institute of Zoology, Zoological Society of London, Regent's Park, London NW1 4RY. 
Cornwall Wildlife Trust Marine Strandings Network, Five Acres, Allet, Truro TR4 9DJ.",MISCELLANEOUS,WILDLIFE AND PESTS,WILDLIFE DISEASES AND CONDITIONS; Wild animals,http://veterinaryrecord.bvapublications.com/cgi/reprint/165/15/441,
2009,BERG S; Firdessa R; Habtamu M; Gadisa E; Mengistu A; Yamua L; Ameni G; VORDERMEIER M; Robertson BD; SMITH NH; Engers H; Young D; HEWINSON RG; Aseffa A; GORDON SV,The burden of mycobacterial disease in Ethiopian cattle: implications for public health.,PLoS ONE 4(4): e5068,Periodical article,"Armauer Hansen Research Institute, Addis Ababa, 
Ethiopia. 
Aklilu Lemma Institute of Pathobiology, Addis Ababa University, Addis Ababa, Ethiopia. 
Department of Infectious Disease and Microbiology, Imperial College, South Kensington Campus, London. 
School of Agriculture, Food Science and Veterinary Medicine, University College Dublin, Dublin, Ireland. 
School of Medicine and Medical Science, University College Dublin, Dublin, Ireland. 
School of Biomolecular and Biomedical Science, College of Life Sciences, University College Dublin, Dublin, Ireland. 
UCD Conway Institute of Biomolecular and Biomedical Research, University College Dublin, Dublin, Ireland.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Tuberculosis; Bovine tuberculosis,http://dx.doi.org/doi:10.1371/journal.pone.0005068,
2009,BEST A; CLIFFORD D; CRUDGINGTON B; COOLEY WA; NUNEZ A; Carter B; WEYER U; WOODWARD MJ; LA RAGIONE RM,Intermittent Esherichia coli O157:H7 colonisation at the terminal rectum mucosa of conventionally-reared lambs.,Veterinary Research 40:09,Periodical article,"South East Wales Trials Unit, Neuadd Meirionnydd, School of Medicine, Heath Park, Cardiff University, CF14 4XN.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Esherichia coli; Sheep,,
2009,BEST EL; Hampton MD; Ethelberg S; Liebana E; CLIFTON-HADLEY FA; Threlfall EJ,Drug-resistant Salmonella Typhimurium DT120: use of PFGE and MLVA in a putative international outbreak investigation.,Microbial Drug Resistance 15 (2) 133-138,Periodical article,"Health Protection Agency, Centre for Infections, London. 
Statens Serum Institut, Department of Bacteriology, Mycology and Parasitology and Department of Epidemiology, Copenhagen, Denmark. 
European Food Safety Authority (EFSA), Scientific Panel on Biological Hazards, Parma, Italy. ",BACTERIOLOGY,GENERAL,Salmonella,,
2009,BIRCH CPD; CHIKUKWA AC; HYDER K; Del Rio Vilas VJ,Spatial distribution of the active surveillance of sheep scrapie in Great Britain: an exploratory analysis.,BMC Veterinary Research 5:23,Periodical article,,SPONGIFORM ENCEPHALOPATHIES,SHEEP,Scrapie,http://dx.doi.org/doi:10.1186/1746-6148-5-23,
2009,Blackwell JM; Gibbens N; Cunningham RR,Defra's management of bluetongue vaccine stocks (letter).,Veterinary Record 164 (22) 698-700,Periodical article,,VIROLOGY,CATTLE AND RUMINANTS IN GENERAL,,http://veterinaryrecord.bvapublications.com/cgi/reprint/164/22/699,
2009,Blair JMA; LA RAGIONE RM; WOODWARD MJ; PIDDOCK LJV,Periplasmic adaptor protein AcrA has a distinct role in the antibiotic resistance and virulence of Salmonella enterica serovar Typhimurium.,Journal of Antimicrobial Chemotherapy 64 (5) 965-972,Periodical article,"School of Immunity and Infection, College of Medical and Dental Sciences, University of Birmingham, Birmingham.",BACTERIOLOGY,GENERAL,Salmonella,http://jac.oxfordjournals.org/content/64/5/965.full.pdf+html,
2009,Blanco FC; NUNEZ-GARCIA J; GARCIA-PELAYO C; Soria M; Bianco MV; Zumarraga M; GOLBY P; Cataldi AA; GORDON SV; Bigi F,Differential transcriptome profiles of attenuated and hypervirulent strains of Mycobacterium bovis.,Microbes and Infection 11 (12) 956-963,Periodical article,"Instituto de Biotecnologia, CICVyA-INTA Castelar, N. Repetto and De los Reseros, B1686WAA Hurlingham, Argentina. 
Microbiologia Agrícola, Facultad de Agronomia. Universidad de Buenos Aires, Av. San Martín 4453, 1417 Buenos Aires, Argentina.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Tuberculosis; Bovine tuberculosis,http://dx.doi.org/10.1016/j.micinf.2009.06.006,
2009,Blancou J; Artois M; Gilot-Fromont E; Kaden V; Rossi S; Smith GC; Hutchings MR; CHAMBERS MA; Houghton S; Delahay RJ,Options for the control of disease 1: targeting the infectious or parasitic agent.,"In: Delahay RJ (ed), Smith GC (ed), Hutchings MR (ed), Management of disease in wild mammals, Springer, Tokyo, 2009, 97-120",Book chapter,"11, rue Descombes 75 017 Paris, France. 
Universite J. Fourier, Laboratoire TIMC-IMAG, Unite Environement et Prevision de la Sante des Populations F-38000 Grenoble; Ecole Nationale Veterinaire de Lyon, France. 
Universite de Lyon; Universite Lyon 1; CNRS; UMR5558, Laboratoire de Biometrie et Biologie Evolutive, 43 Boulevard du 11 Novembre 1918, Villeurbanne F-69622, France. 
Friedrich-Loeffler-Institut, Bundesforschungsinstitut fur Tiergesundheit, Institut fur Infektionsmedizin, 17493 Greifwald-Insel Riems, Germany. 
Unite Sanitaire de la Faune, Micropolis, la Berardie, Belle Aureille, 05000 GAP, France. 
Central Science Laboratory, Sand Hutton, York, YO41 1LZ. 
SAC, West Mains Road, Edinburgh, EH9 3JG. 
Veterinary Vaccines Consultancy, Coles Cottage, Plum Park Lane, Paulerspury, Northants, NN12 7NN.",MISCELLANEOUS,WILDLIFE AND PESTS,Wild animals; Disease control; Vaccination,,
2009,Blaser NJ; NEWELL DG; Thompson SA; Zechner EL,Pathogenesis of Campylobacter fetus.,"In: Nachamkin I (ed), Szymanski CM (ed), Blaser MJ (ed), Campylobacter, ASM Press, Washington DC, 3rd ed, 401-428",Book chapter,"Frederick H King Professor of Internal Medicine, Department of Medicine, New York University School of Medicine, 550 First Ave., OBV A-606, New York, NY 10016, USA. 
Department of Biochemistry and Molecular Biology, Medical College of Georgia. Augusta, GA 30912. 
Institute of Molecular Biosciences, University of Graz, Humboltstrasse 50, A-8010 Graz, Austria.",BACTERIOLOGY,GENERAL,Campylobacter,,
2009,Boehning DA; DEL RIO VILAS VJ,On the question of proportionality of the count of observed scrapie cases and the size of holding.,BMC Veterinary Research 5:17,Periodical article,"Quantitative Biology and Applied Statistics, School of Biological Sciences, University of Reading, Reading, RG6 6F.",SPONGIFORM ENCEPHALOPATHIES,SHEEP,Scrapie,http://www.biomedcentral.com/1746-6148/5/17,
2009,Bouts T; VORDERMEIER M; Flach E; Routh A,Positive skin and serologic test results of diagnostic assays for bovine tuberculosis and subsequent isolation of Mycobacterium interjectum in a pygmy hippopotamus (Hexaprotodon liberiensis).,Journal of Zoo and Wildlife Medicine 40 (3) 536-542,Periodical article,"Veterinary Department, Zoological Society London, ZSL Whipsnade Zoo, Whipsnade, Bedfordshire LU6 2LF.",BACTERIOLOGY,OTHER ANIMALS,Tuberculosis,,
2009,Brandhonneur N; Loizel C; Chevanne F; WAKELEY P; Jestin A; Le Potier MF; Le Corre P,Mucosal or systemic administration of rE2 glycoprotein antigen loaded PLGA microspheres.,International Journal of Pharmaceutics 373 (1-2) 16-23,Periodical article,"Laboratoire de Pharmacie Galenique, Biopharmacie et Pharmacie Clinique, UPRES EA 3892, 2 avenue du professeur Leon Bernard 35043 Rennes Cedex, France. 
Agence Francaise de Securite Sanitaire des Aliments, UPRES EA 3892, Unite de Genetique Virale et Biosecurite, Les Croix, B.P. 53, 22440 Ploufragan, France. 
Agence Francaise de Securite Sanitaire des Aliments, UPRES EA 3892, Unite de Virologie et Immunologie Porcines, Les Croix, B.P. 53, 22440 Ploufragan, France.",VIROLOGY,GENERAL,Virus diseases; Classical swine fever,,
2009,Bronsvoort  BM deC; Koterwas B; Land F; Handel IG; TUCKER J;  Morgan KL; Tanya VN; Abdoel TH; Smits HL,Comparison of a flow assay for brucellosis antibodies with the reference cELISA test in West African Bos indicus.,PLoS ONE 4 (4): e5221,Periodical article,"Centre for Tropical Veterinary Medicine, The Roslin Institute and Royal (Dick) School of Veterinary Studies, University of Edinburgh, Easter Bush Veterinary Centre, Roslin, Midlothian. 
KIT Biomedical Research, Royal Tropical Institute / Koninklijk Instituut voor de Tropen (KIT), Amsterdam, The Netherlands. 
Department Veterinary Clinical Sciences, University of Liverpool, Leahurst Veterinary Teaching Hospital, Neston, Wirral. 
Ministry of Scientific Research and Innovation, Yaounde, Cameroon.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Brucella,http://www.plosone.org/article/info:doi%2F10.1371%2Fjournal.pone.0005221,
2009,Bronzwaer S; Hugasa M; Collins JD; NEWELL DG; Robinson T; Makelaa P; Havelaar A,EFSA's 12th Scientific Colloquium — Assessing health benefits of controlling campylobacter in the food chain.,International Journal of Food Microbiology 131 (2-3) 284-285,Periodical article,"European Food Safety Authority (EFSA), Parma, Italy. 
University College Dublin, Dublin, Ireland. 
Foodborne Zoonoses Consultancy, Andover, SP11 7AW. 
Centre for Infectious Diseases Control Netherlands, National Institute for Public Health and the Environment, PO Box 1, 3720 BA Bilthoven, The Netherlands. 
Division Veterinary Public Health, Institute for Risk Assessment Sciences, Utrecht University, PO Box 80175, 3508 TD Utrecht, The Netherlands.",BACTERIOLOGY,GENERAL,Campylobacter,,
2009,BROOKES SM; IRVINE RM; NUNEZ A; CLIFFORD D; ESSEN S; BROWN IH; Van Reeth K; Kuntz-Simon G; Loeffen W; Foni E; Larsen L; Matrosovich M; Bublot M; Maldonado J; Beer M; Cattoli G,Influenza A (H1N1) infection in pigs (letter).,Veterinary Record 164 (24) 760-761,Periodical article,"University of Ghent, Salisburylaan 133, 9820 Merelbeke, Belgium. 
Agence Francaise de Securite Sanitaire des Aliments, LERAPP, Zoopole Les Croix, BP 53, 22440 Ploufragan, France. 
Central Veterinary Institute, Lelystad, PO Box 65 8200 AB Lelystad, The Netherlands. 
Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Sezione di Parma, Via dei Mercati 13 A, 43100 Parma, Italy. 
National Veterinary Institute, Technical University of Denmark, Bülowsvej 27, Building 11, Room 1.118, 1790 Kobenhavn V, Denmark. 
Institute of Virology, Philipps University, Hans-Meerwein-Strasse 2, 35043 Marburg, Germany. 
Merial, 29 Avenue Tony Garnier, 69007 Lyon, France. 
Laboratorios HIPRA, Avda. La Selva, 135, 17170 Amer Girona, Spain. 
Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Südufer 10, 17493 Greifswald-Insel Riems, Germany. 
Istituto Zooprofilattico Sperimentale Padova, Viale dell'Universita 10, 35020 Legnaro, Padova, Italy.",VIROLOGY,PIGS,Influenza; Swine influenza,http://veterinaryrecord.bvapublications.com/cgi/reprint/164/24/760,
2009,BROWN IH; Capua I; Cattoli G; Hualan Chen; Cox N; Davis CT; Donis RO; Fouchier RAM; Garten R; Yi Guan; Hay A; Kawaoka Y; Mackenzie J; McCauley J; Mumford E; Olsen C; Perdue ML; Russell CA; Smith C; Smith D; Smith GJD; Yuelong Shu; Tashiro M; Vijaykrishna D; Webster R,Continuing progress towards a unified nomenclature for the highly pathogenic H5N1 avian influenza viruses: divergence of clade 2.2 viruses.,Influenza and Other Respiratory Viruses 3 (2) 59-62,Periodical article,"Instituto Zooprofilattico Sperimentale delle Venezie, Padova, Italy. 
Harbin Veterinary Research Institute, CAAS, China. 
Centers for Disease Control and Prevention, Atlanta, Georgia, USA. 
Erasmus University, Netherlands.  
The University of Hong Kong, HK SAR, China. 
MRC National Institute for Medical Research, London. 
University of Wisconsin-Madison, Madison, Wisconsin, USA. Institute of Medical Science, University of Tokyo, Tokyo, Japan. 
Curtin University of Technology, Perth, Australia. 
WHO, GIP, EPR, Geneva, Switzerland. 
HHS, Washington, DC, USA. 
Department of Zoology, University of Cambridge. 
Chinese Center for Disease Control and Prevention, Beijing, China. 
National Insitute of Infectious Diseases, Tokyo, Japan. 
St. Jude Children's Research Hospital, Memphis, USA.",VIROLOGY,POULTRY AND OTHER BIRDS,Avian influenza,http://www3.interscience.wiley.com/cgi-bin/fulltext/122211969/PDFSTART,
2009,Burke PJ,Preliminary epidemiological analysis of BSE cases born after 2000 in Great Britain.,Veterinary Record 164 (12) 370-371,Periodical article,,SPONGIFORM ENCEPHALOPATHIES,CATTLE AND RUMINANTS IN GENERAL,Bovine spongiform encephalopathy,http://veterinaryrecord.bvapublications.com/cgi/reprint/164/12/370,
2009,Burke PJ; SIMMONS MM; ARNOLD ME,"Passive surveillance for BSE in Great Britain, 2005 to 2008.",Veterinary Record 165 (21) 631-632,Periodical article,,SPONGIFORM ENCEPHALOPATHIES,CATTLE AND RUMINANTS IN GENERAL,Bovine spongiform encephalopathy,http://veterinaryrecord.bvapublications.com/cgi/reprint/165/21/631,
2009,Capua I; ALEXANDER DJ,Avian influenza infection in birds: a challenge and opportunity for the poultry veterinarian.,Poultry Science 88 (4) 842-846,Periodical article,"World Organisation for Animal Health (OIE), Food and Agriculture Organization of the United Nations (FAO), and National Reference Laboratory for Newcastle Disease and Avian Influenza, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell’Università 10, 35020–Legnaro, Padova, Italy.",VIROLOGY,POULTRY AND OTHER BIRDS,Influenza,http://ps.fass.org/cgi/reprint/88/4/842,
2009,CARD R,Microarrays - closing the gap between research and diagnostic tools.,Microbiologist 10 (3) 30-33,Periodical article,,BACTERIOLOGY,GENERAL,Diagnostics,http://www.sfam.org.uk/pdf/issues/sept09_micro.pdf,
2009,CARRIQUE-MAS JJ; BARNES S; MCLAREN I; DAVIES R,Comparison of three plating media for the isolation of salmonella from poultry environmental samples in Great Britain using ISO 6579:2502 (Annex D).,Journal of Applied Microbiology 107 (6) 1976-1983,Periodical article,,BACTERIOLOGY,POULTRY AND OTHER BIRDS,Salmonella,,
2009,CARRIQUE-MAS JJ; BRESLIN M; SNOW L; MCLAREN I; SAYERS AR; DAVIES RH,Persistence and clearance of different salmonella serovars in buildings housing laying hens.,Epidemiology and Infection 137 (6) 837-846,Periodical article,,BACTERIOLOGY,POULTRY AND OTHER BIRDS,Salmonella,http://dx.doi.org/10.1017/S0950268808001568,
2009,CARRIQUE-MAS JJ; Marin C; BRESLIN M; MCLAREN I; DAVIES R,A comparison of the efficacy of cleaning and disinfection methods in eliminating salmonella spp. from commercial egg laying houses.,Avian Pathology 38 (5) 419-424,Periodical article,"Centro de Technolgia Animal, Instituto Valenciano de Investigaciones Agrarias, Poligono La Esperanza, 12400 Segorbe, Spain.",BACTERIOLOGY,POULTRY AND OTHER BIRDS,Salmonella,,
2009,Caughey B; Baron GS; Chesebro B; JEFFREY M,"Getting a grip on prions: oligomers, amyloids, and pathological membrane interactions.",Annual Review of Biochemistry 78 (14),Periodical article,"Laboratory of Persistent Viral Diseases, Rocky Mountain Laboratories, National Institute for Allergy and Infectious Diseases, National Institutes of Health, Hamilton, Montana 59840, USA.",SPONGIFORM ENCEPHALOPATHIES,GENERAL,TRANSMISSIBLE SPONGIFORM ENCEPHALOPATHY; Prions,,
2009,CAWTHRAW S; SAUNDERS GC; MARTIN TC; SAWYER J; WINDL O; REANEY SD,Real-time PCR detection and identification of prohibited mammalian and avian material in animal feeds.,Journal of Food Protection 72 (5) 1055-1062,Periodical article,,SPONGIFORM ENCEPHALOPATHIES,GENERAL,TRANSMISSIBLE SPONGIFORM ENCEPHALOPATHY; Bovine spongiform encephalopathy; Feedstuffs,,
2009,CHAMBERS MA,Review of the diagnosis and study of tuberculosis in non-bovine wildlife species using immunological methods.,Transboundary and Emerging Diseases 56 (6-7) 215-227,Periodical article,,BACTERIOLOGY,WILDLIFE AND PESTS,Tuberculosis; Bovine tuberculosis,,
2009,CHAMBERS MA; WATERHOUSE S; Lyashchenko K; Delahay R; SAYERS R; HEWINSON R,Performance of TB immunodiagnostic tests in Eurasian badgers (Meles meles) of different ages and the influence of duration of infection on serological sensitivity.,BMC Veterinary Research 2009 5:42,Periodical article,"Chembio Diagnostic Systems, Inc., Medford, NY 11763, USA. 
Central Science Laboratory, Sand Hutton, York YO4 1LZ.",BACTERIOLOGY,WILDLIFE AND PESTS,Tuberculosis; Bovine tuberculosis,http://www.biomedcentral.com/content/pdf/1746-6148-5-42.pdf,
2009,CHAVADI S; WOOFF E; COLDHAM NG; Sritharan M; HEWINSON RG; GORDON SV; WHEELER PR,Global effects of inactivation of the pyruvate kinase gene in the Mycobacterium tuberculosis complex.,Journal of Bacteriology 191 (24) 7545-7553,Periodical article,"Department of Animal Sciences, University of Hyderabad, Hyderabad 500 046, India.",BACTERIOLOGY,GENERAL,Tuberculosis,http://dx.doi.org/10.1128/JB.00619-09,
2009,CLIFTON-HADLEY R; DANIEL R; Rolfe S,An outbreak of tuberculosis in Golden Guernsey goats.,Goat Veterinary Society Journal (25) 108-110,Periodical article,"Welsh Assembly Government, Cardiff.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Tuberculosis; Caprine tuberculosis,,
