DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,DIGITAL,WUNDER LTD,1011703435,"49,000.00",FSA ALPHA PROJECT 01.06.2017.-30.06.2017.,N1 9AB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"FOOD INCIDENTS AND RESILIENCE PROG
(PROG)",ANIMAL AND PLANT HEALTH AGENCY,2012700257,"44,834.01","FS1111 April 2016 – 31 March 2017 On-farm food Safety (Provision of services in relation to Chemical Food Safety, Surveillance and Advice) ",YO1 7PX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-07,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,OPERATIONAL DELIVERY,EVILLE & JONES (UK) LTD,1011703428,"39,062.23",Field Veterinary Co-ordinator cover provided by Eville and Jones,LS15 8ZB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,"FOOD INCIDENTS AND RESILIENCE PROG
(PROG)",MERSEY PORT HEALTH AUTHORITY,1011703465,"37,000.00",FIGHTING FUND,L20 8LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT STRATEGY & DEVELOPMENT,VODAFONE LTD,1011703517,"34,170.00",MANAGED SETUP Blackberry Enterprise Mobility Suites – Collaboration Edition,RG14 5FF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,TRUSTMARQUE SOLUTIONS LTD,1011703433,"33,938.39",MONTHLY SUBSCRIPTION FSA435 – Microsoft Enterprise Agreement Year 3,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,SECURITY & ESTATES,EDF ENERGY PLC,1011703554,"32,121.74",EDF ENERGY INVOICE 3017022 JUNE 2017,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYSIS & RESEARCH BRANCH,MINTEL INTERNATIONAL GROUP LTD,1011703564,"26,040.00",MINTEL TRENDS,EC4V 6RN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,"FOOD INCIDENTS AND RESILIENCE PROG
(PROG)",S A S SOFTWARE LTD,1011703440,"26,021.14",IT Supplier,SL7 2EB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-10,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,FINANCE DIVISION,SHARED SERVICES CONNECTED LTD,1011703437,"23,211.95",CHARGES BETWEEN 1JUNE  TO 30JUNE2017,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE, LOCAL DELIVERY DIVISION,C E F A S,2012700265,"22,108.68",Phytoplankton and biotoxin analysis 2017/18,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE, LOCAL DELIVERY DIVISION,C E F A S,2012700261,"21,076.00",C7475-MANAGMENT OF CLASSIFICATION,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,"20,505.69",SERVICES,SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,RAINMAKER SOLUTIONS LTD,1011703566,"20,143.33",Evolve IT Workpackage 3 – Overarching Management,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,"16,351.99",SERVICES Provision of FM Services in Aviation House from October 2016 to February 2018 (FSA Contract Ref. FSA 451),SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,TRUSTMARQUE SOLUTIONS LTD,1011703433,"15,631.82",MONTHLY SUBSCRIPTION FSA435 – Microsoft Enterprise Agreement Year 3,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE, LOCAL DELIVERY DIVISION,C E F A S,2012700265,"14,199.39",Shellfish Biotoxin Flesh ASP analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,"13,036.91",SERVICES,SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE, LOCAL DELIVERY DIVISION,C E F A S,2012700265,"12,540.20",Shellfish Biotoxin Flesh ASP analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT STRATEGY & DEVELOPMENT,RAINMAKER SOLUTIONS LTD,1011703532,"10,554.50",MILESTONE Service Management – Workpackage 4,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE, LOCAL DELIVERY DIVISION,C E F A S,2012700265,"9,778.42",Shellfish Biotoxin Flesh ASP analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-07,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,OPERATIONAL DELIVERY,EVILLE & JONES (UK) LTD,1011703428,"7,812.45",Field Veterinary Co-ordinator cover provided by Eville and Jones,LS15 8ZB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT STRATEGY & DEVELOPMENT,VODAFONE LTD,1011703517,"7,218.00",MANAGED SETUP Blackberry Enterprise Mobility Suites – Collaboration Edition,RG14 5FF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,"6,708.52",SERVICES,SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,SECURITY & ESTATES,EDF ENERGY PLC,1011703554,"6,424.35",EDF ENERGY INVOICE 3017022 JUNE 2017,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,"FOOD INCIDENTS AND RESILIENCE PROG
(PROG)",S A S SOFTWARE LTD,1011703440,"5,204.23",IT Supplier,SL7 2EB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,"4,254.46",SERVICES  Provision of FM Services in Aviation House from October 2016 to February 2018 (FSA Contract Ref. FSA 451),SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,"3,270.40",SERVICES Provision of FM Services in Aviation House from October 2016 to February 2018 (FSA Contract Ref. FSA 451),SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703391,"3,041.55",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,OPERATIONAL DELIVERY ,REDFERN TRAVEL LTD,1011703451,"2,795.32",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,OPERATIONAL DELIVERY ,REDFERN TRAVEL LTD,1011703391,"2,504.30",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,OPERATIONAL DELIVERY ,REDFERN TRAVEL LTD,1011703451,"2,327.15",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703391,"2,099.65",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703451,"2,074.95",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT STRATEGY & DEVELOPMENT,VODAFONE LTD,1011703517,"1,920.00",MANAGED SETUP Blackberry Enterprise Mobility Suites – Collaboration Edition,RG14 5FF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,REGULATING OUR FUTURE,REDFERN TRAVEL LTD,1011703391,"1,836.00",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,IT SERVICE DELIVERY,REDFERN TRAVEL LTD,1011703391,"1,734.35",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,ORGANISATIONAL DEVELOPMENT,REDFERN TRAVEL LTD,1011703451,"1,646.61",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,REGULATING OUR FUTURE,REDFERN TRAVEL LTD,1011703451,"1,601.97",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703451,"1,586.20",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703451,"1,554.57",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,REGULATING OUR FUTURE,REDFERN TRAVEL LTD,1011703391,"1,305.41",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"PLANNING, PERFORMANCE & CHANGE",REDFERN TRAVEL LTD,1011703451,"1,274.60",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703391,"1,224.33",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,"AGRICULTURAL, PROCESS & ENVIRONMENTAL CONTAMINANTS",REDFERN TRAVEL LTD,1011703391,"1,177.85",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703451,"1,121.66",WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,ORGANISATIONAL DEVELOPMENT,REDFERN TRAVEL LTD,1011703391,"1,060.55",WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CORPORATE SUPPORT UNIT,REDFERN TRAVEL LTD,1011703451,957.10,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,CORPORATE SUPPORT UNIT,REDFERN TRAVEL LTD,1011703451,941.26,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,IT SERVICE DELIVERY,REDFERN TRAVEL LTD,1011703451,901.83,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-14,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,SECURITY & ESTATES,INTERSERVE FM LTD,1011703489,850.89,SERVICES  Provision of FM Services in Aviation House from October 2016 to February 2018 (FSA Contract Ref. FSA 451),SE1 8RT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FINANCE BRANCH,REDFERN TRAVEL LTD,1011703391,807.70,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,COMMS,REDFERN TRAVEL LTD,1011703451,783.10,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,CHIEF SCIENTIST  ,REDFERN TRAVEL LTD,1011703391,726.70,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,COMMS,REDFERN TRAVEL LTD,1011703451,714.48,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FOOD INCIDENTS AND RESILIENCE PROG,REDFERN TRAVEL LTD,1011703391,709.90,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FOOD INCIDENTS AND RESILIENCE PROG,REDFERN TRAVEL LTD,1011703451,701.88,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,ORGANISATIONAL DEVELOPMENT,REDFERN TRAVEL LTD,1011703391,683.73,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,OPERATIONAL DELIVERY ,REDFERN TRAVEL LTD,1011703391,644.52,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,FINANCE BRANCH,REDFERN TRAVEL LTD,1011703451,622.75,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,INFORMATION & KNOWLEDGE MANAGMENT,REDFERN TRAVEL LTD,1011703391,619.40,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,IT SERVICE DELIVERY,REDFERN TRAVEL LTD,1011703451,541.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CORPORATE SUPPORT UNIT,REDFERN TRAVEL LTD,1011703391,520.60,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CHIEF EXECUTIVE & PRIVATE OFFICE,REDFERN TRAVEL LTD,1011703451,504.40,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,FOOD CRIME UNIT ADMIN,REDFERN TRAVEL LTD,1011703451,494.48,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,North 3,REDFERN TRAVEL LTD,1011703451,492.89,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,IT SERVICE DELIVERY,REDFERN TRAVEL LTD,1011703391,471.80,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FOOD INCIDENTS AND RESILIENCE PROG,REDFERN TRAVEL LTD,1011703391,445.89,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,REGULATING OUR FUTURE,REDFERN TRAVEL LTD,1011703391,445.64,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703391,432.03,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
