"Publication of Spend  Publication of User Defined Spend over £25k  Amount Paid >£25k (Payment Date)  Parameters : AP-ORG ID: '1265', AP-PAYMENT DATE START: '01-MAY-2011', AP-PAYMENT DATE END: '31-MAY-2011', AP-MINIMUM PAYMENT LIMIT: '25000.00', INCLUDE RE",,,,,,,
,,,,,,,
Org Id:1265,,,,,,,
,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,354450,"35,051.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,802355,"64,038.73"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,803274,"64,038.73"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,DRUGS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY,PHS1000027290,"29,167.57"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012006600,"60,824.09"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012010748,"69,558.07"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/05/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012014183,"33,591.52"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/05/11,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012016754,"67,273.92"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,RENT,RESERVES AND PROVISIONS TECHNICAL,NORTH YORKSHIRE AND YORK PCT,9986822,"54,180.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,RENT,RESERVES AND PROVISIONS TECHNICAL,NORTH YORKSHIRE AND YORK PCT,9986823,"54,180.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,RENT,RESERVES AND PROVISIONS TECHNICAL,NORTH YORKSHIRE AND YORK PCT,9987443,"69,660.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,RENT,RESERVES AND PROVISIONS TECHNICAL,NORTH YORKSHIRE AND YORK PCT,9987900,"59,340.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,RENT,RESERVES AND PROVISIONS TECHNICAL,NORTH YORKSHIRE AND YORK PCT,9988033,"63,761.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS HEALTHCARE DIAGNOSTICS LTD,1020121793,"102,324.19"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/05/11,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050824050,"145,627.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,SYSTEM C HEALTHCARE PLC,12128,"31,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/05/11,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,SYSTEM C HEALTHCARE PLC,12128,"6,200.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,66369121/11,"41,666.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,66369121/11,"9,463.60"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,66369121/11,"3,598.55"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/05/11,GAS,UTILITIES,TOTAL GAS AND POWER LTD,66369121/11,"2,053.13"
