Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162195,Revenue,1KVWC,Minor Works Contracts,"1,015.79 ",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162196,Revenue,1KVWC,Minor Works Contracts,928.28 ,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162197,Revenue,1KVWC,Minor Works Contracts,"1,215.13 ",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162213,Revenue,1KVWC,Minor Works Contracts,"1,029.43 ",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162214,Revenue,1KVWC,Minor Works Contracts,973.38 ,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162215,Revenue,1KVWC,Minor Works Contracts,296.44 ,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162235,Revenue,1KVWC,Minor Works Contracts,810.96 ,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162236,Revenue,1KVWC,Minor Works Contracts,"1,184.64 ",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162353,Revenue,1KVWC,Minor Works Contracts,955.97 ,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,A&J KEITH LTD,6162354,Revenue,1KVWC,Minor Works Contracts,"1,091.87 ",
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,12/02/2014,A&J KEITH LTD,6144867,Revenue,1KBRM,Sub Contractors R & M,"271,702.87 ",
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,10/02/2014,A&S LOCKSMITHS,6141339,Revenue,1KL61,Parks R&M,304.20 ,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,13/02/2014,AAA CHEMICALS LTD,6139606,Revenue,1KKX1,Civic Centre Direct Costs,430.80 ,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,28/02/2014,AAA CHEMICALS LTD,6167337,Revenue,1KKX1,Civic Centre Direct Costs,414.60 ,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,13/02/2014,AAA CHEMICALS LTD,6139606,Revenue,1KKX1,Civic Centre Direct Costs,15.00 ,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,28/02/2014,AAA CHEMICALS LTD,6167337,Revenue,1KKX1,Civic Centre Direct Costs,15.00 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/02/2014,AAA CHEMICALS LTD,6125290,Revenue,3KES1,Fleetmaster Stores Account,484.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ABBEYFIELD CASTLE FARM,6161309,Revenue,1MG20,Ind Res Care Elderly,"-1,147.08 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ABBEYFIELD CASTLE FARM,6161309,Revenue,1MG20,Ind Res Care Elderly,"3,785.60 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ABBEYFIELD THE GROVE,6161300,Revenue,1MG20,Ind Res Care Elderly,"-2,080.48 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ABBEYFIELD THE GROVE,6161300,Revenue,1MG20,Ind Res Care Elderly,"4,358.41 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ABBEYMOOR,6161310,Revenue,1MG10,Ind Nursing Care Elderly,"2,865.40 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ABBEYMOOR,6161310,Revenue,1MM10,Ind Nursing Care MH,-315.20 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ABBEYMOOR,6161310,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ABBEYMOOR,6161310,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ABBEYMOOR,6161310,Revenue,1MM20,Ind Res Care MH,"4,000.00 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,ABIGAIL HOUSE,6161311,Revenue,1MG20,Ind Res Care Elderly,"-9,219.35 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,ABIGAIL HOUSE,6161311,Revenue,1MG20,Ind Res Care Elderly,"32,626.29 ",
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,26/02/2014,ACCENTURE,6164231,Revenue,1CF00,Payroll,"6,170.15 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",20/02/2014,ACCEPT CARE,6153845,Revenue,1MK54,Dom Care Own Tenancy LD,-290.96 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,ACCEPT CARE,6153845,Revenue,1MK50,Ind Supported Living LD,"1,817.20 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,ACCEPT CARE,6153845,Revenue,1MK54,Dom Care Own Tenancy LD,"4,906.44 ",
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,27/02/2014,ACCESS INDEPENDENT,6163895,Revenue,1V123,Blue Badge Applications,"1,730.50 ",
Children's Services,Invoice,Premises,03/02/2014,ACROL AIR CONDITIONING CO LTD,6126904,Revenue,1KKX1,Civic Centre Direct Costs,666.98 ,
Chief Executive's,CD - Revenues & Benefits         ,Employees,21/02/2014,ACS LTD,6155874,Revenue,1CR01,Revenues & Benefits Managemnt,"1,390.00 ",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,ACTION FOR CHILDREN,6141436,Revenue,1MC22,IND Sector Foster Carer Costs,"11,058.86 ",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,ACTION FOR CHILDREN,6141436,Revenue,1MC22,IND Sector Foster Carer Costs,"3,280.00 ",
Children's Services,Int Childhood Services     ,Third Party Payments,24/02/2014,ACTION FOR CHILDREN,6141253,Revenue,1EEJ7,Newburn Childrens Centre,846.00 ,
Children's Services,Int Childhood Services     ,Third Party Payments,24/02/2014,ACTION FOR CHILDREN,6141253,Revenue,1EEK6,Denton Westerhope Chldrn Cent,"1,598.00 ",
Children's Services,Int Childhood Services     ,Third Party Payments,24/02/2014,ACTION FOR CHILDREN,6141253,Revenue,1EEH1,NBH CC Central Costs,"1,410.00 ",
Children's Services,Int Childhood Services     ,Third Party Payments,24/02/2014,ACTION FOR CHILDREN,6141253,Revenue,1EEL1,Lemington Childrens Centre,846.00 ,
Children's Services,Childrens Services Support       ,Supplies & Services,28/02/2014,ACTION FOR CHILDREN,6168429,Revenue,1MD72,Troubled Families Funding,"25,000.00 ",
Children's Services,Educ School Planning    ,Third Party Payments,24/02/2014,ACTION FOR CHILDREN,6154869,Revenue,1MF12,Adoption Interagency,"1,194.00 ",
Children's Services,Educ School Planning    ,Third Party Payments,28/02/2014,ACTION FOR CHILDREN,6165591,Revenue,1MF12,Adoption Interagency,"1,194.00 ",
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,12/02/2014,ACTION ON HEARING LOSS,6111187,Revenue,1MH70,Phy Disability-Sensory Support,498.70 ,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,12/02/2014,ACTION ON HEARING LOSS,6111187,Revenue,1MH70,Phy Disability-Sensory Support,469.88 ,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,10/02/2014,ACTION ON HEARING LOSS,6111273,Revenue,1MH70,Phy Disability-Sensory Support,968.58 ,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,24/02/2014,ACTION ON HEARING LOSS,6154916,Revenue,1MH70,Phy Disability-Sensory Support,389.43 ,
Children's Services,Educ School Planning    ,Third Party Payments,21/02/2014,ACTIVE ARK,6156269,Revenue,1MC02,Ind Sector Placements,"3,225.00 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,ACTIVE HORIZONS LTD,6142814,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,ACTIVE HORIZONS LTD,6142814,Revenue,1MK20,Ind Res Care LD,-140.70 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,ACTIVE HORIZONS LTD,6142814,Revenue,1MG20,Ind Res Care Elderly,"1,648.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,ACTIVE HORIZONS LTD,6142814,Revenue,1MK20,Ind Res Care LD,"1,335.72 ",
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,ACTIVE TRAVEL,6138394,Revenue,1E+212,Transport Special,"1,900.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,ACTIVE TRAVEL,6138397,Revenue,1E+212,Transport Special,"2,040.00 ",
Adult and Culture,Adult Serv Lewcock House   ,Supplies & Services,13/02/2014,ACTIVITIES DISPLAY COMPANY LTD,6139111,Revenue,1MG25,Lewcock House,291.00 ,
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,07/02/2014,ADARE LTD,6140222,Revenue,1FL01,Electoral Registration Unit,714.84 ,
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,19/02/2014,ADARE LTD,6151302,Revenue,1FL01,Electoral Registration Unit,377.00 ,
Adult and Culture,Adult Serv Finance         ,Employees,17/02/2014,ADASS TREASURY,6148272,Revenue,1MA01,Strategic Management,495.00 ,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,24/02/2014,ADC ELECTRICAL CO LTD(F),6155071,Revenue,1KR8E,Build Surv Team,495.00 ,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,25/02/2014,ADC ELECTRICAL CO LTD(F),6158401,Revenue,1KR8E,Build Surv Team,296.33 ,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,21/02/2014,ADC ELECTRICAL CO LTD(F),6153162,Revenue,1KR8E,Build Surv Team,498.00 ,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,21/02/2014,ADC ELECTRICAL CO LTD(F),6153393,Revenue,1KR8E,Build Surv Team,498.00 ,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,21/02/2014,ADC ELECTRICAL CO LTD(F),6155067,Revenue,1KR8E,Build Surv Team,326.00 ,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,18/02/2014,ADC ELECTRICAL CO LTD(F),6147890,Revenue,1KR8E,Build Surv Team,435.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,20/02/2014,ADOPTION UK,6153504,Revenue,1MF12,Adoption Interagency,538.88 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164417,Revenue,1MF12,Adoption Interagency,435.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164418,Revenue,1MF12,Adoption Interagency,700.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164419,Revenue,1MF12,Adoption Interagency,538.88 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164420,Revenue,1MF12,Adoption Interagency,435.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164421,Revenue,1MF12,Adoption Interagency,435.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164422,Revenue,1MF12,Adoption Interagency,330.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164423,Revenue,1MF12,Adoption Interagency,435.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164611,Revenue,1MF12,Adoption Interagency,550.00 ,
Children's Services,Childrens Services Support       ,Third Party Payments,26/02/2014,ADOPTION UK,6164612,Revenue,1MF12,Adoption Interagency,445.00 ,
HRA,HRA C.C.A.S.               ,Premises,21/02/2014,ADT FIRE & SECURITY,6138366,Revenue,1HK01,HRA Comm Care Alarms-Citywide,545.00 ,
Environment & Regeneration,NS: Asset Man              ,Premises,03/02/2014,ADVANCE MOULDINGS LTD,6071669,Revenue,1KL1D,East End Pool,375.00 ,
Chief Executive's,CD - Accountancy                 ,Supplies & Services,05/02/2014,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6138010,Revenue,1RB16,Transformation Costs,"30,000.00 ",
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,20/02/2014,ADVANCED CALIBRATIONS LTD,6154411,Revenue,1KR1W,Response West,311.00 ,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,ADVANCED CHILDCARE GROUP,6141449,Revenue,1MC02,Ind Sector Placements,"14,940.00 ",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,ADVANCED CHILDCARE GROUP,6141450,Revenue,1MC02,Ind Sector Placements,"10,000.00 ",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,ADVANCED CHILDCARE GROUP,6141451,Revenue,1MC12,Section 31A High Care Needs,"14,940.00 ",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,ADVANCED CHILDCARE GROUP,6141452,Revenue,1MC02,Ind Sector Placements,"14,940.00 ",
Chief Executive's,CD - Legal Services              ,Supplies & Services,10/02/2014,ADVANCED LEGAL LTD,6141533,Revenue,1FA51,Coroner,900.00 ,
Chief Executive's,CD - Legal Services              ,Supplies & Services,20/02/2014,ADVANCED LEGAL LTD,6155038,Revenue,1FA51,Coroner,900.00 ,
Chief Executive's,CD - Legal Services              ,Supplies & Services,03/02/2014,ADVANCED LEGAL LTD,6135314,Revenue,1FA51,Coroner,900.00 ,
Environment & Regeneration,NS: District Heating       ,Premises,10/02/2014,ADVANCED WATER TECHNOLOGIES,6141592,Revenue,1KR8L,Wide District Heating,"1,365.00 ",
Environment & Regeneration,NS: District Heating       ,Premises,25/02/2014,ADVANCED WATER TECHNOLOGIES,6159193,Revenue,1KR8L,Wide District Heating,675.00 ,
Environment & Regeneration,NS: District Heating       ,Premises,28/02/2014,ADVANCED WATER TECHNOLOGIES,6163749,Revenue,1KR8L,Wide District Heating,"1,365.00 ",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,10/02/2014,AEBI SCHMIDT UK LTD,6125297,Revenue,3KES1,Fleetmaster Stores Account,703.93 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,19/02/2014,AEBI SCHMIDT UK LTD,6141662,Revenue,3KES1,Fleetmaster Stores Account,719.12 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/02/2014,AEBI SCHMIDT UK LTD,6135940,Revenue,1KESJ,Hort Workshops Routine Repair,589.34 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,19/02/2014,AEBI SCHMIDT UK LTD,6141662,Revenue,3KES1,Fleetmaster Stores Account,88.43 ,
HRA,HRA Invest/Del             ,Transfer Payments,27/02/2014,AEROVISION LTD,6165854,Revenue,1HFDA,HRA Inv Del-Disabled Adapts,358.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,10/02/2014,AGD SYSTEMS LTD,6136688,Revenue,3KIMF,Highways Stock Account,"3,920.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,10/02/2014,AGD SYSTEMS LTD,6140777,Revenue,3KIMF,Highways Stock Account,"5,590.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162337,Revenue,1KELA,Traffic Sig General O/H,60.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162337,Revenue,3KIMF,Highways Stock Account,"2,400.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162338,Revenue,1KELA,Traffic Sig General O/H,15.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162338,Revenue,3KIMF,Highways Stock Account,"3,680.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162348,Revenue,1KELA,Traffic Sig General O/H,"1,616.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162349,Revenue,1KELA,Traffic Sig General O/H,15.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162349,Revenue,3KIMF,Highways Stock Account,"3,920.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,10/02/2014,AGD SYSTEMS LTD,6140777,Revenue,1KELA,Traffic Sig General O/H,150.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,10/02/2014,AGD SYSTEMS LTD,6140777,Revenue,3KIMF,Highways Stock Account,"1,200.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,10/02/2014,AGD SYSTEMS LTD,6140778,Revenue,3KIMF,Highways Stock Account,"7,360.00 ",
Environment & Regeneration,Highways                               ,Supplies & Services,10/02/2014,AGD SYSTEMS LTD,6140779,Revenue,1KEMC,Highways,930.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,25/02/2014,AGD SYSTEMS LTD,6162348,Revenue,1KELA,Traffic Sig General O/H,63.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,28/02/2014,AGD SYSTEMS LTD,6166773,Revenue,1KELA,Traffic Sig General O/H,150.00 ,
Environment & Regeneration,Highways                               ,Supplies & Services,28/02/2014,AGD SYSTEMS LTD,6166773,Revenue,3KIMF,Highways Stock Account,"3,920.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,05/02/2014,AGE UK NEWCASTLE,6137945,Revenue,1MH50,Ind Home Spot Pur PD,"1,574.58 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,05/02/2014,AGE UK NEWCASTLE,6137946,Revenue,1MH50,Ind Home Spot Pur PD,"7,484.96 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,05/02/2014,AGE UK NEWCASTLE,6137951,Revenue,1MH50,Ind Home Spot Pur PD,"1,842.75 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6154253,Revenue,1MG50,Ind Home Spot Pur Elderly,696.01 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,25/02/2014,AGE UK NEWCASTLE,6161540,Revenue,1MH50,Ind Home Spot Pur PD,"1,745.75 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,24/02/2014,AGE UK NEWCASTLE,6159189,Revenue,1MH50,Ind Home Spot Pur PD,"1,426.25 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,04/02/2014,AGE UK NEWCASTLE,6134977,Revenue,1MH50,Ind Home Spot Pur PD,"1,483.30 ",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,21/02/2014,AGE UK NEWCASTLE,6141770,Revenue,1MG55,Extra Care Housing,"24,942.75 ",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,21/02/2014,AGE UK NEWCASTLE,6156190,Revenue,1MG60,Ind Day Care Elderly,"18,319.56 ",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,21/02/2014,AGE UK NEWCASTLE,6156190,Revenue,1MG88,Get Up And Go Older People,"3,076.92 ",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,21/02/2014,AGE UK NEWCASTLE,6156190,Revenue,1FA23,Support To Elders Council,"10,048.36 ",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,21/02/2014,AGE UK NEWCASTLE,6156190,Revenue,1MG60,Ind Day Care Elderly,"2,492.28 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6153827,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,206.55 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6153827,Revenue,1MH50,Ind Home Spot Pur PD,"7,622.80 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6153827,Revenue,1MM50,Ind Home - Spot Pur MH,47.20 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MG51,Ind Home Per Care Elderly,"33,138.94 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MH51,Ind Home Per Care PD,"3,116.22 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MK51,Ind Home-Per Care LD,407.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MM51,Ind Home-Per Care MH,957.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6153827,Revenue,1MG50,Ind Home Spot Pur Elderly,708.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6153827,Revenue,1MH50,Ind Home Spot Pur PD,"1,994.20 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,AGE UK NEWCASTLE,6153827,Revenue,1MM50,Ind Home - Spot Pur MH,188.80 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MG51,Ind Home Per Care Elderly,"24,036.92 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MH51,Ind Home Per Care PD,"2,244.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,1MM51,Ind Home-Per Care MH,297.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,AGE UK NEWCASTLE,6152114,Revenue,3WH96,Continuing Care-Dom Payments,"1,281.68 ",
Children's Services,Childrens Services Support       ,Premises,21/02/2014,AIR TECHNIQUE,6156272,Revenue,1KL2B,Eldon Leisure,419.00 ,
Adult and Culture,Social Services                        ,Premises,28/02/2014,AJP PROPERTY SERVICES LTD,5911030,Revenue,1MN30,Asylum Seekers Adults,455.00 ,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,AK CHILDCARE LTD,6141453,Revenue,1MC02,Ind Sector Placements,"42,000.00 ",
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,AKW MEDI-CARE LTD,6153872,Revenue,1KBAA,Building Contracts,321.29 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,AKW MEDI-CARE LTD,6153874,Revenue,1KBAA,Building Contracts,300.64 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/02/2014,AKW MEDI-CARE LTD,6153873,Revenue,1KBAA,Building Contracts,531.03 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,AKW MEDI-CARE LTD,6153814,Revenue,1KBAA,Building Contracts,559.81 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,AKW MEDI-CARE LTD,6153872,Revenue,1KBAA,Building Contracts,209.74 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/02/2014,AKW MEDI-CARE LTD,6153917,Revenue,1KBAA,Building Contracts,364.14 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,24/02/2014,AKW MEDI-CARE LTD,6153793,Revenue,1KBAA,Building Contracts,355.21 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,24/02/2014,AKW MEDI-CARE LTD,6158638,Revenue,1KBAA,Building Contracts,452.66 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,24/02/2014,AKW MEDI-CARE LTD,6159447,Revenue,1KBAA,Building Contracts,452.66 ,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/02/2014,AKW MEDI-CARE LTD,6164046,Revenue,1KBAA,Building Contracts,300.64 ,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,28/02/2014,ALAN CARR DESIGN & PRINT,6159473,Revenue,1KEMV,Blacksmiths,518.00 ,
