Ministry of Justice,Hampshire Probation Trust,19/10/2012,Payment to Gov Depts,Partnership,Portsmouth City Council,PI / 90000558 / 15342478,"34,176.00",Quarterly contribution to YOT Partnership,PO1 2BE,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,16/07/2012,IT main & support,IT,NOMS SSC,PI / 90001374 / 373524,"39,388.94",Monthly IT recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,11/10/2012,IT main & support,IT,NOMS SSC,PI / 90001374 / 378148,"39,441.23",Monthly IT recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,11/10/2012,Steria IT Equipment (RFS),IT,NOMS SSC,PI / 90001374 / 378148,"39,914.33",Monthly IT recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,11/10/2012,Terminals,IT,NOMS SSC,PI / 90001374 / 378148,"74,201.00",Monthly IT recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,16/07/2012,Terminals,IT,NOMS SSC,PI / 90001374 / 373524,"75,015.93",Monthly IT recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,10/10/2012,Inland Revenue - Employer NI,PAYE & NI,Inland Revenue,PI / 90000117 / September 2012,"97,354.22",Monthly payment for Employer NI,BD98 1YY,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,25/09/2012,Rent & Rates,Premises costs,NOMS SSC,PI / 90001374 / 377159,"118,874.33",Monthly premises recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,10/10/2012,LGSS - Employer,Employer Pension Contributions,Hampshire County Council,PI / 90000631 / September 2012,"131,233.87",Monthly payment for variable Employer Pension,SO23 8UB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,24/05/2012,IT main & support,IT,NOMS SSC,PI / 90001374 / 370809,"165,599.94",Monthly IT recharge,NP20 9BB,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,10/10/2012,Inland Revenue - PAYE,PAYE & NI,Inland Revenue,PI / 90000117 / September 2012,"167,287.98",Monthly payment for PAYE,BD98 1YY,Large,N/A,N/A,Administration
Ministry of Justice,Hampshire Probation Trust,15/10/2012,VAT - Output tax,VAT,HMRC,PI / 90001576 / 989970918,"535,842.48",Monthly VAT payment,L74 4AA,Large,N/A,N/A,Administration
Ministry of Justice,Hertfordshire Probation Trust,25/09/2012,Estates Recharge,Facilities,NOMS,377160,"71,111.00",Estates Recharge Sept-12,NP20 9BB,Public,~,~ ,Administration
Ministry of Justice,Hertfordshire Probation Trust,25/09/2012,Estates Recharge,Facilities,NOMS,377139,"71,111.00",Estates Recharge Aug-12,NP20 9BB,Public,~,~ ,Administration
Ministry of Justice,Humberside Probation Trust,05/10/2012,ESTATES RECHARGES,TRUST AREA WIDE,MOJ SHARED SERVICES,59388,"75,679.67",ESTATES RECHARGE,NP20 9BB,Large,,,
Ministry of Justice,Humberside Probation Trust,05/10/2012,ESTATES RECHARGES,TRUST AREA WIDE,MOJ SHARED SERVICES,59388,"11,004.17",APPROVED PREMISES RECHARGE - HULL,NP20 9BB,Large,,,
Ministry of Justice,Humberside Probation Trust,05/10/2012,ESTATES RECHARGES,TRUST AREA WIDE,MOJ SHARED SERVICES,59388,"11,004.16",APPROVED PREMISES RECHARGE - SCUNTHORPE,NP20 9BB,Large,,,
Ministry of Justice,Humberside Probation Trust,19/10/2012,IT RECHARGE,TRUST AREA WIDE,MOJ SHARED SERVICES,59484,"88,562.15",IT & TELEPHONY SERVICES,NP20 9BB,Large,,,
Ministry of Justice,Kent Probation Trust,25/10/2012,PARTNERSHIP GRANTS,CORPORATE,KENT COUNTY COUNCIL,50290,"120,000.00",partnership grants,ME14 1XQ,Local Council,,,partnership grants
Ministry of Justice,Kent Probation Trust,11/10/2012,PARTNERSHIP GRANTS,CORPORATE,ST GILES TRUST,50139,"25,000.00",partnership grants,SE5 8JB,Charity,,,partnership grants
Ministry of Justice,Lancashire Probation Trust,12/10/2012,Property,Commercial estate recharge,MoJ Shared Services,377163,"128,990.00",re Sept '12,NP20 9BB,,,,Accommodation
Ministry of Justice,Lancashire Probation Trust,12/10/2012,Property,Approved Premises recharge,MoJ Shared Services,377163,"34,750.00",re Sept '12,NP20 9BB,,,,Accommodation
Ministry of Justice,Leicestershire and Rutland Probation Trust,11/10/2012,NOMS IT Recharges,NOMS IT Recharges,MOJ Shared Services,378114,"107,717.41",MoJ ICT charges for IT & Telephony Services Jun & Jul 2012 ,NP20 9BB,Public Sector,-,-,Administration
Ministry of Justice,Leicestershire and Rutland Probation Trust,11/10/2012,Delivery of Just Women Project,Delivery of Just Women Project,New Dawn New Day Ltd,00116JWPQ3,"46,250.00",Delivery of Just Women Project Q3 2012/13,LE3 1HR,-,-,-,Programme
Ministry of Justice,Leicestershire and Rutland Probation Trust,18/10/2012,ESF Related,ESF Related,Nottinghamshire Probation Trust,000934,"57,712.00",Flat Profile Oct - Dec 2012,NG7 1TP,Public Sector,-,-,Administration
Ministry of Justice,Lincolnshire Probation Trust,25/09/2012,Estates Sept Inc App Prem,Lincolnshire,NOMS,90046,"52,729.67",Estates Aug Inc App Prem,NP20 9BB,Large,n/a,n/a,Administration
Ministry of Justice,London Probation Trust,18.10.2012,Building Repairs and Maintenance,All London Probation,Amey Limited,7500020845,"41,251.76",Building works through NEST Contracts,OX4 4DQ,SME,,,Administration
Ministry of Justice,London Probation Trust,04.10.2012,Agency Costs,Offender Management,Backstop Support Ltd,7500020625,"41,863.24",Weekly Agency Staff invoice,SW15 2DR,SME,,,Administration
Ministry of Justice,London Probation Trust,11.10.2012,Agency Costs,Offender Management,Backstop Support Ltd,7500020733,"47,324.63",Weekly Agency Staff invoice,SW15 2DR,SME,,,Administration
Ministry of Justice,London Probation Trust,18.10.2012,Agency Costs,Offender Management,Backstop Support Ltd,7500020847,"66,355.83",Weekly Agency Staff invoice,SW15 2DR,SME,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Agency Costs,Offender Management,Backstop Support Ltd,7500020968,"47,622.75",Weekly Agency Staff invoice,SW15 2DR,SME,,,Administration
Ministry of Justice,London Probation Trust,11.10.2012,Telecommunications,All London Probation,Computacentre Direct,7500020737,"26,283.43",Quarterly Telephone Maintenance,AL10 9TW,SME,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Partnerships ,Offender Management,DePaul Trust,7500020978,"30,000.00",Women at the Well grant,SE1 1JG,SME,,,Administration
Ministry of Justice,London Probation Trust,04.10.2012,Legal Fees,All London Probation,Essex County Council,7500020634,"32,105.36",Non HR Related Legal Advice/Secondee charge for in house lawyer,CM1 1JZ,Public Sector,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Agency - Double waking cover,Approved Premises,OCS Group UK Ltd,7500020999,"89,496.07",Monthly Security Guard Agency Staff invoice,LA3 3BJ,SME,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Telecommunications,All London Probation,Maintel Voice & Data Ltd,7500021006,"30,443.86",Monthly telephone bill,SE1 0RF,SME,,,Administration
Ministry of Justice,London Probation Trust,11.10.2012,Agency Costs,All London Probation,Office Angels,7500020764,"28,931.62",Weekly Agency Staff invoice,B37 7YE,SME,,,Administration
Ministry of Justice,London Probation Trust,18.10.2012,Agency Costs,All London Probation,Office Angels,7500020884,"26,111.04",Weekly Agency Staff invoice,B37 7YE,SME,,,Administration
Ministry of Justice,London Probation Trust,04.10.2012,Agency Costs,All London Probation,Reed Solutions,7500020657,"45,124.13",Weekly Agency Staff invoice,SW20 0BA,SME,,,Administration
Ministry of Justice,London Probation Trust,11.10.2012,Agency Costs,All London Probation,Reed Solutions,7500020769,"41,437.92",Weekly Agency Staff invoice,SW20 0BA,SME,,,Administration
Ministry of Justice,London Probation Trust,18.10.2012,Agency Costs,All London Probation,Reed Solutions,7500020886,"53,828.52",Weekly Agency Staff invoice,SW20 0BA,SME,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Agency Costs,All London Probation,Reed Solutions,7500021026,"44,900.27",Weekly Agency Staff invoice,SW20 0BA,SME,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Computer Costs,All London Probation,Capita Secure Information Solutions,7500021036,"38,274.72",Delius Support Costs,SN14 0TW,SME,,,Administration
Ministry of Justice,London Probation Trust,11.10.2012,Furniture Purchases,All London Probation,Whiteleys Office Supplies,7500020784,"61,258.47",Additional cabinets to comply with Information Security requirements,BR1 4DR,SME,,,Administration
Ministry of Justice,London Probation Trust,04.10.2012,NOMS Premises Recharges,All London Probation,Ministry of Justice,7500020676,"752,525.01",Monthly property rental/utilities/Insurance,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,London Probation Trust,18.10.2012,NOMS IT Recharges,All London Probation,Ministry of Justice,7500020906,"956,820.84",Bi-Monthly Recharge for provision of IT,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,London Probation Trust,01.10.2012,VAT Charge,All London Probation,HM Revenue and Customs,7500020621,"1,087,545.00", Monthly VAT payment,L74 4AA,Public Sector,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,VAT Charge,All London Probation,HM Revenue and Customs,7500021058,"3,154,573.32", Quarterly VAT payment,L74 4AA,Public Sector,,,Administration
Ministry of Justice,London Probation Trust,11.10.2012,Pension Costs,All London Probation,London Pension Fund Authority,7500020809,"35,678.83",Additional Pension Benefits,EC3N 4LP,Public Sector,,,Administration
Ministry of Justice,London Probation Trust,25.10.2012,Pension Costs,All London Probation,London Pension Fund Authority,7500021073,"36,385.82",Additional Pension Benefits,EC3N 4LP,Public Sector,,,Administration
Ministry of Justice,Norfolk and Suffolk Probation Trust,29/10/2012,VAT,Corporate,HMRC - HM Revenue & Customs,27025,"151,383.00",Vat on account, BD98 8AB,large,,,
Ministry of Justice,Norfolk and Suffolk Probation Trust,04/10/2012,VAT,Corporate,HMRC - HM Revenue & Customs,27024,"151,383.00",Vat on account,BD98 8AB,large,,,
Ministry of Justice,Norfolk and Suffolk Probation Trust,05/10/2012,Contributions,Corporate,HMRC - HM Revenue & Customs,1868,"290,573.15",Employee Costs, BD98 8AB,large,,,
Ministry of Justice,Norfolk and Suffolk Probation Trust,23/10/2012,Recharge,ICT,Norfolk County Council CASHIERS,1969,"70,000.00",12/13 - 6 month - YOT Secondment,,large,,,
Ministry of Justice,Norfolk and Suffolk Probation Trust,05/10/2012,Contributions,Corporate,Norfolk Pension Fund (Bacs County Hall),1882,"255,406.69",Employee Costs,NR1 2UG,large,,,
Ministry of Justice,Norfolk and Suffolk Probation Trust,02/10/2012,Recharge,ICT,NOMS Agency,1850,"157,719.00",Commercial Estates + App Prem Recharge - Sep,NP20 9BB,large,,,
Ministry of Justice,Northamptonshire Probation Trust,02/10/2012,FM Recharge,All areas (execpt AP),HMPS Shared Services,27173,"47,733.67",Cost of FM across main estate,NP20 9BB,Public Sector / Government,,,Administration
Ministry of Justice,Northumbria Probation Trust,25/10/2012,OMNI Recharge June & July 12,Area wide,NOMS AGENCY,474603,"158,394.18",OMNI Recharge (ICT hardware and software) for June and July 2012,NP20 9BB,Public Sector,N/A,N/A,Administration
Ministry of Justice,Northumbria Probation Trust,04/10/2012,Estates Recharge,Area wide,NOMS AGENCY,474343,"173,756.67",Estates & Approved Premises recharge Sep 12,NP20 9BB,Public Sector,N/A,N/A,Administration
Ministry of Justice,Northumbria Probation Trust,18/10/2012,VAT on Account,Area wide,HMRC,474546,"834,168.44",VAT owed to HMRC (the Trust pays via payment on account on a monthly basis),L74 4AA,Public Sector,N/A,N/A,Administration
Ministry of Justice,Nottinghamshire Probation Trust,25/09/2012,Estates Charges - September 2012,Whole Service,National Offender Management Service,377168,"122,621.33",Estates Monthly Charge for September,NP20 9BB,Large,n/a,n/a,Estates Charge
Ministry of Justice,South Yorkshire Probation Trust,29/10/2012,Partnership Training,PQF/Training,West Yorkshire Probation Trust,23022,"33,210.00",Contribution to PQF ,WF1 2DJ,Probation Trust,-,300008-72124,
Ministry of Justice,Staffordshire and West Midlands Probation Trust,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return
Ministry of Justice,Surrey & Sussex Probation Trust,02/10/2012,Facilities Management Payments,Central Support Services,National Offender Management Service,3400042867,"105,183.17",Estates Recharge August 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,02/10/2012,Facilities Management Payments,Bail Hostel,National Offender Management Service,3400042867,"5,904.17",Estates Recharge August 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,02/10/2012,Facilities Management Payments,St Catherine's Hostel,National Offender Management Service,3400042867,"10,425.00",Estates Recharge August 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,09/10/2012,Facilities Management Payments,Central Support Services,National Offender Management Service,3400042868,"105,183.17",Estates Recharge September 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,09/10/2012,Facilities Management Payments,Bail Hostel,National Offender Management Service,3400042868,"5,904.17",Estates Recharge September 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,09/10/2012,Facilities Management Payments,St Catherine's Hostel,National Offender Management Service,3400042868,"10,425.00",Estates Recharge September 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,25/10/2012,Computer Maintenance,NOMS Recharges,National Offender Management Service,3400043230,"165,932.01",OMNI LiveService Recharges Jun 2012 & Jul 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,25/10/2012,IT Training,Central Management - IT,National Offender Management Service,3400043230,774.17,OMNI LiveService Recharges Jun 2012 & Jul 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,25/10/2012,Training & Conferences,Human Resourses,National Offender Management Service,3400043230,375.00,OMNI LiveService Recharges Jun 2012 & Jul 2012,NP20 9BB,Public Sector,,,Administration
Ministry of Justice,Surrey & Sussex Probation Trust,25/10/2012,VAT,VAT,HM Revenue & Customs,3400043240,"841,793.90",VAT Payment Q2 2012-2013,BX5 5AT,Public Sector,,,VAT
Ministry of Justice,Thames Valley Probation Trust,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return,nil return
Ministry of Justice,Wales Probation Trust,18/10/2012,Third Party,Corporate,Prism,100354,"25,242.23",Partnership,SA31 1TF,,,,Administration
Ministry of Justice,Wales Probation Trust,25/10/2012,Third Party,Corporate,Kaleidoscope Project,1588,"29,166.50",Partnership,NP20 1JU,,,,Administration
Ministry of Justice,Wales Probation Trust,05/10/2012,Third Party,Corporate,Nacro,NOI/001143,"32,500.00",Partnership,B6 4US,,,,Administration
Ministry of Justice,Wales Probation Trust,11/10/2012,Third Party,Corporate,Gwalia Care & Support,SICG002154,"36,408.00",Partnership,SA1 5JN,,,,Administration
Ministry of Justice,Wales Probation Trust,25/10/2012,Finance,Corporate,Community Justice Intervention Wales,0425,"43,900.75",Partnership,LD3 7AD,,,,Administration
Ministry of Justice,Wales Probation Trust,05/10/2012,Third Party,Corporate,Cri,13616,"123,715.00",Partnership,BN1 1YR,,,,Administration
Ministry of Justice,Wales Probation Trust,05/10/2012,Estates,Corporate,Noms Agency,377248,"295,551.17",Estates September 2012,NP30 9BB,,,,Administration
Ministry of Justice,Wales Probation Trust,25/10/2012,Third Party,Corporate,Cri,13600,"411,618.75",Partnership,BN1 1YR,,,,Administration
Ministry of Justice,Wales Probation Trust,25/10/2012,Finance,Corporate,Hmrc Vat,990214229/OCT12,"1,630,118.70",VAT Pament,L74 4AA,,,,Administration,,
Ministry of Justice,Warwickshire Probation Trust,10/10/2012,Facilities Management,Estates,NOMS,40002147,"49,879.50",Monthly payment for FM charges - September 2012,NP20 9BB,Large,N/A,N/A,Administration,,
Ministry of Justice,West Mercia Probation Trust ,01/10/2012,Invoice,IT,Alliantist,122082,"32,400.00",PAM Annual Licence,BN1 9SD,,,,,,
Ministry of Justice,West Mercia Probation Trust ,09/10/2012,Contract,Aim Project,Youth Support Services,122093,"27,043.00",Aim Partnership,WR9 0PT,,,,,,
Ministry of Justice,West Mercia Probation Trust ,09/10/2012,Facilities Management,Estate Contract,Ministry of Justice,113784,"100,542.17",Payment for property costs,NP20 9BB,Government,,,,,
Ministry of Justice,West Yorkshire Probation Trust,04/10/2012,Offender,Offender Management,Leeds City Council,32811,"28,738.00",YOT Contribution,LS2 8JR,Public sector,,,Grant payment,,
Ministry of Justice,West Yorkshire Probation Trust,04/10/2012,Pension,Corporate Services,West Yorkshire Pension Fund,32817,"254,052.19",Payment to Pension Fund,BD1 1UP,Public sector,,,Administrative,,
Ministry of Justice,West Yorkshire Probation Trust,25/10/2012,Premises,Corporate Services,NOMS,32894,"215,914.00",Estates Recharge Sept 12,NP20 9BB,Public sector,,,Administrative,,
Ministry of Justice,West Yorkshire Probation Trust,18/10/2012,Communications,Corporate Services,Kcom Group Plc,33183,"23,348.64",Telephones 1/7/12-30/9/12,WF2 0UG,Large,,,Administrative,,
Ministry of Justice,West Yorkshire Probation Trust,25/10/2012,VAT,Corporate Services,HMRC,33450,"314,628.00",VAT,BX5 5AT,Public sector,,,Administrative,,
Ministry of Justice,Wiltshire Probation Trust,12/10/2012,Estates,Estates,NOMS,377253,"42,972.17",Estate rechrge,NP20 9BB,Large,,,,,
Ministry of Justice,York & North Yorkshire Probation Trust,25/10/2012,Premises,Corporate Services,NOMS,8558,"41,073.00",Estates Recharge Sept 12,NP20 9BB,Public sector,,,Administrative,,
Ministry of Justice,Cumbria Probaton Trust,08/10/2012,Estates Recharges,All areas,NOMS,009-02-0042376,65282.67,Estates Recharges Sept 2012,NP20 9BB,Public Sector,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
