Site,Chart 1:Number of cases included in chart,Chart 1:Admitted to orthopaedic ward within 4 hours (n),Chart 1:Admitted to orthopaedic ward after 4 hours (n),Chart 1:Not admitted to orthopaedic ward (n),Chart 1:Unknown (n),Chart2:Number of cases included in chart,Chart2:Routine by orthogeriatrician (n),Chart2:All other reviews (n),Chart2:No assessment (n),Chart2:Unknown (n),Chart3:Number of cases included in chart,"Chart3:GA, GA+nerve block (n)","Chart3:SA, SA+epidural(CSE), SA+nerve block (n)","Chart3:GA+SA, GA+epidural (n)",Chart3:Unknown and other (n),Chart4:Number of cases included in chart,"Chart4:Surgery on day of, or day after, admission (n)",Chart4:Surgery two or more calendar days after admission (n),Chart4:No surgery performed (n),Chart4:Unknown (n),Chart5:Number of cases included in chart,Chart5:Internal fixation (n),Chart5:Arthroplasty (n),Chart5:No operation (n),Chart5:Unknown and other (n),Chart6:Number of cases included in chart,Chart6:Arthroplasty (n),Chart6:Internal fixation (n),Chart6:No operation (n),Chart6:Unknown and other (n),Chart7:Number of cases included in chart,Chart7:Cemented (n),Chart7:Uncemented (n),Chart8:Number of cases included in chart,Chart8:Total hip replacement (n),Chart8:Other operation or unknown (n),Chart9:Number of cases included in chart,Chart9:Internal fixation SHS (n),Chart9:Internal fixation – not SHS (n),Chart9:Arthroplasty (n),Chart9:No operation (n),Chart9:Unknown and other (n),Chart10:Number of cases included in chart,Chart10:Internal fixation – all intramedullary nail (n),Chart10:Internal fixation –all other (n),Chart10:Arthroplasty (n),Chart10:No operation (n),Chart10:Unknown and other (n),Chart11:Number of cases included in chart,Chart11:Surgery (n),Chart11:No surgery (n),Chart11:Unknown (n),Chart12:Number of cases included in chart,Chart12:Reoperation within 30 days (n),Chart12:No reoperation within 30 days (n),Chart12:Unknown (n),Chart13:Number of cases included in chart,Chart13:Continued from pre-admission (n),Chart13:Started on this admission (n),Chart13:Awaits DXA scan (n),Chart13:Awaits bone clinic assessment (n),Chart13:Assessed – no bone protection medication needed/appropriate (n),Chart13:No assessment or action taken (n),Chart13:Unknown (n),Chart14:Number of cases included in chart,Chart14:Yes (n),Chart14:No or unknown (n),Chart15:Number of cases included in chart,Chart15:Pressure ulcers (n),Chart15:No pressure ulcers (n),Chart15:Unknown (n),Chart16:Number of cases included in chart,Chart16:Own home/sheltered housing (n),Chart16:Rehabilitation unit (n),Chart16:Acute hospital (n),Chart16:Residential care (n),Chart16:Nursing care (n),Chart16:Dead (n),Chart16:Other (n),Chart16:Unknown (n),Chart17:Number of cases included in chart,Chart17:Own home/sheltered housing (n),Chart17:Residential care (n),Chart17:Nursing care (n),Chart17:Rehabilitation unit (n),Chart17:Acute hospital (n),Chart17:Already in hospital (n),Chart17:Other (n),Chart17:Unknown (n),Chart18:Number of cases included in chart,Chart18:Mean length of acute stay (days),Chart18:Mean length of post-acute stay (days),Chart19:No. of cases eligible for mortality analysis,Chart19:Raw mortality rate within 30 days (%),Chart19:Adjusted mortality rate with 30 days (%),Chart20:No. of cases eligible for return home from home analysis,Chart20:Raw return home rate by 30 days (%),Chart20:Adjusted return home rate by 30 days (%),Chart21:Number of cases included in chart,Chart21:Ineligible - met 9 criteria,Chart21:Ineligible - met 8 criteria (n),Chart21:Ineligible - met 7 criteria (n),Chart21:Ineligible - met 6 criteria (n),Chart21:Ineligible - met 5 criteria (n),Chart21:Ineligible - met 4 criteria (n),Chart21:Ineligible - met 3 criteria (n),Chart21:Ineligible - met 2 criteria (n),Chart21:Ineligible - met 1 criteria (n),Chart21:Ineligible - met 0 criteria (n),Regional table:Number of cases submitted,Regional table:Admitted to orthopaedic ward within 4 hours (%),Regional table:Surgery on the day of or day after admission (%),Regional table:Senior geriatric review within 72 hours of admission (%),Regional table:Abbreviated mental test performed (%),Regional table:Specialist falls assessment performed (%),Regional table:Bone health medication assessment performed (%),Regional table:Patients developing pressure ulcers (%),Regional table:Best practice tariff attainment (%),Regional table:Mortality 2011 to 2013 - crude (%),Regional table:Mortality 2011 to 2013 - casemix adjusted (%),Regional table:Returned home from home within 30 days - crude (%),Regional table:Return home from home within 30 days - casemix adjusted (%),Regional table:Mean length of total Trust stay [acute + post-acute] (days),Regional table:30 day follow up completion rate (%),Facilities audit:No. of hip fractures treated/annum,Facilities audit:Trauma service description,Facilities audit:Hours of designated trauma/week,Facilities audit:No. of WTE orthopaedic consultants,Facilities audit:No. of WTE orthopaedic middle grades,Facilities audit:Orthogeriatric consultant hours/week,Facilities audit:Orthogeriatric middle grade hours/week,Facilities audit:Orthogeriatric ward rounds/week,Facilities audit:No of. WTE fragility fracture nurses,Facilities audit:No. of WTE fracture liaison nurses,Facilities audit:Specific clerking proforma,Facilities audit:Falls clinic,Facilities audit:DXA on-site facility,Facilities audit:Data collected by,Facilities audit:Data entered by,Facilities audit:Enhanced recovery programme,Facilities audit:Early supported discharge service,Facilities audit:Access to rehabilitation beds
BNT,279,108,79,92,0,304,299,*,0,0,304,252,41,7,*,304,251,50,*,0,14,13,*,0,0,149,142,*,*,*,143,13,130,75,*,71,115,96,16,0,*,*,25,23,*,0,0,*,304,301,*,0,280,0,*,279,283,13,146,11,0,113,0,0,283,283,0,283,9,266,8,283,116,68,*,35,29,21,10,0,304,221,40,20,*,0,17,*,0,180,20.8,*,889,8.1,9.2,221,43.4,42.6,300,229,63,*,*,0,*,0,0,0,0,304,38.7,82.6,95.7,98,100,100,*,76.3,8.1,9.2,43.4,42.6,22.9,*,450,DGH,55.5,15,16,24,40,*,0,*,No,Con,Axial,Nurses,Nurses,No,Yes,No
BOL,325,265,55,*,*,343,278,10,55,0,343,127,187,19,10,343,185,149,9,0,33,26,*,*,0,166,150,10,*,*,155,154,*,66,16,50,113,93,19,0,*,0,31,27,*,0,*,0,343,334,9,0,312,9,280,23,309,34,251,8,0,16,0,0,309,265,44,309,*,304,0,320,125,98,*,23,35,34,*,0,343,263,28,35,*,0,15,*,0,319,17.3,*,1045,10.8,9.9,263,47.1,50.3,339,138,114,27,30,24,*,*,0,0,0,343,81.5,53.9,77.8,98.5,85.8,100,*,40.7,10.8,9.9,47.1,50.3,17.8,77,390,DGH,52,12,6,40,12,*,0,0,Yes,Con,None,Nurses,Nurses,Yes,No,Yes
BRD,299,168,129,*,*,315,275,40,0,0,315,97,193,14,11,315,245,60,10,0,104,6,94,*,0,41,40,*,0,0,135,135,0,13,*,10,140,115,18,*,*,*,30,26,*,0,*,0,315,305,10,0,292,*,279,8,283,38,64,19,0,158,*,0,283,280,*,283,*,281,*,301,76,134,*,33,24,31,0,*,315,229,42,26,*,*,12,*,0,298,14.5,0,915,13.3,10.7,229,47.2,48.6,320,247,57,7,*,*,0,*,0,0,0,315,56.2,77.8,97.5,100,98.9,98.6,*,77.2,13.3,10.7,47.2,48.6,14.5,95.9,330,DGH,60,15,9,15,0,*,0,0,Yes,Con,Axial,Admin,Admin,No,Yes,Yes
BRI,346,63,252,30,*,370,59,195,116,0,370,294,46,23,7,370,266,98,6,0,29,22,*,*,0,192,182,6,*,0,187,187,0,108,39,69,121,98,23,0,0,0,28,28,0,0,0,0,370,364,6,0,331,9,309,13,328,35,166,54,25,47,*,0,328,328,0,328,16,312,0,337,174,45,*,27,48,40,*,0,370,289,36,18,*,*,17,*,0,303,18,8.2,1035,9.4,10.1,289,57.4,56,370,186,128,47,6,0,*,*,0,0,0,370,18.2,71.9,71.4,100,100,99.7,*,50.3,9.4,10.1,57.4,56,26.3,97.9,380,Both,46,14,15,32,0,5.5,*,*,Yes,Con,Axial,Nurses,Nurses,Yes,No,Yes
BRO,354,73,210,66,*,371,0,312,59,0,371,156,165,36,14,371,278,79,14,0,11,8,*,0,0,191,171,11,9,0,174,48,126,85,11,74,143,124,15,0,*,0,26,16,9,0,*,0,371,357,14,0,331,0,0,331,316,15,300,0,0,*,0,0,316,316,0,316,*,310,*,345,192,52,*,28,20,52,0,0,371,296,28,29,*,*,15,0,0,284,20.2,*,998,9.8,10.4,296,50.3,52.6,362,147,130,60,17,6,*,0,*,0,0,371,20.6,74.9,70.4,98.9,100,100,*,40.6,9.8,10.4,50.3,52.6,21.4,0,380,DGH,56,7,13,8,*,*,*,0,Yes,Con,Axial,Nurses,Nurses,No,Yes,Yes
BRT,251,142,98,0,11,268,15,13,240,0,268,105,20,*,141,268,224,32,11,*,34,13,20,*,0,118,106,7,*,*,127,126,*,72,6,66,107,99,0,*,6,*,N/A,N/A,N/A,N/A,N/A,N/A,268,257,11,0,249,0,0,249,242,6,233,0,0,*,*,*,242,239,*,242,0,242,0,260,87,97,*,16,33,25,0,0,268,211,20,29,*,*,6,0,0,259,16.8,0,825,9.2,N/A,211,34.6,30.4,278,196,64,7,10,0,0,*,0,0,0,268,56.6,83.6,83.6,100,98.8,99.2,0,70.5,9.2,N/A,34.6,30.4,16.8,0,257,DGH,44,9,8,15,15,*,0,0,Yes,Con,Peri,Audit,Audit,No,No,No
BSL,186,78,107,0,*,195,104,91,0,0,195,25,160,*,6,195,150,40,*,0,48,15,33,0,0,69,54,15,0,0,89,60,29,27,*,25,76,67,*,*,*,0,N/A,N/A,N/A,N/A,N/A,N/A,195,190,*,0,184,0,87,97,177,21,138,11,0,7,0,0,177,177,0,177,0,177,0,189,79,21,*,49,20,17,0,0,195,152,18,17,*,0,6,*,0,187,15,*,528,10.2,9.3,152,55.3,59.4,195,140,46,7,0,*,0,0,*,0,0,195,41.9,76.9,91.8,99.5,100,100,0,71.8,10.2,9.3,55.3,59.4,15.6,83.9,150,DGH,28,6,6,*,0,*,*,0,Yes,Con,Axial,Nurses,Admin,Yes,Yes,Yes
CGH,313,88,218,6,*,327,98,0,229,0,327,191,9,124,*,327,274,52,*,0,29,17,11,*,0,177,161,16,0,0,173,161,12,102,19,83,111,108,*,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,327,326,*,0,310,*,305,*,299,43,236,0,0,17,*,0,299,299,0,299,11,288,0,311,133,36,*,63,45,27,*,*,327,227,49,40,*,0,8,0,0,305,18,*,896,10.6,10.4,227,53.3,51.4,331,197,92,33,*,*,*,*,0,0,0,327,28.1,83.8,72.5,99.7,100,99,*,59.5,10.6,10.4,53.3,51.4,18.7,*,278,DGH,28,8,7,8,0,*,0,0,Yes,Con,None,Admin,Admin,Yes,No,Yes
CHE,393,206,183,0,*,408,*,407,0,0,408,168,223,*,14,408,278,130,0,0,16,14,*,0,0,224,219,*,0,0,221,160,61,118,22,96,145,145,0,0,0,0,23,19,*,0,0,0,408,408,0,0,387,0,0,387,378,43,270,12,19,34,0,0,378,378,0,378,10,359,9,387,133,135,*,30,52,28,*,0,408,290,46,53,*,13,*,0,0,387,19.7,*,1132,*,*,290,41.4,41.8,408,226,133,39,8,*,0,*,0,0,0,408,52.4,68.1,88.5,97.1,100,100,*,55.4,*,*,41.4,41.8,20,0,410,DGH,38.5,9,7.3,16,0,*,*,0,Yes,Con,Axial,Admin,Admin,No,No,No
CHG,257,168,79,*,7,278,244,*,30,0,278,152,98,15,13,278,149,123,6,0,16,13,*,0,0,131,124,*,*,0,128,122,6,77,19,58,91,88,*,0,*,0,38,29,8,0,*,0,278,272,6,0,260,*,21,238,262,13,199,27,0,23,0,0,262,262,0,262,*,254,*,266,100,132,0,*,13,16,0,0,278,228,12,23,*,0,14,0,0,262,14.9,*,885,8,8,228,55.7,57.4,275,101,104,44,20,*,0,*,0,0,0,278,65.4,53.6,93.9,99.6,100,100,*,36.7,8,8,55.7,57.4,15.2,37.5,260,DGH,28,11,11,8,30,*,*,*,No,Con,Axial,Nurses,Nurses,No,No,Yes
CHS,142,0,0,142,0,157,157,0,0,0,157,126,24,*,*,157,136,17,*,0,16,14,*,*,0,72,70,*,0,*,71,24,47,36,9,27,56,41,12,0,*,*,13,12,0,0,*,0,157,153,*,0,152,6,0,146,142,11,109,*,0,19,0,*,142,141,*,142,*,128,9,156,61,45,7,9,16,15,*,0,157,125,10,*,*,0,13,*,0,298,14.5,19.6,558,9.9,11.6,125,46.4,46.5,165,139,24,*,0,0,0,*,0,0,0,157,0,86.6,99.4,100,99.3,99.3,*,84.2,9.9,11.6,46.4,46.5,N/A,*,219,DGH,17.5,7.5,9,12,32,*,0,0,N/A,Con,None,Nurses,Nurses,N/A,N/A,N/A
CMI,382,207,174,0,*,413,19,49,344,*,413,219,172,15,7,413,278,128,7,0,35,33,*,*,0,202,198,0,*,0,199,178,21,77,7,70,154,146,6,0,*,0,19,18,*,0,0,0,413,406,7,0,384,*,341,39,388,42,89,40,0,59,158,0,388,77,311,388,11,377,0,391,110,181,9,48,14,25,*,0,413,329,66,15,*,0,*,*,0,297,14.5,10.7,1165,7.1,6.8,329,49.2,48.7,411,41,9,*,18,76,112,77,41,28,*,413,54.2,67.3,14,89.1,19.8,59.3,*,10,7.1,6.8,49.2,48.7,14.8,89.7,450,DGH,52.5,10,10,15,15,*,*,0,No,Nurse,None,Nurses,Nurses,No,No,Yes
COC,335,163,155,9,8,345,59,254,32,0,345,77,230,19,19,344,272,58,14,0,27,14,10,*,0,174,160,*,9,0,171,163,8,91,20,71,124,99,23,*,*,0,19,12,6,0,*,0,345,331,14,0,289,*,278,9,297,66,174,37,*,14,*,0,297,265,32,297,11,286,0,302,139,38,*,24,50,40,10,0,345,259,35,34,*,0,12,*,0,502,13.2,*,984,9.2,10.2,259,52.5,49.4,329,171,91,32,21,7,6,*,0,0,0,345,48.7,79.1,76.5,98.8,89.2,98.7,*,52,9.2,10.2,52.5,49.4,25.2,93.8,351,DGH,41,8,8,7,*,*,*,*,Yes,Con,Peri,Nurses,Nurses,No,No,No
COL,519,249,264,0,6,535,*,190,344,0,535,385,130,6,14,535,359,162,14,0,43,13,29,*,0,280,229,41,10,0,260,242,18,138,9,129,184,153,26,*,*,0,25,15,10,0,0,0,535,521,14,0,491,0,0,491,499,31,353,*,*,65,42,0,499,453,46,499,*,494,0,503,268,*,0,114,9,32,78,0,535,404,114,*,0,0,11,*,0,260,9.9,14.5,1540,9.5,8.8,404,60.6,61.8,529,266,161,44,10,27,14,7,0,0,0,535,48,67.1,70.7,98.9,90.8,91.6,*,50.3,9.5,8.8,60.6,61.8,14.6,0,550,DGH,56,12,10,8,*,*,0,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,Yes
DAR,326,197,123,0,6,345,163,11,171,0,345,132,197,7,9,345,213,126,6,0,25,18,7,0,0,181,166,10,*,0,175,159,16,70,14,56,118,92,24,*,0,*,13,11,*,0,*,0,345,339,6,0,323,*,140,180,315,59,121,22,*,50,0,0,315,310,*,315,*,314,0,329,147,*,*,83,24,29,41,0,345,229,73,19,0,0,21,*,0,496,12.4,*,1027,9.3,7.5,229,51.1,52.1,353,163,144,37,*,*,0,*,0,0,0,345,60.4,61.7,85.5,99.4,98.4,98.7,*,46.2,9.3,7.5,51.1,52.1,19.3,36.1,370,DGH,34.5,9,9,6,0,*,*,*,Yes,None,Axial,Nurses,Audit,No,No,No
DER,524,312,210,0,*,525,184,22,319,0,525,57,448,7,13,525,441,74,8,*,36,28,*,*,0,273,246,17,*,8,252,248,*,142,20,122,160,152,*,*,*,0,54,42,9,0,*,*,525,515,8,*,489,11,*,477,525,42,152,34,*,82,*,0,525,520,*,525,*,510,10,496,97,295,*,27,36,0,25,13,525,430,55,24,8,*,*,*,*,367,16.4,*,1389,6.2,6.5,430,22.6,22.2,519,414,67,24,10,*,*,*,0,0,0,525,59.5,84,92.4,98.5,99,99.6,*,79.8,6.2,6.5,22.6,22.2,12.8,0,585,DGH,84,20,20,12,0,*,0,*,Yes,Con,Axial,Nurses,Admin,No,No,No
DGE,381,108,230,*,42,405,139,89,176,*,405,88,285,23,9,405,372,26,*,*,33,12,19,*,0,200,196,*,*,0,216,187,29,111,35,76,150,147,0,0,*,*,21,7,12,0,0,*,405,398,*,*,364,*,22,340,374,8,320,30,7,6,*,*,374,371,*,374,9,355,10,369,209,*,*,51,66,31,*,0,405,297,52,42,*,0,12,0,*,379,14.5,6.4,1145,6.9,7.1,297,64,65.8,392,313,60,12,*,*,*,*,0,0,0,405,28.3,91.9,89.4,99.8,99.2,99.2,*,79.8,6.9,7.1,64,65.8,18.7,*,425,DGH,35,7,8,20,0,*,*,0,Yes,Con,None,Nurses,Nurses,Yes,Yes,Yes
