Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
SUPREME CARE SERVICES LTD,2014.32, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,568.8, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,618.03, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,571.2, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,765.33, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,685.98, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,532, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1438.8, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,837.12, 01/10/2015,Adult and Older People,ISF Personal Care
BLUE OCEAN SERVICES LTD,3838.38, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,640.92, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,1624.26, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,769.83, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1192.1, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1945.15, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,915.6, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,640.92, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,1294.92, 01/10/2015,Adult and Older People,ISF Personal Care
BLUE OCEAN SERVICES LTD,685.98, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,877.36, 01/10/2015,Adult and Older People,ISF Personal Care
BLUE OCEAN SERVICES LTD,613.33, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,769.65, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,617.92, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,739.02, 01/10/2015,Adult and Older People,ISF Personal Care
SUPREME CARE SERVICES LTD,827.93, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
SUPREME CARE SERVICES LTD,1209.9, 01/10/2015,Adult and Older People,ISF Personal Care
BLUE OCEAN SERVICES LTD,508.07, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,732.48, 01/10/2015,Adult and Older People,ISF Personal Care
BLUE OCEAN SERVICES LTD,669.82, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,559.46, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,3393.11, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1196.77, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1480.69, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,669.82, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,729.21, 01/10/2015,Adult and Older People,ISF Personal Care
BLUE OCEAN SERVICES LTD,3094.34, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,830.18, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,725.18, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1050, 01/10/2015,Adult and Older People,Other Services
REDACTED PERSONAL INFORMATION,660, 01/10/2015,Adult and Older People,Other Services
BLUE OCEAN SERVICES LTD,1084.6, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1522.04, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,3850, 01/10/2015,Childrens Services,Other Agency Services
REDACTED PERSONAL INFORMATION,1750, 01/10/2015,Childrens Services,Other Agency Services
REDACTED PERSONAL INFORMATION,1008, 01/10/2015,Childrens Services,Other Agency Services
BLUE OCEAN SERVICES LTD,3273.56, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,3500, 01/10/2015,Childrens Services,Other Agency Services
BLUE OCEAN SERVICES LTD,956.88, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1946.09, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,1148.25, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,997.05, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,517.7, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
BLUE OCEAN SERVICES LTD,804.3, 01/10/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,3678.21, 01/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3192, 01/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2832.18, 01/10/2015,Childrens Services,Agency Placements
ALTERS RECRUITMENT LTD,774.36, 01/10/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,2832.18, 01/10/2015,Childrens Services,Agency Placements
ALTERS RECRUITMENT LTD,688.52, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
ALTERS RECRUITMENT LTD,602.24, 01/10/2015,Adult and Older People,Private Home Help Domest Misc
ALTERS RECRUITMENT LTD,1464.96, 01/10/2015,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,4354.29, 01/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,2540, 01/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3830.08, 01/10/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,12836, 01/10/2015,Childrens Services,Agency Placements
CLOCKHOUSE COMMUNITY CENTRE ASSOCIATON (GREENWICH),553.14, 01/10/2015,Childrens Services,Agency Staff
CLOCKHOUSE COMMUNITY CENTRE ASSOCIATON (GREENWICH),519.29, 01/10/2015,Childrens Services,Agency Staff
SHALOM FAMILY CENTRE LTD,1025, 01/10/2015,Childrens Services,Contact Services Agency
SHALOM FAMILY CENTRE LTD,765, 01/10/2015,Childrens Services,Contact Services Agency
FAMILY MOSAIC HOUSING,1848.7, 01/10/2015,Adult and Older People,In Touch Support
REDACTED PERSONAL INFORMATION,27594.6, 01/10/2015,Childrens Services,Redundancy Payments
ENVIRONMENT AGENCY,37139.25, 01/10/2015,Chief Executives,TWA Levy
ENVIRONMENT AGENCY,837.75, 01/10/2015,Chief Executives,SWA Levy
REDACTED PERSONAL INFORMATION,795.08, 01/10/2015,Systems Control Accounts,Advances
BT PLC,507.33, 02/10/2015,Housing Services HRA,Telephones
DATA CARS LIMITED,590.7, 02/10/2015,Adult and Older People,Travel Expenses
DATA CARS LIMITED,105.6, 02/10/2015,Adult and Older People,Travel Expenses
LONDON BOROUGH OF LEWISHAM,4741.36, 02/10/2015,Childrens Services,MIsc
SEN LEGAL LIMITED,9000, 02/10/2015,Childrens Services,Legal Fees External Contract
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1700.17, 02/10/2015,Adult and Older People,Medical Services
TKTM LIMITED,1140, 02/10/2015,Adult and Older People,Agency Staff
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1394.36, 02/10/2015,Adult and Older People,Medical Services
LINCOLN ANALYTICAL SERVICES LTD,558, 02/10/2015,Comm Safety and Environment,Asbestos Analysis
REDACTED PERSONAL INFORMATION,720, 02/10/2015,Chief Executives,Professional Fees
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1159.36, 02/10/2015,Adult and Older People,Medical Services
REDACTED PERSONAL INFORMATION,798, 02/10/2015,Chief Executives,Professional Fees
OUR LADY OF GRACE PARISH HALL,780, 02/10/2015,Adult and Older People,Venue Hire
LINCOLN ANALYTICAL SERVICES LTD,678, 02/10/2015,Comm Safety and Environment,Asbestos Analysis
INDEPENDANT REVIEWS LTD,637, 02/10/2015,Housing Services HRA,Training Expenses
REDACTED PERSONAL INFORMATION,630, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,660, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,500, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,500, 02/10/2015,Chief Executives,Professional Fees
FORD MOTOR COMPANY LIMITED,27248.4, 02/10/2015,Other General Fund,General Payments
FORD MOTOR COMPANY LIMITED,-343.2, 02/10/2015,Other General Fund,General Payments
FORD MOTOR COMPANY LIMITED,286, 02/10/2015,Other General Fund,General Payments
REDACTED PERSONAL INFORMATION,612.96, 02/10/2015,Childrens Services,Adoption Allowances
NORTHGATE PUBLIC SERVICES (UK) LTD,3558, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,500, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,720, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,1431.6, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,600, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,1206, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,1260, 02/10/2015,Childrens Services,Prof Serv Con Adv Non Curric
REDACTED PERSONAL INFORMATION,673.64, 02/10/2015,Children Services,Expenditure Payments
REDACTED PERSONAL INFORMATION,1410, 02/10/2015,Chief Executives,Services Private Contractor
HASKONINGDHV UK LTD,1764, 02/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
HASKONINGDHV UK LTD,1284, 02/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
REDACTED PERSONAL INFORMATION,1750, 02/10/2015,Eltham Crematorium Revenue,Organist
REDACTED PERSONAL INFORMATION,687.9, 02/10/2015,Adult and Older People,Services by External Providers
UNIVERSITY TECHNICAL COLLEGE,25000, 02/10/2015,Childrens Services,Other Services
LAWSON & PARTNERS LLP,65147.5, 02/10/2015,Regeneration Enterprise and Sk,Rents Other
REDACTED PERSONAL INFORMATION,5989.55, 02/10/2015,Childrens Services,Computer Supplies & Stationery
ROYAL MAIL GROUP LTD,2284.24, 02/10/2015,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,845.76, 02/10/2015,Chief Executives,Postage - Royal Mail
ROYAL MAIL GROUP LTD,1931.82, 02/10/2015,Chief Executives,Postal Machine Rental & Maintenance
VISIONAID TECHNOLOGIES LIMITED,100.8, 02/10/2015,Chief Executives,Equipment
VISIONAID TECHNOLOGIES LIMITED,1900.98, 02/10/2015,Chief Executives,Equipment
VISIONAID TECHNOLOGIES LIMITED,270, 02/10/2015,Chief Executives,Equipment
VISIONAID TECHNOLOGIES LIMITED,316.84, 02/10/2015,Chief Executives,Equipment
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
REDACTED PERSONAL INFORMATION,900, 02/10/2015,Chief Executives,Legal Fees
EAST,63521.28, 02/10/2015,Transportation Schemes,General Payments
GREENWICH & DOCKLANDS FESTIVALS,21600, 02/10/2015,Chief Executives,Grants To Voluntary Organ
EAST,15756, 02/10/2015,Transportation Schemes,General Payments
REDACTED PERSONAL INFORMATION,667, 02/10/2015,Childrens Services,Higher Education
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
EMMAUS GREENWICH,294, 02/10/2015,Housing Services HRA,Voids
CAPITA IT SERVICES (BSF) LIMITED,29900.4, 02/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
CAPITA IT SERVICES (BSF) LIMITED,6718.55, 02/10/2015,Regeneration Enterprise and Sk,Services Private Contractor
REDACTED PERSONAL INFORMATION,836, 02/10/2015,Childrens Services,Agency Placements
POTTER RAPER PARTNERSHIP,6873.76, 02/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
REDACTED PERSONAL INFORMATION,540, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,2520, 02/10/2015,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,720, 02/10/2015,Chief Executives,Professional Fees
POTTER RAPER PARTNERSHIP,2418, 02/10/2015,Capital Housing Revenue Acc,Ext Consultants Fees
REDACTED PERSONAL INFORMATION,2160, 02/10/2015,Chief Executives,Professional Fees
FAMILY MOSAIC HOUSING,1848.7, 02/10/2015,Adult and Older People,In Touch Support
TIERGLAZE LTD,930, 02/10/2015,Housing Services HRA,Direct Orders
TIERGLAZE LTD,630, 02/10/2015,Housing Services HRA,Direct Orders
TIERGLAZE LTD,-52, 02/10/2015,Corporate Accounts,Tax Withheld
TREKA BUS LIMITED,66616.07, 02/10/2015,Other General Fund,General Payments
TREKA BUS LIMITED,-264, 02/10/2015,Other General Fund,General Payments
