Table B.2:  Public spending control,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"This table sets out DFID's outturn for 2011-12, by subhead detail against the total budgetary control limits approved by Parliament at Main Estimate and at final Supplementary Estimate.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Resources,Main Estimate,Supplementary Estimate,Forecast Outturn,Variance from Main Estimate,Variance from Supplementary Estimate,,,,,,,,,,,
J:  Independent Commission for Aid Impact (NDPB) (net), - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
K:  CSC (NDPB) (net) scholarship relating to developing countires, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Departmental Unallocated Provision , - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Non-Voted,,,,,,,,,,,,,,,,
L:  European Union Attributed Aid, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Spending in Annually Managed Expenditure, - ,"(1,600) ", - , - ,"(1,600) ",,,,,,,,,,,
Voted,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
M:  Wealth Creation, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
N:  Direct Delivery of Millenium Development Goals, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
O:  Total Operating Costs, - , - , - , - , - ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
P:  Central Programmes, - ,"(1,600) ", - , - ,"(1,600) ",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total," 1,394,000 "," 1,656,505 "," 1,645,907 ","(251,907) "," 10,598 ",,,,,,,,,,,
