Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,PUBLIC RELATIONS,CORPORATE AFFAIRS,PERSONNEL RLTD-STAFF SUBSCRPTN,HEMMING GROUP LIMITED,0000184911,282.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,DAMP PROOF SURVEY FEES,DAMPPROOF/TIMBER TREATMENT,"CONSTRUCTION-BLD,REPR&MAINTNCE",R G SEARLES PRESERVATION,0000185138,682.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,21.61
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184588,42.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,10 HRS + SUBSISTENCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185183,4.81
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184564,18.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,58.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184588,21.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,12 HOUR ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185162,6.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,12 HOUR ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185183,29.93
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184564,155.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,74.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184588,31.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184589,20.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185156,91.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185162,9.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185163,12.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185175,106.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185183,204.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184564,2.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,ENVIRONMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184589,4.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,5 HRS + SUBSISTENCE,ENVIRONMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185162,3.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/09/2011,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000184740,25.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/09/2011,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000184741,25.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CHILDCARE VOUCHERS,ENVIRONMENT,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000184669,278.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,COACH HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,COMPANY BARCLAYCARD,0000185174,254.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/09/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,ICT-TELECOMS,CONTROLSTAR SYSTEMS LTD,0000184633,2000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000184707,2882.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/10/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,MOTT MACDONALD LTD,0000184951,1044.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,ENTECH USB LIMITED,0000185090,484.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/10/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000185186,1296.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,WYG ENV PLANNING TRANSPOR,0000185131,3787.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,WYG ENV PLANNING TRANSPOR,0000185132,4493.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,WYG ENV PLANNING TRANSPOR,0000185133,337.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,WYG ENV PLANNING TRANSPOR,0000185134,75.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,WYG ENV PLANNING TRANSPOR,0000185135,647.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,WYG ENV PLANNING TRANSPOR,0000185136,1503.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,PREMIER WASTE RECYCLING L,0000184306,96.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,PREMIER WASTE RECYCLING L,0000184307,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000184470,2179.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000184500,131.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184647,1825.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184647,234.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184647,4106.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184647,1755.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184647,154.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,1015.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,117.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,351.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,175.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,1121.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,527.94
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,2808.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,284.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,586.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,527.94
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000184648,469.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,PREMIER WASTE RECYCLING L,0000184826,979.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,NORTHUMBERLAND COUNTY COU,0000184952,133.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000184955,4400.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000184957,5250.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000184959,796.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000184960,391.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2011,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000184958,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2011,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000185079,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2011,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000185080,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2011,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000185081,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2011,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000185082,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000184635,584.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,ATKINS LIMITED,0000184638,1134.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,ATKINS LIMITED,0000184639,1404.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,ATKINS LIMITED,0000184641,1290.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,ATKINS LIMITED,0000184642,1224.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,ATKINS LIMITED,0000184643,794.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000184649,3563.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000184650,2330.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000184651,3429.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000184708,1042.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000184822,3429.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000184918,2244.81
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000184919,-3994.18
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000184920,959.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000184921,67719.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000184922,219661.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000184923,107707.64
