TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND. To be submitted to: richard.barlow@education.gsi.gov.uk,,,,,,,
Organisation - TRAINING AND DEVELOPMENT AGENCY,,,,,,,
Month - October 2011,,,,,,,
Dept,Entity,Date,Expense Type,Area,Supplier,Transaction,Amount
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NORTH EAST CONSORTIUM - DURHAM LEA,60008643,"35,100.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NOTTINGHAM TRENT UNIVERSIT,60008669,"312,374.22"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NOTTINGHAM TRENT UNIVERSIT,60008670,"39,630.10"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NOTTINGHAM TRENT UNIVERSIT,60008671,"88,712.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NOTTINGHAM TRENT UNIVERSIT,60008672,"48,505.10"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,NOTTINGHAM TRENT UNIVERSIT,60008678,"61,760.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,OUTSTANDING SCHOOLS SCITT,60008680,"59,637.36"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,OXFORD BROOKES UNIVERSITY,60008682,"345,231.92"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,OXFORD BROOKES UNIVERSITY,60008684,"44,320.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,OXFORDSHIRE LEA,60008689,"28,707.10"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,PILGRIM SCITT,60008693,"29,234.00"
Department For Education,Training & Development Agency For Schools,24/10/2011,Website Maintenance,INFORMATION SERVICES,REDWEB,2775,"39,453.49"
Department For Education,Training & Development Agency For Schools,24/10/2011,Website Maintenance,INFORMATION SERVICES,REDWEB,2776,"70,709.33"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SHEFFIELD HALLAM UNIVERSITY,60008712,"580,396.98"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SHEFFIELD HALLAM UNIVERSITY,60008713,"46,525.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SHEFFIELD HALLAM UNIVERSITY,60008714,"134,544.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SHEFFIELD HALLAM UNIVERSITY,60008719,"27,600.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SOMERSET SCITT,60008720,"32,157.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SOUTHEND TEACHER TRAINING PARTNERSHIP,60008732,"33,656.60"
Department For Education,Training & Development Agency For Schools,06/10/2011,SEN Materials,IMPROVEMENT & TRAINING,SPECIALIST SCHOOLS AND ACADEMIES TRUST,2780,"145,401.60"
Department For Education,Training & Development Agency For Schools,27/10/2011,SEN Materials,IMPROVEMENT & TRAINING,SPECIALIST SCHOOLS AND ACADEMIES TRUST,3116,"187,904.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,ST MARY'S COLLEGE,60008739,"485,624.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,ST MARY'S COLLEGE,60008741,"71,152.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,St. Mary's College,60008745,"31,676.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,Staffordshire University,60008748,"26,744.88"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,STORM DRB,60008761,"38,606.10"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SUFFOLK COUNCIL,60008765,"51,474.80"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,SUFFOLK PRIMARY SCITT,60008769,"33,911.44"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE CAMBRIDGE PARTNERSHIP,60008792,"28,212.15"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE COLLEGE OF ST MARK & ST JOHN,60008796,"298,697.22"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE COLLEGE OF ST MARK & ST JOHN,60008797,"42,960.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE COLLEGE OF ST MARK & ST JOHN,60008798,"74,568.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE COLLEGE OF ST MARK & ST JOHN,60008799,"30,844.12"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE COLLEGE OF ST MARK & ST JOHN,60008800,"31,181.85"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE MARCHES CONSORTIUM,60008809,"47,251.92"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE OPEN UNIVERSITY,60009182,"112,957.92"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE OPEN UNIVERSITY,60009183,"25,798.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE OPEN UNIVERSITY,60009184,"91,344.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE OPEN UNIVERSITY,60009189,"354,470.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE UNIVERSITY OF MANCHESTER,60008825,"196,893.34"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE UNIVERSITY OF MANCHESTER,60008827,"100,648.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,THE UNIVERSITY OF MANCHESTER,60008831,"41,400.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,ITT RECRUITMENT,THE UNIVERSITY OF NOTTINGHAM P,60008835,"34,960.00"
Department For Education,Training & Development Agency For Schools,20/10/2011,Grant Payments,MTL,THE UNIVERSITY OF NOTTINGHAM P,60009220,"25,045.82"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE UNIVERSITY OF READING,60008836,"204,451.88"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE UNIVERSITY OF READING,60008837,"52,784.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE UNIVERSITY OF READING,60008838,"75,808.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE UNIVERSITY OF READING,60008843,"87,111.20"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,THE WEST LONDON GRADUATE TEACHER,60008846,"87,820.85"
Department For Education,Training & Development Agency For Schools,27/10/2011,Grant Payments,IMPROVEMENT & TRAINING,TRIBAL EDUCATION LTD,3119,"48,639.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIV OF NOTTINGHAM,60008862,"129,418.26"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIV OF NOTTINGHAM,60008863,"93,563.14"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,University College Chichester,60008866,"34,151.55"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BATH,60008869,"48,966.44"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BEDFORDSHIRE,60008875,"410,645.58"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BEDFORDSHIRE,60008877,"43,520.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BIRMINGHAM,60008886,"166,271.90"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BIRMINGHAM,60008888,"85,632.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRIGHTON,60008893,"665,083.84"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRIGHTON,60008894,"30,560.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRIGHTON,60008895,"78,400.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRIGHTON,60008897,"25,737.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRIGHTON,60008903,"92,120.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRISTOL,60008904,"112,177.54"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF BRISTOL,60008905,"77,576.32"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CAMBRIDGE,60008909,"222,597.64"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CAMBRIDGE,60008910,"53,280.00"
Department For Education,Training & Development Agency For Schools,11/10/2011,MTL Coach Training,MTL,UNIVERSITY OF CHESTER,2643,"37,699.43"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CHESTER,60008914,"223,289.82"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CHESTER,60008916,"66,562.08"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CHESTER,60008918,"25,737.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CUMBRIA,60008924,"1,181,784.92"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CUMBRIA,60008925,"33,201.60"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF CUMBRIA,60008926,"106,464.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF DERBY,60008936,"205,111.76"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF DERBY,60008938,"25,737.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF DURHAM,60008941,"254,578.32"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF DURHAM,60008942,"53,752.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EAST ANGLIA,60008946,"186,764.84"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EAST ANGLIA,60008948,"46,888.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EAST LONDON,60008952,"281,858.36"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EAST LONDON,60008953,"75,333.20"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EAST LONDON,60008954,"114,065.72"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EAST LONDON,60008956,"26,601.75"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EXETER,60008964,"287,881.40"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF EXETER,60008965,"75,771.06"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF GLOUCESTERSHIRE,60008971,"305,310.12"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF GLOUCESTERSHIRE,60008973,"26,891.14"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF GREENWICH,60008977,"360,015.30"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF GREENWICH,60008979,"42,928.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF GREENWICH,60008984,"78,960.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HERTFORDSHIRE,60008985,"296,538.98"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HERTFORDSHIRE,60008987,"27,840.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HERTFORDSHIRE,60008989,"60,878.85"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HUDDERSFIELD,60008996,"65,004.70"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HULL,60009001,"273,663.57"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HULL,60009002,"27,084.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF HULL,60009003,"71,637.92"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF LEEDS,60009009,"162,639.74"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF LEEDS,60009010,"85,664.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF LEICESTER,60009014,"166,211.74"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF LEICESTER,60009015,"62,832.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF NEWCASTLE UPON TYNE,60009020,"111,344.88"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF NEWCASTLE UPON TYNE,60009022,"55,096.00"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF NORTHAMPTON,60009027,"220,920.68"
Department For Education,Training & Development Agency For Schools,03/10/2011,Grant Payments,FUNDING,UNIVERSITY OF NORTHAMPTON,60009028,"28,212.15"
