Merchant Category,Supplier Name,Service,Summary of Purpose of Expenditure,Date,Net Amount
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,"4,448.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,"-1,010.52"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,"3,552.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,-615.44
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,"1,900.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,-549.24
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,30/05/2017,"1,739.20"
Child / Family Support,ADOPTION MATTERS NORTHWEST,Childrens & Educational Services,Professional Fees,12/05/2017,"1,128.76"
Community Building / Facility,ADSWOOD COMMUNITY CENTRE,Planning Services,Third party payments - Private/Voluntary Sector,03/05/2017,636.00
Community Building / Facility,ADSWOOD COMMUNITY CENTRE,Planning Services,Third party payments - Private/Voluntary Sector,19/05/2017,636.00
Financial Services,Advanced Payment Solutions Ltd,Central Support Costs,Fees and Charges,11/05/2017,624.48
Professional / Consultancy Services,AECOM,Highways & Transport Services,Professional Fees,25/05/2017,"1,000.00"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"12,368.41"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"-12,368.41"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"4,410.00"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"-4,410.00"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"4,427.20"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"7,958.41"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"-7,958.41"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,17/05/2017,"7,941.21"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,24/05/2017,788.00
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,12/05/2017,"10,900.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,250.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"2,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,250.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"2,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,250.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"2,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,250.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"2,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,250.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"2,000.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Capital Expenditure - Fees,26/05/2017,"1,000.00"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,05/05/2017,"3,300.00"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,17/05/2017,"8,352.21"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,17/05/2017,"2,368.31"
Welfare Services,AGE UK STOCKPORT,Adult Social Care,Third party payments - Private/Voluntary Sector,02/05/2017,"22,913.00"
Communications and Technology,Agilisys Professional Services Ltd,Central Support Costs,Information and Communications Technology,24/05/2017,"12,000.00"
Music and Musical Instruments,ALAN GREGORY,Childrens & Educational Services,Furniture and Equipment,16/05/2017,"1,000.00"
Music and Musical Instruments,ALAN GREGORY,Childrens & Educational Services,Furniture and Equipment,16/05/2017,7.95
Social Care Services,ALEXIAN BROTHERS CARE CENTRE,Adult Social Care,Care Payments,22/05/2017,-57.14
Social Care Services,ALEXIAN BROTHERS CARE CENTRE,Adult Social Care,Care Payments,22/05/2017,612.16
Transport and Travel,ALFA TRAVEL,Cultural & Related Services,Publicity and Promotion,05/05/2017,627.62
Transport and Travel,ALFA TRAVEL,Cultural & Related Services,Publicity and Promotion,30/05/2017,"1,459.63"
Childcare Provision,All Aboard Nursery,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,31/05/2017,"4,262.40"
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,08/05/2017,573.50
Facilities / Room Hire,ALMA LODGE HOTEL,Childrens & Educational Services,Furniture and Equipment,19/05/2017,"1,163.25"
Social Care Services,Alpha Care PVT Ltd,Adult Social Care,Care Payments,26/05/2017,"2,964.00"
Social Care Services,Alpha Care PVT Ltd,Adult Social Care,Care Payments,31/05/2017,"4,680.00"
Foster Care,ALPHA PLUS FOSTERING SERVICE,Childrens & Educational Services,Care Payments,30/05/2017,"2,980.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,-391.46
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/05/2017,"4,487.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,613.00
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/05/2017,"3,875.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"-6,964.72"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"-7,598.48"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"25,196.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"8,582.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"26,104.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,31/05/2017,780.00
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"1,226.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"1,196.10"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,31/05/2017,117.00
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/05/2017,"6,781.71"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,-466.28
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"2,272.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,30/05/2017,"1,226.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,31/05/2017,468.00
Health Advice / Awareness,ALZHEIMER'S SOCIETY,Adult Social Care,Third party payments - Private/Voluntary Sector,04/05/2017,"10,495.00"
Utilities,Amey Metering Ltd,Highways & Transport Services,Supplies and services,16/05/2017,"2,700.00"
Social Care Services,AMJ Support Services,Childrens & Educational Services,Care Payments,30/05/2017,"6,648.29"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,22/05/2017,"12,804.21"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,"-1,338.64"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,"3,727.20"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,22/05/2017,"4,225.32"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,-505.20
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,"1,882.80"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,22/05/2017,275.94
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,22/05/2017,296.51
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,-655.20
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,"3,854.69"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,"-1,466.44"
Social Care Services,Anchor Care Homes(Hatton Grange),Adult Social Care,Care Payments,30/05/2017,"3,878.40"
Social Care Services,Anchor Carehomes (Lighbowne Hall),Adult Social Care,Care Payments,22/05/2017,"3,890.80"
Psychology / Assessment Services,ANDREW BECKWITH INDEPENDENT LTD,Childrens & Educational Services,Professional Fees,10/05/2017,680.00
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,625.60
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,584.80
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,681.29
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,603.63
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,"3,083.80"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,"2,152.20"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,"2,576.90"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,"2,255.67"
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,550.80
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,465.80
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,585.98
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,614.22
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,71.40
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,10/05/2017,68.00
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,102.37
Social Care Services,Angel Home Care Services,Adult Social Care,Care Payments,24/05/2017,88.25
Forensics / Laboratories,Anglia DNA Services Ltd,Childrens & Educational Services,Legal Fees,16/05/2017,509.00
Forensics / Laboratories,Anglia DNA Services Ltd,Childrens & Educational Services,Legal Fees,26/05/2017,580.00
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,10/05/2017,"2,453.00"
Animal Welfare Services,ANIMAL WARDENS LTD,Environmental & Regulatory Services,Animal Welfare,10/05/2017,"-1,109.50"
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,127.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,68.50
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,86.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,117.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,132.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,173.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,213.50
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,129.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,145.60
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,162.00
Equipment Supplies,ANIXTER LTD,Planning Services,Information and Communications Technology,26/05/2017,13.00
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/05/2017,"3,300.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/05/2017,"1,500.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/05/2017,"-1,500.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/05/2017,"-1,500.00"
Surveyor,APPLEYARD & TREW LLP,Capital Expenditure,Professional Fees,26/05/2017,"-1,500.00"
Construction / Building Services,APPROVED HEATING COMPANY LTD,Capital Expenditure,Capital Expenditure - Works,03/05/2017,"5,114.11"
Financial Services,APS Financial Ltd,Childrens & Educational Services,Care Payments,03/05/2017,"1,000.00"
