Newcastle City Council Invoices over £250 paid in July 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,41473, THOMPSONS OF PRUDHOE LTD,5933410,Revenue,1KEMC,HIGHWAYS OVERHEADS           K,258.70 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41457,13 FERGUSONS LANE,5926843,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,13 FERGUSONS LANE,5956111,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,18 SEA VIEW VILLAS,5926785,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,18 SEA VIEW VILLAS,5956043,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,
Environment & Regeneration,Invoice,Supplies & Services,41470,20-20 VISION SYSTEMS LTD,5938179,Revenue,1KL1E,Elswick Pool                 K,287.02 ,,,,,,,,,,,
Childrens Services,CD - Legal Services              ,Supplies & Services,41486,36 BEDFORD ROW,5957830,Revenue,1E+228,SB Teaching Supp SEN Pupils  E,700.00 ,,,,,,,,,,,
Childrens Services,Carefirst - Independant Foster payments,Third Party Payments,41457,A SIGNIFICANT OTHER LTD,5927291,Revenue,1MC02,IND Sector Placements        E,"8,600.00 ",,,,,,,,,,,
Childrens Services,Carefirst - Independant Foster payments,Third Party Payments,41457,A WILDERNESS WAY,5927274,Revenue,1MC02,IND Sector Placements        E,"14,000.00 ",,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,41464,A&J KEITH LTD,5935228,Revenue,1KBRM,Sub Contractors R & M        K,"92,309.18 ",,,,,,,,,,,
Childrens Services,Educ Newbiggin S/Start     ,Premises,41463,A&S LOCKSMITHS,5920570,Revenue,1EEH1,NBH CC Central Costs         E,477.41 ,,,,,,,,,,,
Childrens Services,Invoice,Premises,09/07/2013,A&S LOCKSMITHS,5935076,Revenue,1EEH1,NBH CC Central Costs         E,477.41 ,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,41463,A&S LOCKSMITHS,5931989,Revenue,1V080,Private Developers s106      K,598.11 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",41471,ABBEYFIELD CASTLE FARM,5939885,Revenue,1MG20,Ind Res Care Elderly         M,"-1,147.08 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,16/07/2013,ABBEYFIELD CASTLE FARM,5939885,Revenue,1MG20,Ind Res Care Elderly         M,"3,488.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/07/2013,ABBEYFIELD THE GROVE,5939876,Revenue,1MG20,Ind Res Care Elderly         M,"-2,740.95 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,ABBEYFIELD THE GROVE,5939876,Revenue,1MG20,Ind Res Care Elderly         M,"5,754.54 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/07/2013,ABBEYMOOR,5939886,Revenue,1MG10,Ind Nursing Care Elderly     M,-573.08 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/07/2013,ABBEYMOOR,5939886,Revenue,1MM10,Ind Nursing Care MH          M,-315.20 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,ABBEYMOOR,5939886,Revenue,1MG10,Ind Nursing Care Elderly     M,"3,462.52 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,ABBEYMOOR,5939886,Revenue,1MM10,Ind Nursing Care MH          M,"2,010.56 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,23/07/2013,ABCOM SERVICES LTD,5941799,Revenue,1MM40,Direct Payments MH           M,800.00 ,,,,,,,,,,,
Childrens Services,NS: Asset Man              ,Premises,31/07/2013,ABEL ALARM COMPANY LTD,5958008,Revenue,1EPEA,Galafield                    E,396.00 ,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,41484,ABEL ALARM COMPANY LTD,5953949,Revenue,1KKY2,Allendale Accomodation       K,"1,149.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/07/2013,ABIGAIL HOUSE,5939887,Revenue,1MG20,Ind Res Care Elderly         M,"-11,137.98 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41471,ABIGAIL HOUSE,5939887,Revenue,1MG20,Ind Res Care Elderly         M,"36,484.05 ",,,,,,,,,,,
Adult & Culture,Social Services-Care Support           ,Supplies & Services,41457,ABOUT TURN VETERANS SUPPORT SERVICE,5927122,Revenue,1MX10,Community Grants To Vol Orgs M,"2,286.83 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/07/2013,ACCEPT CARE,5934683,Revenue,1MK54,Dom Care Own Tenancy LD      M,-290.96 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41464,ACCEPT CARE,5934683,Revenue,1MK50,Ind Supported Living LD      M,"1,817.20 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09/07/2013,ACCEPT CARE,5934683,Revenue,1MK54,Dom Care Own Tenancy LD      M,"4,906.44 ",,,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,41465,ACCESS INDEPENDENT,5935591,Revenue,1V123,Blue Badge Applications      K,"2,299.00 ",,,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,41465,ACCESS INDEPENDENT,5935592,Revenue,1V123,Blue Badge Applications      K,396.60 ,,,,,,,,,,,
Adult & Culture,Social Services                        ,Supplies & Services,41477,ACE CLEANING EQUIPMENT,5946230,Revenue,1MR58,Transport Function           M,504.50 ,,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,29/07/2013,ACORN TREATMENT AND HOUSING,5952236,Revenue,1MP27,DAT Residential Rehab        M,"1,980.00 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,29/07/2013,ACORN TREATMENT AND HOUSING,5952237,Revenue,1MP27,DAT Residential Rehab        M,"2,475.00 ",,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,31/07/2013,ACROL AIR CONDITIONING CO LTD,5958011,Revenue,1FRAW,Window Cleaning              F,497.24 ,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,41457,ACTION BUILDING MAINTENANCE LTD,5926906,Revenue,1KBAA,Building Contracts           K,630.84 ,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,41467,ACTION BUILDING MAINTENANCE LTD,5937692,Revenue,1KBAA,Building Contracts           K,"8,862.00 ",,,,,,,,,,,
Childrens Services,Carefirst - Independant Foster payments,Third Party Payments,41457,ACTION FOR CHILDREN,5927264,Revenue,1MC22,IND Sector Foster Carer CostsE,"6,560.00 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,19/07/2013,ACTION FOR CHILDREN,5944430,Revenue,1EEK1,Fenham Childrens Centre      E,"10,116.50 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,31/07/2013,ACTION FOR CHILDREN,5938545,Revenue,1EEB1,C&B CC Central Costs         E,"44,500.00 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41486,ACTION FOR CHILDREN,5938545,Revenue,1EEK1,Fenham Childrens Centre      E,0.00 ,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,31/07/2013,ACTION FOR CHILDREN,5938545,Revenue,1EEM6,Woodlands Children's Centre  E,0.00 ,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41486,ACTION FOR CHILDREN,5946273,Revenue,1EEJ7,Newburn Childrens Centre     E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41486,ACTION FOR CHILDREN,5946273,Revenue,1EEK6,Denton Westerhope Chldrn CentE,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41486,ACTION FOR CHILDREN,5946273,Revenue,1EEK5,Westerhope Childrens Centre  E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41486,ACTION FOR CHILDREN,5946273,Revenue,1EEH1,NBH CC Central Costs         E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,31/07/2013,ACTION FOR CHILDREN,5946273,Revenue,1EEL1,Lemington Childrens Centre   E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,31/07/2013,ACTION FOR CHILDREN,5946274,Revenue,1EEB1,C&B CC Central Costs         E,"67,000.75 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,31/07/2013,ACTION FOR CHILDREN,5946274,Revenue,1EEK1,Fenham Childrens Centre      E,"13,011.00 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,31/07/2013,ACTION FOR CHILDREN,5946274,Revenue,1EEM6,Woodlands Children's Centre  E,"3,689.50 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938486,Revenue,1EEB1,C&B CC Central Costs         E,"44,500.00 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938486,Revenue,1EEK1,Fenham Childrens Centre      E,0.00 ,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938486,Revenue,1EEM6,Woodlands Children's Centre  E,0.00 ,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41470,ACTION FOR CHILDREN,5938487,Revenue,1EEJ7,Newburn Childrens Centre     E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938487,Revenue,1EEK6,Denton Westerhope Chldrn CentE,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938487,Revenue,1EEK5,Westerhope Childrens Centre  E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41470,ACTION FOR CHILDREN,5938487,Revenue,1EEH1,NBH CC Central Costs         E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938487,Revenue,1EEL1,Lemington Childrens Centre   E,"5,097.15 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938649,Revenue,1EEK1,Fenham Childrens Centre      E,"10,116.50 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,41470,ACTION FOR CHILDREN,5938650,Revenue,1EEB1,C&B CC Central Costs         E,"67,000.75 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938650,Revenue,1EEK1,Fenham Childrens Centre      E,"13,011.00 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938650,Revenue,1EEM6,Woodlands Children's Centre  E,"3,689.50 ",,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,15/07/2013,ACTION FOR CHILDREN,5938651,Revenue,1EEM6,Woodlands Children's Centre  E,"7,261.00 ",,,,,,,,,,,
Childrens Services,Social Services-Care Support           ,Supplies & Services,41457,ACTION FOR CHILDREN,5927117,Revenue,1MD72,Troubled Families Funding    E,"6,705.79 ",,,,,,,,,,,
Childrens Services,Play Service               ,Third Party Payments,41486,ACTION FOR CHILDREN,5938488,Revenue,1EEG1,W River CC Central Costs     E,"26,964.00 ",,,,,,,,,,,
Childrens Services,Play Service               ,Third Party Payments,41486,ACTION FOR CHILDREN,5954075,Revenue,1EEG1,W River CC Central Costs     E,"26,964.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Care Support           ,Supplies & Services,02/07/2013,ACTION FOUNDATION,5927118,Revenue,1MG91,Grants To Vol Orgs Elderly   M,"2,286.83 ",,,,,,,,,,,
Adult & Culture,Social Services-Care Support           ,Supplies & Services,30/07/2013,ACTION FOUNDATION,5956303,Revenue,1MG91,Grants To Vol Orgs Elderly   M,"4,573.66 ",,,,,,,,,,,
Adult & Culture,Adult Serv Sens Supp       ,Supplies & Services,01/07/2013,ACTION ON HEARING LOSS,5897991,Revenue,1MH70,Sensory Support PD           M,"3,094.64 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,41472,ACTIVE HORIZONS LTD,5942296,Revenue,1MK20,Ind Res Care LD              M,"2,884.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/07/2013,ACTIVE HORIZONS LTD,5926840,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/07/2013,ACTIVE HORIZONS LTD,5956108,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,02/07/2013,ACTIVE HORIZONS LTD,5926840,Revenue,1MG20,Ind Res Care Elderly         M,"1,648.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,ACTIVE HORIZONS LTD,5956108,Revenue,1MG20,Ind Res Care Elderly         M,"1,648.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,30/07/2013,ACTIVE HORIZONS LTD,5956108,Revenue,1MK20,Ind Res Care LD              M,"2,884.00 ",,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,41484,ACTIVE TRAVEL,5938803,Revenue,1E+212,Transport Special            E,"1,710.00 ",,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,41470,ACTIVE TRAVEL,5938799,Revenue,1E+212,Transport Special            E,"1,973.00 ",,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,41458,ACTIVE TRAVEL,5925049,Revenue,1E+212,Transport Special            E,"1,260.00 ",,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,41458,ACTIVE TRAVEL,5928923,Revenue,1E+212,Transport Special            E,"1,433.00 ",,,,,,,,,,,
Chief Executives,CD - Electoral Reg               ,Supplies & Services,41477,ADARE LTD,5946128,Revenue,1FK03,Municipal Elections          F,"2,506.73 ",,,,,,,,,,,
Chief Executives,CD - Electoral Reg               ,Supplies & Services,41477,ADARE LTD,5946129,Revenue,1FK03,Municipal Elections          F,"1,694.68 ",,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,41484,ADC ELECTRICAL CO LTD(F),5948134,Revenue,1KR8L,CW District Heating          K,287.00 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,41470,ADC ELECTRICAL CO LTD(F),5887676,Revenue,1KR8E,CW Build Surv Team           K,"1,362.00 ",,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,41470,ADC ELECTRICAL CO LTD(F),5893872,Revenue,1KR8E,CW Build Surv Team           K,412.68 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,41470,ADC ELECTRICAL CO LTD(F),5896256,Revenue,1KR8E,CW Build Surv Team           K,396.68 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,41474,ADC ELECTRICAL CO LTD(F),5939433,Revenue,1KR8E,CW Build Surv Team           K,969.35 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,41456,ADC ELECTRICAL CO LTD(F),5925280,Revenue,1KR8E,CW Build Surv Team           K,"2,600.00 ",,,,,,,,,,,
Adult & Culture,Social Services                        ,Premises,22/07/2013,ADELPHI HOTEL,5944767,Revenue,1MN30,Asylum Seekers Adults        M,"1,106.00 ",,,,,,,,,,,
Adult & Culture,Social Services                        ,Premises,22/07/2013,ADELPHI HOTEL,5944771,Revenue,1MN30,Asylum Seekers Adults        M,"1,659.00 ",,,,,,,,,,,
Adult & Culture,NS: Asset Man              ,Premises,41477,ADT FIRE & SECURITY,5946292,Revenue,1DF10,Theatre Royal Contribution   M,"1,416.96 ",,,,,,,,,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,29/07/2013,ADT FIRE & SECURITY,5952054,Revenue,1KKX1,CIVIC CENTRE DIRECT COSTS    K,261.09 ,,,,,,,,,,,
Environment & Regeneration,CW Security Services             ,Premises,41463,ADT FIRE & SECURITY,5933308,Revenue,1KJ94,Security Services Delegated  K,268.43 ,,,,,,,,,,,
HRA,HRA Planning QS            ,Capital Expenditure,41479,ADT FIRE & SECURITY,5936579,Capital,1HRA8,HRA - Investment Related ExpeH,362.00 ,,,,,,,,,,,
HRA,HRA Planning QS            ,Premises,41466,ADT FIRE & SECURITY,5936578,Revenue,1HBTC,Planned Tech Maintenance     H,600.00 ,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,41474,ADT FIRE & SECURITY,5931996,Revenue,1HP01,Comm. Centres - Citywide     H,"1,248.73 ",,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,41457,ADVANCE INSTALLATIONS LTD,5921138,Revenue,3KS04,Newcastle Warm Zone          K,883.67 ,,,,,,,,,,,
City Services,CD - Exchequer Payroll Prep      ,Supplies & Services,41458,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,5928610,Revenue,1CF00,PAYROLL                      C,"1,700.00 ",,,,,,,,,,,
Environment & Regeneration,EEC Housing                ,Premises,41479,ADVANCED CLEANING & MAINTENANCE LTD,5935662,Revenue,1D568,Work In Default Recoverable  K,"1,220.00 ",,,,,,,,,,,
Chief Executives,CD - Legal Services              ,Supplies & Services,26/07/2013,ADVANCED LEGAL LTD,5943406,Revenue,1FA51,Coroner                      F,900.00 ,,,,,,,,,,,
Chief Executives,CD - Legal Services              ,Supplies & Services,41473,ADVANCED LEGAL LTD,5943405,Revenue,1FA51,Coroner                      F,900.00 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,41471,ADVANCED WATER TECHNOLOGIES,5939235,Revenue,1KR8L,CW District Heating          K,"1,365.00 ",,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,41467,ADVANCED WATER TECHNOLOGIES,5898716,Revenue,1KR8L,CW District Heating          K,"1,365.00 ",,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41467,AEBI SCHMIDT UK LTD,5937030,Revenue,1KESJ,Hort Workshops Routine RepairK,589.34 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41471,AEBI SCHMIDT UK LTD,5924969,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,319.91 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,41472,AEBI SCHMIDT UK LTD,5930995,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,448.27 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,11/07/2013,AEBI SCHMIDT UK LTD,5933158,Revenue,1KESJ,Hort Workshops Routine RepairK,589.34 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/07/2013,AEBI SCHMIDT UK LTD,5908817,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,683.66 ,,,,,,,,,,,
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,02/07/2013,AECOM,5926073,Revenue,1V046,Freight Partnership          K,"5,648.09 ",,,,,,,,,,,
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,41481,AECOM,5947029,Revenue,1V046,Freight Partnership          K,"6,498.00 ",,,,,,,,,,,
Chief Executives,CD - ICT Services (Sch & Child)  ,Capital Expenditure,41480,AEROVISION LTD,5944210,Capital,2FT14,Property Services            F,595.00 ,,,,,,,,,,,
Chief Executives,CD - Safe Newcastle Unit         ,Supplies & Services,19/07/2013,AFRICAN COMMUNITY ADVICE NORTH EAST,5943352,Revenue,1VP24,Arch Crime Harassment        F,300.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,30/07/2013,AGD SYSTEMS LTD,5956190,Revenue,1KELA,Traffic Sig General Oh       K,45.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,41485,AGD SYSTEMS LTD,5956190,Revenue,3KIMF,Highways Stock Account       K,"11,520.00 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,17/07/2013,AGE UK NEWCASTLE,5931205,Revenue,1MG55,Extra Care Housing           M,"19,165.65 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,17/07/2013,AGE UK NEWCASTLE,5931206,Revenue,1MG55,Extra Care Housing           M,"19,060.65 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,05/07/2013,AGE UK NEWCASTLE,5931199,Revenue,1MG55,Extra Care Housing           M,"20,459.25 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,05/07/2013,AGE UK NEWCASTLE,5931200,Revenue,1MG55,Extra Care Housing           M,"21,370.12 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,05/07/2013,AGE UK NEWCASTLE,5931201,Revenue,1MG55,Extra Care Housing           M,"23,824.50 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,41460,AGE UK NEWCASTLE,5931202,Revenue,1MG55,Extra Care Housing           M,"24,036.60 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,41460,AGE UK NEWCASTLE,5931203,Revenue,1MG55,Extra Care Housing           M,"19,590.37 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,41460,AGE UK NEWCASTLE,5931204,Revenue,1MG55,Extra Care Housing           M,"18,774.52 ",,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,41460,AGE UK NEWCASTLE,5931207,Revenue,1MG55,Extra Care Housing           M,"17,668.87 ",,,,,,,,,,,
Adult & Culture,Social Services-Care Support           ,Supplies & Services,41457,AGE UK NEWCASTLE,5927078,Revenue,1MG91,Grants To Vol Orgs Elderly   M,"6,489.21 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09/07/2013,AGE UK NEWCASTLE,5934665,Revenue,1MG50,Ind Home Spot Pur Elderly    M,"1,935.20 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41464,AGE UK NEWCASTLE,5934665,Revenue,1MH50,Ind Home Spot Pur PD         M,"10,738.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09/07/2013,AGE UK NEWCASTLE,5934665,Revenue,1MM50,Ind Home - Spot Pur MH       M,236.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09/07/2013,AGE UK NEWCASTLE,5934692,Revenue,1MG51,Ind Home Per Care Elderly    M,"58,231.98 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,09/07/2013,AGE UK NEWCASTLE,5934692,Revenue,1MH51,Ind Home Per Care PD         M,"5,318.50 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41464,AGE UK NEWCASTLE,5934692,Revenue,1MK51,Ind Home-Per Care LD         M,396.00 ,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41464,AGE UK NEWCASTLE,5934692,Revenue,1MM51,Ind Home-Per Care MH         M,"1,694.00 ",,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,41464,AGE UK NEWCASTLE,5934692,Revenue,3WH96,Continuing Care-Dom Payments M,"1,249.44 ",,,,,,,,,,,
Adult & Culture,Social Services                        ,Premises,01/07/2013,AJP PROPERTY SERVICES LTD,5911022,Revenue,1MN30,Asylum Seekers Adults        M,455.00 ,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,41484,AJT ENVIRONMENTAL CONSULTANTS,5953928,Revenue,1KVWC,Minor Works Contracts        K,300.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,31/07/2013,AKW MEDI-CARE LTD,5950583,Revenue,1KBAA,Building Contracts           K,535.14 ,,,,,,,,,,,
