OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Animal Control,14054814,800569321,Bromsgrove District Council,R4413-REG003,Dog Kennels Fees,11/08/2017,607.65 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14055154,7125/04684737,Buck and Hickman,R4010-OPS001,Materials - Other Materials,25/08/2017,979.03 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054517,IN-70343-1,Building Recruitment Company Limited (BRC),R1100-SUP025,Agency Staff,11/08/2017,768.56 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054518,IN-70665-1,Building Recruitment Company Limited (BRC),R1100-SUP025,Agency Staff,11/08/2017,945.92 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054519,IN-70920-1,Building Recruitment Company Limited (BRC),R1100-SUP025,Agency Staff,11/08/2017,768.56 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054520,IN-71160-1,Building Recruitment Company Limited (BRC),R1100-SUP025,Agency Staff,11/08/2017,945.92 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054521,IN-71273-1,Building Recruitment Company Limited (BRC),R1100-SUP025,Agency Staff,11/08/2017,945.92 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14055143,LGV/67620,C & G Services (Europe) Limited,R1652-OPS001,Training Fees (External),25/08/2017,835.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14055143,LGV/67620,C & G Services (Europe) Limited,R1652-OPS001,Training Fees (External),25/08/2017,-835.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14055143,LGV/67620,C & G Services (Europe) Limited,R1652-OPS001,Training Fees (External),25/08/2017,720.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14054728,55631,Carrington West Limited,R1100-PLP001,Agency Staff,11/08/2017,"1,184.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14054940,30338,CDK Castings Limited T/A Arkell & Hurcombe,R4011-CCM001,Goods For Resale,18/08/2017,796.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Twinning Expenses,14054820,25/07/17,Cheltenham Area Civil Service Sports Association (CACSSA),R4401-DRM011,Services - Fees and Charges,18/08/2017,"3,161.60 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14055015,Com Pride Arts,Cheltenham Christian Arts,R6280-GBD001,Grants,25/08/2017,"2,500.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054854,3128840,CIPFA Business Limited,R1650-SUP025,Training Expenses,18/08/2017,"1,445.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Revenues & Benefits Overheads,14054892,C/RB155877,Civica UK Limited,R4534-LTC101,IT - Maint Agreements,11/08/2017,780.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Revenues & Benefits Overheads,14054892,C/RB155877,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,11/08/2017,"8,281.15 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14054365,C28987,Cotswold Drain Service Limited,R5001-FRM101,TPP - Major External Contractors,04/08/2017,920.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14054522,C29005,Cotswold Drain Service Limited,R5001-FRM101,TPP - Major External Contractors,04/08/2017,"4,160.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14054767,170717,County Drain Services,R2706-OPS001,Cleaning - reactive,04/08/2017,"1,550.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Conveniences,14054856,2.8.17 J306,County Drain Services,R2079-REG019,Sanitary and Plumbing,18/08/2017,655.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Oakley Resource Centre,14055012,14226,Countyclean Cleaning & Maintenance Limited,R2700-COM101,Contract Cleaning,25/08/2017,976.54 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14054909,3011881,Craemer UK Limited,R4000-WST001,Equipment Purchase,18/08/2017,"12,090.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Structural / Damp Works,14054776,15995,Curtins Consulting Limited,C1005-CAH016,Surveyors Fees,11/08/2017,836.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14054777,15997,Curtins Consulting Limited,R2021-HRA100,R & M of Build Disabled Adaptations,18/08/2017,816.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Structural / Damp Works,14054775,16004,Curtins Consulting Limited,C1005-CAH016,Surveyors Fees,11/08/2017,966.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT 5 year Infrastructure Strategy,14054938,7402379989,Dell Corporation Limited,C4000-CAP026,Acquisition of Equipment,18/08/2017,"29,055.36 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Regulatory & Environmental Services Transformation,14055041,7402381784,Dell Corporation Limited,R4400-SUP140,Services - Professional Fees,25/08/2017,511.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14054997,29891,DPDS Regional Limited - DPDS Consulting Group,R4400-DEV001,Services - Professional Fees,25/08/2017,"2,450.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Park Play Area,14055044,90121532 R,Eibe Play Ltd,C4000-CAP125,Acquisition of Equipment,25/08/2017,"6,115.41 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14054701,170716,Elmbridge Carpentry,R2004-FIE040,R & M of Build Programmed,11/08/2017,765.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14054773,170803,Elmbridge Carpentry,R2002-CUL117,R & M of Build Due Vandalism,11/08/2017,"1,050.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14055002,201267/7/2017,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,01/08/2017,"2,763.65 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054256,301267/6/2017,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,04/08/2017,"2,308.41 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054913,301267/7/2017,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,25/08/2017,"2,763.65 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14054994,2026135,Environment Agency,R4400-PLP101,Services - Professional Fees,18/08/2017,588.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Oakley Resource Centre,14054632,H149F5CD85,E-on Energy,R2100-COM101,Electricity,04/08/2017,"1,270.53 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CCTV,14054552,62939,Eurolink Security Installations Group Limited,C4009-CAP201,C C T V,04/08/2017,"1,102.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14055016,Com Pride 050717,Fairview Community Association,R6280-GBD001,Grants,25/08/2017,"1,500.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14054362,17060390,G Purchase Construction Limited,C1107-CAH003,Building Works,04/08/2017,"36,492.94 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trees,14054823,266,Gaskins Treework Specialists,R2070-PLP006,Tree Work,18/08/2017,810.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14054780,030717a,REDACTED,R2075-OPS001,Grounds Maintenance - Contract,11/08/2017,"1,440.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Art,14054535,SI-972,Ginkgo Projects Limited,R4400-PUB101,Services - Professional Fees,04/08/2017,"2,475.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Centres,14054959,28099,GJF Fabrications Limited,R2004-RYC004,R & M of Build Programmed,25/08/2017,"18,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14054205,82968,Glevum Heating & Plumbing Limited,C1107-CAH003,Building Works,04/08/2017,"1,200.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Corporate Policy Making,14054848,1800455113,Gloucestershire County Council,R6282-COR003,Contributions,18/08/2017,"10,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14054963,1800457354,Gloucestershire County Council,R4401-WST001,Services - Fees and Charges,18/08/2017,"7,771.88 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14055113,800007718,GLOUCESTERSHIRE COUNTY COUNCIL (LGPS ONLY),R1301-CCM001,Enhanced Pension,25/08/2017,"1,958.58 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14054622,4681,Gloucestershire Rural Community Council,R4400-PLP001,Services - Professional Fees,04/08/2017,"10,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Twinning Expenses,14054828,217133,Gloucestershire Warwickshire Steam Railway Plc,R4401-DRM011,Services - Fees and Charges,18/08/2017,841.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14054629,4261,Gloucestershire Wildlife Trust,R4400-PLP001,Services - Professional Fees,04/08/2017,"4,920.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14054853,0256/17,Graham Harper Associates Limited,R2004-FIE040,R & M of Build Programmed,18/08/2017,"5,405.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Repairs & Maintenance,14054847,CBC/17/002,Greenhouse Repair Services,R2004-OPS121,R & M of Build Programmed,25/08/2017,588.20 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14054803,54291,Halcrow Group Limited,R5001-FRM101,TPP - Major External Contractors,11/08/2017,"2,667.40 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14055025,435422127,Hamworthy Heating Limited,R2083-CUL117,R&M of Build - Routine,25/08/2017,"5,163.08 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14053980,SIAL/00028187,Herefordshire Housing Limited,R4445-HRA110,Communal Alarms - Monitoring & Maintenance,25/08/2017,"6,006.02 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14054886,CISDEDUCT0607-050817,HMRC (CBC - CIS),B6220-BAL100,CIS Deductions Control (reallocated),11/08/2017,"1,053.27 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Training & Development,14054010,214PS00149425 APLEVY JUNE 2017,HMRC (CBC - PAYE & NIC),R1399-SUP020,Other employee expenses,04/08/2017,"1,438.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Training & Development,14054703,APPRENTICESHIP LEVY JULY 2017 PAYROLL,HMRC (CBC - PAYE & NIC),R1399-SUP020,Other employee expenses,18/08/2017,"1,349.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14055000,23046,Hoge 100 Business Systems Limited,R4401-RYC006,Services - Fees and Charges,25/08/2017,780.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14054801,150361AA3,Ian Williams Limited,R2060-HRA100,R & M of Build Cyclical Painting Communal Areas,11/08/2017,"32,672.38 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Neighbourhood works,14054368,WM007601,Idverde Ltd,C1107-CAH005,Building Works,11/08/2017,"2,403.50 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14054494,WM007602,Idverde Ltd,C1107-CAH055,Building Works,04/08/2017,"34,104.36 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Licensing,14054664,EVE21689,Institute of Licensing Limited,R1652-REG002,Training Fees (External),04/08/2017,544.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14054369,002 IN022944,J Harper & Sons (Leominster) Limited,C1107-CAH055,Building Works,04/08/2017,"111,262.90 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14054981,003 IN022980,J Harper & Sons (Leominster) Limited,C1107-CAH055,Building Works,18/08/2017,"109,149.88 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14054981,003 IN022980,J Harper & Sons (Leominster) Limited,C1107-CAH055,Building Works,18/08/2017,"109,149.88 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2c,14054981,003 IN022980,J Harper & Sons (Leominster) Limited,C1107-CAH055,Building Works,18/08/2017,"-109,149.88 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14054495,17/021,J P North (Farmer),R2071-OPS002,Open Spaces and Grassed Areas,04/08/2017,760.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14054890,63683,J+HM Dickson Limited,R4000-RYC006,Equipment Purchase,11/08/2017,"44,034.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14054564,1027,James Brennan Surveyors Limited,R2004-CCM111,R & M of Build Programmed,04/08/2017,750.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Big Local Project,14054927,Jungle Book 5.8.17,Jenny Wren Productions Limited,R6280-HLD131,Grants,18/08/2017,850.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14054640,inv-1182,JS Security Limited,R4401-ADB103,Services - Fees and Charges,25/08/2017,658.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Tourist/Visitor Information Centre,14054888,CBC15,REDACTED,R4400-TOU002,Services - Professional Fees,25/08/2017,"3,612.30 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14054621,4858,"Knight, Kavanagh & Page Ltd  (KKP Management Consultants)",R4400-DEV001,Services - Professional Fees,04/08/2017,"8,547.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,New Heating Installations,14054896,1190335,Liberty Gas Group,C1107-CAH009,Building Works,11/08/2017,"3,600.91 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14054880,1190336,Liberty Gas Group,R2040-HRA100,R & M of Build Central Heating,25/08/2017,"38,032.17 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14054493,16001054,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,04/08/2017,"3,199.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14054947,16001089,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,18/08/2017,"1,599.50 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14054865,SIN00034707/A,Low Carbon Exchange (LCX Solar Limited),C1107-CAH032,Building Works,11/08/2017,651.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Twinning Expenses,14054821,18315,Marchants Coaches Limited,R3202-DRM011,Hire of Buses,11/08/2017,"1,045.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14054689,20473,Mark Wroot Agricultural & Garden Services,R5001-FRM101,TPP - Major External Contractors,18/08/2017,"1,620.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14054577,11278,Massie Electrics Limited,R2062-REC111,R & M of Build Cyclical Electrical Remedials,04/08/2017,677.51 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14054870,FT_INV00018520,Masterdor Limited,C1107-CAH017,Building Works,11/08/2017,"18,071.03 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Alarms,14054998,2017-7-18-203,Micromarketing Limited,R4014-SPP002,Marketing,25/08/2017,537.42 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054562,16416,MMP Consultancy Limited,R1100-SUP025,Agency Staff,04/08/2017,847.21 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054563,16900,MMP Consultancy Limited,R1100-SUP025,Agency Staff,04/08/2017,931.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054557,17058,MMP Consultancy Limited,R1100-SUP025,Agency Staff,04/08/2017,906.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054724,17226,MMP Consultancy Limited,R1100-SUP025,Agency Staff,11/08/2017,906.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14054851,17390,MMP Consultancy Limited,R1100-SUP025,Agency Staff,18/08/2017,875.88 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14054792,31251,Morgan Lambert Limited,R2040-HRA100,R & M of Build Central Heating,11/08/2017,"1,364.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Robert Harvey House Lift,14054663,BRI MO 17 00 39,Movveo Limited,C1107-CAH023,Building Works,04/08/2017,"1,865.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14054626,CTG JCS 013,REDACTED,R4400-PLP101,Services - Professional Fees,25/08/2017,"3,488.33 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14054806,310717,REDACTED,R4401-CCM001,Services - Fees and Charges,11/08/2017,806.62 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14054889,No17 / 03,Mumkin Operational Services,R4003-OPS002,Tools & Equipment - R & M,11/08/2017,"1,945.80 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14054101,17060205,Nationwide Windows Limited,C1107-CAH017,Building Works,11/08/2017,"143,840.41 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14054838,17070225,Nationwide Windows Limited,C1107-CAH017,Building Works,11/08/2017,"131,187.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14054837,17070226,Nationwide Windows Limited,C1107-CAH017,Building Works,11/08/2017,"68,052.89 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14055037,265a,Nature First Limited,R2070-HRA110,Tree Work,25/08/2017,600.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Internal Improvements,14054511,11192,NKS Contracts (Central) Limited,C1107-CAH004,Building Works,04/08/2017,"54,359.38 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14054661,11267,NKS Contracts (Central) Limited,C1107-CAH015,Building Works,18/08/2017,726.92 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14054661,11267,NKS Contracts (Central) Limited,C1107-CAH015,Building Works,18/08/2017,-726.92 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14054661,11267,NKS Contracts (Central) Limited,C1107-CAH015,Building Works,18/08/2017,726.92 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Internal Improvements,14055056,11323,NKS Contracts (Central) Limited,C1107-CAH004,Building Works,25/08/2017,"16,909.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14054467,1012160,On Demand Print & Design Ltd T/A Colour Connection,R4401-GBD001,Services - Fees and Charges,04/08/2017,566.50 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14054770,O0415522,Orbis Protect Limited,R2012-HRA100,R & M of Build Standby and Call Out,04/08/2017,805.80 ,,
