Newcastle City Council Invoices over £250 paid in May 2013,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,30/05/2013,A&S LOCKSMITHS,5892639,Revenue,1KL1B,City Pool                    K,"1,943.47 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,ABBEYFIELD CASTLE FARM,5887122,Revenue,1MG20,Ind Res Care Elderly         M,-803.92 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ABBEYFIELD CASTLE FARM,5887122,Revenue,1MG20,Ind Res Care Elderly         M,"3,488.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,ABBEYFIELD THE GROVE,5887109,Revenue,1MG20,Ind Res Care Elderly         M,"-4,265.99 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ABBEYFIELD THE GROVE,5887109,Revenue,1MG20,Ind Res Care Elderly         M,"7,100.57 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,ABBEYMOOR,5887123,Revenue,1MG10,Ind Nursing Care Elderly     M,-486.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,ABBEYMOOR,5887123,Revenue,1MM10,Ind Nursing Care MH          M,-318.05 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ABBEYMOOR,5887123,Revenue,1MG10,Ind Nursing Care Elderly     M,"3,462.52 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ABBEYMOOR,5887123,Revenue,1MM10,Ind Nursing Care MH          M,"2,010.56 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ABBEYWELL COURT CARE HOMES,5887156,Revenue,1MG10,Ind Nursing Care Elderly     M,"2,300.00 ",,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,13/05/2013,ABEL ALARM COMPANY LTD,5878399,Revenue,1KE27,Cems And Crem Overhead       K,902.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/05/2013,ABIGAIL HOUSE,5887124,Revenue,1MG20,Ind Res Care Elderly         M,"-7,628.47 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ABIGAIL HOUSE,5887124,Revenue,1MG20,Ind Res Care Elderly         M,"25,172.39 ",,,,,,,,,,,,
Adult & Culture,NS: Admin & Finance        ,Capital Expenditure,10/05/2013,ABLE CONSTRUCTION (NORTHERN) LTD,5876190,Capital,2WC38,Philipson St-Room AlterationsM,"6,661.61 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/05/2013,ACCEPT CARE,5878903,Revenue,1MK54,Dom Care Own Tenancy LD      M,-285.96 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,ACCEPT CARE,5878903,Revenue,1MK50,Ind Supported Living LD      M,"1,817.20 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,ACCEPT CARE,5878903,Revenue,1MK54,Dom Care Own Tenancy LD      M,"4,906.44 ",,,,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,09/05/2013,ACCESS INDEPENDENT,5875506,Revenue,1V123,Blue Badge Applications      K,"4,730.22 ",,,,,,,,,,,,
Chief Executives,CD - Finance & Resources NOR           ,Supplies & Services,28/05/2013,ACCIDENT EXCHANGE LTD,5892655,Revenue,3RM18,INSURANCE CONTROL SUSP-FINANCF,"1,034.40 ",,,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,28/05/2013,ACORN TREATMENT AND HOUSING,5883458,Revenue,1MP27,DAT Residential Rehab        M,"1,485.00 ",,,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,03/05/2013,ACORN TREATMENT AND HOUSING,5871428,Revenue,1MP27,DAT Residential Rehab        M,"1,980.00 ",,,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,13/05/2013,ACORN TREATMENT AND HOUSING,5877654,Revenue,1MP27,DAT Residential Rehab        M,495.00 ,,,,,,,,,,,,
Adult & Culture,Social Services - Social Care Payments ,Third Party Payments,13/05/2013,ACORN TREATMENT AND HOUSING,5877655,Revenue,1MP27,DAT Residential Rehab        M,495.00 ,,,,,,,,,,,,
Environment & Regeneration,NS: Strategy               ,Supplies & Services,20/05/2013,ACP,5868255,Revenue,1KSCD,Ecternal Vehicle Tracking    K,393.62 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,10/05/2013,ACROL AIR CONDITIONING CO LTD,5876808,Revenue,1KL1D,East End Pool                K,542.00 ,,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,28/05/2013,ACTION BUILDING MAINTENANCE LTD,5893223,Revenue,1KBAA,Building Contracts           K,731.70 ,,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,07/05/2013,ACTION BUILDING MAINTENANCE LTD,5873180,Revenue,1KBAA,Building Contracts           K,"1,229.64 ",,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,07/05/2013,ACTION BUILDING MAINTENANCE LTD,5873208,Revenue,1KBAA,Building Contracts           K,"1,366.50 ",,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,13/05/2013,ACTION BUILDING MAINTENANCE LTD,5878376,Revenue,1KARC,Rechargeables Central        K,413.97 ,,,,,,,,,,,,
Childrens Services,Carefirst - Independant Foster payments,Third Party Payments,07/05/2013,ACTION FOR CHILDREN,5874157,Revenue,1MC22,IND Sector Foster Carer CostsE,"6,560.00 ",,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,24/05/2013,ACTION FOR CHILDREN,5890695,Revenue,1EEB1,C&B CC Central Costs         E,"8,239.00 ",,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,24/05/2013,ACTION FOR CHILDREN,5890695,Revenue,1EEK3,Ouseburn Childrens Centre    E,"4,870.50 ",,,,,,,,,,,,
Childrens Services,Int Childhood Services     ,Third Party Payments,24/05/2013,ACTION FOR CHILDREN,5890695,Revenue,1EEK2,S Heaton Ouseburn Chldrn CentE,"4,870.50 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,17/05/2013,ACTION FOR CHILDREN,5883860,Revenue,1MF12,Adoption Interagency         E,"1,194.00 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,03/05/2013,ACTION FOR CHILDREN,5872640,Revenue,1MF10,Adoption Payments            E,750.00 ,,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,03/05/2013,ACTION FOR CHILDREN,5872642,Revenue,1MF12,Adoption Interagency         E,"1,194.00 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,03/05/2013,ACTION FOR CHILDREN,5872645,Revenue,1MF12,Adoption Interagency         E,822.58 ,,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,13/05/2013,ACTION FOR CHILDREN,5875486,Revenue,1MF12,Adoption Interagency         E,750.00 ,,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,13/05/2013,ACTION FOR CHILDREN,5875488,Revenue,1MF12,Adoption Interagency         E,750.00 ,,,,,,,,,,,,
Childrens Services,Invoice,Third Party Payments,30/05/2013,ACTION FOR CHILDREN,5895059,Revenue,1MB04,Childrens Standards Unit     E,"20,750.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",07/05/2013,ACTIVE HORIZONS LTD,5873974,Revenue,1MG20,Ind Res Care Elderly         M,-486.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,07/05/2013,ACTIVE HORIZONS LTD,5873974,Revenue,1MG20,Ind Res Care Elderly         M,"1,648.00 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,31/05/2013,ACTIVE TRAVEL,5893131,Revenue,1E+212,Transport Special            E,"1,350.00 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,20/05/2013,ACTIVE TRAVEL,5885455,Revenue,1E+212,Transport Special            E,"1,555.00 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,01/05/2013,ACTIVE TRAVEL,5860583,Revenue,1E+212,Transport Special            E,"1,810.00 ",,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Transfer Payments,01/05/2013,ACTIVE TRAVEL,5860654,Revenue,1E+212,Transport Special            E,"1,710.00 ",,,,,,,,,,,,
Chief Executives,CD - Electoral Reg               ,Supplies & Services,10/05/2013,ADARE LTD,5877333,Revenue,1FK03,Municipal Elections          F,600.00 ,,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,21/05/2013,ADC ELECTRICAL CO LTD(F),5882282,Revenue,1KR8E,CW Build Surv Team           K,458.93 ,,,,,,,,,,,,
Childrens Services,Childrens Services Support       ,Third Party Payments,17/05/2013,ADOPTION UK,5883859,Revenue,1MF12,Adoption Interagency         E,418.50 ,,,,,,,,,,,,
Childrens Services,Invoice,Third Party Payments,15/05/2013,ADOPTION UK,5880462,Revenue,1MF12,Adoption Interagency         E,550.00 ,,,,,,,,,,,,
Childrens Services,Invoice,Third Party Payments,15/05/2013,ADOPTION UK,5880464,Revenue,1MF12,Adoption Interagency         E,426.75 ,,,,,,,,,,,,
Adult & Culture,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857922,Revenue,1MX01,Welford Centre               M,555.02 ,,,,,,,,,,,,
Adult & Culture,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857927,Revenue,1MR58,Transport Function           M,368.34 ,,,,,,,,,,,,
Adult & Culture,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862889,Revenue,1DF10,Theatre Royal Contribution   M,"2,024.16 ",,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5856859,Revenue,1FRAM,Brian Roycroft               F,424.12 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5856861,Revenue,1FRAJ,Cruddas Park SS              F,528.98 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857923,Revenue,1FRAE,Shieldfield                  F,"1,423.28 ",,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857944,Revenue,1FRA3,CSC Denton                   F,298.18 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857945,Revenue,1FRA3,CSC Denton                   F,882.73 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857946,Revenue,1FRA3,CSC Denton                   F,943.58 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862871,Revenue,1DT15,Chillingham Rd Ind Est       F,364.68 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862887,Revenue,1DV05,Jesmond Road Offices         F,722.04 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862888,Revenue,1FN02,Mansion House                F,280.64 ,,,,,,,,,,,,
Chief Executives,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862890,Revenue,1DR03,Grainger Market              F,"1,089.54 ",,,,,,,,,,,,
Childrens Services,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857952,Revenue,1EEK1,Fenham Childrens Centre      E,276.35 ,,,,,,,,,,,,
Childrens Services,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857956,Revenue,1EPYK,Lillia Youth Centre          E,525.26 ,,,,,,,,,,,,
Childrens Services,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857961,Revenue,1EPYH,Mill Lane Youth Centre       E,"1,051.07 ",,,,,,,,,,,,
Childrens Services,Invoice,Supplies & Services,23/05/2013,ADT FIRE & SECURITY,5890485,Revenue,1E+217,Learning Development Imp TeamE,948.97 ,,,,,,,,,,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,01/05/2013,ADT FIRE & SECURITY,5857381,Revenue,1KKX1,CIVIC CENTRE DIRECT COSTS    K,790.37 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857920,Revenue,1KL17,Leis. Comm BldgR&M           K,"1,219.56 ",,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857941,Revenue,1KL17,Leis. Comm BldgR&M           K,536.09 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857948,Revenue,1KL1D,East End Pool                K,646.27 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857949,Revenue,1KL2F,Scotswood SC                 K,253.16 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857950,Revenue,1KL3A,City Hall                    K,618.03 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857951,Revenue,1KL1C,Outer West Pool              K,417.61 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857962,Revenue,1KL4A,Centre For Sport             K,472.89 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862866,Revenue,1V080,Private Developers s106      K,976.29 ,,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5862867,Revenue,1V080,Private Developers s106      K,376.13 ,,,,,,,,,,,,
Environment & Regeneration,CD - Business Dev Centres        ,Capital Expenditure,28/05/2013,ADT FIRE & SECURITY,5893224,Capital,2DP02,Devt Capital CC              K,540.00 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857919,Revenue,1HP01,Comm. Centres - Citywide     H,508.74 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857921,Revenue,1HP01,Comm. Centres - Citywide     H,792.45 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857947,Revenue,1HP01,Comm. Centres - Citywide     H,"1,135.35 ",,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857957,Revenue,1HP01,Comm. Centres - Citywide     H,756.51 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857958,Revenue,1HP01,Comm. Centres - Citywide     H,333.46 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857959,Revenue,1HP01,Comm. Centres - Citywide     H,346.07 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857960,Revenue,1HP01,Comm. Centres - Citywide     H,282.04 ,,,,,,,,,,,,
HRA,NS: Asset Man              ,Premises,01/05/2013,ADT FIRE & SECURITY,5857963,Revenue,1HP01,Comm. Centres - Citywide     H,677.73 ,,,,,,,,,,,,
Environment & Regeneration,E&R Planning Policy        ,Third Party Payments,20/05/2013,ADVANCE INSTALLATIONS LTD,5880579,Revenue,3KS04,Newcastle Warm Zone          K,"1,720.00 ",,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,21/05/2013,ADVANCE INSTALLATIONS LTD,5886433,Revenue,3KS04,Newcastle Warm Zone          K,"1,720.00 ",,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,02/05/2013,ADVANCE INSTALLATIONS LTD,5871406,Revenue,3KS04,Newcastle Warm Zone          K,687.33 ,,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,02/05/2013,ADVANCE INSTALLATIONS LTD,5871409,Revenue,3KS04,Newcastle Warm Zone          K,"1,151.33 ",,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,01/05/2013,ADVANCE INSTALLATIONS LTD,5870729,Revenue,3KS04,Newcastle Warm Zone          K,"1,984.00 ",,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,01/05/2013,ADVANCE INSTALLATIONS LTD,5870868,Revenue,3KS04,Newcastle Warm Zone          K,"1,771.00 ",,,,,,,,,,,,
Environment & Regeneration,Schools Payment Agency                 ,Third Party Payments,22/05/2013,ADVANCE INSTALLATIONS LTD,5881451,Revenue,3KS04,Newcastle Warm Zone          K,"1,923.00 ",,,,,,,,,,,,
Environment & Regeneration,EEC Housing                ,Premises,23/05/2013,ADVANCED CLEANING & MAINTENANCE LTD,5875925,Revenue,1D568,Work In Default Recoverable  K,508.00 ,,,,,,,,,,,,
HRA,HRA West End CSC           ,Premises,13/05/2013,ADVANCED CLEANING & MAINTENANCE LTD,5878287,Revenue,1HE7C,HRA - West End CSC           H,760.00 ,,,,,,,,,,,,
Chief Executives,CD - Legal Services              ,Supplies & Services,30/05/2013,ADVANCED LEGAL LTD,5886421,Revenue,1FA51,Coroner                      F,900.00 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,08/05/2013,AEBI SCHMIDT UK LTD,5867028,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,789.99 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,07/05/2013,AEBI SCHMIDT UK LTD,5868229,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,427.76 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,30/05/2013,AEBI SCHMIDT UK LTD,5882781,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,459.91 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,24/05/2013,AEBI SCHMIDT UK LTD,5879742,Revenue,1KESJ,Hort Workshops Routine RepairK,581.79 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,23/05/2013,AEBI SCHMIDT UK LTD,5879740,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,556.69 ,,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/05/2013,AEBI SCHMIDT UK LTD,5867260,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,374.39 ,,,,,,,,,,,,
HRA,HRA Invest/Del             ,Transfer Payments,24/05/2013,AEROVISION LTD,5892041,Revenue,1HFDA,HRA Inv Del-Disabled Adapts  H,280.00 ,,,,,,,,,,,,
HRA,HRA Invest/Del             ,Transfer Payments,02/05/2013,AEROVISION LTD,5870817,Revenue,1HFDA,HRA Inv Del-Disabled Adapts  H,328.00 ,,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,02/05/2013,AGD SYSTEMS LTD,5871759,Revenue,3KIMF,Highways Stock Account       K,"8,100.00 ",,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,28/05/2013,AGE UK NEWCASTLE,5883765,Revenue,1MH50,Ind Home Spot Pur PD         M,"6,808.93 ",,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,23/05/2013,AGE UK NEWCASTLE,5849013,Revenue,1MG50,Ind Home Spot Pur Elderly    M,479.22 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878882,Revenue,1MG50,Ind Home Spot Pur Elderly    M,"1,935.20 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878882,Revenue,1MH50,Ind Home Spot Pur PD         M,"10,735.05 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878882,Revenue,1MM50,Ind Home - Spot Pur MH       M,236.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878912,Revenue,1MG51,Ind Home Per Care Elderly    M,"58,121.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878912,Revenue,1MH51,Ind Home Per Care PD         M,"5,786.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878912,Revenue,1MK51,Ind Home-Per Care LD         M,357.50 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878912,Revenue,1MM51,Ind Home-Per Care MH         M,"1,556.50 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,14/05/2013,AGE UK NEWCASTLE,5878912,Revenue,3WH96,Continuing Care-Dom Payments M,728.75 ,,,,,,,,,,,,
HRA,HRA Assets                 ,Supplies & Services,14/05/2013,AINSWORTH SPARK ASSOC,5879195,Revenue,1HRA3,Misc Feasibility Study/SurveyH,"1,500.00 ",,,,,,,,,,,,
Childrens Services,Invoice,Premises,23/05/2013,AIR TECHNIQUE,5890491,Revenue,1MC09,Phillipson Street            E,"1,137.00 ",,,,,,,,,,,,
Adult & Culture,Social Services                        ,Premises,30/05/2013,AJP PROPERTY SERVICES LTD,5895603,Revenue,1MN30,Asylum Seekers Adults        M,"1,365.00 ",,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,20/05/2013,AKW MEDI-CARE LTD,5879964,Revenue,1KBAA,Building Contracts           K,311.93 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/05/2013,AKW MEDI-CARE LTD,5865702,Revenue,3KIMD,Other Stores Stock Account   K,390.00 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/05/2013,AKW MEDI-CARE LTD,5874267,Revenue,1KBAA,Building Contracts           K,515.56 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/05/2013,AKW MEDI-CARE LTD,5890909,Revenue,1KBAA,Building Contracts           K,451.43 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/05/2013,AKW MEDI-CARE LTD,5891487,Revenue,3KIMD,Other Stores Stock Account   K,426.00 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/05/2013,AKW MEDI-CARE LTD,5884490,Revenue,1KBAA,Building Contracts           K,329.61 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,17/05/2013,AKW MEDI-CARE LTD,5869145,Revenue,1KBAA,Building Contracts           K,523.36 ,,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,13/05/2013,AKW MEDI-CARE LTD,5875601,Revenue,1KBAA,Building Contracts           K,664.59 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,ALBANY HOUSE  (WHITLEY BAY),5887125,Revenue,1MM20,Ind Res Care MH              M,"4,670.72 ",,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,02/05/2013,ALBANY MOTORS,5867042,Revenue,1KESA,Heavy Workshop Routine RepairK,595.00 ,,,,,,,,,,,,
Chief Executives,CD - SPAM Trading Account        ,Supplies & Services,29/05/2013,ALBANY OFFICE FURNITURE SOLUTIONS,5891591,Revenue,1DTS1,Property Services Overheads  F,255.00 ,,,,,,,,,,,,
Chief Executives,CD - Customer Service Centres    ,Supplies & Services,28/05/2013,ALBANY OFFICE FURNITURE SOLUTIONS,5868144,Revenue,1FA53,Reg Of Births Deaths & Margs F,"6,472.00 ",,,,,,,,,,,,
