Department Family,Entity,Date of Payment,GL Description,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Document number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,06/08/2014,Advertising,Common Land,TMP (UK) LIMITED,,Large,,5106205772,Statutory Advertising - Common Land,W1T 7RQ,925.45,
Communities & Local Government,PINS,06/08/2014,Advertising,Common Land,TMP (UK) LIMITED,,Large,,5106205785,Statutory Advertising - Common Land,W1T 7RQ,358.75,
Communities & Local Government,PINS,06/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106205741,Agency worker ,AL1 4JB,520.81,
Communities & Local Government,PINS,06/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106205748,Agency worker ,AL1 4JB,520.81,
Communities & Local Government,PINS,06/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205756,Agency Costs,AL1 4JB,524.33,
Communities & Local Government,PINS,06/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205757,Agency Costs,AL1 4JB,524.33,
Communities & Local Government,PINS,06/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205758,Agency Costs,AL1 4JB,401.04,
Communities & Local Government,PINS,06/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106205554,SQL DBA contractor 3 ME blanket order,SL6 1DP,"1,471.50",
Communities & Local Government,PINS,06/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106205744,Test contractor 3 blanket order,SL6 1DP,"4,960.80",
Communities & Local Government,PINS,06/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106205755,Dev contractor (rollout) ,SL6 1DP,"6,678.00",
Communities & Local Government,PINS,06/08/2014,Courier Services,National Infrastructure Casework,CORPORATE DOCUMENT SERVICES LTD,,Data Not Provided,,5106205781,Norwich Northern Distributor Rd - July,LS2 7LY,"1,663.06",
Communities & Local Government,PINS,06/08/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106205786,Banner Paper Order,NR3 1PD,304.99,
Communities & Local Government,PINS,06/08/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106205786,Banner Stationery Order,NR3 1PD,52.18,
Communities & Local Government,PINS,07/08/2014,Courier Services,Estates,CITY LINK,,Large,,5106205798,POSTAL & COURIER,CV3 4PA,"2,712.85",
Communities & Local Government,PINS,07/08/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106205800,POSTAL & COURIER,S49 1HQ,"2,485.08",
Communities & Local Government,PINS,08/08/2014,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106205831,Statutory Advertising - ROW,W1T 7RQ,"1,065.89",
Communities & Local Government,PINS,08/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106205754,Agency worker ,AL1 4JB,520.81,
Communities & Local Government,PINS,08/08/2014,Conferences and Meeting Facilities,Group Managers,BIRMINGHAM & MIDLAND INSTITUTE,,Small,,5106205845,Room Hire PPL13 on 25/7/14,B3 3BS,210.00,
Communities & Local Government,PINS,08/08/2014,Office Supplies,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106205814,"5,000 Envelope 11s",NR3 1PD,"2,339.88",
Communities & Local Government,PINS,08/08/2014,Online Database Information Retrieval,Strategy & Communications,GORKANA GROUP LTD,,Large,,5106205840,Subscription fee,EC1Y 8QE,590.53,
Communities & Local Government,PINS,08/08/2014,Translations,Wales Director,TROSOL CYFYNGEDIG,,Small,,5106205842,Welsh Translation Services - PINS Wales,CF14 5GH,"4,248.18",
Communities & Local Government,PINS,13/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205881,Agency Costs ,AL1 4JB,501.30,
Communities & Local Government,PINS,13/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205901,Agency Costs ,AL1 4JB,534.89,
Communities & Local Government,PINS,13/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106205902,Agency Costs ,AL1 4JB,527.84,
Communities & Local Government,PINS,13/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106205912,Dev contractor (rollout) ,SL6 1DP,890.40,
Communities & Local Government,PINS,13/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106205914,Test contractor 3 blanket order,SL6 1DP,763.20,
Communities & Local Government,PINS,14/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106205907,Agency worker ,AL1 4JB,520.81,
Communities & Local Government,PINS,14/08/2014,Catering,Strategy & Communications,DCLG,,Public Bodies,,5106205922,TQH catering - CC 90110,HP2 4XN,416.00,
Communities & Local Government,PINS,14/08/2014,Catering,Group Managers,DCLG,,Public Bodies,,5106205922,TQH catering - CC 90210,HP2 4XN,679.10,
Communities & Local Government,PINS,14/08/2014,Catering,Inspector Costs,DCLG,,Public Bodies,,5106205922,TQH catering - CC 90220,HP2 4XN,62.00,
Communities & Local Government,PINS,14/08/2014,Catering,Major Applications and Plans Director,DCLG,,Public Bodies,,5106205922,TQH catering - CC 90400,HP2 4XN,137.95,
Communities & Local Government,PINS,14/08/2014,Catering,National Infrastructure Casework,DCLG,,Public Bodies,,5106205922,TQH catering - CC 90410,HP2 4XN,247.30,
Communities & Local Government,PINS,14/08/2014,Courier Services,Estates,CITY LINK,,Large,,5106205923,City Link Costs,CV3 4PA,"2,851.66",
Communities & Local Government,PINS,14/08/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106205920,Royal Mail Costs,S49 1HQ,"2,881.70",
Communities & Local Government,PINS,14/08/2014,Courier Services,Wales Director,ROYAL MAIL,,Large,,5106205931,Royal Mail Invoice,S49 1HQ,604.84,
Communities & Local Government,PINS,14/08/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106205935,AIR TRAVEL,BD1 3AZ,712.35,
Communities & Local Government,PINS,14/08/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106205935,RAIL FEE,BD1 3AZ,765.45,
Communities & Local Government,PINS,14/08/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106205935,RAIL TRAVEL,BD1 3AZ,"15,841.75",
Communities & Local Government,PINS,14/08/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106205935,TICKETING FEE,BD1 3AZ,9.50,
Communities & Local Government,PINS,14/08/2014,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106205935,HOTEL ACCOMMODATION,BD1 3AZ,"38,372.51",
Communities & Local Government,PINS,15/08/2014,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106205820,"Blue File Covers (6 deliveries of 1,500)",NR3 1PD,"3,601.58",
Communities & Local Government,PINS,19/08/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106206033,Services of a Web Developer for 119 days,SL6 1DP,"5,787.60",
Communities & Local Government,PINS,19/08/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106206059,Recharge of telephone calls FY 14-15,HP2 4XN,"2,528.47",
Communities & Local Government,PINS,19/08/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106206059,Recharge of telephony support FY 14-15,HP2 4XN,"31,258.95",
Communities & Local Government,PINS,19/08/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106206053,Paper Order,NR3 1PD,981.82,
Communities & Local Government,PINS,19/08/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106206053,Stationery Order,NR3 1PD,419.41,
Communities & Local Government,PINS,19/08/2014,Physical Storage,Admin Support,TNT UK LTD,,Large,,5106206018,STORAGE,DE11 1EG,"13,879.92",
Communities & Local Government,PINS,20/08/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106206029,Services of a Web Developer for 119 days,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,20/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106206089,SQL DBA contractor 3 ME blanket order,SL6 1DP,"2,452.50",
Communities & Local Government,PINS,21/08/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106206120,Statutory Advertising,W1T 7RQ,601.25,
Communities & Local Government,PINS,21/08/2014,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106206138,Statutory Advertising,W1T 7RQ,275.22,
Communities & Local Government,PINS,21/08/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106206142,Statutory Advertising,W1T 7RQ,"1,397.32",
Communities & Local Government,PINS,21/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106206121,Agency Costs ,AL1 4JB,527.84,
Communities & Local Government,PINS,21/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106206122,Agency Costs ,AL1 4JB,527.84,
Communities & Local Government,PINS,21/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106206123,Agency Costs ,AL1 4JB,407.72,
Communities & Local Government,PINS,21/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106206124,Agency worker ,AL1 4JB,520.81,
Communities & Local Government,PINS,21/08/2014,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106206098,Horizon Tech Specialist Rate 2,GU22 6QX,"8,870.40",
Communities & Local Government,PINS,22/08/2014,Courier Services,Estates,CITY LINK,,Large,,5106206160,City Link Costs,CV3 4PA,"2,070.71",
Communities & Local Government,PINS,22/08/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106206161,Royal Mail Costs,S49 1HQ,"1,690.70",
Communities & Local Government,PINS,26/08/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106206093,DCLG recharge ADSL Oct 2013 to Mar 2014,HP2 4XN,177.66,
Communities & Local Government,PINS,26/08/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106206093,Recharge of telephone calls FY 14-15,HP2 4XN,"3,417.97",
Communities & Local Government,PINS,26/08/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106206093,Telephony call charges FY 2013-14,HP2 4XN,"2,962.92",
Communities & Local Government,PINS,26/08/2014,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106206093,Telephony support charges FY 2013-14,HP2 4XN,"35,469.71",
Communities & Local Government,PINS,26/08/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106206176,Paper Order,NR3 1PD,381.24,
Communities & Local Government,PINS,26/08/2014,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106206176,Stationery Order,NR3 1PD,366.06,
Communities & Local Government,PINS,26/08/2014,Training,Human Resources,NO5 CHAMBERS LTD,,Data Not Provided,,5106206166,Annual Planning Review,B4 6DR,700.00,
Communities & Local Government,PINS,27/08/2014,Agency Staff,Resource Management/Chart,BROOK STREET (UK) LTD,,Large,,5106206202,Agency worker ,AL1 4JB,520.81,
Communities & Local Government,PINS,27/08/2014,Courier Services,Estates,CITY LINK,,Large,,5106206207,City Link Costs,CV3 4PA,"2,422.26",
Communities & Local Government,PINS,27/08/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106206206,Royal Mail Costs (UnVATable),S49 1HQ,7.87,
Communities & Local Government,PINS,27/08/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106206206,Royal Mail Costs (VATable),S49 1HQ,"2,233.68",
Communities & Local Government,PINS,28/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106206189,Agency Costs ,AL1 4JB,520.81,
Communities & Local Government,PINS,28/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106206199,Agency Costs ,AL1 4JB,307.46,
Communities & Local Government,PINS,28/08/2014,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106206200,Agency Costs ,AL1 4JB,527.84,
Communities & Local Government,PINS,28/08/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106206218,SQL DBA contractor 3 blanket order,SL6 1DP,"2,452.50",
Communities & Local Government,PINS,28/08/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106206229,Services of a Web Developer for 119 days,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,28/08/2014,DEV Exp (AUC) Intngble Software Acq Cost,ICT Head of Service,CACI INFORMATION SOLUTIONS LTD,,Large,,5106206227,NSI Recording & Reporting VAR 046,W14 8TS,"2,676.00",
Communities & Local Government,PINS,28/08/2014,IT - Service Contracts,ICT Business Partner,INFORMED SOLUTIONS LTD,,Small,,5106206221,Find My Consultee dataset updates,WA14 4PA,"6,835.00",
Communities & Local Government,PINS,28/08/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106206216,HP 8600 Black Cartridges,NG11 7EP,871.20,
Communities & Local Government,PINS,28/08/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106206216,HP 8600 Cyan Cartridges,NG11 7EP,805.80,
Communities & Local Government,PINS,28/08/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106206216,HP 8600 Magenta Cartridges,NG11 7EP,805.80,
Communities & Local Government,PINS,28/08/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106206216,HP 8600 Yellow Cartridges,NG11 7EP,805.80,
Communities & Local Government,PINS,28/08/2014,Online Database Information Retrieval,Library,DTA PUBLICATIONS,,Micro,,5106206230,Subscription to the HRA Handbook,NG15 7DD,720.00,
Communities & Local Government,PINS,29/08/2014,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106206272,Statutory Advertising - NID,W1T 7RQ,"2,245.32",
Communities & Local Government,PINS,29/08/2014,Intangible Software Acquisition Cost,ICT Head of Service,CACI INFORMATION SOLUTIONS LTD,,Large,,5106206226,Enhancement to ISS,W14 8TS,"2,490.00",
Communities & Local Government,PINS,29/08/2014,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106206238,LWPS Safety Phones - 12 Months  Use,NG24 2EG,"1,958.10",
